name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Chaya Makkani,"124, Kavungal - Munduparamba Bypass Rd, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Chaya+Makkani/@11.0573759,76.0486058,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba6351ef0f8405f:0xc85cc204727507d!8m2!3d11.0506771!4d76.0903933!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQl0ZWFfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlVNSFZpTmtobkVBRaoBShABKgwiCHRlYSBzaG9wKAAyHxABIhtQW3ycR212n8DwtJ4OV7V-csYjthRl6pgLcSoyFxACIhN0ZWEgc2hvcCBtYWxhcHB1cmFt4AEA-gEECAAQNg!16s%2Fg%2F11g9q1y72z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.0573759, 76.0486058",Claim this business,Tea store,Food_Businesses,4.0,420.0,₹₹,Opens 8am Sun,⋅ Opens 8am Sun,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop malappuram,2025-08-09 23:59:45
Kattadippadam Tea Shop,"Karinchapadi Rd, Paravakkal, Kerala 679321",085929 36030,"https://www.google.com/maps/place/Kattadippadam+Tea+Shop/@11.0573759,76.0486058,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba7cade527804d1:0x8da1ef632ba194ab!8m2!3d11.000487!4d76.128891!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQRjYWZlqgFKEAEqDCIIdGVhIHNob3AoADIfEAEiG1BbfJxHbXafwPC0ng5XtX5yxiO2FGXqmAtxKjIXEAIiE3RlYSBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11dxrz42qt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.0573759, 76.0486058",,Cafe,Food_Businesses,4.5,277.0,₹₹,Opens 6am Sun,⋅ Opens 6am Sun,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,tea shop malappuram,2025-08-09 23:59:50
T LOUNGE,"Malappuram, Monnampadi, Manjeri - Perinthalmanna Rd, Malappuram, Kerala 676505",096459 65704,"https://www.google.com/maps/place/T+LOUNGE/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64bd099eeeb0b:0x8e40feabd0dd828c!8m2!3d11.043059!4d76.0840959!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtkgEJdGVhX3N0b3JlqgFKEAEqDCIIdGVhIHNob3AoADIfEAEiG1BbfJxHbXafwPC0ng5XtX5yxiO2FGXqmAtxKjIXEAIiE3RlYSBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11yf9bknm1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",,Tea store,Food_Businesses,5.0,4.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop malappuram,2025-08-09 23:59:55
KL10 ORENGE COOLBAR and evening cafe,"opp. apco honda, Konompara, Melmuri, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/KL10+ORENGE+COOLBAR+and+evening+cafe/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64bed2e311fe7:0xc120b592391ff425!8m2!3d11.0633385!4d76.0778854!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQl0ZWFfc3RvcmWqAUoQASoMIgh0ZWEgc2hvcCgAMh8QASIbUFt8nEdtdp_A8LSeDle1fnLGI7YUZeqYC3EqMhcQAiITdGVhIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11krn46f3m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",Claim this business,Tea store,Food_Businesses,5.0,4.0,₹₹,12am,⋅ 12am ⋅ Opens 8pm Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",kerbside pickup; dine-in; delivery,,10.0,Not Available,,,tea shop malappuram,2025-08-10 00:00:00
Samosa Corner,"Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Samosa+Corner/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64a9283a1b1fd:0x85b59191bedc36de!8m2!3d11.0506705!4d76.0644966!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQl0ZWFfc3RvcmWqAUoQASoMIgh0ZWEgc2hvcCgAMh8QASIbUFt8nEdtdp_A8LSeDle1fnLGI7YUZeqYC3EqMhcQAiITdGVhIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11dxl7ygz7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",,Tea store,Food_Businesses,3.9,66.0,₹₹,Opens 3:30pm Sun,⋅ Opens 3:30pm Sun,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,tea shop malappuram,2025-08-10 00:00:05
The Chai Walah,"Munduparamba, Malappuram, Kerala 676509",0:04,"https://www.google.com/maps/place/The+Chai+Walah/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba6350031a9b723:0x70d292a4fae9542a!8m2!3d11.051917!4d76.090212!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQl0ZWFfc3RvcmWqAUoQASoMIgh0ZWEgc2hvcCgAMh8QASIbUFt8nEdtdp_A8LSeDle1fnLGI7YUZeqYC3EqMhcQAiITdGVhIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11x20bbxn4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",thechaiwalah.in,Tea store,Food_Businesses,3.6,64.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,tea shop malappuram,2025-08-10 00:00:10
Tea Town,"opposite Ithis Hospital, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Tea+Town/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba6350ad12165cf:0xacd9f0a2d9f8e22c!8m2!3d11.05129!4d76.070737!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQRjYWZlqgFKEAEqDCIIdGVhIHNob3AoADIfEAEiG1BbfJxHbXafwPC0ng5XtX5yxiO2FGXqmAtxKjIXEAIiE3RlYSBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11sht0s0tl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",Claim this business,Cafe,Food_Businesses,5.0,5.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",no-contact delivery; takeaway; dine-in,,1.0,Not Available,,,tea shop malappuram,2025-08-10 00:00:15
TEA LIFE LOVE CANE,"Malappuram - Manjeri Rd, Up Hill, Malappuram, Kerala 676505",077367 52545,"https://www.google.com/maps/place/TEA+LIFE+LOVE+CANE/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64d4229b5f0ef:0xd7c43cb4dea73402!8m2!3d11.0475408!4d76.0858493!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtkgEJdGVhX3N0b3JlqgFKEAEqDCIIdGVhIHNob3AoADIfEAEiG1BbfJxHbXafwPC0ng5XtX5yxiO2FGXqmAtxKjIXEAIiE3RlYSBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11tnfrdyw4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",,Tea store,Food_Businesses,5.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop malappuram,2025-08-10 00:00:20
മിട്ടായിക്കുള്ളിൽ ടീസ്റ്റാൾ,"339G+JH7, Melmuri, Malappuram, Kerala 676517",080860 02602,"https://www.google.com/maps/place/%E0%B4%AE%E0%B4%BF%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B4%BE%E0%B4%AF%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%81%E0%B4%B3%E0%B5%8D%E0%B4%B3%E0%B4%BF%E0%B5%BD+%E0%B4%9F%E0%B5%80%E0%B4%B8%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B4%BE%E0%B5%BE/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64b0002fb14f3:0xd446354f1d869d08!8m2!3d11.069144!4d76.0763519!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtkgEJdGVhX3N0b3JlqgFKEAEqDCIIdGVhIHNob3AoADIfEAEiG1BbfJxHbXafwPC0ng5XtX5yxiO2FGXqmAtxKjIXEAIiE3RlYSBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11lv897cmy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",,Tea store,Food_Businesses,5.0,1.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop malappuram,2025-08-10 00:00:25
G Cafe Coffee and Tea Snacks,"335M+445, Down Hill, Malappuram, Kerala 676509",,"https://www.google.com/maps/place/G+Cafe+Coffee+and+Tea+Snacks/@11.043059,76.0119981,13z/data=!4m11!1m3!2m2!1stea+shop+malappuram!6e6!3m6!1s0x3ba64b9c428ff70b:0x761bd7b9f68f2fc2!8m2!3d11.0577539!4d76.082872!15sChN0ZWEgc2hvcCBtYWxhcHB1cmFtWhUiE3RlYSBzaG9wIG1hbGFwcHVyYW2SAQtjb2ZmZWVfc2hvcKoBShABKgwiCHRlYSBzaG9wKAAyHxABIhtQW3ycR212n8DwtJ4OV7V-csYjthRl6pgLcSoyFxACIhN0ZWEgc2hvcCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11jzrzvm8r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+malappuram,"11.043059, 76.0119981",Claim this business,Coffee shop,Food_Businesses,2.7,7.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",drive-through; dine-in,,1.0,Not Available,,,tea shop malappuram,2025-08-10 00:00:30
