name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
The black tea Manjeri,"446C+MXQ, Pandikkad Rd Bypass, Vayapparapadi, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/The+black+tea+Manjeri/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba637c068c98e3b:0x2bd87b9e572b7e8e!8m2!3d11.1117047!4d76.1224876!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11rhsx9swl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",Claim this business,Coffee shop,Food_Businesses,4.5,27.0,₹₹,Closes 2am,⋅ Closes 2am ⋅ Reopens 4pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:10:54
Brown Beans Cafe,"IGBT BYPASS, Thurakkal, Manjeri, Kerala 676121",091882 22233,"https://www.google.com/maps/place/Brown+Beans+Cafe/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba6366d7f77607d:0x2c665566164c17e4!8m2!3d11.1194333!4d76.1116931!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11fy85w416?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",brownbeans.in,Coffee shop,Food_Businesses,4.3,1047.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:10:59
Kattan tea shop,"Pandikkad Road, kizhakethala, Manjeri, Kerala 676122",080863 71372,"https://www.google.com/maps/place/Kattan+tea+shop/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba6378e63681843:0xee12534df4cf72ce!8m2!3d11.1215866!4d76.125137!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQRjYWZlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCturadUVLq8-58XyaXJKgyZIgiyeueRfpQJYyFBACIhB0ZWEgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11k9kc7149?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",,Cafe,Food_Businesses,4.8,8.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,,Not Available,,,tea shop manjeri,2025-08-10 00:11:10
T Chaai,"Kacherippadi, Manjeri, Kerala 676121",095260 80606,"https://www.google.com/maps/place/T+Chaai/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba6378dc05bb713:0x9bf0ed77ac312091!8m2!3d11.1103973!4d76.1198186!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11vj5h48f6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",Claim this business,Coffee shop,Food_Businesses,4.3,9.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:11:15
Choxi Resto Cafe,"445C+FHQ, Vayapparapadi, Kacherippadi, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Choxi+Resto+Cafe/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba635001c305ffd:0x275ec15d129db97b!8m2!3d11.1087036!4d76.1214989!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVSdk9HUkxMVzEzUlJBQqoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAPoBBAgAEEo!16s%2Fg%2F11x8_0frcd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",Claim this business,Coffee shop,Food_Businesses,4.8,15.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:11:20
Raheemkka's Tea Shop,"44C8+7XH, Karuvambram, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Raheemkka's+Tea+Shop/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba637a2af85d883:0x835fc1d46ad7830d!8m2!3d11.1206944!4d76.1174737!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11pfc9l81n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",Claim this business,Coffee shop,Food_Businesses,4.7,3.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,,Not Available,,,tea shop manjeri,2025-08-10 00:11:25
Planet Cafe Manjeri,"kurikkal tower,Rajiv Gandhi bypass, junction, Kozhikode-Nilambur-Gudallur Rd, Thurakkal, Manjeri, Kerala 676122",070346 55551,"https://www.google.com/maps/place/Planet+Cafe+Manjeri/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba637250645c069:0x2f18c2ffdbcfff21!8m2!3d11.121586!4d76.1094015!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQRjYWZlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCturadUVLq8-58XyaXJKgyZIgiyeueRfpQJYyFBACIhB0ZWEgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11txtrdz1f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",blackkingdom.in,Cafe,Food_Businesses,4.4,222.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:11:31
Tea Hub,"124 Iramudukku, Malappuram Road Anakkayam, Malappuram, Kerala 676121",099618 88246,"https://www.google.com/maps/place/Tea+Hub/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba63766ea4b1679:0xf5002d0a7ce76a88!8m2!3d11.1193321!4d76.1181329!15sChB0ZWEgc2hvcCBtYW5qZXJpkgEJdGVhX3N0b3JlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCturadUVLq8-58XyaXJKgyZIgiyeueRfpQJYyFBACIhB0ZWEgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11wqdjywz4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",,Tea store,Food_Businesses,5.0,2.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop manjeri,2025-08-10 00:11:36
TEA AND COFFEE,"Nilamboor road, Vellarangal, Manjeri, Malappuram, Kerala 676123",081379 47012,"https://www.google.com/maps/place/TEA+AND+COFFEE/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba63730277eaeff:0x309fccaddadad83c!8m2!3d11.1200534!4d76.1227571!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrbq2nVFS6vPufF8mlySoMmSIIsnrnkX6UCWMhQQAiIQdGVhIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11x7krd6qw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",,Coffee shop,Food_Businesses,4.2,5.0,₹₹,,,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,,Not Available,,,tea shop manjeri,2025-08-10 00:11:41
Mamatty Tea Stall,"44C9+JMV, Nilambur - Malappuram Rd, Karuvambram, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Mamatty+Tea+Stall/@11.1265744,76.0844412,14z/data=!4m11!1m3!2m2!1stea+shop+manjeri!6e5!3m6!1s0x3ba6367090e142a9:0x5d0c96e2f048ada4!8m2!3d11.1216217!4d76.1191818!15sChB0ZWEgc2hvcCBtYW5qZXJpWhIiEHRlYSBzaG9wIG1hbmplcmmSAQpyZXN0YXVyYW50qgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCturadUVLq8-58XyaXJKgyZIgiyeueRfpQJYyFBACIhB0ZWEgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11f388m1kq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+manjeri,"11.1265744, 76.0844412",blackkingdom.in,Restaurant,Food_Businesses,4.2,40.0,₹₹,Opens 10am Mon,⋅ Opens 10am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,tea shop manjeri,2025-08-10 00:11:46
