name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Palacio Catering Management,"പാലിയേറ്റീവ് clinic Road, Madrassa, near Vqliyangadi, Malappuram, Kerala 676519",094463 40483,"https://www.google.com/maps/place/Palacio+Catering+Management/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64a9648ce46a3:0x523b6205832d5224!8m2!3d11.0525496!4d76.0641084!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbGFFODJRVk5SRUFFqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAPoBBAgAECs!16s%2Fg%2F11ckvf31x2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",palacioindia.com,Catering food and drink supplier,Event_Catering,4.4,201.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering malappuram,2025-08-10 02:40:03
Airlines Caterers Malappuram - Best catering service in Kerala,"Varangode, Down Hill, Malappuram, Kerala 676519",081398 11117,"https://www.google.com/maps/place/Airlines+Caterers+Malappuram+-+Best+catering+service+in+Kerala/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64bd32a5dbdfd:0x231502856daa2115!8m2!3d11.052923!4d76.0789321!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SARBjYXRlcmluZ19zZXJ2aWNlqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11q4m0wz83?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",,Caterer,Event_Catering,5.0,93.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:08
Frypan Kitchen - Malappuram,"Mangattupulam Rd, Mangatupalam, Down Hill, Malappuram, Kodur, Kerala 676505",081130 62222,"https://www.google.com/maps/place/Frypan+Kitchen+-+Malappuram/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64b4340f602a9:0x76e2936710b54fc7!8m2!3d11.048897!4d76.0613403!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc6oBSRABKgwiCGNhdGVyaW5nKAAyHhABIhpnOOVPCMhcOSTelChuqDJV-qPeWqz7UhBMKTIXEAIiE2NhdGVyaW5nIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11kmqv5vp1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",frypankitchen.com,Catering food and drink supplier,Event_Catering,4.6,281.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:13
Odine - The Outdoor Kitchen,"Pattarkadavu, Panakkad, Malappuram, Kerala 676519",080899 16765,"https://www.google.com/maps/place/Odine+-+The+Outdoor+Kitchen/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64bf8f68d16b9:0x920cad657f2ae6db!8m2!3d11.0415724!4d76.0516883!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SARBjYXRlcmluZ19zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0zYTNGUVVUVjNSUkFCqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAPoBBAh7EEs!16s%2Fg%2F11t63w1zks?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",,Caterer,Event_Catering,4.7,192.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:18
PSG CATERING MALAPPURAM,"23VM+J89, Kottakunnu Rd, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/PSG+CATERING+MALAPPURAM/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64b38ca7e8683:0x591fb8b04a7e8bc8!8m2!3d11.0440363!4d76.0833493!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGVEZFRORTluRUFFqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAPoBBAgAEEQ!16s%2Fg%2F11gy3hrk16?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",Claim this business,Catering food and drink supplier,Event_Catering,4.5,45.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering malappuram,2025-08-10 02:40:22
ELEGANT CATERING MANAGEMENT✨,"Munduparamba, Malappuram, Kerala 676509",098951 42826,"https://www.google.com/maps/place/ELEGANT+CATERING+MANAGEMENT%E2%9C%A8/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba63590cd080beb:0xe4fff5c1f0edb9a0!8m2!3d11.0544929!4d76.0915587!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTFaM1oyWlcxQlJSQUKqAV8KCS9tLzAyeW43NgoJL20vMDl6bjgxEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAPoBBAgAECE!16s%2Fg%2F11g6ml089m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",,Event management company,Event_Catering,4.4,48.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering malappuram,2025-08-10 02:40:27
Delicia Caterers in Malappuram,"Palakkad - Kozhikode Hwy, Pulikkal, Pookkottur, Kerala 676517",083390 03003,"https://www.google.com/maps/place/Delicia+Caterers+in+Malappuram/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba64bdfe3742c35:0x130ce321e9a9460d!8m2!3d11.0907761!4d76.0664928!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SARBjYXRlcmluZ19zZXJ2aWNlqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11vxxyskl8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",deliciacaterers.com,Caterer,Event_Catering,4.8,186.0,₹₹,Opens 10:30am,⋅ Opens 10:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:32
Taj Catering and Events,"Kottakkal – Vengara Rd, Parappur, Kerala 676503",099616 66674,"https://www.google.com/maps/place/Taj+Catering+and+Events/@11.1272422,75.7996522,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba7b4abb4498393:0x83a03ef0700a93fd!8m2!3d11.0113117!4d75.9958558!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE0zSnRNalpSUlJBQqoBSRABKgwiCGNhdGVyaW5nKAAyHhABIhpnOOVPCMhcOSTelChuqDJV-qPeWqz7UhBMKTIXEAIiE2NhdGVyaW5nIG1hbGFwcHVyYW3gAQD6AQQIchA_!16s%2Fg%2F1pp2vlv0_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.1272422, 75.7996522",tajcatering.in,Catering food and drink supplier,Event_Catering,4.7,172.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:37
Airlines Caterers,"MGS Arcade, Pottammal Road, Methottuthazham, Palazhi, Kozhikode, Kerala 673016",081292 11117,"https://www.google.com/maps/place/Airlines+Caterers/@11.2531891,75.5340402,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba659308d6475e5:0xe9f5d820098557a6!8m2!3d11.2531891!4d75.8224313!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc6oBSRABKgwiCGNhdGVyaW5nKAAyHhABIhpnOOVPCMhcOSTelChuqDJV-qPeWqz7UhBMKTIXEAIiE2NhdGVyaW5nIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11g6j8bb4t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.2531891, 75.5340402",,Catering food and drink supplier,Event_Catering,4.8,30.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
·

Dine-in
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,catering malappuram,2025-08-10 02:40:42
Kohinoor Catering Service in Malappuram,"Chemmad, Kerala 676306",090614 00300,"https://www.google.com/maps/place/Kohinoor+Catering+Service+in+Malappuram/@11.2531891,75.5340402,11z/data=!4m10!1m2!2m1!1scatering+malappuram!3m6!1s0x3ba6520eaaaaaac7:0xdd76d84e9500a4fe!8m2!3d11.0447591!4d75.9100276!15sChNjYXRlcmluZyBtYWxhcHB1cmFtWhUiE2NhdGVyaW5nIG1hbGFwcHVyYW2SARBjYXRlcmluZ19zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI0YjNWRVF6WlJSUkFCqgFJEAEqDCIIY2F0ZXJpbmcoADIeEAEiGmc45U8IyFw5JN6UKG6oMlX6o95arPtSEEwpMhcQAiITY2F0ZXJpbmcgbWFsYXBwdXJhbeABAPoBBAgAEDA!16s%2Fg%2F11gcm_84_f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+malappuram,"11.2531891, 75.5340402",,Caterer,Event_Catering,3.9,16.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering malappuram,2025-08-10 02:40:46
