name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Vstar caterers and event kondotty,"bustand, Kondotty, Kerala 673638",097458 81133,"https://www.google.com/maps/place/Vstar+caterers+and+event+kondotty/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64f2dc3c5d44b:0x95e5bd9c66eca4df!8m2!3d11.1524177!4d75.9629273!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBDWV2ZW50X3BsYW5uZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjRjWEI1TTB4UkVBRaoBUwoJL20vMDJ5bjc2EAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-h7B12Ffc9uYF0E59_6zkOyc5nI-etxZWAzIVEAIiEWNhdGVyaW5nIGtvbmRvdHR54AEA-gEECAAQDA!16s%2Fg%2F11h0ms7d94?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",,Event planner,Event_Catering,4.6,88,,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:24
Evora events & catering,"5X54+8C7, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Evora+events+%26+catering/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64f0009cbbd0d:0xe88b6c5a08e102e7!8m2!3d11.1581947!4d75.956087!15sChFjYXRlcmluZyBrb25kb3R0eZIBEGNhdGVyaW5nX3NlcnZpY2WqAUgQASoMIghjYXRlcmluZygAMh8QASIbZD6HsHXYV9z25gXQTn3_rOQ7Jzmcj563FlYDMhUQAiIRY2F0ZXJpbmcga29uZG90dHngAQA!16s%2Fg%2F11xkg36s1v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",Claim this business,Caterer,Event_Catering,5.0,1,,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:29
I Lounge Kondotty,"Kondotty, Kerala 673638",,"https://www.google.com/maps/place/I+Lounge+Kondotty/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64fdb246ca03f:0xf6a4333fe866e496!8m2!3d11.1426696!4d75.9710408!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBD21vYmlsZV9jYXRlcmluZ5oBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOdmR6a3RVbmhSUlJBQqoBSBABKgwiCGNhdGVyaW5nKAAyHxABIhtkPoewddhX3PbmBdBOff-s5DsnOZyPnrcWVgMyFRACIhFjYXRlcmluZyBrb25kb3R0eeABAPoBBAgAEBA!16s%2Fg%2F11m5gbhc1v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",,Mobile caterer,Event_Catering,4.6,13,,Opens 12pm,⋅ Opens 12pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:34
"CHUNDAKKADAN STORE. MAIN ROAD, PAZHAYANGADI, KONDOTTY.","Chundakkadan Main Road, Pazhayangadi, Kondotty, Kerala 673638",099476 81078,"https://www.google.com/maps/place/CHUNDAKKADAN+STORE.+MAIN+ROAD,+PAZHAYANGADI,+KONDOTTY./@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64fda2190d2cf:0x9cfe11998fb0369e!8m2!3d11.1507661!4d75.9584259!15sChFjYXRlcmluZyBrb25kb3R0eZIBEGNhdGVyaW5nX3NlcnZpY2WqAUgQASoMIghjYXRlcmluZygAMh8QASIbZD6HsHXYV9z25gXQTn3_rOQ7Jzmcj563FlYDMhUQAiIRY2F0ZXJpbmcga29uZG90dHngAQA!16s%2Fg%2F11gzs6rcxp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",,Caterer,Event_Catering,5.0,1,,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:39
𝐭𝐚𝐬𝐭𝐲 𝐜𝐚𝐭𝐞𝐫𝐢𝐧𝐠 🏻‍,"4XGG+RRX, Chirayil Chungam, Kondotty, Karipur, Kerala 673638",,"https://www.google.com/maps/place/%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%B2+%F0%9D%90%9C%F0%9D%90%9A%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0+%F0%9F%8F%BB%E2%80%8D/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64fcee5e4ea81:0x4a9af4e2f94b2a40!8m2!3d11.1271089!4d75.9771147!15sChFjYXRlcmluZyBrb25kb3R0eZIBF3Jlc3RhdXJhbnRfc3VwcGx5X3N0b3JlqgFIEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-h7B12Ffc9uYF0E59_6zkOyc5nI-etxZWAzIVEAIiEWNhdGVyaW5nIGtvbmRvdHR54AEA!16s%2Fg%2F11p75pmljf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",Claim this business,Restaurant supply store,Event_Catering,3.0,2,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:43
Zaithoon,"Kodangad, Elaneerkara Rd, Kondotty, Nediyiruppu, Kerala 673638",094963 78814,"https://www.google.com/maps/place/Zaithoon/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64f5f9eb8e3bb:0x24956e525c69169e!8m2!3d11.1342057!4d75.9810227!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFIEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-h7B12Ffc9uYF0E59_6zkOyc5nI-etxZWAzIVEAIiEWNhdGVyaW5nIGtvbmRvdHR54AEA!16s%2Fg%2F11kj8k2389?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",,Catering food and drink supplier,Event_Catering,5.0,2,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:48
NKV KOHINOOR CATERING & EVENTS,"Theendekkad Achanambalam, Vengara Rd, Kunnumpuram, Kerala 676304",085908 87825,"https://www.google.com/maps/place/NKV+KOHINOOR+CATERING+%26+EVENTS/@11.1524177,75.8187317,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64de748997e29:0x2160e6c1bd0a73a9!8m2!3d11.0820689!4d75.9715161!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBEGNhdGVyaW5nX3NlcnZpY2WqAUgQASoMIghjYXRlcmluZygAMh8QASIbZD6HsHXYV9z25gXQTn3_rOQ7Jzmcj563FlYDMhUQAiIRY2F0ZXJpbmcga29uZG90dHngAQA!16s%2Fg%2F11n0tzc218?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1524177, 75.8187317",instagram.com,Caterer,Event_Catering,4.8,99,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:13:53
Airlines Caterers Malappuram - Best catering service in Kerala,"Varangode, Down Hill, Malappuram, Kerala 676519",081398 11117,"https://www.google.com/maps/place/Airlines+Caterers+Malappuram+-+Best+catering+service+in+Kerala/@11.052923,75.9347365,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64bd32a5dbdfd:0x231502856daa2115!8m2!3d11.052923!4d76.0789321!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBEGNhdGVyaW5nX3NlcnZpY2WqAUgQASoMIghjYXRlcmluZygAMh8QASIbZD6HsHXYV9z25gXQTn3_rOQ7Jzmcj563FlYDMhUQAiIRY2F0ZXJpbmcga29uZG90dHngAQA!16s%2Fg%2F11q4m0wz83?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.052923, 75.9347365",,Caterer,Event_Catering,5.0,93,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering kondotty,2025-08-10 03:13:58
Odine - The Outdoor Kitchen,"Pattarkadavu, Panakkad, Malappuram, Kerala 676519",080899 16765,"https://www.google.com/maps/place/Odine+-+The+Outdoor+Kitchen/@11.052923,75.9347365,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64bf8f68d16b9:0x920cad657f2ae6db!8m2!3d11.0415724!4d76.0516883!15sChFjYXRlcmluZyBrb25kb3R0eVoTIhFjYXRlcmluZyBrb25kb3R0eZIBEGNhdGVyaW5nX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTNhM0ZRVVRWM1JSQUKqAUgQASoMIghjYXRlcmluZygAMh8QASIbZD6HsHXYV9z25gXQTn3_rOQ7Jzmcj563FlYDMhUQAiIRY2F0ZXJpbmcga29uZG90dHngAQD6AQQIexBL!16s%2Fg%2F11t63w1zks?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.052923, 75.9347365",,Caterer,Event_Catering,4.7,192,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering kondotty,2025-08-10 03:14:02
Four star Catering&event,"Kodangad koripuram, Kondotty, Kerala 673638",094963 78814,"https://www.google.com/maps/place/Four+star+Catering%26event/@11.1389239,75.8355722,12z/data=!4m10!1m2!2m1!1scatering+kondotty!3m6!1s0x3ba64fb6c450fffd:0x12247b93416bfb5f!8m2!3d11.1389239!4d75.9797678!15sChFjYXRlcmluZyBrb25kb3R0eZIBF2Zvb2RfcHJvY2Vzc2luZ19jb21wYW55qgFIEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-h7B12Ffc9uYF0E59_6zkOyc5nI-etxZWAzIVEAIiEWNhdGVyaW5nIGtvbmRvdHR54AEA!16s%2Fg%2F11qh2p4hf1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+kondotty,"11.1389239, 75.8355722",,Food Processing Company,Event_Catering,4.0,4,,Temporarily closed,Temporarily closed,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering kondotty,2025-08-10 03:14:07
