name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
AFSAL CATERING AND BANQUET HALL,"near GAS GODOWN, near Ganga Gas godown, Mullampara Town, Manjeri, Kerala 676121",099463 95402,"https://www.google.com/maps/place/AFSAL+CATERING+AND+BANQUET+HALL/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba6356cfb75510b:0xf15f0b11210dcc64!8m2!3d11.0990886!4d76.106501!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUldlRzlZVWxaM0VBRaoBXAoJL20vMDJ5bjc2CgkvbS8wOGhiOHgQASoMIghjYXRlcmluZygAMh4QASIaX0pN9noATu_LSkIF41rlaUkQAnkKreG5lCIyFBACIhBjYXRlcmluZyBtYW5qZXJp4AEA-gEECAAQJw!16s%2Fg%2F11fqbcx43q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",websitebuilder102.website.com,Event management company,Event_Catering,4.4,45.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering manjeri,2025-08-10 02:48:58
CROWN EVENTS,"Thirumanikara Temple Road Trikkalangode, Manjeri, Kerala 676123",080754 97442,"https://www.google.com/maps/place/CROWN+EVENTS/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba637dd1ae8d49d:0x63368dbbb33b2615!8m2!3d11.1493559!4d76.1151109!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMkxWQTNSR3BSUlJBQqoBRhABKgwiCGNhdGVyaW5nKAAyHhABIhpfSk32egBO78tKQgXjWuVpSRACeQqt4bmUIjIUEAIiEGNhdGVyaW5nIG1hbmplcmngAQD6AQQIJRAn!16s%2Fg%2F11m_q7wpzb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",,Catering food and drink supplier,Event_Catering,4.9,18.0,₹₹,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering manjeri,2025-08-10 02:49:03
Airlines Caterers Malappuram - Best catering service in Kerala,"Varangode, Down Hill, Malappuram, Kerala 676519",081398 11117,"https://www.google.com/maps/place/Airlines+Caterers+Malappuram+-+Best+catering+service+in+Kerala/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba64bd32a5dbdfd:0x231502856daa2115!8m2!3d11.052923!4d76.0789321!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSARBjYXRlcmluZ19zZXJ2aWNlqgFGEAEqDCIIY2F0ZXJpbmcoADIeEAEiGl9KTfZ6AE7vy0pCBeNa5WlJEAJ5Cq3huZQiMhQQAiIQY2F0ZXJpbmcgbWFuamVyaeABAA!16s%2Fg%2F11q4m0wz83?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",,Caterer,Event_Catering,5.0,93.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering manjeri,2025-08-10 02:49:08
Olene Canto Bakes (IGBT - Manjeri),"near, IGBT Bus Stand Rd, Kacherippadi, Manjeri, Kerala 676121",0483 297 0668,"https://www.google.com/maps/place/Olene+Canto+Bakes+(IGBT+-+Manjeri)/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba63783577e31e1:0xa4ac2e540da0364a!8m2!3d11.1100793!4d76.119491!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSAQpyZXN0YXVyYW50qgFGEAEqDCIIY2F0ZXJpbmcoADIeEAEiGl9KTfZ6AE7vy0pCBeNa5WlJEAJ5Cq3huZQiMhQQAiIQY2F0ZXJpbmcgbWFuamVyaeABAA!16s%2Fg%2F11f5q09y0m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",olenecanto.com,Restaurant,Event_Catering,3.8,440.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,catering manjeri,2025-08-10 02:49:13
DIL Catering & Events,"Nilambur - Malappuram Rd, Kozhikkattu Kunnu, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/DIL+Catering+%26+Events/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba6374111cbc845:0x4ded43e2b4a71e88!8m2!3d11.1263808!4d76.1178421!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOQk1UbDJZakpCUlJBQqoBRhABKgwiCGNhdGVyaW5nKAAyHhABIhpfSk32egBO78tKQgXjWuVpSRACeQqt4bmUIjIUEAIiEGNhdGVyaW5nIG1hbmplcmngAQD6AQQIABAs!16s%2Fg%2F11x26pmk2f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",,Catering food and drink supplier,Event_Catering,5.0,5.0,₹₹,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering manjeri,2025-08-10 02:49:18
Frypan Kitchen - Malappuram,"Mangattupulam Rd, Mangatupalam, Down Hill, Malappuram, Kodur, Kerala 676505",081130 62222,"https://www.google.com/maps/place/Frypan+Kitchen+-+Malappuram/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba64b4340f602a9:0x76e2936710b54fc7!8m2!3d11.048897!4d76.0613403!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc6oBRhABKgwiCGNhdGVyaW5nKAAyHhABIhpfSk32egBO78tKQgXjWuVpSRACeQqt4bmUIjIUEAIiEGNhdGVyaW5nIG1hbmplcmngAQA!16s%2Fg%2F11kmqv5vp1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",frypankitchen.com,Catering food and drink supplier,Event_Catering,4.6,281.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering manjeri,2025-08-10 02:49:22
Palacio Catering Management,"പാലിയേറ്റീവ് clinic Road, Madrassa, near Vqliyangadi, Malappuram, Kerala 676519",094463 40483,"https://www.google.com/maps/place/Palacio+Catering+Management/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba64a9648ce46a3:0x523b6205832d5224!8m2!3d11.0525496!4d76.0641084!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbGFFODJRVk5SRUFFqgFGEAEqDCIIY2F0ZXJpbmcoADIeEAEiGl9KTfZ6AE7vy0pCBeNa5WlJEAJ5Cq3huZQiMhQQAiIQY2F0ZXJpbmcgbWFuamVyaeABAPoBBAgAECs!16s%2Fg%2F11ckvf31x2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",palacioindia.com,Catering food and drink supplier,Event_Catering,4.4,201.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering manjeri,2025-08-10 02:49:27
ELEGANT CATERING MANAGEMENT✨,"Munduparamba, Malappuram, Kerala 676509",098951 42826,"https://www.google.com/maps/place/ELEGANT+CATERING+MANAGEMENT%E2%9C%A8/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba63590cd080beb:0xe4fff5c1f0edb9a0!8m2!3d11.0544929!4d76.0915587!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTFaM1oyWlcxQlJSQUKqAVwKCS9tLzAyeW43NgoJL20vMDhoYjh4EAEqDCIIY2F0ZXJpbmcoADIeEAEiGl9KTfZ6AE7vy0pCBeNa5WlJEAJ5Cq3huZQiMhQQAiIQY2F0ZXJpbmcgbWFuamVyaeABAPoBBAgAECE!16s%2Fg%2F11g6ml089m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",,Event management company,Event_Catering,4.4,48.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering manjeri,2025-08-10 02:49:32
Tasty Foods - Chappathi Company,"Calicut Rd, Thurakkal, Manjeri, Kerala 676121",097459 92223,"https://www.google.com/maps/place/Tasty+Foods+-+Chappathi+Company/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba63612b7e3f065:0xec031678237bdc6d!8m2!3d11.1202437!4d76.1081429!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc6oBRhABKgwiCGNhdGVyaW5nKAAyHhABIhpfSk32egBO78tKQgXjWuVpSRACeQqt4bmUIjIUEAIiEGNhdGVyaW5nIG1hbmplcmngAQA!16s%2Fg%2F11hbgt30my?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",,Catering food and drink supplier,Event_Catering,4.1,128.0,₹₹,Opens 6am,⋅ Opens 6am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,catering manjeri,2025-08-10 02:49:37
Delicia Caterers in Malappuram,"Palakkad - Kozhikode Hwy, Pulikkal, Pookkottur, Kerala 676517",083390 03003,"https://www.google.com/maps/place/Delicia+Caterers+in+Malappuram/@11.1420921,75.9585173,12z/data=!4m10!1m2!2m1!1scatering+manjeri!3m6!1s0x3ba64bdfe3742c35:0x130ce321e9a9460d!8m2!3d11.0907761!4d76.0664928!15sChBjYXRlcmluZyBtYW5qZXJpWhIiEGNhdGVyaW5nIG1hbmplcmmSARBjYXRlcmluZ19zZXJ2aWNlqgFGEAEqDCIIY2F0ZXJpbmcoADIeEAEiGl9KTfZ6AE7vy0pCBeNa5WlJEAJ5Cq3huZQiMhQQAiIQY2F0ZXJpbmcgbWFuamVyaeABAA!16s%2Fg%2F11vxxyskl8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+manjeri,"11.1420921, 75.9585173",deliciacaterers.com,Caterer,Event_Catering,4.8,186.0,₹₹,Opens 10:30am,⋅ Opens 10:30am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering manjeri,2025-08-10 02:49:42
