name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
AMINAS EVENTS & CATERING,"Veliyamthodu, Nilambur, Kerala 679330",090722 78000,"https://www.google.com/maps/place/AMINAS+EVENTS+%26+CATERING/@11.1931299,76.002315,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba63ddfc3f501ad:0xf0dd615c1d7011e1!8m2!3d11.2955961!4d76.2448379!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU5aWDNCZlIzbFJSUkFCqgFIEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q5QHedS8QSw1GX7XZccLyyftpnwNIwOuWNFjIVEAIiEWNhdGVyaW5nIG5pbGFtYnVy4AEA-gEECAAQEw!16s%2Fg%2F11scmjrgv_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1931299, 76.002315",,Catering food and drink supplier,Event_Catering,4.5,2.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering nilambur,2025-08-10 02:59:50
Seras Catering & Events,"Vellimuttam Kurumbalankode P.o, Nilambur, Kerala 679334",094954 91224,"https://www.google.com/maps/place/Seras+Catering+%26+Events/@11.1931299,76.002315,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3b087bd824f48fb9:0xebe9ec260ebec5a2!8m2!3d11.3750383!4d76.235225!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBEGNhdGVyaW5nX3NlcnZpY2WqAUgQASoMIghjYXRlcmluZygAMh8QASIbZDlAd51LxBLDUZftdlxwvLJ-2mfA0jA65Y0WMhUQAiIRY2F0ZXJpbmcgbmlsYW1idXLgAQA!16s%2Fg%2F11hd55whvt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1931299, 76.002315",,Caterer,Event_Catering,4.9,43.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering nilambur,2025-08-10 02:59:54
Eden John Caterers & Events,"Nilambur - Karulai Rd, Karulai, Kerala 679330",099468 71299,"https://www.google.com/maps/place/Eden+John+Caterers+%26+Events/@11.1931299,76.002315,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba625684a45b913:0xb33b55b6b7d2a6ff!8m2!3d11.2892752!4d76.2725136!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBDWV2ZW50X3BsYW5uZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXRjRmt0YWkxM1JSQUKqAV4KCS9tLzAyeW43NgoJL20vMDQxd3hzEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q5QHedS8QSw1GX7XZccLyyftpnwNIwOuWNFjIVEAIiEWNhdGVyaW5nIG5pbGFtYnVy4AEA-gEECAAQNQ!16s%2Fg%2F11f5tbmcv5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1931299, 76.002315",,Event planner,Event_Catering,4.6,17.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering nilambur,2025-08-10 02:59:59
Star Events Catering Decoration,"P.O, Manimooly,Edakkara Manimooly, Nilambur, Kerala 679333",094474 78045,"https://www.google.com/maps/place/Star+Events+Catering+Decoration/@11.1931299,76.002315,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba6226fd081dd49:0xd0286ac5d9b87dbe!8m2!3d11.3723205!4d76.3310496!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBEGNhdGVyaW5nX3NlcnZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjFaMlI2VjJSM0VBRaoBSBABKgwiCGNhdGVyaW5nKAAyHxABIhtkOUB3nUvEEsNRl-12XHC8sn7aZ8DSMDrljRYyFRACIhFjYXRlcmluZyBuaWxhbWJ1cuABAPoBBAgAEBU!16s%2Fg%2F11b7dt2cz2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1931299, 76.002315",m.facebook.com,Caterer,Event_Catering,4.1,19.0,₹1–200,Opens 2pm,⋅ Opens 2pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering nilambur,2025-08-10 03:00:04
NILAMBUR FOOD,"Bungalow Road, Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/NILAMBUR+FOOD/@11.1931299,76.002315,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba63b288a1befb9:0xe72971d175e5e988!8m2!3d11.2884207!4d76.2372567!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBDWZvb2RfcHJvZHVjZXKqAUgQASoMIghjYXRlcmluZygAMh8QASIbZDlAd51LxBLDUZftdlxwvLJ-2mfA0jA65Y0WMhUQAiIRY2F0ZXJpbmcgbmlsYW1idXLgAQA!16s%2Fg%2F11n376mw4g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1931299, 76.002315",nilamburfood.blogspot.com,Food producer,Event_Catering,4.8,9.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering nilambur,2025-08-10 03:00:08
DIL Catering & Events,"Nilambur - Malappuram Rd, Kozhikkattu Kunnu, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/DIL+Catering+%26+Events/@11.1263808,75.829451,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba6374111cbc845:0x4ded43e2b4a71e88!8m2!3d11.1263808!4d76.1178421!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU5CTVRsMllqSkJSUkFCqgFIEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q5QHedS8QSw1GX7XZccLyyftpnwNIwOuWNFjIVEAIiEWNhdGVyaW5nIG5pbGFtYnVy4AEA-gEECAAQLA!16s%2Fg%2F11x26pmk2f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1263808, 75.829451",,Catering food and drink supplier,Event_Catering,5.0,5.0,₹1–200,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering nilambur,2025-08-10 03:00:13
NAYANA Restaurant,"RS Road, Opposite, Chaliyar Hospital Rd, Nilambur, Kerala 679330",080756 59879,"https://www.google.com/maps/place/NAYANA+Restaurant/@11.1263808,75.829451,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba63bf87530ca63:0xc7c6d663604e75a3!8m2!3d11.2806909!4d76.2490999!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBFXZlZ2V0YXJpYW5fcmVzdGF1cmFudKoBSBABKgwiCGNhdGVyaW5nKAAyHxABIhtkOUB3nUvEEsNRl-12XHC8sn7aZ8DSMDrljRYyFRACIhFjYXRlcmluZyBuaWxhbWJ1cuABAA!16s%2Fg%2F11s8w_jrqc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.1263808, 75.829451",Claim this business,Vegetarian restaurant,Event_Catering,4.3,42.0,₹1–200,Opens 6am,⋅ Opens 6am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,catering nilambur,2025-08-10 03:00:18
Tasto Group - Malabar (Catering & Events),"Ooty - Calicut road, Chungathara, Kerala 679334",096459 14605,"https://www.google.com/maps/place/Tasto+Group+-+Malabar+(Catering+%26+Events)/@11.334384,75.9871836,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba623ad235fd377:0xc81d0930d1db37e0!8m2!3d11.334384!4d76.2755747!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5vTmkxaFpHWlJFQUWqAUgQASoMIghjYXRlcmluZygAMh8QASIbZDlAd51LxBLDUZftdlxwvLJ-2mfA0jA65Y0WMhUQAiIRY2F0ZXJpbmcgbmlsYW1idXLgAQD6AQQIABAz!16s%2Fg%2F11jpkrmxxm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.334384, 75.9871836",,Catering food and drink supplier,Event_Catering,5.0,4.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering nilambur,2025-08-10 03:00:23
FOOD PARK RESTAURANT,"Hotel Park Residency , Food park restaurant, V.K. Rd, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/FOOD+PARK+RESTAURANT/@11.334384,75.9871836,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba63b5df733a62b:0x1c7a50efc83c2f46!8m2!3d11.2760547!4d76.2270652!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBCnJlc3RhdXJhbnSqAUgQASoMIghjYXRlcmluZygAMh8QASIbZDlAd51LxBLDUZftdlxwvLJ-2mfA0jA65Y0WMhUQAiIRY2F0ZXJpbmcgbmlsYW1idXLgAQA!16s%2Fg%2F11fj6wc3v2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.334384, 75.9871836",parkresidencynilambur.com,Restaurant,Event_Catering,3.8,16.0,₹1–200,Opens 7:30am,⋅ Opens 7:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,catering nilambur,2025-08-10 03:00:27
Paralil Catering Service,"469V+6GW, Kodasseri, Chembrasseri, Kerala 676521",094474 13066,"https://www.google.com/maps/place/Paralil+Catering+Service/@11.334384,75.9871836,11z/data=!4m10!1m2!2m1!1scatering+nilambur!3m6!1s0x3ba6318ba8a2d33d:0x50ec18920e4c7c38!8m2!3d11.1181083!4d76.2438218!15sChFjYXRlcmluZyBuaWxhbWJ1cloTIhFjYXRlcmluZyBuaWxhbWJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQYmw5eGVVcDNFQUWqAUgQASoMIghjYXRlcmluZygAMh8QASIbZDlAd51LxBLDUZftdlxwvLJ-2mfA0jA65Y0WMhUQAiIRY2F0ZXJpbmcgbmlsYW1idXLgAQD6AQQIABAi!16s%2Fg%2F11fx9kv7bz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+nilambur,"11.334384, 75.9871836",wordpress.com,Catering food and drink supplier,Event_Catering,4.3,11.0,₹1–200,Opens 10am,⋅ Opens 10am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering nilambur,2025-08-10 03:00:32
