name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Choice Catering Service,"X6G9+83J, Perinthalmanna, Kerala 679322",080866 16000,"https://www.google.com/maps/place/Choice+Catering+Service/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cc569933b8b7:0x914d5e1b79197f19!8m2!3d10.9758254!4d76.2176541!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEWZvb2RfbWFudWZhY3R1cmVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJKTTJKTVRVNTNFQUWqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQD6AQQIABAZ!16s%2Fg%2F1hm27fjcv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",Claim this business,Food manufacturer,Event_Catering,3.4,59.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:55:17
Frypan Kitchen - Perinthalmanna,"Muttungal, Padippura, Perinthalmanna, Kerala 679322",099471 45444,"https://www.google.com/maps/place/Frypan+Kitchen+-+Perinthalmanna/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd36f7ec858d:0x2e7c679c0f6dcc90!8m2!3d10.9841681!4d76.2175963!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEGNhdGVyaW5nX3NlcnZpY2WqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11kjcrqc5v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",Services,Caterer,Event_Catering,5.0,25.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:55:22
Madeena Catering And EventManagement Perintalmanna,"opposite Panchayath office, Thelakkad, Kerala 679325",094951 63651,"https://www.google.com/maps/place/Madeena+Catering+And+EventManagement+Perintalmanna/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7d34e070e6c8f:0x4fa4e68325f9a167!8m2!3d11.0190356!4d76.2792989!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEGNhdGVyaW5nX3NlcnZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUldhelJNTjI1blJSQUKqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQD6AQQIABAP!16s%2Fg%2F11fhvkdpx6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",,Caterer,Event_Catering,4.9,16.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:55:26
Reema's Kitchen & Events,"Reema's Kitchen, Pattikkad, near Pattikkad School, Perinthalmanna, Kerala 679325",096057 73345,"https://www.google.com/maps/place/Reema's+Kitchen+%26+Events/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd305c2f33af:0x26d1aa317bd08a9c!8m2!3d11.0164165!4d76.2388207!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBGGV2ZW50X21hbmFnZW1lbnRfY29tcGFueZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMmRYSnVURjlSUlJBQqoBZAoJL20vMDJ5bjc2CgkvbS8wNGd2MjMQASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQD6AQQIABAe!16s%2Fg%2F11gfk0mdcq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",reemasevents.com,Event management company,Event_Catering,4.4,28.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:55:31
moulana catering,"moulana canteen, ooty road, near moulana hospital, Perinthalmanna, Kerala 679322",075598 80003,"https://www.google.com/maps/place/moulana+catering/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cdaaba2ead17:0xffc700689645e901!8m2!3d10.979816!4d76.225617!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBDndlZGRpbmdfYnVmZmV0qgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11g88b193g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",Claim this business,Wedding buffet,Event_Catering,3.0,17.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:55:36
SR Catering,"Perinthalmanna, Cherukara, Kerala 679340",099615 07750,"https://www.google.com/maps/place/SR+Catering/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cfd424d36d47:0x26d46393db76fae7!8m2!3d10.9366573!4d76.2310415!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEGNhdGVyaW5nX3NlcnZpY2WqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11vdz7ywxw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",,Caterer,Event_Catering,5.0,1.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:55:41
ROYAL CHOICE CATERING & EVENTS,"Calicut road, Shanti Nagar, Perinthalmanna, Kerala 679322",080866 26000,"https://www.google.com/maps/place/ROYAL+CHOICE+CATERING+%26+EVENTS/@11.0085485,76.129149,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd10b3e11481:0x7226d7b9460e4b15!8m2!3d10.9754252!4d76.2251431!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11ydtlhvvn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0085485, 76.129149",royalchoicecatering.com,Catering food and drink supplier,Event_Catering,3.4,,₹1–200,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,,Not Available,,,catering perinthalmanna,2025-08-10 02:55:45
Dezziere Caters,"DEZZIERE CATERS PERINTHALMANNA, CATERING SERVICES IN PERINTHALMANNA, angadippuram, Pariyapuram, Perinthalmanna, Kerala 679321",,"https://www.google.com/maps/place/Dezziere+Caters/@10.9575144,76.0484167,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cdcebe8487a9:0x49ddd035fdfac405!8m2!3d10.9575144!4d76.1926123!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11vkh1dql8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9575144, 76.0484167",,Catering food and drink supplier,Event_Catering,5.0,3.0,₹1–200,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:55:50
Event Stories,"National Highway 966, Dubaipadi, Ponniakurussi, Perintalmanna, Kerala 679322, Opposite Shifa Convention Center, Perinthalmanna, Kerala 679322",095678 92087,"https://www.google.com/maps/place/Event+Stories/@10.9575144,76.0484167,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba633c809f16a1f:0x2bb9886ddd63e6ed!8m2!3d10.9790956!4d76.2464233!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBGGV2ZW50X21hbmFnZW1lbnRfY29tcGFueaoBZAoJL20vMDJ5bjc2CgkvbS8wNGd2MjMQASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11ny4fb5sk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9575144, 76.0484167",,Event management company,Event_Catering,4.9,113.0,₹1–200,Closes 6am,⋅ Closes 6am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:55:55
HAMDHI RESTAURANT AND CATERING,"Kappumugam, W.P, Thazhekode, Perinthalmanna, Kerala 679322",098477 88662,"https://www.google.com/maps/place/HAMDHI+RESTAURANT+AND+CATERING/@10.9638814,76.142413,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7d3f5d1eaf08b:0x66499f75ba585ce4!8m2!3d10.9638814!4d76.2866086!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBCnJlc3RhdXJhbnSqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rnf36tmj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9638814, 76.142413",,Restaurant,Event_Catering,4.3,39.0,₹1–200,Opens 7am,⋅ Opens 7am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:56:00
Red Loopz Events & Caters,"Thaneerpanthal, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Red+Loopz+Events+%26+Caters/@10.9638814,76.142413,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cde57f449a1f:0xa407621a263a00e2!8m2!3d10.961364!4d76.2320623!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBGGV2ZW50X21hbmFnZW1lbnRfY29tcGFueaoBZAoJL20vMDJ5bjc2CgkvbS8wNGd2MjMQASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11np4q4rgw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9638814, 76.142413",,Event management company,Event_Catering,5.0,11.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:05
KIMS AL SHIFA RESTAURANT Run by Ruchi catering services,"X6MF+WC5, Al Shifa Hospital Rd, Valiyangadi, Angadipuram, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/KIMS+AL+SHIFA+RESTAURANT+Run+by+Ruchi+catering+services/@10.9638814,76.142413,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd5f82db7705:0x1c920e49b0f3450f!8m2!3d10.9847508!4d76.2236156!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBCnJlc3RhdXJhbnSqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11k6q87x4y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9638814, 76.142413",Claim this business,Restaurant,Event_Catering,2.3,11.0,₹1–200,Opens 6am,⋅ Opens 6am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:09
Chillis Catering Service,"Bus Stop, Anakkayam Checkpost, Manjeri - Perinthalmanna Rd, SH24, Kerala 676509",070344 31399,"https://www.google.com/maps/place/Chillis+Catering+Service/@11.0804619,75.9810205,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba6350a41c8ee8f:0x80d059fa962dbc23!8m2!3d11.0804619!4d76.1252161!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11m_vy6y86?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0804619, 75.9810205",Claim this business,Catering food and drink supplier,Event_Catering,4.6,16.0,₹1–200,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:56:14
Bellizzia Event Management PVT.LTD.,"Vettathur Rd, Perinthalmanna, Vettathur, Kerala 679326",,"https://www.google.com/maps/place/Bellizzia+Event+Management+PVT.LTD./@11.0135863,76.1536907,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7d3c04334fcf9:0x3d11965a80bdab09!8m2!3d11.0135863!4d76.2978863!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBGGV2ZW50X21hbmFnZW1lbnRfY29tcGFueaoBZAoJL20vMDJ5bjc2CgkvbS8wNGd2MjMQASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11x613lhq8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"11.0135863, 76.1536907",Claim this business,Event management company,Event_Catering,5.0,86.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,catering perinthalmanna,2025-08-10 02:56:19
mojo catering,"kunnasseri (H, Puthanangadi (P.O, Perinthalmanna, Kerala 679321",,"https://www.google.com/maps/place/mojo+catering/@10.9760357,76.0812475,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd2e803dd32b:0x967864e5f4f43d1a!8m2!3d10.9760357!4d76.2254431!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11x8swdsw_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9760357, 76.0812475",,Catering food and drink supplier,Event_Catering,3.4,,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:24
Hyra Events And Caters,"VALIYAVEETTILPADi, Kottakkal - Perinthalmanna Rd, Perinthalmanna, Angadipuram, Kerala 679321",062825 28082,"https://www.google.com/maps/place/Hyra+Events+And+Caters/@10.9760357,76.0812475,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd004ad14ab5:0x9011dcf32c894995!8m2!3d10.9763896!4d76.1842593!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYVoZIhdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBCmF1ZGl0b3JpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjBkVnBmTWpGM1JSQUKqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQD6AQQIEBAU!16s%2Fg%2F11vpzhyt8k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9760357, 76.0812475",,Auditorium,Event_Catering,4.8,6.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:28
Green RICE Catering and Events,"Green Rice Catering, near Thayyil Guppy Farm, Kakkoth, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Green+RICE+Catering+and+Events/@10.9760357,76.0812475,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd04dd000001:0x2799e4c8cb118554!8m2!3d10.9909941!4d76.2328846!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEGNhdGVyaW5nX3NlcnZpY2WqAU4QASoMIghjYXRlcmluZygAMh8QASIbZDWLOxlWKHZc8f6pJKJd2dqPWpqz9RitBxaPMhsQAiIXY2F0ZXJpbmcgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11yh20tdtt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9760357, 76.0812475",Claim this business,Caterer,Event_Catering,3.4,,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:33
Lakshmi catering service,"Chanthully Paadam, Angadipuram, Kerala 679321",099469 65556,"https://www.google.com/maps/place/Lakshmi+catering+service/@10.9760357,76.0812475,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cc5a55555555:0xd5ecb738020eca35!8m2!3d10.9775183!4d76.2015163!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11dfgz0h5k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9760357, 76.0812475",,Catering food and drink supplier,Event_Catering,4.7,3.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:38
ROYAL CHOICE CATERING KITCHEN,"X678+8RQ, Chathalloor, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/ROYAL+CHOICE+CATERING+KITCHEN/@10.9760357,76.0812475,12z/data=!4m10!1m2!2m1!1scatering+perinthalmanna!3m6!1s0x3ba7cd001a71e953:0x5569b83b46290edd!8m2!3d10.9629483!4d76.2165317!15sChdjYXRlcmluZyBwZXJpbnRoYWxtYW5uYZIBEWZvb2RfbWFudWZhY3R1cmVyqgFOEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q1izsZVih2XPH-qSSiXdnaj1qas_UYrQcWjzIbEAIiF2NhdGVyaW5nIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11x5yjgl5z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+perinthalmanna,"10.9760357, 76.0812475",,Food manufacturer,Event_Catering,3.4,,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,catering perinthalmanna,2025-08-10 02:56:43
