name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Bismi Delight Caterers & Events,"QWJG+G74, Chana Rd, opposite KKB vegetables, Keezhillam, Ponnani, Kerala 679577",095624 00700,"https://www.google.com/maps/place/Bismi+Delight+Caterers+%26+Events/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7bb08da82e923:0x4cbb7094f2985b0a!8m2!3d10.7812444!4d75.9256754!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARBjYXRlcmluZ19zZXJ2aWNlqgFHEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-hTwDJb33vUW46OUU0OSWsFWmTGv5ZmPUjjIUEAIiEGNhdGVyaW5nIHBvbm5hbmngAQA!16s%2Fg%2F11g1r54n66?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",bismidelight.com,Caterer,Event_Catering,4.4,124.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering ponnani,2025-08-10 03:07:08
Rahath bhiriyani centre & catering service,"BP Road, Malappuram, Marakkadavu, Ponnani, Kerala 679583",098471 60023,"https://www.google.com/maps/place/Rahath+bhiriyani+centre+%26+catering+service/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7bbca52c7acf5:0x971a0c3511986479!8m2!3d10.7753841!4d75.9221389!15sChBjYXRlcmluZyBwb25uYW5pkgEZZm9vZF9tYW51ZmFjdHVyaW5nX3N1cHBseaoBRxABKgwiCGNhdGVyaW5nKAAyHxABIhtkPoU8AyW9971FuOjlFNDklrBVpkxr-WZj1I4yFBACIhBjYXRlcmluZyBwb25uYW5p4AEA!16s%2Fg%2F11s5jwyhgj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",,Food manufacturing supply,Event_Catering,5.0,5.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering ponnani,2025-08-10 03:07:13
ZamZam catering and events,"Malappuram, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/ZamZam+catering+and+events/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7bbe02fff09af:0x650a58c8b6008e1c!8m2!3d10.7724978!4d75.9237581!15sChBjYXRlcmluZyBwb25uYW5pkgEgY2F0ZXJpbmdfZm9vZF9hbmRfZHJpbmtfc3VwcGxpZXOqAUcQASoMIghjYXRlcmluZygAMh8QASIbZD6FPAMlvfe9Rbjo5RTQ5JawVaZMa_lmY9SOMhQQAiIQY2F0ZXJpbmcgcG9ubmFuaeABAA!16s%2Fg%2F11xnv67y80?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",,Catering food and drink supplier,Event_Catering,4.4,,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering ponnani,2025-08-10 03:07:18
Plaza catering | Best catering service in Kerala,"Palakkad - Ponnani Rd, Vaniyamkulam-I, Kerala 679523",098463 01234,"https://www.google.com/maps/place/Plaza+catering+%7C+Best+catering+service+in+Kerala/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7db6f95adf167:0xbb23d261e202319b!8m2!3d10.7760419!4d76.3039842!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARBjYXRlcmluZ19zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzT0dOeVpVeFJFQUWqAUcQASoMIghjYXRlcmluZygAMh8QASIbZD6FPAMlvfe9Rbjo5RTQ5JawVaZMa_lmY9SOMhQQAiIQY2F0ZXJpbmcgcG9ubmFuaeABAPoBBAh6EEI!16s%2Fg%2F11xbynzcl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",plazacatering.co.in,Caterer,Event_Catering,4.9,2281.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering ponnani,2025-08-10 03:07:23
KV's Event Planning And Management,"kk juncion, Ponnani, Kerala 679577",099957 44530,"https://www.google.com/maps/place/KV's+Event+Planning+And+Management/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7bbab02084def:0xac691e5c6a67791e!8m2!3d10.7854536!4d75.9485192!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAV0KCS9tLzAyeW43NgoJL20vMDhxa3IzEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-hTwDJb33vUW46OUU0OSWsFWmTGv5ZmPUjjIUEAIiEGNhdGVyaW5nIHBvbm5hbmngAQA!16s%2Fg%2F11dzdsz0pp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",facebook.com,Event management company,Event_Catering,4.9,50.0,₹1–200,Opens 10am,⋅ Opens 10am,No,No,No,No,No,No,Unknown,Yes,None Found,,,747.0,Not Available,,,catering ponnani,2025-08-10 03:07:27
Proyal Events & Caterers,"nadakkav kaladi po, Thrissur - Kunnamkulam Rd, Edappal, Kerala 679582",089438 88916,"https://www.google.com/maps/place/Proyal+Events+%26+Caterers/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7b9c2697436d9:0xdcc43d41409debe1!8m2!3d10.8233354!4d76.0173027!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARBjYXRlcmluZ19zZXJ2aWNlqgFHEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-hTwDJb33vUW46OUU0OSWsFWmTGv5ZmPUjjIUEAIiEGNhdGVyaW5nIHBvbm5hbmngAQA!16s%2Fg%2F11clv4z34c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",,Caterer,Event_Catering,4.6,130.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering ponnani,2025-08-10 03:07:32
Catering Service | National Caterers | Event management,"Kuttippala, near BNSS School, Edappal, Vattamkulam, Kerala 679578",098465 67567,"https://www.google.com/maps/place/Catering+Service+%7C+National+Caterers+%7C+Event+management/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7b91c0623e271:0x8dffbe99aa94e412!8m2!3d10.7872176!4d76.0368207!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBJENoZERTVWhOTUc5blMwVkpRMEZuVFVSdmNuQmxXbkIzUlJBQqoBRxABKgwiCGNhdGVyaW5nKAAyHxABIhtkPoU8AyW9971FuOjlFNDklrBVpkxr-WZj1I4yFBACIhBjYXRlcmluZyBwb25uYW5p4AEA-gEFCIICEDk!16s%2Fg%2F11h89fl_rg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",nationalcaters.in,Catering food and drink supplier,Event_Catering,4.9,111.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering ponnani,2025-08-10 03:07:37
CELARA EVENTS,celaraevents.com,,"https://www.google.com/maps/place/CELARA+EVENTS/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0xa037a3a69fb4ea11:0x606204efea147049!8m2!3d10.5442763!4d76.1383668!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAV0KCS9tLzAyeW43NgoJL20vMDhxa3IzEAEqDCIIY2F0ZXJpbmcoADIfEAEiG2Q-hTwDJb33vUW46OUU0OSWsFWmTGv5ZmPUjjIUEAIiEGNhdGVyaW5nIHBvbm5hbmngAQA!16s%2Fg%2F11xlggdk28?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",celaraevents.com,Event management company,Event_Catering,5.0,14.0,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering ponnani,2025-08-10 03:07:42
KAKSONS CULINARY CREATIONS- TIRUR (Events & Catering),"Ground Floor, K.M.Mall, Ring Road, Tirur, Kerala 676101",,"https://www.google.com/maps/place/KAKSONS+CULINARY+CREATIONS-+TIRUR+(Events+%26+Catering)/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7b1417ccac307:0xbe13dc83daba5223!8m2!3d10.9200318!4d75.927676!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSARBjYXRlcmluZ19zZXJ2aWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0V2IwOUhaRlpYUkU1aFQwaFJlVmxWYUROalIyeHVWVVV4V2xOV1JSQUKqAUcQASoMIghjYXRlcmluZygAMh8QASIbZD6FPAMlvfe9Rbjo5RTQ5JawVaZMa_lmY9SOMhQQAiIQY2F0ZXJpbmcgcG9ubmFuaeABAPoBBQjCARBM!16s%2Fg%2F11yf4kgsg6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",kaksons.com,Caterer,Event_Catering,5.0,22.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering ponnani,2025-08-10 03:07:47
Royal Catering,"Manissery PO, Palakkad - Ponnani Rd, Kanniyampuram, Ottapalam, Kerala 679521",097474 03503,"https://www.google.com/maps/place/Royal+Catering/@10.7812444,71.3114176,7z/data=!4m10!1m2!2m1!1scatering+ponnani!3m6!1s0x3ba7dbf01521ac3f:0x383d9e29ee048934!8m2!3d10.7756047!4d76.3508687!15sChBjYXRlcmluZyBwb25uYW5pWhIiEGNhdGVyaW5nIHBvbm5hbmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMWFFMWZNR3QzUlJBQqoBRxABKgwiCGNhdGVyaW5nKAAyHxABIhtkPoU8AyW9971FuOjlFNDklrBVpkxr-WZj1I4yFBACIhBjYXRlcmluZyBwb25uYW5p4AEA-gEECBAQNA!16s%2Fg%2F11dz_x9c3d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+ponnani,"10.7812444, 71.3114176",Claim this business,Catering food and drink supplier,Event_Catering,3.6,63.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering ponnani,2025-08-10 03:07:51
