name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KAKSONS CULINARY CREATIONS- TIRUR (Events & Catering),"Ground Floor, K.M.Mall, Ring Road, Tirur, Kerala 676101",,"https://www.google.com/maps/place/KAKSONS+CULINARY+CREATIONS-+TIRUR+(Events+%26+Catering)/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b1417ccac307:0xbe13dc83daba5223!8m2!3d10.9200318!4d75.927676!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBEGNhdGVyaW5nX3NlcnZpY2WaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRXYjA5SFpGWlhSRTVoVDBoUmVWbFZhRE5qUjJ4dVZVVXhXbE5XUlJBQqoBRRABKgwiCGNhdGVyaW5nKAAyHxABIhubF8bqYmdftqokSATvZA1yyLE9DgL8RM4hxnMyEhACIg5jYXRlcmluZyB0aXJ1cuABAPoBBQjCARBM!16s%2Fg%2F11yf4kgsg6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",kaksons.com,Caterer,Event_Catering,5.0,22.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering tirur,2025-08-10 03:01:43
Kavitha Catering & Decorations,"Thekkumuri South Annara Rd, Police Line, Tirur, Kerala 676105",0494 242 3919,"https://www.google.com/maps/place/Kavitha+Catering+%26+Decorations/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b1bfd530608d:0x8835eb384d2ee40d!8m2!3d10.9007762!4d75.9259245!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBDXBhcnR5X3BsYW5uZXKqAVsKCS9tLzAyeW43NgoJL20vMDhzeXlzEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA!16s%2Fg%2F1tfwnd7h?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",kavithacatering.com,Party planner,Event_Catering,3.9,38.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering tirur,2025-08-10 03:01:48
Royal Catering,"Tanalur , Tirur, Tanalur, Kerala 676307",095673 53537,"https://www.google.com/maps/place/Royal+Catering/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b3740cf8f56b:0x5b1f0e7eeef7d217!8m2!3d10.9520105!4d75.9116738!15sCg5jYXRlcmluZyB0aXJ1cpIBEGNhdGVyaW5nX3NlcnZpY2WqAUUQASoMIghjYXRlcmluZygAMh8QASIbmxfG6mJnX7aqJEgE72QNcsixPQ4C_ETOIcZzMhIQAiIOY2F0ZXJpbmcgdGlydXLgAQA!16s%2Fg%2F11fk4shqxr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",,Caterer,Event_Catering,4.7,11.0,₹₹,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering tirur,2025-08-10 03:01:53
Friends Events Catering,"VWG4+MM9, Tirur, Kerala 676102",,"https://www.google.com/maps/place/Friends+Events+Catering/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b1245d6d3c8d:0xb8cfe2358b1a574c!8m2!3d10.8766599!4d75.9067391!15sCg5jYXRlcmluZyB0aXJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFFEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA!16s%2Fg%2F11v5wy8j6g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",Claim this business,Catering food and drink supplier,Event_Catering,5.0,11.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering tirur,2025-08-10 03:01:58
CK CATERING EVENT'S,"Tirur, Kerala 676103",081379 11096,"https://www.google.com/maps/place/CK+CATERING+EVENT'S/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b30ada3e9f8d:0x89bb2e1e4be47406!8m2!3d10.9404427!4d75.9326111!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFFEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA!16s%2Fg%2F11j8jzxvw7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",wa.me,Catering food and drink supplier,Event_Catering,4.8,12.0,₹₹,Opens 9am,Closed ⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering tirur,2025-08-10 03:02:03
ADITHYA catering kitchen,"CHIRAKKAL SREE BHAGAVATHI KSHETRAKKULAM (Temple's Pond), Chirakkal, Tirur - Kadalundi Rd, Tanur, Kerala 676302",094006 50650,"https://www.google.com/maps/place/ADITHYA+catering+kitchen/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7adc2d97772cb:0x27562dffb25da31f!8m2!3d10.991798!4d75.8755451!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU4zYTI4emF6RlJSUkFCqgFFEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA-gEECAAQHQ!16s%2Fg%2F11n0t94924?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",adithyacatering.in,Catering food and drink supplier,Event_Catering,4.9,11.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,catering tirur,2025-08-10 03:02:07
Taj Catering and Events,"Kottakkal – Vengara Rd, Parappur, Kerala 676503",099616 66674,"https://www.google.com/maps/place/Taj+Catering+and+Events/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b4abb4498393:0x83a03ef0700a93fd!8m2!3d11.0113117!4d75.9958558!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5ITTNKdE1qWlJSUkFCqgFFEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA-gEECHIQPw!16s%2Fg%2F1pp2vlv0_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",tajcatering.in,Catering food and drink supplier,Event_Catering,4.7,172.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,catering tirur,2025-08-10 03:02:12
BISMI CATERING SERVICE,"Iringavoor, Tirur, Kerala 676103",085938 98508,"https://www.google.com/maps/place/BISMI+CATERING+SERVICE/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b10c07dbf67b:0x1827d27ba11b0e19!8m2!3d10.9235353!4d75.9553633!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBIGNhdGVyaW5nX2Zvb2RfYW5kX2RyaW5rX3N1cHBsaWVzqgFFEAEqDCIIY2F0ZXJpbmcoADIfEAEiG5sXxupiZ1-2qiRIBO9kDXLIsT0OAvxEziHGczISEAIiDmNhdGVyaW5nIHRpcnVy4AEA!16s%2Fg%2F11l379rktr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",instagram.com,Catering food and drink supplier,Event_Catering,5.0,3.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Delivery
",delivery; dine-in,,1.0,Not Available,,,catering tirur,2025-08-10 03:02:17
JESMIS FOOD'S,"Park, Pachatiri Near, Noor Lake Road, Tirur, Kerala 676105",096331 01202,"https://www.google.com/maps/place/JESMIS+FOOD'S/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b181a5b3577f:0xf99cc4746937d2f6!8m2!3d10.9064284!4d75.9091534!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBCnJlc3RhdXJhbnSqAUUQASoMIghjYXRlcmluZygAMh8QASIbmxfG6mJnX7aqJEgE72QNcsixPQ4C_ETOIcZzMhIQAiIOY2F0ZXJpbmcgdGlydXLgAQA!16s%2Fg%2F11mw0h5_x7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",Menu,Restaurant,Event_Catering,4.6,47.0,₹₹,Opens 8am Mon,Closed ⋅ Opens 8am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,catering tirur,2025-08-10 03:02:22
Pandarees Restaurant & Catering,"Tirur - Edarikode Rd, Kottakkal, Edarikode, Kerala 676501",080891 69100,"https://www.google.com/maps/place/Pandarees+Restaurant+%26+Catering/@10.9200318,75.7834804,12z/data=!4m10!1m2!2m1!1scatering+tirur!3m6!1s0x3ba7b3d7d79164ad:0x3faa15ea5a04df36!8m2!3d10.994791!4d75.9799121!15sCg5jYXRlcmluZyB0aXJ1cloQIg5jYXRlcmluZyB0aXJ1cpIBEGNhdGVyaW5nX3NlcnZpY2WqAUUQASoMIghjYXRlcmluZygAMh8QASIbmxfG6mJnX7aqJEgE72QNcsixPQ4C_ETOIcZzMhIQAiIOY2F0ZXJpbmcgdGlydXLgAQA!16s%2Fg%2F11r9nm_vb_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",catering+tirur,"10.9200318, 75.7834804",dialndial.com,Caterer,Event_Catering,3.9,424.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,catering tirur,2025-08-10 03:02:27
