name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
ELEGANT CATERING MANAGEMENT✨,"Munduparamba, Malappuram, Kerala 676509",098951 42826,"https://www.google.com/maps/place/ELEGANT+CATERING+MANAGEMENT%E2%9C%A8/@11.0239379,75.917848,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba63590cd080beb:0xe4fff5c1f0edb9a0!8m2!3d11.0544929!4d76.0915587!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0xWjNaMlpXMUJSUkFCqgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQD6AQQIABAh!16s%2Fg%2F11g6ml089m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0239379, 75.917848",,Event management company,Event_Catering,4.4,48.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management malappuram,2025-08-10 03:17:52
MIRAXXO CATERERS EVENTS,"DownHill CherattukkuzhiRoad, near Dr.SivaramanClinic, Malappuram, Kerala 676519",098464 72882,"https://www.google.com/maps/place/MIRAXXO+CATERERS+EVENTS/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64b4be2adfa63:0x2c157ec78f60cda0!8m2!3d11.0490019!4d76.0761602!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW2SARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXoKCC9tLzA0X3R2CgkvbS8wOHcwOWsKCS9tLzA5em44MRABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBEdp7Op7pDpugt9HZedyReB-EuSH2m2hmgTIfEAIiG2V2ZW50IG1hbmFnZW1lbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11gmcckxq2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Event management company,Event_Catering,5.0,2.0,,Opens 10am Mon,⋅ Opens 10am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management malappuram,2025-08-10 03:17:57
Delta events,"Vengara, Pakkadapuraya, Kerala 676304",096337 75535,"https://www.google.com/maps/place/Delta+events/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64dac4214ed89:0x6a6b7fcc083403a6!8m2!3d11.0633407!4d75.9542636!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11h9bgpwzm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",deltaevents.in,Event management company,Event_Catering,4.8,699.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:02
Eventooz – Weddings • Events Management • Catering | Malappuram | Kerala,"Moodal, Kuttippuram, Kerala 679571",081398 20071,"https://www.google.com/maps/place/Eventooz+%E2%80%93+Weddings+%E2%80%A2+Events+Management+%E2%80%A2+Catering+%7C+Malappuram+%7C+Kerala/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba7b78ab9834b15:0x54522ca76b6b2e82!8m2!3d10.8695902!4d76.0458795!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11pb8yxgzc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",eventooz.in,Event management company,Event_Catering,5.0,88.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:06
Melano Event Malappuram,"Machingal, Down Hill, Malappuram, Kerala 676517",077363 95397,"https://www.google.com/maps/place/Melano+Event+Malappuram/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64b61140717db:0xa1a03ca30a57dabb!8m2!3d11.0610011!4d76.0824205!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW2SARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXoKCC9tLzA0X3R2CgkvbS8wOHcwOWsKCS9tLzA5em44MRABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBEdp7Op7pDpugt9HZedyReB-EuSH2m2hmgTIfEAIiG2V2ZW50IG1hbmFnZW1lbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11h_3ylgpk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Event management company,Event_Catering,4.5,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management malappuram,2025-08-10 03:18:11
LUEUR PARTY STORE & EVENTS,"Cherattu Kuzhy Rd, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/LUEUR+PARTY+STORE+%26+EVENTS/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64b49617157b3:0xb942cbdb0969338!8m2!3d11.0475709!4d76.0747038!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11w9t7dhmx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",instagram.com,Event management company,Event_Catering,5.0,10.0,,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:16
Aurafete Weddings & Events Stage Decors | Malappuram,"Down Hill, Malappuram, Kerala 676519",080893 73241,"https://www.google.com/maps/place/Aurafete+Weddings+%26+Events+Stage+Decors+%7C+Malappuram/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64b7ee213c731:0xd896a90722a6fbe1!8m2!3d11.0462287!4d76.0749547!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEPd2VkZGluZ19zZXJ2aWNlqgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11s5m4372n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Wedding service,Event_Catering,5.0,29.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:21
Proyal Events & Caterers,"nadakkav kaladi po, Thrissur - Kunnamkulam Rd, Edappal, Kerala 679582",089438 88916,"https://www.google.com/maps/place/Proyal+Events+%26+Caterers/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba7b9c2697436d9:0xdcc43d41409debe1!8m2!3d10.8233354!4d76.0173027!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEQY2F0ZXJpbmdfc2VydmljZaoBWhABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBEdp7Op7pDpugt9HZedyReB-EuSH2m2hmgTIfEAIiG2V2ZW50IG1hbmFnZW1lbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11clv4z34c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Caterer,Event_Catering,4.6,130.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:26
Exponic Events,"3rd Floor, City Point Mall, Calicut Rd, Karuvambram, Manjeri, Kerala 676121",099469 21999,"https://www.google.com/maps/place/Exponic+Events/@11.0490019,75.7877691,11z/data=!3m1!5s0x3ba6366deab1fd77:0xef69bd066df2f048!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba637d53c2d85fd:0x1ada23c0ffd22d68!8m2!3d11.1204723!4d76.1132986!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11j47pv4k1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Event management company,Event_Catering,5.0,40.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:30
SITHARA Event and Home Decor,"Ponmala, Kottakkal, Kerala 676528",080864 81441,"https://www.google.com/maps/place/SITHARA+Event+and+Home+Decor/@11.0490019,75.7877691,11z/data=!4m10!1m2!2m1!1sevent+management+malappuram!3m6!1s0x3ba64b4ed77b2729:0xb3fe945ca95a7071!8m2!3d11.0198561!4d76.0374886!15sChtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW1aHSIbZXZlbnQgbWFuYWdlbWVudCBtYWxhcHB1cmFtkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5PYzFsRWREUkJSUkFCqgF6CggvbS8wNF90dgoJL20vMDh3MDlrCgkvbS8wOXpuODEQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgRHaezqe6Q6boLfR2XnckXgfhLkh9ptoZoEyHxACIhtldmVudCBtYW5hZ2VtZW50IG1hbGFwcHVyYW3gAQD6AQQIABAf!16s%2Fg%2F11q9hwk_59?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+malappuram,"11.0490019, 75.7877691",,Event management company,Event_Catering,4.3,13.0,,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management malappuram,2025-08-10 03:18:35
