name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Exponic Events,"3rd Floor, City Point Mall, Calicut Rd, Karuvambram, Manjeri, Kerala 676121",099469 21999,"https://www.google.com/maps/place/Exponic+Events/@11.1204723,2.2851736,3z/data=!3m1!5s0x3ba6366deab1fd77:0xef69bd066df2f048!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba637d53c2d85fd:0x1ada23c0ffd22d68!8m2!3d11.1204723!4d76.1132986!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF3CggvbS8wNF90dgoJL20vMDhoYjh4CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgeB84jnKt1VD2dcV-seGc0KvXCKx0l82wY8yHBACIhhldmVudCBtYW5hZ2VtZW50IG1hbmplcmngAQA!16s%2Fg%2F11j47pv4k1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",,Event management company,Event_Catering,5.0,40.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management manjeri,2025-08-10 03:27:13
events manjeri,"Thurakkal, Manjeri, Kerala 676122",086066 36524,"https://www.google.com/maps/place/events+manjeri/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba6375205ef18af:0x2869cb52843e34b1!8m2!3d11.1208889!4d76.1096557!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU16ZWtsaFgwWlJFQUWqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAPoBBQigAxAt!16s%2Fg%2F11y8fykpfc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",Claim this business,Event management company,Event_Catering,5.0,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:18
IMC Events,"Thurakkal, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/IMC+Events/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba6366d3a29214d:0xf336e4a5fe7decba!8m2!3d11.1207722!4d76.1098373!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgETcGhvdG9ncmFwaHlfc2VydmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSFoxOTZURmhSRUFFqgF3CggvbS8wNF90dgoJL20vMDhoYjh4CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgeB84jnKt1VD2dcV-seGc0KvXCKx0l82wY8yHBACIhhldmVudCBtYW5hZ2VtZW50IG1hbmplcmngAQD6AQUIkgEQLQ!16s%2Fg%2F11c60mwg4y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",,Photography service,Event_Catering,4.5,43.0,,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,3.0,Not Available,,,event management manjeri,2025-08-10 03:27:23
Tip Top Events,"433X+23J, Alumkunnu, Mullampara Town, Pappinippara, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/Tip+Top+Events/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba635001edc8643:0x89e3154c04c71a66!8m2!3d11.1025841!4d76.0976253!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU5aT0ZremVteFJSUkFCqgF3CggvbS8wNF90dgoJL20vMDhoYjh4CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgeB84jnKt1VD2dcV-seGc0KvXCKx0l82wY8yHBACIhhldmVudCBtYW5hZ2VtZW50IG1hbmplcmngAQD6AQQIABAN!16s%2Fg%2F11wvf14193?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",Claim this business,Event management company,Event_Catering,5.0,2.0,,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:28
evans event,098467 44945,098467 44945,"https://www.google.com/maps/place/evans+event/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba635240162f23f:0x7897c7b165f28a92!8m2!3d11.0489558!4d76.1190654!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAA!16s%2Fg%2F11j20dh3tr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",,Event management company,Event_Catering,4.9,17.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:32
Amazevents,"C H Bypass, jaseela jn:, Kuthukal, Manjeri, Kerala 676123",070344 07641,"https://www.google.com/maps/place/Amazevents/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba6370015b6fa1b:0x2442e89296198cf2!8m2!3d11.1241302!4d76.1190217!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF6TmpsVFRtWkJFQUWqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAPoBBAgAECE!16s%2Fg%2F11wn736p35?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",sites.google.com,Event management company,Event_Catering,4.3,3.0,,Opens 10am,⋅ Opens 10am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:37
LOFI DECORS,"Peleppuram Rd, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/LOFI+DECORS/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba631f06fef3d6d:0xafb0e9d35a6a1f5c!8m2!3d11.1538075!4d76.1848092!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJmTFZCUGVXRlJFQUWqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAPoBBQjUARBJ!16s%2Fg%2F11sct0mpnf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",,Event management company,Event_Catering,4.8,23.0,,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management manjeri,2025-08-10 03:27:42
AFSAL CATERING AND BANQUET HALL,"near GAS GODOWN, near Ganga Gas godown, Mullampara Town, Manjeri, Kerala 676121",099463 95402,"https://www.google.com/maps/place/AFSAL+CATERING+AND+BANQUET+HALL/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba6356cfb75510b:0xf15f0b11210dcc64!8m2!3d11.0990886!4d76.106501!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwV2NtUXdhRXBYYlU1cFkwUkdUbU15TURCaFJVcHVWRVZKTlZsVlJSQUKqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAPoBBQjHARA8!16s%2Fg%2F11fqbcx43q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",websitebuilder102.website.com,Event management company,Event_Catering,4.4,45.0,,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management manjeri,2025-08-10 03:27:47
ELEGANT CATERING MANAGEMENT✨,"Munduparamba, Malappuram, Kerala 676509",098951 42826,"https://www.google.com/maps/place/ELEGANT+CATERING+MANAGEMENT%E2%9C%A8/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba63590cd080beb:0xe4fff5c1f0edb9a0!8m2!3d11.0544929!4d76.0915587!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmlaGiIYZXZlbnQgbWFuYWdlbWVudCBtYW5qZXJpkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0xWjNaMlpXMUJSUkFCqgF3CggvbS8wNF90dgoJL20vMDhoYjh4CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgeB84jnKt1VD2dcV-seGc0KvXCKx0l82wY8yHBACIhhldmVudCBtYW5hZ2VtZW50IG1hbmplcmngAQD6AQQIABAh!16s%2Fg%2F11g6ml089m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",,Event management company,Event_Catering,4.4,48.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:51
Shas Events,"Thurakkal, Manjeri, Kerala 676122",099956 06138,"https://www.google.com/maps/place/Shas+Events/@11.1204723,2.2851736,3z/data=!4m10!1m2!2m1!1sevent+management+manjeri!3m6!1s0x3ba637f09b9cc38d:0xcb55d8f6cd431469!8m2!3d11.1110791!4d76.1037804!15sChhldmVudCBtYW5hZ2VtZW50IG1hbmplcmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXcKCC9tLzA0X3R2CgkvbS8wOGhiOHgKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB4HziOcq3VUPZ1xX6x4ZzQq9cIrHSXzbBjzIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgbWFuamVyaeABAA!16s%2Fg%2F11x2snzh71?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+manjeri,"11.1204723, 2.2851736",instagram.com,Event management company,Event_Catering,5.0,,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management manjeri,2025-08-10 03:27:56
