name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
DREAM MAKERS EVENTS & ENTERTAINMENT,"76HQ+PWM, Chokkad NILAMBUR, Chokkad, Kerala 679332",094476 81968,"https://www.google.com/maps/place/DREAM+MAKERS+EVENTS+%26+ENTERTAINMENT/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba625e555555555:0xe1103a3789eb93e2!8m2!3d11.2793368!4d76.2398074!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVykgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF4CgkvbS8wNDF3eHMKCC9tLzA0X3R2CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgYr-ovf78EyPFIuW50YHvU5ZcqLX3VU21coyHRACIhlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11g6x8s64s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",Claim this business,Event management company,Event_Catering,5.0,2.0,,Opens 7am,⋅ Opens 7am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management nilambur,2025-08-10 03:34:00
Oniero Events,"1st Floor, Alza Arcade, opposite MyG Mobiles, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Oniero+Events/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba63dfef9396275:0xca908f4bae84a095!8m2!3d11.3009076!4d76.2131474!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTndNRTF0WVc1QlJSQUKqAXgKCS9tLzA0MXd4cwoIL20vMDRfdHYKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBiv6i9_vwTI8Ui5bnRge9TllyotfdVTbVyjIdEAIiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXLgAQD6AQQIABAY!16s%2Fg%2F11qh58yb7t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",,Event management company,Event_Catering,5.0,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management nilambur,2025-08-10 03:34:04
Dream makers events,"Moozhickachalil building, Kallamoola Bridge, Kallamoola, P.O, Mampattumoola, Chokkad, Kerala 679332",094476 81968,"https://www.google.com/maps/place/Dream+makers+events/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba6258d2bc1ce55:0x343c4bf179f73311!8m2!3d11.2164056!4d76.3336476!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjJkMWxZVVhaUlJSQUKqAXgKCS9tLzA0MXd4cwoIL20vMDRfdHYKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBiv6i9_vwTI8Ui5bnRge9TllyotfdVTbVyjIdEAIiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXLgAQD6AQQIABBK!16s%2Fg%2F11q4rx2mqq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",,Event management company,Event_Catering,5.0,22.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management nilambur,2025-08-10 03:34:09
Mangalya Decorations,"76CH+WPM, Nilambur, Kerala 679329",094462 51268,"https://www.google.com/maps/place/Mangalya+Decorations/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba63b746bc88b25:0x5d2351af460bcccb!8m2!3d11.2723271!4d76.2293032!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlYemhNVjBWUkVBRaoBeAoJL20vMDQxd3hzCggvbS8wNF90dgoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbWYGK_qL3-_BMjxSLludGB71OWXKi191VNtXKMh0QAiIZZXZlbnQgbWFuYWdlbWVudCBuaWxhbWJ1cuABAPoBBAgAEDU!16s%2Fg%2F11gdkx0fcd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",Claim this business,Event management company,Event_Catering,5.0,9.0,,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management nilambur,2025-08-10 03:34:14
Elayne Giftery and Events,"Thazhe, Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Elayne+Giftery+and+Events/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba63b1b7a734eed:0xf238622e65928b55!8m2!3d11.2856999!4d76.2383694!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSAQ1ldmVudF9wbGFubmVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDZWs5eVVrWkJFQUWqAXgKCS9tLzA0MXd4cwoIL20vMDRfdHYKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBiv6i9_vwTI8Ui5bnRge9TllyotfdVTbVyjIdEAIiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXLgAQD6AQQIABBC!16s%2Fg%2F11k50h_gmk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",wa.me,Event planner,Event_Catering,5.0,4.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management nilambur,2025-08-10 03:34:19
Star Events Catering Decoration,"P.O, Manimooly,Edakkara Manimooly, Nilambur, Kerala 679333",094474 78045,"https://www.google.com/maps/place/Star+Events+Catering+Decoration/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba6226fd081dd49:0xd0286ac5d9b87dbe!8m2!3d11.3723205!4d76.3310496!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARBjYXRlcmluZ19zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIxWjJSNlYyUjNFQUWqAVgQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgYr-ovf78EyPFIuW50YHvU5ZcqLX3VU21coyHRACIhlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVy4AEA-gEECAAQFQ!16s%2Fg%2F11b7dt2cz2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",m.facebook.com,Caterer,Event_Catering,4.1,19.0,,Opens 2pm,⋅ Opens 2pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management nilambur,2025-08-10 03:34:23
AdBee Creatives,"1st floor. Alza arcade, near village office, Nilambur, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/AdBee+Creatives/@11.1207759,75.7269371,10z/data=!3m1!5s0x3ba63b77b1d3946d:0xddd94470defe85ca!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba63b7a09534cc9:0x25fb6c33694dac6a!8m2!3d11.2772194!4d76.2267854!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARJhZHZlcnRpc2luZ19hZ2VuY3mqAXgKCS9tLzA0MXd4cwoIL20vMDRfdHYKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBiv6i9_vwTI8Ui5bnRge9TllyotfdVTbVyjIdEAIiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXLgAQA!16s%2Fg%2F11df0m93g4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",adbee.co.in,Advertising agency,Event_Catering,4.3,13.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management nilambur,2025-08-10 03:34:28
E4 EVENT MANAGEMENT & CATERING SERVICE,"Maithra, po, Areekode, Kerala 673639",097461 31407,"https://www.google.com/maps/place/E4+EVENT+MANAGEMENT+%26+CATERING+SERVICE/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba647127b3baeed:0x59bf1f12cd6f85be!8m2!3d11.2263489!4d76.0624812!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSAQ93ZWRkaW5nX3BsYW5uZXKqAXgKCS9tLzA0MXd4cwoIL20vMDRfdHYKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBiv6i9_vwTI8Ui5bnRge9TllyotfdVTbVyjIdEAIiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXLgAQA!16s%2Fg%2F11smc42y5d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",instagram.com,Wedding planner,Event_Catering,4.9,31.0,,Closes 12am,⋅ Closes 12am,No,No,No,No,No,No,Unknown,Yes,None Found,,,4.0,Not Available,,,event management nilambur,2025-08-10 03:34:33
Magic Kitchen,"Fist floor, ABR Arcade, LIC ROad, Nilambur, Kerala 679329",082817 76622,"https://www.google.com/maps/place/Magic+Kitchen/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba63b9e4db80e27:0xf1ff86c0f625f370!8m2!3d11.2722321!4d76.2211258!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVykgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF4CgkvbS8wNDF3eHMKCC9tLzA0X3R2CgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgYr-ovf78EyPFIuW50YHvU5ZcqLX3VU21coyHRACIhlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11x5qtycvq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",magickitchenevents.in,Event management company,Event_Catering,5.0,,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management nilambur,2025-08-10 03:34:38
Fiesta Events & Catering,"Surya Nagar, Areekode, Kerala 673639",089431 08000,"https://www.google.com/maps/place/Fiesta+Events+%26+Catering/@11.1207759,75.7269371,10z/data=!4m10!1m2!2m1!1sevent+management+nilambur!3m6!1s0x3ba647a9846a4a23:0x176eee6195ffc75b!8m2!3d11.2353097!4d76.0455186!15sChlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVyWhsiGWV2ZW50IG1hbmFnZW1lbnQgbmlsYW1idXKSARBjYXRlcmluZ19zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJHZUhFM2QwbFJFQUWqAVgQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgYr-ovf78EyPFIuW50YHvU5ZcqLX3VU21coyHRACIhlldmVudCBtYW5hZ2VtZW50IG5pbGFtYnVy4AEA-gEECAAQOw!16s%2Fg%2F11df7jf03k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+nilambur,"11.1207759, 75.7269371",fiestacateringcompany.com,Caterer,Event_Catering,4.8,180.0,,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management nilambur,2025-08-10 03:34:42
