name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Event Stories,"National Highway 966, Dubaipadi, Ponniakurussi, Perintalmanna, Kerala 679322, Opposite Shifa Convention Center, Perinthalmanna, Kerala 679322",095678 92087,"https://www.google.com/maps/place/Event+Stories/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba633c809f16a1f:0x2bb9886ddd63e6ed!8m2!3d10.9790956!4d76.2464233!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11ny4fb5sk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",,Event management company,Event_Catering,4.9,113.0,,Closes 6am,⋅ Closes 6am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management perinthalmanna,2025-08-10 03:30:13
WHITE ROSE EVENTS MANKADA,"CT ARCADE, Mankada, Perinthalmanna, Kerala 679324",089437 15555,"https://www.google.com/maps/place/WHITE+ROSE+EVENTS+MANKADA/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cb3fb5d9cdbf:0x51890999a62a4c84!8m2!3d11.0194582!4d76.1750564!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm1jblptV2tWUkVBRaoBfgoIL20vMDRfdHYKCS9tLzA0Z3YyMwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbWYFXT3nT0Lhsiiq9bQXUsAGm9R_YBsyILYabMiMQAiIfZXZlbnQgbWFuYWdlbWVudCBwZXJpbnRoYWxtYW5uYeABAPoBBAgSEDY!16s%2Fg%2F11rxp2mg84?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",,Event management company,Event_Catering,4.7,394.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management perinthalmanna,2025-08-10 03:30:17
Red Loopz Events & Caters,"Thaneerpanthal, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Red+Loopz+Events+%26+Caters/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cde57f449a1f:0xa407621a263a00e2!8m2!3d10.961364!4d76.2320623!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11np4q4rgw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",,Event management company,Event_Catering,5.0,11.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:22
Bellizzia Event Management PVT.LTD.,"Vettathur Rd, Perinthalmanna, Vettathur, Kerala 679326",,"https://www.google.com/maps/place/Bellizzia+Event+Management+PVT.LTD./@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7d3c04334fcf9:0x3d11965a80bdab09!8m2!3d11.0135863!4d76.2978863!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11x613lhq8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",Claim this business,Event management company,Event_Catering,5.0,86.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management perinthalmanna,2025-08-10 03:30:27
Green Hopper Events,"Tirurkad, Perinthalmanna, Kerala 679321",090487 88884,"https://www.google.com/maps/place/Green+Hopper+Events/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cc543a3f194d:0xcffaf199125767a1!8m2!3d10.9865739!4d76.1865485!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjFhM1pVZGxaQkVBRaoBfgoIL20vMDRfdHYKCS9tLzA0Z3YyMwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbWYFXT3nT0Lhsiiq9bQXUsAGm9R_YBsyILYabMiMQAiIfZXZlbnQgbWFuYWdlbWVudCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEBs!16s%2Fg%2F11j007rq9y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",greenhopperevents.com,Event management company,Event_Catering,4.4,7.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:32
Kizhissery Events,"X6RG+FP9, Ooty Rd, Manathumangalam, Mysuru, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Kizhissery+Events/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cd1ce1270ab3:0x5c526faea1bc3172!8m2!3d10.9911625!4d76.2268594!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTm9kazlEVlhsM1JSQUKqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQD6AQQIABA6!16s%2Fg%2F11crqv63k0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",instagram.com,Event management company,Event_Catering,4.0,20.0,,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:36
Reema's Kitchen & Events,"Reema's Kitchen, Pattikkad, near Pattikkad School, Perinthalmanna, Kerala 679325",096057 73345,"https://www.google.com/maps/place/Reema's+Kitchen+%26+Events/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cd305c2f33af:0x26d1aa317bd08a9c!8m2!3d11.0164165!4d76.2388207!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjJkWEp1VEY5UlJSQUKqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQD6AQQIABAe!16s%2Fg%2F11gfk0mdcq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",reemasevents.com,Event management company,Event_Catering,4.4,28.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:41
Royal Event & Stage Decorations,"PO, Pulamanthole, Perinthalmanna, Kerala 679323",062387 12620,"https://www.google.com/maps/place/Royal+Event+%26+Stage+Decorations/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cfa7ef0762c7:0x902a29b7931ba4ed!8m2!3d10.9216994!4d76.1906246!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF-CggvbS8wNF90dgoJL20vMDRndjIzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgVdPedPQuGyKKr1tBdSwAab1H9gGzIgthpsyIxACIh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11ybn9zwg9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",,Event management company,Event_Catering,5.0,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management perinthalmanna,2025-08-10 03:30:46
Golden Frames Event Managment.LLP,"Malappuram - Perinthalmanna Rd, Tirurkad, Angadipuram, Kerala 679321",085471 57785,"https://www.google.com/maps/place/Golden+Frames+Event+Managment.LLP/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cbdc6d538d63:0x6659c1db84fe0715!8m2!3d10.9917366!4d76.1832044!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUktjamxsWlhSblJSQUKqAX4KCC9tLzA0X3R2CgkvbS8wNGd2MjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mBV09509C4bIoqvW0F1LABpvUf2AbMiC2GmzIjEAIiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmHgAQD6AQQIABBE!16s%2Fg%2F11q4cbj8pn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",goldenframesevents.com,Event management company,Event_Catering,4.7,3.0,,Closes 12am,⋅ Closes 12am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:51
Choice Catering Service,"X6G9+83J, Perinthalmanna, Kerala 679322",080866 16000,"https://www.google.com/maps/place/Choice+Catering+Service/@10.9632621,76.0089287,11z/data=!4m10!1m2!2m1!1sevent+management+perinthalmanna!3m6!1s0x3ba7cc569933b8b7:0x914d5e1b79197f19!8m2!3d10.9758254!4d76.2176541!15sCh9ldmVudCBtYW5hZ2VtZW50IHBlcmludGhhbG1hbm5hWiEiH2V2ZW50IG1hbmFnZW1lbnQgcGVyaW50aGFsbWFubmGSARFmb29kX21hbnVmYWN0dXJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSk0ySk1UVTUzRUFFqgFeEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbWYFXT3nT0Lhsiiq9bQXUsAGm9R_YBsyILYabMiMQAiIfZXZlbnQgbWFuYWdlbWVudCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEBk!16s%2Fg%2F1hm27fjcv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+perinthalmanna,"10.9632621, 76.0089287",Claim this business,Food manufacturer,Event_Catering,3.4,59.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management perinthalmanna,2025-08-10 03:30:55
