name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KV's Event Planning And Management,"kk juncion, Ponnani, Kerala 679577",099957 44530,"https://www.google.com/maps/place/KV's+Event+Planning+And+Management/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bbab02084def:0xac691e5c6a67791e!8m2!3d10.7854536!4d75.9485192!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF3CggvbS8wNF90dgoJL20vMDhxa3IzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgd8WOAgA0fwsVpKA47eFtWTqQN87ngEXoUYyHBACIhhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmngAQA!16s%2Fg%2F11dzdsz0pp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",facebook.com,Event management company,Event_Catering,4.9,50.0,,Opens 10am,⋅ Opens 10am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,747.0,Not Available,,,event management ponnani,2025-08-10 03:40:09
Three star light&sound,"Pallapuram, MLA Rd, Malappuram, Ponnani, Kerala 679583",095677 00132,"https://www.google.com/maps/place/Three+star+light%26sound/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bb1d872658f3:0x957c6a016625d2a6!8m2!3d10.7754138!4d75.9215875!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXcKCC9tLzA0X3R2CgkvbS8wOHFrcjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB3xY4CADR_CxWkoDjt4W1ZOpA3zueARehRjIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgcG9ubmFuaeABAA!16s%2Fg%2F11g_x0ntg_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",,Event management company,Event_Catering,5.0,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:14
Dpower event management,"variyathpadi road, Kadavanad, Kollanpadi, Ponnani, Kerala 679586",095627 63310,"https://www.google.com/maps/place/Dpower+event+management/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bb0ce67db8e7:0x55e723c489a3b545!8m2!3d10.7641312!4d75.936136!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgENZXZlbnRfcGxhbm5lcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSblozVnVabVJuRUFFqgF3CggvbS8wNF90dgoJL20vMDhxa3IzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgd8WOAgA0fwsVpKA47eFtWTqQN87ngEXoUYyHBACIhhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmngAQD6AQQIABBL!16s%2Fg%2F11y1jfc_yd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",,Event planner,Event_Catering,5.0,4.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:19
Best Malabar Event Management,"QWCM+8GV, Uroob Nagar, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Best+Malabar+Event+Management/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bbc01c4224a9:0xc8842b8d36de4473!8m2!3d10.7708667!4d75.9338029!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgENd2VkZGluZ192ZW51ZaoBVxABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB3xY4CADR_CxWkoDjt4W1ZOpA3zueARehRjIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgcG9ubmFuaeABAA!16s%2Fg%2F11j7dd43j8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",Claim this business,Wedding venue,Event_Catering,3.5,23.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:23
CELARA EVENTS,celaraevents.com,,"https://www.google.com/maps/place/CELARA+EVENTS/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0xa037a3a69fb4ea11:0x606204efea147049!8m2!3d10.5442763!4d76.1383668!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF3CggvbS8wNF90dgoJL20vMDhxa3IzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgd8WOAgA0fwsVpKA47eFtWTqQN87ngEXoUYyHBACIhhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmngAQA!16s%2Fg%2F11xlggdk28?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",celaraevents.com,Event management company,Event_Catering,5.0,14.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:28
Levanzo Events Organizers,"Nadakkav, Edappal, Kerala 679582",096336 02603,"https://www.google.com/maps/place/Levanzo+Events+Organizers/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7b9f2e60e7a59:0xc3d8822f07a2692a!8m2!3d10.8216158!4d76.0182264!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF3CggvbS8wNF90dgoJL20vMDhxa3IzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgd8WOAgA0fwsVpKA47eFtWTqQN87ngEXoUYyHBACIhhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmngAQA!16s%2Fg%2F11j00kcrz2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",levanzoevents.com,Event management company,Event_Catering,5.0,509.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management ponnani,2025-08-10 03:40:33
Eventiasis,"GOLDEN TOWER, Palakkad - Ponnani Rd, Edappal, Kerala 679576",099953 37066,"https://www.google.com/maps/place/Eventiasis/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7b92889c7a67f:0x52c238ef02e8c2cb!8m2!3d10.7845076!4d76.0057953!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJuYjJONVEycDNSUkFCqgF3CggvbS8wNF90dgoJL20vMDhxa3IzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtZgd8WOAgA0fwsVpKA47eFtWTqQN87ngEXoUYyHBACIhhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmngAQD6AQQIKRBI!16s%2Fg%2F11j36j__83?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",,Event management company,Event_Catering,4.7,38.0,,Opens 10am Mon,⋅ Opens 10am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:38
frenchfries Wedding & Event management,"Maranchery, Kerala 679581",,"https://www.google.com/maps/place/frenchfries+Wedding+%26+Event+management/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bd281ad39467:0x7ed0084bc18e0915!8m2!3d10.7334718!4d75.9747388!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmlaGiIYZXZlbnQgbWFuYWdlbWVudCBwb25uYW5pkgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0YVExTlhOVWhoV0U1b1QxaHdUazR6YkVSUldHczBXSHByTW1GVlJSQUKqAXcKCC9tLzA0X3R2CgkvbS8wOHFrcjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB3xY4CADR_CxWkoDjt4W1ZOpA3zueARehRjIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgcG9ubmFuaeABAPoBBAh4EEU!16s%2Fg%2F11xm6sqrj0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",,Event management company,Event_Catering,4.8,155.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,event management ponnani,2025-08-10 03:40:42
SD TRADING COMPANY,"SD TRADING COMPANY PONNANI, MALPPURAM, Kerala 679586",,"https://www.google.com/maps/place/SD+TRADING+COMPANY/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bb5c8d7f8cd3:0x3d56011a17d09723!8m2!3d10.761148!4d75.9343489!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXcKCC9tLzA0X3R2CgkvbS8wOHFrcjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB3xY4CADR_CxWkoDjt4W1ZOpA3zueARehRjIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgcG9ubmFuaeABAA!16s%2Fg%2F11j2rc86fd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",,Event management company,Event_Catering,4.3,3.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,0.0,Not Available,,,event management ponnani,2025-08-10 03:40:47
Sooryas Events & Catering,"Kanjiramukku, to, Edappal Road, Athani, Karingallathani, Kerala 679584",,"https://www.google.com/maps/place/Sooryas+Events+%26+Catering/@10.7854536,71.3342614,7z/data=!4m10!1m2!2m1!1sevent+management+ponnani!3m6!1s0x3ba7bb924d1889b7:0x1caad4cca5f7271!8m2!3d10.7603502!4d75.9686835!15sChhldmVudCBtYW5hZ2VtZW50IHBvbm5hbmmSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXcKCC9tLzA0X3R2CgkvbS8wOHFrcjMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1mB3xY4CADR_CxWkoDjt4W1ZOpA3zueARehRjIcEAIiGGV2ZW50IG1hbmFnZW1lbnQgcG9ubmFuaeABAA!16s%2Fg%2F11hczg5hty?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+ponnani,"10.7854536, 71.3342614",sooryasevents.com,Event management company,Event_Catering,4.9,21.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,event management ponnani,2025-08-10 03:40:52
