name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Sangeeth Event Planners,"Over bridge road, central junction, Tirur, Kerala 676101",080891 94268,"https://www.google.com/maps/place/Sangeeth+Event+Planners/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b1ccc9b0b13b:0x1553888e70060c12!8m2!3d10.9174813!4d75.9289046!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjRjSE5xWlVOM0VBRaoBdQoIL20vMDRfdHYKCS9tLzA4c3l5cwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbUG2nt3SBCdiSiaQKye2isnEi2OWBQyGg0CzJMhoQAiIWZXZlbnQgbWFuYWdlbWVudCB0aXJ1cuABAPoBBQitARA_!16s%2Fg%2F11sv5_07ym?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",,Event management company,Event_Catering,5.0,27.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management tirur,2025-08-10 03:36:26
Events By Adhi,"Tirur, Kerala 676101",,"https://www.google.com/maps/place/Events+By+Adhi/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b1ca80055faf:0x2f5e1460b66b61a9!8m2!3d10.9178967!4d75.924267!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRhUm1SSWNFMVphMDVZVlhwT1ptSkdPVTloVlhCWlRrUm5OR014UlJBQqoBdQoIL20vMDRfdHYKCS9tLzA4c3l5cwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbUG2nt3SBCdiSiaQKye2isnEi2OWBQyGg0CzJMhoQAiIWZXZlbnQgbWFuYWdlbWVudCB0aXJ1cuABAPoBBAgAEDI!16s%2Fg%2F11t9z00g2m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",instagram.com,Event management company,Event_Catering,5.0,18.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management tirur,2025-08-10 03:36:30
V kings events,"near School, Tirur, Kerala 676103",062389 13819,"https://www.google.com/maps/place/V+kings+events/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b3f89708da9f:0x28097059fcf529bc!8m2!3d10.9488221!4d75.9332425!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSAQVzdGFnZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSR01UVlVYemhCUlJBQqoBVRABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1Btp7d0gQnYkomkCsntorJxItjlgUMhoNAsyTIaEAIiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXLgAQD6AQQIABAW!16s%2Fg%2F11l66ydl7_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",vking5.github.io,Stage,Event_Catering,5.0,33.0,,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management tirur,2025-08-10 03:36:35
violet events,"Vaniyanur near, near Vaniyannur Juma Masjid, Tirur, Kerala 676103",095442 90844,"https://www.google.com/maps/place/violet+events/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b3cb095a7265:0x708eeff9572ce044!8m2!3d10.9258416!4d75.9492653!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVykgENZXZlbnRfcGxhbm5lcqoBdQoIL20vMDRfdHYKCS9tLzA4c3l5cwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbUG2nt3SBCdiSiaQKye2isnEi2OWBQyGg0CzJMhoQAiIWZXZlbnQgbWFuYWdlbWVudCB0aXJ1cuABAA!16s%2Fg%2F11vk8clj2h?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",instagram.com,Event planner,Event_Catering,5.0,5.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,22.0,Not Available,,,event management tirur,2025-08-10 03:36:40
Occasion empire events,"Meleppadi, chembra, Tirur, Kerala 676307",,"https://www.google.com/maps/place/Occasion+empire+events/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b30054235fe1:0xe12465c298cc5c14!8m2!3d10.9393225!4d75.9171925!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmqAXUKCC9tLzA0X3R2CgkvbS8wOHN5eXMKCS9tLzA4dzA5axABKhQiEGV2ZW50IG1hbmFnZW1lbnQoADIfEAEiG1Btp7d0gQnYkomkCsntorJxItjlgUMhoNAsyTIaEAIiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXLgAQA!16s%2Fg%2F11vxxnpzfk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",occasionempire.com,Event management company,Event_Catering,4.9,59.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,event management tirur,2025-08-10 03:36:45
IRiS Wedding Events & Photography Studio,"Thunchan Rd, Tirur, Kerala 676101",097470 01002,"https://www.google.com/maps/place/IRiS+Wedding+Events+%26+Photography+Studio/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b1ede206d949:0x9dc150f666bd06d9!8m2!3d10.9092536!4d75.9194294!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARNwaG90b2dyYXBoeV9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5LTlVseFRIWkJSUkFCqgF1CggvbS8wNF90dgoJL20vMDhzeXlzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtQbae3dIEJ2JKJpArJ7aKycSLY5YFDIaDQLMkyGhACIhZldmVudCBtYW5hZ2VtZW50IHRpcnVy4AEA-gEECAAQNw!16s%2Fg%2F11b7q97_qj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",instagram.com,Photography service,Event_Catering,4.9,367.0,,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,5.0,Not Available,,,event management tirur,2025-08-10 03:36:50
mauj events&decor,"Tirur, Kerala 676101",,"https://www.google.com/maps/place/mauj+events%26decor/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b17e0f8bc179:0x66023360e0255388!8m2!3d10.9174813!4d75.9289046!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVykgEYZXZlbnRfbWFuYWdlbWVudF9jb21wYW55qgF1CggvbS8wNF90dgoJL20vMDhzeXlzCgkvbS8wOHcwOWsQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtQbae3dIEJ2JKJpArJ7aKycSLY5YFDIaDQLMkyGhACIhZldmVudCBtYW5hZ2VtZW50IHRpcnVy4AEA!16s%2Fg%2F11xgk_d2zj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",instagram.com,Event management company,Event_Catering,5.0,2.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management tirur,2025-08-10 03:36:54
BLUE PLATES EVENT MANAGEMENT KARATHOOR,"Blue plate event management, Karathoor - Thuprankodu Rd, Karathur, po, Codacal, Tirur, Kerala 676108",,"https://www.google.com/maps/place/BLUE+PLATES+EVENT+MANAGEMENT+KARATHOOR/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b13e17ce94bd:0x2dd478ece8704129!8m2!3d10.8708649!4d75.9601788!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARhldmVudF9tYW5hZ2VtZW50X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmFPWEJpV2tabkVBRaoBdQoIL20vMDRfdHYKCS9tLzA4c3l5cwoJL20vMDh3MDlrEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbUG2nt3SBCdiSiaQKye2isnEi2OWBQyGg0CzJMhoQAiIWZXZlbnQgbWFuYWdlbWVudCB0aXJ1cuABAPoBBAgAEA8!16s%2Fg%2F11l2_jzv9q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",instagram.com,Event management company,Event_Catering,4.9,13.0,,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management tirur,2025-08-10 03:36:59
KAKSONS CULINARY CREATIONS- TIRUR (Events & Catering),"Ground Floor, K.M.Mall, Ring Road, Tirur, Kerala 676101",,"https://www.google.com/maps/place/KAKSONS+CULINARY+CREATIONS-+TIRUR+(Events+%26+Catering)/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b1417ccac307:0xbe13dc83daba5223!8m2!3d10.9200318!4d75.927676!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSARBjYXRlcmluZ19zZXJ2aWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwMVNGUnVhSFZXVmtrMFkxWTViMDVzY0V4Wk1taDVUbFJKZVZWdFl4QUKqAVUQASoUIhBldmVudCBtYW5hZ2VtZW50KAAyHxABIhtQbae3dIEJ2JKJpArJ7aKycSLY5YFDIaDQLMkyGhACIhZldmVudCBtYW5hZ2VtZW50IHRpcnVy4AEA-gEECB0QMQ!16s%2Fg%2F11yf4kgsg6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",kaksons.com,Caterer,Event_Catering,5.0,22.0,,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management tirur,2025-08-10 03:37:04
Onus Events,"Mangattiri, Tirur, Kerala 676105",090619 94437,"https://www.google.com/maps/place/Onus+Events/@10.9174813,75.784709,12z/data=!4m10!1m2!2m1!1sevent+management+tirur!3m6!1s0x3ba7b1af843703c3:0x68b22ef0ccb39db1!8m2!3d10.8907801!4d75.9197557!15sChZldmVudCBtYW5hZ2VtZW50IHRpcnVyWhgiFmV2ZW50IG1hbmFnZW1lbnQgdGlydXKSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VONmVrNWZZMEZSRUFFqgFVEAEqFCIQZXZlbnQgbWFuYWdlbWVudCgAMh8QASIbUG2nt3SBCdiSiaQKye2isnEi2OWBQyGg0CzJMhoQAiIWZXZlbnQgbWFuYWdlbWVudCB0aXJ1cuABAPoBBAgAEC4!16s%2Fg%2F11f9vs7r8y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",event+management+tirur,"10.9174813, 75.784709",,Catering food and drink supplier,Event_Catering,3.9,39.0,,Opens 6am,⋅ Opens 6am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,event management tirur,2025-08-10 03:37:09
