name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
CRISPELLO BAKES N RESTAURANT,"Little flower Csi Road, Janathapadi Padikunnu, Nilambur, Kerala 679329",062359 07000,"https://www.google.com/maps/place/CRISPELLO+BAKES+N+RESTAURANT/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63bc3a5ab745d:0x9618d15d7ebf2ba!8m2!3d11.2806489!4d76.2319384!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11j40cqqpk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",facebook.com,Bakery and Cake Shop,Food_Businesses,4.1,1053.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:09
Unions United Bakery,"Nilambur, Kerala 679329",04931 220 283,"https://www.google.com/maps/place/Unions+United+Bakery/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b77cd19135f:0x31a8c4670836baf3!8m2!3d11.2767961!4d76.2257592!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11_qd1sb6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",,Bakery and Cake Shop,Food_Businesses,4.1,915.0,₹₹,Closes 10:30pm,⋅ Closes 10:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:14
Lubis Bakes,"Mayyanthani Road, Chandakunnu, Nilambur, Kerala 679329",098461 81990,"https://www.google.com/maps/place/Lubis+Bakes/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b0e8bc608c3:0x407586b4d2e2d35f!8m2!3d11.2886378!4d76.2428118!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEJY2FrZV9zaG9wqgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11r_pyn0p8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",,Cake shop,Food_Businesses,4.9,79.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:19
Achans Bakery nilambur,"Janathapadi Padikunnu, Manalody, Nilambur, Kerala 679329",062383 94828,"https://www.google.com/maps/place/Achans+Bakery+nilambur/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63be7597f0b21:0x56c0f5e83f6e7cae!8m2!3d11.2792478!4d76.2311499!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11t_ky0f85?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",,Bakery and Cake Shop,Food_Businesses,3.5,86.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:24
Spanish Bakes & Cafe,"76MW+35V, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Spanish+Bakes+%26+Cafe/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b67abdd994d:0x31e15ae6c8096589!8m2!3d11.2827491!4d76.2454232!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11c53dh_rf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",Claim this business,Bakery and Cake Shop,Food_Businesses,3.8,409.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:29
Turkish Bakers,"76MP+FMP, near al eyen hospital, Nilambur, Kerala 679329",098954 85623,"https://www.google.com/maps/place/Turkish+Bakers/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b64d2814ed7:0x68830d5e21f33769!8m2!3d11.2837133!4d76.2367126!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11cn95b11t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",Claim this business,Bakery and Cake Shop,Food_Businesses,4.0,111.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,,Not Available,,,bakery nilambur,2025-08-09 20:57:35
"Honest Bakery, Nilambur","76GG+P5F, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Honest+Bakery,+Nilambur/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b84d82236d1:0xc5c060796bb7c62e!8m2!3d11.276808!4d76.225432!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11hzy8j643?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,24.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:40
Hummy tum cakes,"KNG Road, Jyothipadi - Aruvacode Rd, Nilambur, Kerala 679329",089437 00053,"https://www.google.com/maps/place/Hummy+tum+cakes/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b647b05c689:0x21f357f65999ae01!8m2!3d11.2725229!4d76.2199445!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEJY2FrZV9zaG9wqgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11ldxv_9kd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",hummytum.com,Cake shop,Food_Businesses,5.0,20.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:45
Cake world,"Nilambur, Kerala 679329",062386 76898,"https://www.google.com/maps/place/Cake+world/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b73762e06f5:0x8292067e8733d717!8m2!3d11.2780671!4d76.2285151!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEJY2FrZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yYm5aWFkxTkJFQUWqAVAKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG59r8UEOh_l2IF-sTxUD6HNBti4SXBGcsS--zTITEAIiD2Jha2VyeSBuaWxhbWJ1cuABAPoBBAgAED4!16s%2Fg%2F11h93bw3z8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",cakeworldnilambur.github.io,Cake shop,Food_Businesses,4.4,48.0,₹₹,9:45pm,⋅ 9:45pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:50
Kk Bakery,"Nilambur, Kerala 673633",070347 12029,"https://www.google.com/maps/place/Kk+Bakery/@11.2806489,76.0877428,12z/data=!4m11!1m3!2m2!1sbakery+nilambur!6e5!3m6!1s0x3ba63b762eeef03b:0xbcbf346e53271a93!8m2!3d11.2759157!4d76.225405!15sCg9iYWtlcnkgbmlsYW1idXJaESIPYmFrZXJ5IG5pbGFtYnVykgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhufa_FBDof5diBfrE8VA-hzQbYuElwRnLEvvs0yExACIg9iYWtlcnkgbmlsYW1idXLgAQA!16s%2Fg%2F11cltfm43r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+nilambur,"11.2806489, 76.0877428",,Bakery and Cake Shop,Food_Businesses,3.8,10.0,₹₹,Opens 8:30am Sun,⋅ Opens 8:30am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery nilambur,2025-08-09 20:57:55
