name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
K.R Bakes,"near bus stand, Perithalmanna, Shanti Nagar, Perinthalmanna, Kerala 679322",092880 19697,"https://www.google.com/maps/place/K.R+Bakes/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdab7dad2993:0xe84042a91c4b4be7!8m2!3d10.9755429!4d76.2271642!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F1hm63mv1n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",krbakes.com,Bakery and Cake Shop,Food_Businesses,3.8,932.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:47:41
Abis Bakes,"X68H+88R, Thottakkara, Perinthalmanna, Kerala 679322",090612 90832,"https://www.google.com/maps/place/Abis+Bakes/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdb3a378edf5:0xbdcfc8409c0ca8ba!8m2!3d10.9658504!4d76.2282692!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11bx0h5qym?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,359.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:47:46
Derby Cakes Best Cake In Perinthalmanna,"Housing Colony Rd, near Town Hall, Kakooth Road, Perinthalmanna, Kerala 679322",098464 75586,"https://www.google.com/maps/place/Derby+Cakes+Best+Cake+In+Perinthalmanna/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cd7e97cbb781:0xa2eb15c461ea9357!8m2!3d10.979219!4d76.2281581!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEJY2FrZV9zaG9wqgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rjz2yfyd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",Place an order,Cake shop,Food_Businesses,4.9,57.0,₹₹,9:30pm,Closes soon ⋅ 9:30pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:47:51
Ennas Bakery,"Palakkad - Kozhikode Hwy, Angadipuram, Perinthalmanna, Angadipuram, Kerala 679321",098472 47247,"https://www.google.com/maps/place/Ennas+Bakery/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cc59aa103b07:0x8935016fa865bcc0!8m2!3d10.9757047!4d76.2122405!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11c54mym4x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",,Bakery and Cake Shop,Food_Businesses,4.3,417.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:47:56
Nila Bake House Perinthalmanna,"Padinharethil Complex, Perinthalmanna - Nilambur Rd, opposite Juma Masjid, Perinthalmanna, Kerala 679322",04933 226 257,"https://www.google.com/maps/place/Nila+Bake+House+Perinthalmanna/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdab28198c35:0x3cb4ade619984f9c!8m2!3d10.9780042!4d76.2253876!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F1hm2n2t3q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",Claim this business,Bakery and Cake Shop,Food_Businesses,3.7,147.0,₹₹,Opens 9:30am Sun,⋅ Opens 9:30am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:01
Bake O'Live,"KSHB Colony, Perinthalmanna, Kerala 679322",090723 34455,"https://www.google.com/maps/place/Bake+O'Live/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdab867f437b:0x8338cdaa1c47495f!8m2!3d10.9756816!4d76.2280864!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11bztxcywc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",,Bakery and Cake Shop,Food_Businesses,4.2,30.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:06
HummyTum Cakes,"Nehru stadium complex, Perinthalmanna, Kerala 679322",090721 11149,"https://www.google.com/maps/place/HummyTum+Cakes/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cd0b96e6a811:0xbd3c331dd3f202ed!8m2!3d10.9793324!4d76.2281173!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEJY2FrZV9zaG9wqgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11tdq3kzlg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",hummytum.com,Cake shop,Food_Businesses,4.9,148.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 9am Sun,No,No,Yes,No,No,No,Unknown,Unknown,"·

No-contact delivery
",no-contact delivery,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:11
Cake Land @ Bakery Tools | Dry Fruits & Nuts | Cake Shop,"opposite Joyalukkas Jewellery, Shanti Nagar, Perinthalmanna, Kerala 679322",075920 02600,"https://www.google.com/maps/place/Cake+Land+@+Bakery+Tools+%7C+Dry+Fruits+%26+Nuts+%7C+Cake+Shop/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cd1cd712aaff:0xa63a0b275249debb!8m2!3d10.9763635!4d76.2224843!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11p9sq7hy6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",,Bakery and Cake Shop,Food_Businesses,4.4,44.0,₹₹,9pm,⋅ 9pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:16
Shanu's Home Made Cakes (Makin' Sweet Dough),"Bypas, Manathumangalam, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Shanu's+Home+Made+Cakes+(Makin'+Sweet+Dough)/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdbd823163e5:0x2e4639b7571f4090!8m2!3d10.9885743!4d76.2304842!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEJY2FrZV9zaG9wqgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11pq4wckqt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",,Cake shop,Food_Businesses,4.9,22.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:21
Cake Lakes,"Mannarkkad Rd, near White Supermarket, Kuttippara, Pathaikkara, Perinthalmanna, Kerala 679322",079092 30006,"https://www.google.com/maps/place/Cake+Lakes/@10.9755429,76.1911153,14z/data=!4m11!1m3!2m2!1sbakery+perinthalmanna!6e5!3m6!1s0x3ba7cdab4ff75ef1:0x8dabab55c699bf05!8m2!3d10.9739997!4d76.2377442!15sChViYWtlcnkgcGVyaW50aGFsbWFubmFaFyIVYmFrZXJ5IHBlcmludGhhbG1hbm5hkgEGYmFrZXJ5qgFWCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuaju6tYDUOZdd66BmCPUM7Fzdg0yh58exnh3kyGRACIhViYWtlcnkgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11j5cdjwgh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+perinthalmanna,"10.9755429, 76.1911153",cakelakes.dialndial.com,Bakery and Cake Shop,Food_Businesses,4.7,32.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery perinthalmanna,2025-08-09 20:48:26
