name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Nehal Bakes Ponnani,"QW9G+39J VM Convent MA Tower, opposite ICIC Bank CV Junction, Kuttadu, Ponnani, Kerala 679577",089434 01999,"https://www.google.com/maps/place/Nehal+Bakes+Ponnani/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb99348d91eb:0xb05dc67dbe3f92da!8m2!3d10.784024!4d75.9439239!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11sc3qdkhj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,4.1,73.0,₹₹,Closes 10:30pm,⋅ Closes 10:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:33
Sweet Oven,"CV Junction, Kuttadu, Ponnani, Kerala 679577",098461 41331,"https://www.google.com/maps/place/Sweet+Oven/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bbaa1ba6640f:0xf278b664e39db66f!8m2!3d10.7853987!4d75.9467516!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11c500qvkb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",,Bakery and Cake Shop,Food_Businesses,4.7,363.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:37
Famous Bakery,"QW8G+Q6Q, NH 66, Nibras, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Famous+Bakery/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb6ae38a8e5f:0xa8e63878a2a4fc9b!8m2!3d10.7669518!4d75.9256057!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11b7x25nkh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,28.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 8:30am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:42
Janatha bakery,"QWJJ+RH9, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Janatha+bakery/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb1a50971bcf:0xd49398242c50b03a!8m2!3d10.7820342!4d75.9314939!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11bv3vb8ww?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,4.1,160.0,₹₹,10pm,⋅ 10pm ⋅ Opens 12am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:47
CHOCO FANTASY,"south, Nibras, Ponnani, Kerala 679586",077364 13737,"https://www.google.com/maps/place/CHOCO+FANTASY/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb6cafa8a3bd:0x2e0dd4d074f98cc4!8m2!3d10.7662062!4d75.9258715!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11vx0brcbq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",,Bakery and Cake Shop,Food_Businesses,4.6,10.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",kerbside pickup; delivery; dine-in,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:52
KL CAKE&DOUGHNUT Cafe,"KK Junction, near KSEB Substation, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/KL+CAKE%26DOUGHNUT+Cafe/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb0497407243:0xae47f92758cfc2ee!8m2!3d10.7737962!4d75.9478208!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBCWNha2Vfc2hvcKoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11p9nv9ykx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",,Cake shop,Food_Businesses,4.5,10.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:13:57
Honest bakery,"Palakkad - Ponnani Rd, Keezhillam, Ponnani, Kerala 679577",075919 17545,"https://www.google.com/maps/place/Honest+bakery/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bba991c1a1b1:0x6f025a0e6314adae!8m2!3d10.7852733!4d75.9480827!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11fz8t_b1z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",,Bakery and Cake Shop,Food_Businesses,3.9,64.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:14:01
nunu Bakes & Café,"QWJP+WCJ, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/nunu+Bakes+%26+Caf%C3%A9/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb26d7f813fb:0xb044f870a85ad141!8m2!3d10.7823371!4d75.9360027!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11fd4j6xdp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,3.8,13.0,₹₹,10pm,⋅ 10pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:14:06
Kismis Bakes & cool,"QW8G+QMX, Ziyarath Masjid Rd, Malappuram, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Kismis+Bakes+%26+cool/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bba6ea139989:0x2dfc2d8dd61e7d15!8m2!3d10.7669839!4d75.926742!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNGMzWllXVkJuRUFFqgFPCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhuf1lL0IVoVzd7u-hsauLrvx8XThkERIX2aZxAyEhACIg5iYWtlcnkgcG9ubmFuaeABAPoBBAgAEAw!16s%2Fg%2F11r7x_wryn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,5.0,5.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,bakery ponnani,2025-08-09 21:14:11
AL- Noor Bakery N Coolbar and groceries,"Ma arcade, Chanthappadi Jct Rd, near Al Noor Bakery, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/AL-+Noor+Bakery+N+Coolbar+and+groceries/@10.784024,75.8718261,13z/data=!4m11!1m3!2m2!1sbakery+ponnani!6e5!3m6!1s0x3ba7bb3ba6eef733:0xb4af28a9f3243cef!8m2!3d10.7825288!4d75.9364539!15sCg5iYWtlcnkgcG9ubmFuaVoQIg5iYWtlcnkgcG9ubmFuaZIBBmJha2VyeaoBTwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbn9ZS9CFaFc3e7vobGri678fF04ZBESF9mmcQMhIQAiIOYmFrZXJ5IHBvbm5hbmngAQA!16s%2Fg%2F11sjgwkf0v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+ponnani,"10.784024, 75.8718261",Claim this business,Bakery and Cake Shop,Food_Businesses,5.0,2.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery ponnani,2025-08-09 21:14:16
