name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
MR Cakes,"Pazhmakulangara, Tirur-Tuvvakkad-Puthanathani Rd, Muthoor, Tirur, Kerala 676101",,"https://www.google.com/maps/place/MR+Cakes/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b18cc0f7dcb1:0xf26db07344f30207!8m2!3d10.9157697!4d75.9243652!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEJY2FrZV9zaG9wqgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F11crtj8wdp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",,Cake shop,Food_Businesses,4.5,96.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery,,1.0,Not Available,,,bakery tirur,2025-08-09 21:04:39
Metro Bakes,"opposite Saleema Petroleum, Kott, Alinchuvadu, Tirur, Kerala 676101",075108 74737,"https://www.google.com/maps/place/Metro+Bakes/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b35a4b58cae9:0xa5644a4ab07dfb2e!8m2!3d10.9314301!4d75.9333567!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEGYmFrZXJ5qgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F11grq7wvbr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",,Bakery and Cake Shop,Food_Businesses,4.1,51.0,₹₹,Closes 1am,⋅ Closes 1am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirur,2025-08-09 21:04:44
Spunge Cakes And Cafe,"Ring Road, Tirur, Kerala 676101",098464 00036,"https://www.google.com/maps/place/Spunge+Cakes+And+Cafe/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b18bbe751379:0x5b010239937bcc78!8m2!3d10.9207183!4d75.9280516!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEJY2FrZV9zaG9wqgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F11hbkd2gxn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",spungecakescafe.dialndial.com,Cake shop,Food_Businesses,4.2,163.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirur,2025-08-09 21:04:49
AR Bakery,"Bus Stand Complex, Tirur, Kerala 676101",097475 55558,"https://www.google.com/maps/place/AR+Bakery/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b1f327697d45:0xa260d23aff7bbc7b!8m2!3d10.918197!4d75.9248669!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEGYmFrZXJ5qgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F1232snws6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",Claim this business,Bakery and Cake Shop,Food_Businesses,4.3,53.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery tirur,2025-08-09 21:04:54
OKKASHI CAKE CAFE,"SH 71, Tirur, Kerala 676101",,"https://www.google.com/maps/place/OKKASHI+CAKE+CAFE/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b15f3e4642a3:0x2904bdda8348f2f3!8m2!3d10.9159983!4d75.9240619!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEJY2FrZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU4zZVRSTWFYUkJSUkFCqgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAPoBBAgAED8!16s%2Fg%2F11fq9sn0cy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",okkashicakecafe.com,Cake shop,Food_Businesses,4.2,402.0,₹₹,10pm,⋅ 10pm ⋅ Opens 10am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirur,2025-08-09 21:04:59
PADMA BAKERY,"04340, opposite to Darussalam Mall, Kerala 676101",098463 03000,"https://www.google.com/maps/place/PADMA+BAKERY/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b1ed009f152d:0xe7d3e1f33ad11b49!8m2!3d10.9091146!4d75.9202877!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEGYmFrZXJ5qgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F1hhgqfg43?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",amazon.in,Bakery and Cake Shop,Food_Businesses,4.3,19.0,₹₹,10pm,⋅ 10pm ⋅ Opens 8:30am Sun,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery tirur,2025-08-09 21:05:04
Leem Bakery,"Tirur, Kerala 676101",090376 23133,"https://www.google.com/maps/place/Leem+Bakery/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b196b57c2521:0x3f77de93e48a44bc!8m2!3d10.9046731!4d75.9214238!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEGYmFrZXJ5qgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F11vbgsgvr3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",leembakery.com,Bakery and Cake Shop,Food_Businesses,4.7,93.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery tirur,2025-08-09 21:05:10
freddo cakes & cafe Tirur,"Alinchuvadu, Tirur, Kerala 676101",097440 99599,"https://www.google.com/maps/place/freddo+cakes+%26+cafe+Tirur/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b39da621343b:0x13cbfd6afe81f320!8m2!3d10.9306949!4d75.9327724!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEEY2FmZaoBTAoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh4QASIamc7VQ3JJHqBzndQfirQzPSRZ9xqglilvKR4yEBACIgxiYWtlcnkgdGlydXLgAQA!16s%2Fg%2F11tm_l12sc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",instagram.com,Cafe,Food_Businesses,4.2,212.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirur,2025-08-09 21:05:15
Coffee Cream,"Pottethappadi, Tirur, Kerala 676101",081388 30003,"https://www.google.com/maps/place/Coffee+Cream/@10.9166208,75.891154,14z/data=!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b1612bb85fcb:0x1026f13238bfca99!8m2!3d10.902606!4d75.9221991!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgELY29mZmVlX3Nob3CaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTFhbko2YVZGUkVBRaoBTAoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh4QASIamc7VQ3JJHqBzndQfirQzPSRZ9xqglilvKR4yEBACIgxiYWtlcnkgdGlydXLgAQD6AQQIABA5!16s%2Fg%2F11scv8fhtv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",,Coffee shop,Food_Businesses,4.2,212.0,₹₹,Closes 11:15pm,⋅ Closes 11:15pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirur,2025-08-09 21:05:20
Famous Bakery,"WW79+QFH, Thazhepalam, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Famous+Bakery/@10.9166208,75.891154,14z/data=!3m1!5s0x3ba7b1f3ea409547:0x5025cfcca47526b6!4m11!1m3!2m2!1sbakery+tirur!6e5!3m6!1s0x3ba7b1f3b5657f55:0x6daa6c7986cd87d2!8m2!3d10.9144321!4d75.9187383!15sCgxiYWtlcnkgdGlydXJaDiIMYmFrZXJ5IHRpcnVykgEGYmFrZXJ5qgFMCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHhABIhqZztVDckkeoHOd1B-KtDM9JFn3GqCWKW8pHjIQEAIiDGJha2VyeSB0aXJ1cuABAA!16s%2Fg%2F11g8b5vb3k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirur,"10.9166208, 75.891154",Claim this business,Bakery and Cake Shop,Food_Businesses,3.7,48.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery tirur,2025-08-09 21:05:25
