name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Honest Bakery,"2WRH+P89, Tirurangadi, Kerala 676306",0494 246 0540,"https://www.google.com/maps/place/Honest+Bakery/@11.08515,75.8488063,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d122dccbf59:0x317689e27ef14801!8m2!3d11.041795!4d75.9283557!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEGYmFrZXJ5qgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11cm_ps_7q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.08515, 75.8488063",Claim this business,Bakery and Cake Shop,Food_Businesses,3.2,26.0,₹₹,10pm,⋅ 10pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:27
Honest Bakery,"2WV7+4FC, Tirurangadi, Kerala 676306",0494 246 7192,"https://www.google.com/maps/place/Honest+Bakery/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d6fce15cf49:0xbfe378a3d954ff42!8m2!3d11.0428133!4d75.9136517!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEGYmFrZXJ5qgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11c18p7jy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",Claim this business,Bakery and Cake Shop,Food_Businesses,2.9,17.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:32
Asma's Home Bakes,"Kakkad, Tirurangadi, Kerala 676306",098954 03706,"https://www.google.com/maps/place/Asma's+Home+Bakes/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64da02278fc27:0x2b02dd28d53e9cb9!8m2!3d11.0351607!4d75.9383852!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEMY3VwY2FrZV9zaG9wqgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11kqzc1z47?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",instagram.com,Cupcake shop,Food_Businesses,5.0,20.0,₹₹,10pm,Closes soon ⋅ 10pm ⋅ Opens 9am Sun,No,No,Yes,No,No,No,Unknown,Unknown,"·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:37
Choco Tree,"2WRC+8F7, Tirurangadi, Kerala 676306",098951 98161,"https://www.google.com/maps/place/Choco+Tree/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d85107cdafd:0xf02c8a37d598cb89!8m2!3d11.0409394!4d75.9211623!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEJY2FrZV9zaG9wqgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11s99n8th9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",,Cake shop,Food_Businesses,4.7,3.0,₹₹,10pm,⋅ 10pm ⋅ Opens 10am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:41
Rana Cakes,"Panapuzha road, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Rana+Cakes/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d56a0aab761:0x865d7f9b3ef9336e!8m2!3d11.0432292!4d75.9280422!15sChJiYWtlcnkgdGlydXJhbmdhZGmSAQljYWtlX3Nob3CqAVMKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG8iPg7vf5n8SCO5vrSGuHWuOQs-4-yg780aTOTIWEAIiEmJha2VyeSB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11xgwg8yds?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",,Cake shop,Food_Businesses,5.0,4.0,₹₹,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,bakery tirurangadi,2025-08-09 21:30:46
The Library Cake and Pizza Company,"Chemmad - Tirurangadi Rd, Ambalpadi, Tirurangadi, Kerala 676306",075609 97574,"https://www.google.com/maps/place/The+Library+Cake+and+Pizza+Company/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d949f1c6e9d:0x63d44b4e3dfac67c!8m2!3d11.0422524!4d75.9019772!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEEY2FmZaoBUwoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbyI-Du9_mfxII7m-tIa4da45Cz7j7KDvzRpM5MhYQAiISYmFrZXJ5IHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11qnkwfgc2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",,Cafe,Food_Businesses,4.2,339.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:51
Brozovy Pastries,"Kariparambu Bus Stop, Tirurangadi 676306, Malappuram SH 72, Pantharangadi, Kerala 676306",098959 40101,"https://www.google.com/maps/place/Brozovy+Pastries/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba653a48f0d7833:0x5ab9a3ad05a5c3b0!8m2!3d11.0436749!4d75.8981352!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgELcGFzdHJ5X3Nob3CqAVMKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG8iPg7vf5n8SCO5vrSGuHWuOQs-4-yg780aTOTIWEAIiEmJha2VyeSB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11p16y94fh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",Claim this business,Pastry shop,Food_Businesses,4.8,25.0,₹₹,Opens 9am Sun,⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:30:56
SEEGO Bakery Chemmad,"Seego point, Chemmad - Tirurangadi Road, main road, Chemmad, Kerala 676306",096331 61096,"https://www.google.com/maps/place/SEEGO+Bakery+Chemmad/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d6ade362185:0xfc7caeae901bfd42!8m2!3d11.0427249!4d75.9117399!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEGYmFrZXJ5qgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F1tk1xh1c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",,Bakery and Cake Shop,Food_Businesses,3.6,50.0,₹₹,10pm,⋅ 10pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:31:01
Romance Nuts & Cake,"2WQ7+QGV, Mampuram Bypass Road, Tirurangadi, Kerala 676306",0:04,"https://www.google.com/maps/place/Romance+Nuts+%26+Cake/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d2989209f4d:0x67987c5f136e763d!8m2!3d11.0394852!4d75.9138023!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgELY2FuZHlfc3RvcmWqAVMKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG8iPg7vf5n8SCO5vrSGuHWuOQs-4-yg780aTOTIWEAIiEmJha2VyeSB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11qykcv5r8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",dialndial.com,Sweet shop,Food_Businesses,4.3,38.0,₹₹,,,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:31:05
GUSTO CAKES & BAKES,"2WV6+3QR, Chemmad, Kerala 676306",,"https://www.google.com/maps/place/GUSTO+CAKES+%26+BAKES/@11.0428133,75.7694561,12z/data=!4m11!1m3!2m2!1sbakery+tirurangadi!6e5!3m6!1s0x3ba64d2cc4fd090f:0x5635d7b916074124!8m2!3d11.0427324!4d75.9119039!15sChJiYWtlcnkgdGlydXJhbmdhZGlaFCISYmFrZXJ5IHRpcnVyYW5nYWRpkgEGYmFrZXJ5qgFTCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhvIj4O73-Z_Egjub60hrh1rjkLPuPsoO_NGkzkyFhACIhJiYWtlcnkgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11mw6r4tx4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+tirurangadi,"11.0428133, 75.7694561",Claim this business,Bakery and Cake Shop,Food_Businesses,4.4,8.0,₹₹,10pm,⋅ 10pm ⋅ Opens 8am Sun,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery tirurangadi,2025-08-09 21:31:10
