name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
HOTEL AFRAD INTERNATIONAL KONDOTTY,"4XR9+37G, Kondotty Bypass Rd, Kondotty, Kerala 673638",089433 39931,"https://www.google.com/maps/place/HOTEL+AFRAD+INTERNATIONAL+KONDOTTY/@11.1160629,75.9163562,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64f1ab7abff6b:0x848e96979e38ea96!5m2!4m1!1i2!8m2!3d11.1426735!4d75.9678257!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11xmgb7dw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1160629, 75.9163562",afradinternational.in,,Food_Businesses,3.9,925.0,"₹2,856",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:55:54
KOWJU Airport Hotel,"Aeropolis, Pazhayangadi Road, Kondotty, Kerala 673638",077110 02233,"https://www.google.com/maps/place/KOWJU+Airport+Hotel/@11.1160629,75.9163562,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64fcb3219a9ed:0xcae5903304bc4f17!5m2!4m1!1i2!8m2!3d11.1481307!4d75.9629066!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11v651px6n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1160629, 75.9163562",kowjuhotels.com,,Food_Businesses,4.8,181.0,"₹4,373",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:55:59
"Tamarind KTDC, Kondotty, Malappuram","Thurakkal. P.O TB Road, Kondotty, Kerala 673638",0483 271 7200,"https://www.google.com/maps/place/Tamarind+KTDC,+Kondotty,+Malappuram/@11.1577987,75.8793022,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64f1e03ef80d1:0xf02fbebbfec36703!5m2!4m1!1i2!8m2!3d11.1577987!4d75.9514!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F1tgdrkvn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1577987, 75.8793022",ktdc.com,,Food_Businesses,3.8,477.0,"₹1,800",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:04
Atland Residency,"Nuhman Junction, near Calicut International Airport, Padinharathara, Karipur, Kerala 673647",092809 00600,"https://www.google.com/maps/place/Atland+Residency/@11.1577987,75.8793022,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64f1619ecaac7:0x6e0ed499a41f487e!5m2!4m1!1i2!8m2!3d11.1453978!4d75.9479142!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11ldvvwqjs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1577987, 75.8793022",,,Food_Businesses,4.7,200.0,"₹1,617",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:09
Hotel Cason International,"Musliyarangadi, Kondotty, Kerala 673638",062350 70605,"https://www.google.com/maps/place/Hotel+Cason+International/@11.1300094,75.9294671,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba649334c58d791:0x9bb47f79a3bdb9f9!5m2!4m1!1i2!8m2!3d11.1300094!4d76.0015649!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11sx3p4g1j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1300094, 75.9294671",,,Food_Businesses,4.2,68.0,"₹2,012",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:13
Corridor Calicut Airport Hotel,"4WVX+JHX, Calicut Airport Rd, Kumminipara, Padinharathara, Karipur, Kondotty, Kerala 673647",098097 96796,"https://www.google.com/maps/place/Corridor+Calicut+Airport+Hotel/@11.1440177,75.8768673,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64f52c6e14689:0x2202d67024bf5175!5m2!4m1!1i2!8m2!3d11.1440177!4d75.9489651!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11q22rlvpt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1440177, 75.8768673",sanguinehotels.com,,Food_Businesses,3.8,341.0,"₹1,639",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:18
Misty Green Hills Parks & Resorts,"Arimbra, Kerala 673638",0483 208 0950,"https://www.google.com/maps/place/Misty+Green+Hills+Parks+%26+Resorts/@11.1114318,75.9353561,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba6495b02424b93:0x6c9e9a5056277b6c!5m2!4m1!1i2!8m2!3d11.1114318!4d76.0074539!15sCg5ob3RlbCBrb25kb3R0eZIBDHJlc29ydF9ob3RlbKoBQhABKgkiBWhvdGVsKAAyHxABIhvyOny7FSGmOQauHWSUAX6ulnkw3aYofx26nqMyEhACIg5ob3RlbCBrb25kb3R0eeABAA!16s%2Fg%2F11c1r_t7d4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.1114318, 75.9353561",mistygreenhills.com,,Food_Businesses,4.5,834.0,"₹2,485",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:23
Treebo Premium Park Hotel,"near Redbell Residency, Kumminipara, Padinharathara, Kondotty, Karipur, Kerala 673647",093228 00100,"https://www.google.com/maps/place/Treebo+Premium+Park+Hotel/@11.143537,75.8766962,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64effc9492eff:0xdfc81bb3a8022a0e!5m2!4m1!1i2!8m2!3d11.143537!4d75.948794!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11x2d64lzg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.143537, 75.8766962",,,Food_Businesses,5.0,5.0,"₹23,600",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:28
Redbell Residency,"Pulikkal Arcade, Calicut Airport, Kondotty, Kerala",,"https://www.google.com/maps/place/Redbell+Residency/@11.143537,75.8766962,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64c3470740425:0x93ab8f3e5c31a722!5m2!4m1!1i2!8m2!3d11.1435054!4d75.9484239!15sCg5ob3RlbCBrb25kb3R0eZIBBWhvdGVsqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11c6fbhtcw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.143537, 75.8766962",,,Food_Businesses,3.8,62.0,"₹1,906",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:33
PMR Grandays Airport Hotel,"PM Arcade, Padinharathara, Kondotty, Karipur, Kerala 673647",087100 70071,"https://www.google.com/maps/place/PMR+Grandays+Airport+Hotel/@11.143537,75.8766962,13z/data=!4m14!1m3!2m2!1shotel+kondotty!6e3!3m9!1s0x3ba64effafa54f7f:0x2d1feca2394f74d1!5m2!4m1!1i2!8m2!3d11.1423662!4d75.9485636!15sCg5ob3RlbCBrb25kb3R0eZIBBWxvZGdlqgFCEAEqCSIFaG90ZWwoADIfEAEiG_I6fLsVIaY5Bq4dZJQBfq6WeTDdpih_HbqeozISEAIiDmhvdGVsIGtvbmRvdHR54AEA!16s%2Fg%2F11cmy89_2k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+kondotty,"11.143537, 75.8766962",,,Food_Businesses,3.6,194.0,"₹1,064",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel kondotty,2025-08-09 21:56:37
