name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
PMR GRANDAYS HOTEL,"PMR Grand MALL, Down Hill, Malappuram, Kerala 676519",087100 70070,"https://www.google.com/maps/place/PMR+GRANDAYS+HOTEL/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64b52c1b0b633:0x892fd763d1561cfa!5m2!4m1!1i2!8m2!3d11.0453081!4d76.0754648!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11pkc7vkq0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",,,Food_Businesses,4.1,192,"₹1,361",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:25
Hotel Woodbine Foliage,"Up Hill, Malappuram, Kerala 676505",080861 00160,"https://www.google.com/maps/place/Hotel+Woodbine+Foliage/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba635303bcbcd8f:0x9604664dc9c055e0!5m2!4m1!1i2!8m2!3d11.0407153!4d76.093385!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11ll78yqtn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",woodbinehotels.in,,Food_Businesses,4.2,750,"₹3,825",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:30
Soorya Regency,"Kavungal - Munduparamba Bypass Rd, Up Hill, Malappuram, Kerala 676505",0483 273 5674,"https://www.google.com/maps/place/Soorya+Regency/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba6355d7deb66a7:0x11db671f6855fc9a!5m2!4m1!1i2!8m2!3d11.0408197!4d76.0947596!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F113gl657s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",hotelsooryaregency.com,,Food_Businesses,3.6,830,"₹2,180",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:34
Espero,"3329+9Q7, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",089216 02020,"https://www.google.com/maps/place/Espero/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64b9a2ce2b871:0x40fc0b20bc689a3!5m2!4m1!1i2!8m2!3d11.0508655!4d76.0693686!15sChBob3RlbCBtYWxhcHB1cmFtkgEDaW5uqgFEEAEqCSIFaG90ZWwoADIfEAEiG-KE4ARTLK389CzXFMGB-RzJbunMZ1LhhVHp0TIUEAIiEGhvdGVsIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11sqk6gtfq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",esperohotels.com,,Food_Businesses,4.9,116,"₹3,916",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:39
Hotel Malappuram Focuz Habitat,"MCT law college, road, Melmuri, Malappuram, Kerala 676517",085920 11120,"https://www.google.com/maps/place/Hotel+Malappuram+Focuz+Habitat/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64bc0aa73aed3:0xe7d4428d5884c412!5m2!4m1!1i2!8m2!3d11.0740785!4d76.0776806!15sChBob3RlbCBtYWxhcHB1cmFtkgENaGVhbHRoX3Jlc29ydKoBRBABKgkiBWhvdGVsKAAyHxABIhvihOAEUyyt_PQs1xTBgfkcyW7pzGdS4YVR6dEyFBACIhBob3RlbCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11rzqvcn7b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",focuzhabitat.com,,Food_Businesses,4.9,50,"₹2,926",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:44
Mahendrapuri,"Palakkad - Kozhikode Hwy, Kavungal, Up Hill, Malappuram, Kerala 676505",098477 34101,"https://www.google.com/maps/place/Mahendrapuri/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba6355c79e58633:0x4ab941cc2a73f563!5m2!4m1!1i2!8m2!3d11.0357734!4d76.0936189!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F1tzzsyr2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",hotelmahendrapuri.com,,Food_Businesses,3.9,367,"₹1,770",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:49
Karibu Residency,"opposite MB hospital, Varangode, Down Hill, Malappuram, Kerala 676519",082816 36677,"https://www.google.com/maps/place/Karibu+Residency/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64b708f253887:0x942d83cb22b8f983!5m2!4m1!1i2!8m2!3d11.0537252!4d76.0799428!15sChBob3RlbCBtYWxhcHB1cmFtkgEFbG9kZ2WqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11gxsh8gnn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",kariburesidency.com,,Food_Businesses,4.5,372,"₹1,846",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:54
Bloomax Residency,"near Budget Hyper Market, Varangode, Down Hill, Malappuram, Kerala 676519",075108 00060,"https://www.google.com/maps/place/Bloomax+Residency/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64bd938d85d7f:0x373f6c658c32228!5m2!4m1!1i2!8m2!3d11.0558337!4d76.0822982!15sChBob3RlbCBtYWxhcHB1cmFtkgEFbW90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11ybtcqtpp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",bloomaxresidency.com,,Food_Businesses,4.6,31,"₹3,136",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:36:58
PLAZA RESIDENCY & CONFERENCE HALL,"Thangal shopping complex, kottapadi, Down Hill, Malappuram, Kerala 676519",094468 85395,"https://www.google.com/maps/place/PLAZA+RESIDENCY+%26+CONFERENCE+HALL/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba64a9a12b41373:0x42fddeb5e893c206!5m2!4m1!1i2!8m2!3d11.0467726!4d76.0749107!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F12lsfxb8n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",shiyafhotels.com,,Food_Businesses,4.1,199,"₹3,469",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:37:03
SUHAILS RESIDENCY,"Munduparamba, Malappuram, Kerala 676509",080860 33950,"https://www.google.com/maps/place/SUHAILS+RESIDENCY/@11.0544349,75.9220616,12z/data=!4m14!1m3!2m2!1shotel+malappuram!6e3!3m9!1s0x3ba6355d082567b9:0xa7fd2ad031b1c1a6!5m2!4m1!1i2!8m2!3d11.0523107!4d76.0898669!15sChBob3RlbCBtYWxhcHB1cmFtkgEFaG90ZWyqAUQQASoJIgVob3RlbCgAMh8QASIb4oTgBFMsrfz0LNcUwYH5HMlu6cxnUuGFUenRMhQQAiIQaG90ZWwgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11tfhhyn36?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+malappuram,"11.0544349, 75.9220616",,,Food_Businesses,4.2,50,"₹1,601",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel malappuram,2025-08-09 21:37:08
