name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Hotel Picnic,"Court Rd, Karuvambram, Manjeri, Kerala 676121",0483 276 1877,"https://www.google.com/maps/place/Hotel+Picnic/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba6372b1f71bd1d:0x3ada1c258b656063!5m2!4m1!1i2!8m2!3d11.1170997!4d76.1193618!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11rjv8bkjh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",hotelpicnic.in,,Food_Businesses,3.6,207,"₹1,426",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:07
Dreams Residency,"PN Tower, opposite Govt Boys School, Kacherippadi, Manjeri, Kerala 676121",099462 00042,"https://www.google.com/maps/place/Dreams+Residency/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637ff329dbc27:0x3678f1dd2a3c9d7a!5m2!4m1!1i2!8m2!3d11.1109784!4d76.1199677!15sCg1ob3RlbCBtYW5qZXJpkgEFbG9kZ2WqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11s110w3vh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",dreams-residency.com,,Food_Businesses,4.7,304,"₹1,340",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:11
Hotel Diamond Castle,"Nilambur - Malappuram Rd, near GMLP School Road, Thanippara, Kuthukal, Manjeri, Kerala 676123",080869 83333,"https://www.google.com/maps/place/Hotel+Diamond+Castle/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637bdc84bf3c7:0xc67240b28cf00c7f!5m2!4m1!1i2!8m2!3d11.1222879!4d76.1215651!15sCg1ob3RlbCBtYW5qZXJpkgEMcmVzb3J0X2hvdGVsqgFAEAEqCSIFaG90ZWwoADIeEAEiGvI6TRoGLXvJNywHk5nf-j6EZeeiKUqZDUjBMhEQAiINaG90ZWwgbWFuamVyaeABAA!16s%2Fg%2F11wx8lk7jg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",diamondcastle.in,,Food_Businesses,4.6,20,"₹1,846",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:16
Itsy Hotels Sapphire Residency,"SAPPHIRE BUILDING, Nilambur - Malappuram Rd, Karuvambram, Manjeri, Kerala 676123",093228 00100,"https://www.google.com/maps/place/Itsy+Hotels+Sapphire+Residency/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba6374d98104e61:0xf519b0c9446a58a5!5m2!4m1!1i2!8m2!3d11.1216281!4d76.1194267!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11sc3mz_9b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",treebo.com,,Food_Businesses,4.9,723,"₹2,351",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:21
The Terrace by Ladder,"44C8+486, Karuvambram, Manjeri, Kerala 676123",085939 60022,"https://www.google.com/maps/place/The+Terrace+by+Ladder/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637af17cd76ef:0x472b1ad9c93ad203!5m2!4m1!1i2!8m2!3d11.120617!4d76.1154014!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11rjwvvcv6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",Claim this business,,Food_Businesses,4.4,80,"₹2,541",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:26
Hotel Gokulam Residency,"Industrial Estate Rd, near Eranad Hospital, Karuvambram, Manjeri, Kerala 676121",080758 47873,"https://www.google.com/maps/place/Hotel+Gokulam+Residency/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637ca8e8c6e47:0x8073b332af0db840!5m2!4m1!1i2!8m2!3d11.118953!4d76.1183152!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11sr6hyhqp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",gokulamhotels.com,,Food_Businesses,4.1,131,"₹6,862",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:31
Hyde Park Royal Suites,"Ooty Road, Melakkam, Manjeri, Kerala 676123",098479 80033,"https://www.google.com/maps/place/Hyde+Park+Royal+Suites/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba6366a1e8362a7:0x96975d3b6ab6a63c!5m2!4m1!1i2!8m2!3d11.1292525!4d76.114381!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11b7jjcpbg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",hydeparkmanjeri.com,,Food_Businesses,4.1,151,"₹2,688",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:35
Abhayam Residency,"Kacherippadi, Manjeri, Kerala 676121",088487 17170,"https://www.google.com/maps/place/Abhayam+Residency/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637da6ad58c69:0xf8aed66ec09d5320!5m2!4m1!1i2!8m2!3d11.1111372!4d76.119523!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11vxbqbvbg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",,,Food_Businesses,4.5,19,"₹1,412",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:40
Redbell Suites Manjeri,"44F9+X5P, SH24, Melakkam, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Redbell+Suites+Manjeri/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637f2434662d1:0x80e715af424a3fbb!5m2!4m1!1i2!8m2!3d11.1249604!4d76.1179584!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11n6dz8l3b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",Claim this business,,Food_Businesses,3.2,31,"₹2,518",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:45
Zostay Urban Retreat – Deluxe Rooms & Premium Dorms,"Kuthukal Rd, Kuthukal, Manjeri, Kerala 676121",081118 77750,"https://www.google.com/maps/place/Zostay+Urban+Retreat+%E2%80%93+Deluxe+Rooms+%26+Premium+Dorms/@11.0924563,76.0584229,13z/data=!4m14!1m3!2m2!1shotel+manjeri!6e3!3m9!1s0x3ba637e74b4a8281:0xf039080f5af60bb9!5m2!4m1!1i2!8m2!3d11.1231126!4d76.1201708!15sCg1ob3RlbCBtYW5qZXJpkgEFaG90ZWyqAUAQASoJIgVob3RlbCgAMh4QASIa8jpNGgYte8k3LAeTmd_6PoRl56IpSpkNSMEyERACIg1ob3RlbCBtYW5qZXJp4AEA!16s%2Fg%2F11ycdpd205?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+manjeri,"11.0924563, 76.0584229",zostay.in,,Food_Businesses,4.8,111,"₹1,809",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel manjeri,2025-08-09 21:39:50
