name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
HOTEL PARK RESIDENCY,"Oppo. Private Bus Stand, V.K. Rd, Nilambur, Kerala 679329",04931 228 888,"https://www.google.com/maps/place/HOTEL+PARK+RESIDENCY/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b764508e795:0xe6d40b5e3d5a7b6f!5m2!4m1!1i2!8m2!3d11.2758227!4d76.2269325!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11cs3219b6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",parkresidencynilambur.com,,Food_Businesses,4.1,991,"₹1,714",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:46:47
Emarald Hotels Nilambur,"76GG+355, Panchayat Rd, Nilambur, Kerala 679329",083018 58455,"https://www.google.com/maps/place/Emarald+Hotels+Nilambur/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b006b832ab3:0x794d08eab344d36a!5m2!4m1!1i2!8m2!3d11.274447!4d76.2256049!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11w98lhqqm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",emaraldnilambur.in,,Food_Businesses,4.8,12,"₹1,340",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:46:52
Hotel GD International's Redfort,"V.K. Road, Nilambur, Kerala 679329",073565 87999,"https://www.google.com/maps/place/Hotel+GD+International's+Redfort/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b7660a9c681:0x4e50a37615e6dafe!5m2!4m1!1i2!8m2!3d11.2748653!4d76.2269771!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F1v62g2f8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",hotelredfort.com,,Food_Businesses,3.9,437,"₹1,502",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:46:57
WILLOW RESIDENCY,"ILLIKKAL ARCADE, opposite FEDERAL BANK NILAMBUR, Nilambur, Kerala 679329",070349 50457,"https://www.google.com/maps/place/WILLOW+RESIDENCY/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63ba6ec6f882f:0x6fc700a7b69fd1ee!5m2!4m1!1i2!8m2!3d11.2775086!4d76.2267928!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11ry0p1gfj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",bookingjini.com,,Food_Businesses,4.4,118,"₹1,688",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:02
Melbon Residency,"Melbon Residency, V.K. Rd, Manalody, Nilambur, Kerala 679329",062355 93333,"https://www.google.com/maps/place/Melbon+Residency/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63ba2b450d1ab:0xa20af2049b70d013!5m2!4m1!1i2!8m2!3d11.2766518!4d76.2276921!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWxvZGdlqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11sfqn8lrl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",melbonresidency.com,,Food_Businesses,3.4,43,"₹1,400",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:07
Rose International Hotel,"Kozhikode-Nilmbur-Gudallur Rd, Nilambur, Kerala 679329",083048 68487,"https://www.google.com/maps/place/Rose+International+Hotel/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b9865915459:0x4179bc7948ddaa9b!5m2!4m1!1i2!8m2!3d11.2682824!4d76.2158748!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F1tcycxb0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",roseinternationalhotel.com,,Food_Businesses,3.8,1051,"₹1,848",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:11
Nilambur Manor Hotel,"Ooty Road, Valanchery - Nilambur Rd, Manalody, Nilambur, Kerala 679329",04931 221 984,"https://www.google.com/maps/place/Nilambur+Manor+Hotel/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b77b6ed14d5:0x2252a62116ba4d81!5m2!4m1!1i2!8m2!3d11.2764385!4d76.2261617!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11d_7t5fbl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",nilamburmanor.com,,Food_Businesses,3.5,179,"₹1,771",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:16
KTDC Tamarind,"Nilambur-Ooty Road, Near Karimpuzha Bridge, Nilambur - Chungathara Rd, P.O, Nilambur, Kerala 679329",04931 232 000,"https://www.google.com/maps/place/KTDC+Tamarind/@11.2758227,76.1548347,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b98f235a701:0x23be92027ed8d8de!5m2!4m1!1i2!8m2!3d11.307327!4d76.2546872!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWhvdGVsqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F1tgfv1h7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2758227, 76.1548347",ktdc.com,,Food_Businesses,3.9,1231,"₹2,790",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:21
Rockdale Resort,"Thalipoyil, Mampad, Nilambur, Kerala 676542",062350 05228,"https://www.google.com/maps/place/Rockdale+Resort/@11.2564692,76.1200805,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b18dbae8e65:0xd6dce2588a2b7ba4!5m2!4m1!1i2!8m2!3d11.2564692!4d76.1921783!15sCg5ob3RlbCBuaWxhbWJ1cpIBDHJlc29ydF9ob3RlbKoBQRABKgkiBWhvdGVsKAAyHhABIhrdt7N-UixC0wS8WoAiG-yquL8P0N2r8scjGjISEAIiDmhvdGVsIG5pbGFtYnVy4AEA!16s%2Fg%2F11rhsxq2n1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2564692, 76.1200805",,,Food_Businesses,4.5,422,"₹5,115",,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:26
Nilambapuri Residency,"Hospital Road, Nilambur, Kerala 679329",092075 35195,"https://www.google.com/maps/place/Nilambapuri+Residency/@11.2564692,76.1200805,13z/data=!4m14!1m3!2m2!1shotel+nilambur!6e3!3m9!1s0x3ba63b3221323cbf:0x128542fe9c8b0085!5m2!4m1!1i2!8m2!3d11.2770241!4d76.2243286!15sCg5ob3RlbCBuaWxhbWJ1cpIBBWxvZGdlqgFBEAEqCSIFaG90ZWwoADIeEAEiGt23s35SLELTBLxagCIb7Kq4vw_Q3avyxyMaMhIQAiIOaG90ZWwgbmlsYW1idXLgAQA!16s%2Fg%2F11gl369lr7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+nilambur,"11.2564692, 76.1200805",nilambapuri.com,,Food_Businesses,3.8,85,,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel nilambur,2025-08-09 21:47:30
