name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Rouba Residency,"NH 66, C.V Junction, Malappuram, Ponnani, Kerala 679577",077367 13255,"https://www.google.com/maps/place/Rouba+Residency/@10.7706546,75.9252466,15z/data=!4m13!1m2!2m1!1shotel+ponnani!3m9!1s0x3ba7bb092cc29705:0xb8fff2146aa60d6d!5m2!4m1!1i2!8m2!3d10.7770614!4d75.9407107!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQVob3RlbKoBQRABKgkiBWhvdGVsKAAyHxABIhv1ewqOvLZ4jjkheU_jDBLPMowm-HRBf7cMXF8yERACIg1ob3RlbCBwb25uYW5p4AEA!16s%2Fg%2F11b61rylpj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7706546, 75.9252466",roubaresidency.com,,Food_Businesses,3.7,1445,₹600–800,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel ponnani,2025-08-09 21:53:57
Hotel Chitra Ponnani,"QWMV+C76, Palakkad - Ponnani Rd, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Hotel+Chitra+Ponnani/@10.7706546,75.9252466,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb06fe9f5cc7:0xcab11fb4badfe892!8m2!3d10.783542!4d75.9431408!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFBEAEqCSIFaG90ZWwoADIfEAEiG_V7Co68tniOOSF5T-MMEs8yjCb4dEF_twxcXzIREAIiDWhvdGVsIHBvbm5hbmngAQA!16s%2Fg%2F11fy4ypyvx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7706546, 75.9252466",Claim this business,Restaurant,Food_Businesses,4.0,32,₹600–800,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:02
Bombay Hotel,"QW8G+V8C, Malappuram, Ponnani, Kerala 679586",098477 95345,"https://www.google.com/maps/place/Bombay+Hotel/@10.7671876,75.9077499,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb6ae0c3d26d:0xa9fb34167f71d894!8m2!3d10.7671876!4d75.9257743!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFBEAEqCSIFaG90ZWwoADIfEAEiG_V7Co68tniOOSF5T-MMEs8yjCb4dEF_twxcXzIREAIiDWhvdGVsIHBvbm5hbmngAQA!16s%2Fg%2F1tgc7z7y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7671876, 75.9077499",Claim this business,Restaurant,Food_Businesses,3.3,75,₹600–800,10:30pm,⋅ 10:30pm ⋅ Opens 7am Sun,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:06
HOTEL MARFI,"near Mobile House, Kollanpadi, Ponnani, Kerala 679577",079946 99199,"https://www.google.com/maps/place/HOTEL+MARFI/@10.7662659,75.9181454,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb4561be98b7:0x939e27062d6d8ed9!8m2!3d10.7662659!4d75.9361698!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFBEAEqCSIFaG90ZWwoADIfEAEiG_V7Co68tniOOSF5T-MMEs8yjCb4dEF_twxcXzIREAIiDWhvdGVsIHBvbm5hbmngAQA!16s%2Fg%2F11v_1_rt4_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7662659, 75.9181454",,Restaurant,Food_Businesses,5.0,13,₹600–800,Closes 11:30pm,⋅ Closes 11:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:11
Harbour Heritage Restaurant,"Mukkuttakkal Bridge Substation Side, Near, Ponnani, Kerala 679577",090720 00029,"https://www.google.com/maps/place/Harbour+Heritage+Restaurant/@10.7735807,75.9298609,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb00107316d5:0xb75cd81de5345609!8m2!3d10.7735807!4d75.9478853!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSARdzb3V0aF9pbmRpYW5fcmVzdGF1cmFudKoBQRABKgkiBWhvdGVsKAAyHxABIhv1ewqOvLZ4jjkheU_jDBLPMowm-HRBf7cMXF8yERACIg1ob3RlbCBwb25uYW5p4AEA!16s%2Fg%2F11v_28rfnz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7735807, 75.9298609",wa.me,South Indian restaurant,Food_Businesses,4.5,40,₹600–800,Closes 12pm Sun,⋅ Closes 12pm Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:16
Haneena Restaurant,"QWHF+F7F, Malappuram, Ponnani, Kerala 679583",,"https://www.google.com/maps/place/Haneena+Restaurant/@10.7786746,75.905183,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb5ce90d9a8d:0xe620a47bc53387cf!8m2!3d10.7786746!4d75.9232074!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFBEAEqCSIFaG90ZWwoADIfEAEiG_V7Co68tniOOSF5T-MMEs8yjCb4dEF_twxcXzIREAIiDWhvdGVsIHBvbm5hbmngAQA!16s%2Fg%2F11rwssv21j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7786746, 75.905183",,Restaurant,Food_Businesses,3.6,162,₹600–800,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:21
Safa restaurant,"QWMW+VFG, chavakkad road, CV jn, Ponnani, Kerala 679577",Local Guide · 104 reviews · 98 photos,"https://www.google.com/maps/place/Safa+restaurant/@10.7846775,75.9281904,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bbe7ff3e84ff:0xc2853dc6a6cb0ec8!8m2!3d10.7846775!4d75.9462148!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSARFmYW1pbHlfcmVzdGF1cmFudKoBQRABKgkiBWhvdGVsKAAyHxABIhv1ewqOvLZ4jjkheU_jDBLPMowm-HRBf7cMXF8yERACIg1ob3RlbCBwb25uYW5p4AEA!16s%2Fg%2F11rttzqp51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7846775, 75.9281904",Claim this business,Family restaurant,Food_Businesses,3.8,1121,₹600–800,Open 24 hours,Open 24 hours,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:25
Hotel GALAXY,"QW4H+JWC, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Hotel+GALAXY/@10.756632,75.9117187,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb000274ace1:0x7cff98d0a6f82bd7!8m2!3d10.756632!4d75.9297431!15sCg1ob3RlbCBwb25uYW5pkgEFaG90ZWyqAUEQASoJIgVob3RlbCgAMh8QASIb9XsKjry2eI45IXlP4wwSzzKMJvh0QX-3DFxfMhEQAiINaG90ZWwgcG9ubmFuaeABAA!16s%2Fg%2F11x2x6wqk_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.756632, 75.9117187",Claim this business,Hotel,Food_Businesses,4.5,2,₹600–800,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,hotel ponnani,2025-08-09 21:54:30
Surabhi Hotel,"QWJJ+WJW, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Surabhi+Hotel/@10.7823603,75.913563,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bb1afffd2cb5:0xcb4323b658c9b48c!8m2!3d10.7823603!4d75.9315874!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSAQpyZXN0YXVyYW50qgFBEAEqCSIFaG90ZWwoADIfEAEiG_V7Co68tniOOSF5T-MMEs8yjCb4dEF_twxcXzIREAIiDWhvdGVsIHBvbm5hbmngAQA!16s%2Fg%2F11hctjgz2t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7823603, 75.913563",Claim this business,Restaurant,Food_Businesses,4.2,22,₹600–800,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,hotel ponnani,2025-08-09 21:54:35
Janakeeya hotel,"Chanthappadi Jct Rd, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Janakeeya+hotel/@10.7823603,75.913563,15z/data=!4m10!1m2!2m1!1shotel+ponnani!3m6!1s0x3ba7bbfcc4261703:0xd9599324dd1a3289!8m2!3d10.7822508!4d75.9355401!15sCg1ob3RlbCBwb25uYW5pWg8iDWhvdGVsIHBvbm5hbmmSARFpbmRpYW5fcmVzdGF1cmFudKoBQRABKgkiBWhvdGVsKAAyHxABIhv1ewqOvLZ4jjkheU_jDBLPMowm-HRBf7cMXF8yERACIg1ob3RlbCBwb25uYW5p4AEA!16s%2Fg%2F11rzfnnh9c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+ponnani,"10.7823603, 75.913563",,Indian restaurant,Food_Businesses,5.0,5,₹600–800,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,121.0,Not Available,,,hotel ponnani,2025-08-09 21:54:40
