name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Grace Residency Tirur,"Thazhepalam, Tirur, Kerala 676101",0494 208 2000,"https://www.google.com/maps/place/Grace+Residency+Tirur/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b1eb8497dfe5:0x8230d6fc0efe8e65!5m2!4m1!1i2!8m2!3d10.9113108!4d75.9193891!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBBWhvdGVsqgE-EAEqCSIFaG90ZWwoADIeEAEiGu4PMXSoN42OzWdSPFsBCQL5Nb_CAVvDn2p5Mg8QAiILaG90ZWwgdGlydXLgAQA!16s%2Fg%2F11rxj6hkkw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",graceresidencytirur.com,,Food_Businesses,4.2,245.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:49:30
Sangamam residency,"Masjid Road,, Tirur, Kerala 676101",0494 242 5005,"https://www.google.com/maps/place/Sangamam+residency/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b1f3daaaaaab:0x6f4753d68ebd110e!5m2!4m1!1i2!8m2!3d10.9136568!4d75.9175846!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBDmluZG9vcl9sb2RnaW5nqgE-EAEqCSIFaG90ZWwoADIeEAEiGu4PMXSoN42OzWdSPFsBCQL5Nb_CAVvDn2p5Mg8QAiILaG90ZWwgdGlydXLgAQA!16s%2Fg%2F12mh4hd6k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",sangamamresidency.com,,Food_Businesses,3.8,687.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:49:34
Hotel Continento,"opp. Railway Station Bypass Road, Chembra, Tirur, Kerala 676101",070350 00888,"https://www.google.com/maps/place/Hotel+Continento/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b1f49cebb231:0xaaa5e0eae96fe128!5m2!4m1!1i2!8m2!3d10.917348!4d75.921044!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBBWhvdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5JZVVrM1MxQlJFQUWqAT4QASoJIgVob3RlbCgAMh4QASIa7g8xdKg3jY7NZ1I8WwEJAvk1v8IBW8OfankyDxACIgtob3RlbCB0aXJ1cuABAPoBBAgAEEI!16s%2Fg%2F11b77s6b08?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",,,Food_Businesses,4.0,501.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:49:39
Tirur Tourist Home,"VPS Building, Opp: Tirur railway station No.300,Court road, Tirur, Kerala 676101",090610 42571,"https://www.google.com/maps/place/Tirur+Tourist+Home/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b1f49f871c1d:0x71f4f731515bb9d!5m2!4m1!1i2!8m2!3d10.9172571!4d75.9215477!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBBWhvdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJTT0ZCeFgwVkJFQUWqAT4QASoJIgVob3RlbCgAMh4QASIa7g8xdKg3jY7NZ1I8WwEJAvk1v8IBW8OfankyDxACIgtob3RlbCB0aXJ1cuABAPoBBAgAEBk!16s%2Fg%2F11g8v5196j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",,,Food_Businesses,3.6,486.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:49:44
HOTEL ARYAAS,"Thunchan Rd, Tirur, Kerala 676101",095044 88887,"https://www.google.com/maps/place/HOTEL+ARYAAS/@10.9113108,75.8833402,14z/data=!4m11!1m3!2m2!1shotel+tirur!6e5!3m6!1s0x3ba7b12544163aa1:0x10dab845ab7700aa!8m2!3d10.9089352!4d75.9195735!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBFXZlZ2V0YXJpYW5fcmVzdGF1cmFudKoBPhABKgkiBWhvdGVsKAAyHhABIhruDzF0qDeNjs1nUjxbAQkC-TW_wgFbw59qeTIPEAIiC2hvdGVsIHRpcnVy4AEA!16s%2Fg%2F11m49r39d3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",Place an order,Vegetarian restaurant,Food_Businesses,4.4,2941.0,₹₹,Opens 7:30am Sun,⋅ Opens 7:30am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,hotel tirur,2025-08-09 21:49:49
Sabka Hotel,"Thazepalam Junction, Thazhepalam, Tirur, Kerala 676101",086061 98606,"https://www.google.com/maps/place/Sabka+Hotel/@10.9113108,75.8833402,14z/data=!4m11!1m3!2m2!1shotel+tirur!6e5!3m6!1s0x3ba7b1f246fbc8b9:0x35a95cfbeb50a050!8m2!3d10.9135363!4d75.9190256!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBGW5vbl92ZWdldGFyaWFuX3Jlc3RhdXJhbnSqAT4QASoJIgVob3RlbCgAMh4QASIa7g8xdKg3jY7NZ1I8WwEJAvk1v8IBW8OfankyDxACIgtob3RlbCB0aXJ1cuABAA!16s%2Fg%2F1234zh_71?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",sabkagroup.com,Non Vegetarian Restaurant,Food_Businesses,3.8,1626.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,hotel tirur,2025-08-09 21:49:53
Metro Residency,"Ezhur Rd, near Savera Hospital, Muthoor, Tirur, Kerala 676101",099464 99924,"https://www.google.com/maps/place/Metro+Residency/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b1000565ddb3:0xeb68c08b9eeb769c!5m2!4m1!1i2!8m2!3d10.9156755!4d75.9245156!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBBWhvdGVsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5tTlU1SU1qaEJSUkFCqgE-EAEqCSIFaG90ZWwoADIeEAEiGu4PMXSoN42OzWdSPFsBCQL5Nb_CAVvDn2p5Mg8QAiILaG90ZWwgdGlydXLgAQD6AQQIABAv!16s%2Fg%2F11y44xcqn3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",metrohotels.co.in,,Food_Businesses,4.7,126.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:49:58
City Hotel,"WW7C+VQQ, Chembra, Tirur, Kerala 676101",0494 242 2494,"https://www.google.com/maps/place/City+Hotel/@10.9113108,75.8833402,14z/data=!4m11!1m3!2m2!1shotel+tirur!6e5!3m6!1s0x3ba7b1f326cd2fc3:0x6e1765665cace7b7!8m2!3d10.9147083!4d75.921973!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBCnJlc3RhdXJhbnSqAT4QASoJIgVob3RlbCgAMh4QASIa7g8xdKg3jY7NZ1I8WwEJAvk1v8IBW8OfankyDxACIgtob3RlbCB0aXJ1cuABAA!16s%2Fg%2F11f03k4d77?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",Claim this business,Restaurant,Food_Businesses,3.7,293.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,hotel tirur,2025-08-09 21:50:03
Greencity Tourist Home,"Court Rd, Chembra, Tirur, Kerala 676101",097452 50266,"https://www.google.com/maps/place/Greencity+Tourist+Home/@10.9113108,75.8833402,14z/data=!4m14!1m3!2m2!1shotel+tirur!6e5!3m9!1s0x3ba7b18a7a0ccfe1:0xee1767b327279bec!5m2!4m1!1i2!8m2!3d10.9170223!4d75.9212621!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBBWhvdGVsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJQYW1KaFVYQjNSUkFCqgE-EAEqCSIFaG90ZWwoADIeEAEiGu4PMXSoN42OzWdSPFsBCQL5Nb_CAVvDn2p5Mg8QAiILaG90ZWwgdGlydXLgAQD6AQQIABAS!16s%2Fg%2F11s2k2mhj6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",greencitytouristhome.com,,Food_Businesses,4.2,43.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,hotel tirur,2025-08-09 21:50:08
Sangam Vegetarian Hotel Tirur,"Jilla Hospital Road, City Junction, Tirur, Kerala 676101",088912 79340,"https://www.google.com/maps/place/Sangam+Vegetarian+Hotel+Tirur/@10.9113108,75.8833402,14z/data=!4m11!1m3!2m2!1shotel+tirur!6e5!3m6!1s0x3ba7b1f3f97ea805:0x23ecab4a0a59dba8!8m2!3d10.9141247!4d75.9226159!15sCgtob3RlbCB0aXJ1cloNIgtob3RlbCB0aXJ1cpIBEmFwYXJ0bWVudF9idWlsZGluZ5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRWVtOHpjbHBSRUFFqgE-EAEqCSIFaG90ZWwoADIeEAEiGu4PMXSoN42OzWdSPFsBCQL5Nb_CAVvDn2p5Mg8QAiILaG90ZWwgdGlydXLgAQD6AQUIkgQQQQ!16s%2Fg%2F11gjhnm8rp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",hotel+tirur,"10.9113108, 75.8833402",,Apartment building,Food_Businesses,4.1,110.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,hotel tirur,2025-08-09 21:50:13
