name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Airlines Celestial Family Restaurant,"Jn, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",0483 273 8663,"https://www.google.com/maps/place/Airlines+Celestial+Family+Restaurant/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64a8fd5fb01d5:0x2a6177ee49445ea9!8m2!3d11.0507843!4d76.0714435!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgERZmFtaWx5X3Jlc3RhdXJhbnSqAU4QASoOIgpyZXN0YXVyYW50KAAyHxABIhvnq54ng3M2RyLBqaoetapr80mKt25ifWyq94QyGRACIhVyZXN0YXVyYW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1tdz37rd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",airlinescelestial.com,Family restaurant,Food_Businesses,4.3,6409.0,₹₹,11pm,Closes soon ⋅ 11pm ⋅ Opens 8am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:00:59
Hotel Delicia,"Bus Stand Rd, near Municipality, Down Hill, Malappuram, Kerala 676505",085930 00015,"https://www.google.com/maps/place/Hotel+Delicia/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64a99970f9e53:0x36616a8bece879f4!8m2!3d11.0444735!4d76.0759711!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAU4QASoOIgpyZXN0YXVyYW50KAAyHxABIhvnq54ng3M2RyLBqaoetapr80mKt25ifWyq94QyGRACIhVyZXN0YXVyYW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1q5bmk4h1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",deliciahotel.com,South Indian restaurant,Food_Businesses,4.4,6220.0,₹₹,10:45pm,⋅ 10:45pm ⋅ Opens 8:30am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"Multi-cuisine restaurant with a clean, contemporary dining room as well as catering services.",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:04
THE Samco,"Market Rd, Down Hill, Malappuram, Kerala 676519",0483 273 4666,"https://www.google.com/maps/place/THE+Samco/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64a90a43c2993:0x14c4d66e4d5789e0!8m2!3d11.0463933!4d76.0736307!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgERa2VyYWxhX3Jlc3RhdXJhbnSqAU4QASoOIgpyZXN0YXVyYW50KAAyHxABIhvnq54ng3M2RyLBqaoetapr80mKt25ifWyq94QyGRACIhVyZXN0YXVyYW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11dxd52psj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",Place an order,Kerala restaurant,Food_Businesses,4.2,1017.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",kerbside pickup; delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:08
Tham Restaurant Malappuram,"Munduparamba Bypass, Junction, Machingal - Munduparamba Rd, Malappuram, Kerala 676509",,"https://www.google.com/maps/place/Tham+Restaurant+Malappuram/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba63500534db737:0x3be0ec137207d0b1!8m2!3d11.0526449!4d76.0889295!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBThABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-ernieDczZHIsGpqh61qmvzSYq3bmJ9bKr3hDIZEAIiFXJlc3RhdXJhbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11yd5h18cf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",thamrestaurant.bio.link,Restaurant,Food_Businesses,4.7,30.0,₹₹,11pm,Closes soon ⋅ 11pm ⋅ Opens 12pm Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:13
Barcode,"Jazz tower, Bypass Rd, kottapady, Down Hill, Malappuram, Kerala 676519",070257 02930,"https://www.google.com/maps/place/Barcode/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64b0b27e0a8ad:0x14476237fc47ff71!8m2!3d11.0434378!4d76.0736691!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBThABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-ernieDczZHIsGpqh61qmvzSYq3bmJ9bKr3hDIZEAIiFXJlc3RhdXJhbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11fpg6mlyr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",,Restaurant,Food_Businesses,4.2,316.0,₹₹,11pm,⋅ 11pm ⋅ Opens 12:30pm Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:18
Madhbi Hotel,"334M+GHH, Down Hill, Malappuram, Kerala 676509",097447 04871,"https://www.google.com/maps/place/Madhbi+Hotel/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64a8216ee34cb:0xc578759850acf1de!8m2!3d11.0563112!4d76.0839842!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEPYXJhYl9yZXN0YXVyYW50qgFOEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb56ueJ4NzNkciwamqHrWqa_NJirduYn1sqveEMhkQAiIVcmVzdGF1cmFudCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11c59ts61x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",blackkingdom.in,Arab restaurant,Food_Businesses,4.0,1121.0,₹₹,10pm,⋅ 10pm ⋅ Opens 11am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:23
Hi,"Big Bazaar, Down Hill, Malappuram, Kerala 676519",089060 20202,"https://www.google.com/maps/place/Hi/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64bbd8531bc21:0xa3388c9d53a219e4!8m2!3d11.0520068!4d76.0627846!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBThABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-ernieDczZHIsGpqh61qmvzSYq3bmJ9bKr3hDIZEAIiFXJlc3RhdXJhbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11h22pp62r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",,Restaurant,Food_Businesses,3.9,138.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:28
AL BAITH MALAPPURAM,"Kizhakkethala, Down Hill, Malappuram, Kerala 676519",090722 00036,"https://www.google.com/maps/place/AL+BAITH+MALAPPURAM/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64b2235c7d38f:0xbf82df73dad5d32!8m2!3d11.0516276!4d76.0717648!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAU4QASoOIgpyZXN0YXVyYW50KAAyHxABIhvnq54ng3M2RyLBqaoetapr80mKt25ifWyq94QyGRACIhVyZXN0YXVyYW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11rd8htrth?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",albaithbroasted.dialndial.com,Fast food restaurant,Food_Businesses,4.7,1997.0,₹₹,Closes 11:40pm,Open ⋅ Closes 11:40pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:33
Grill Lounge Restaurant,"23VM+5HX, Up Hill, Malappuram, Kerala 676505",079024 51515,"https://www.google.com/maps/place/Grill+Lounge+Restaurant/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba64b00517776a5:0xa2fd4dff6988678d!8m2!3d11.043049!4d76.08402!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBThABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-ernieDczZHIsGpqh61qmvzSYq3bmJ9bKr3hDIZEAIiFXJlc3RhdXJhbnQgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11ycytj27p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",,Restaurant,Food_Businesses,4.0,90.0,₹₹,11pm,⋅ 11pm ⋅ Opens 11am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:38
Shawaya Hub Malappuram,"Keycees Building, Kavungal - Munduparamba Bypass Rd, Malappuram, Kerala 676509",062358 80088,"https://www.google.com/maps/place/Shawaya+Hub+Malappuram/@11.0507843,76.0353946,14z/data=!4m11!1m3!2m2!1srestaurant+malappuram!6e5!3m6!1s0x3ba635325d3f1d31:0xb4291bc5bdbec485!8m2!3d11.0543191!4d76.0875267!15sChVyZXN0YXVyYW50IG1hbGFwcHVyYW1aFyIVcmVzdGF1cmFudCBtYWxhcHB1cmFtkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAU4QASoOIgpyZXN0YXVyYW50KAAyHxABIhvnq54ng3M2RyLBqaoetapr80mKt25ifWyq94QyGRACIhVyZXN0YXVyYW50IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11q3f4fqwx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+malappuram,"11.0507843, 76.0353946",instagram.com,Fast food restaurant,Food_Businesses,4.1,1157.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant malappuram,2025-08-09 22:01:43
