name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KAUSAR RESTAURANT,"Santhigramam, Thurakkal, Manjeri, Kerala 676121",090726 47474,"https://www.google.com/maps/place/KAUSAR+RESTAURANT/@11.1098661,76.0948398,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba637a6548d7b89:0x54cb19b80f54a4cc!8m2!3d11.1126735!4d76.1156181!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgEKcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11pckyhxg8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1098661, 76.0948398",,Restaurant,Food_Businesses,4.6,1160.0,₹₹,Closes 11:30pm,Open ⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",drive-through; delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:07
FARSA RESTAURANT,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",097498 88333,"https://www.google.com/maps/place/FARSA+RESTAURANT/@11.1098661,76.0948398,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba6366b95555555:0x41a08fadffeedf13!8m2!3d11.123714!4d76.1149305!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgESYmlyeWFuaV9yZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb40yrU2yNpZsj4yUv1W1yv4OXXQf3wcfs5_JlMhYQAiIScmVzdGF1cmFudCBtYW5qZXJp4AEA!16s%2Fg%2F11ddyyxsw1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1098661, 76.0948398",farsagroup.com,Biryani restaurant,Food_Businesses,4.1,7134.0,₹₹,11pm,⋅ 11pm ⋅ Opens 7am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:13
Woodbine Restaurant,"Koothrat Towers, Court Rd, Vellarangal, Manjeri, Kerala 676121",097451 00160,"https://www.google.com/maps/place/Woodbine+Restaurant/@11.1098661,76.0948398,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba63670abf8be3d:0x225405be0c0d5f64!8m2!3d11.1143689!4d76.1200501!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgEKcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11h0h7ln5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1098661, 76.0948398",woodbinehotels.in,Restaurant,Food_Businesses,4.0,2502.0,₹₹,11pm,⋅ 11pm ⋅ Opens 8am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:18
Khayalat Restaurant,"Bapputty Bypass Road, Thurakkal, Manjeri, Kerala 676122",073568 88891,"https://www.google.com/maps/place/Khayalat+Restaurant/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba6373ef78457c1:0x4fc3694ceff520ad!8m2!3d11.1200363!4d76.111239!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgEKcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11y36j5v1r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",khayalat-link-xplorer.vercel.app,Restaurant,Food_Businesses,4.3,686.0,₹₹,Closes 11:45pm,⋅ Closes 11:45pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:23
Manna Restaurant,"Kacherippadi, Manjeri, Kerala 676121",097457 08006,"https://www.google.com/maps/place/Manna+Restaurant/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba637007a4b8f77:0x4e1441ca11450810!8m2!3d11.1099192!4d76.1169321!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgERYnVmZmV0X3Jlc3RhdXJhbnSqAUsQASoOIgpyZXN0YXVyYW50KAAyHxABIhvjTKtTbI2lmyPjJS_VbXK_g5ddB_fBx-zn8mUyFhACIhJyZXN0YXVyYW50IG1hbmplcmngAQA!16s%2Fg%2F11vy0tljfd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",malabarheritage.net,Buffet restaurant,Food_Businesses,4.8,86.0,₹₹,10:30pm,⋅ 10:30pm ⋅ Opens 11am Sun,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",takeaway; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:28
Yagma cafe,"44C5+RP5, Rajiv Gandhi Bypass, Patterkulam, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Yagma+cafe/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba63795243bcfa9:0x229bc8caf9c5db93!8m2!3d11.1220229!4d76.1093566!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgETYmFyYmVjdWVfcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11mv2s1_gq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",Place an order,Barbecue restaurant,Food_Businesses,4.2,499.0,₹₹,Closes 12am,⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:33
Closed,"Ground Floor, Shas Tower, Malappuram - Manjeri Rd, near Kacheri, Padi, Manjeri, Kerala 676121",097453 03133,"https://www.google.com/maps/place/Closed/@11.1200363,76.0751901,14z/data=!3m1!5s0x3ba6367808f54b4d:0xfec85818713acc71!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba63702cfa879d9:0xf343cde37b6dc62c!8m2!3d11.1087251!4d76.1212411!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgEKcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11s957p7c_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",blackkingdom.in,Restaurant,Food_Businesses,4.6,10.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",kerbside pickup; delivery; dine-in,,,Not Available,,,restaurant manjeri,2025-08-09 22:12:38
Hotel Oottupura,"Thurakkal Baputty Bypass Rd, Thurakkal, Manjeri, Kerala 676121",095671 26939,"https://www.google.com/maps/place/Hotel+Oottupura/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba637a3a5a26a97:0x751425b5caeb2d32!8m2!3d11.1194045!4d76.1114033!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgEKcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NMq1NsjaWbI-MlL9Vtcr-Dl10H98HH7OfyZTIWEAIiEnJlc3RhdXJhbnQgbWFuamVyaeABAA!16s%2Fg%2F11gyc2tkk2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",,Restaurant,Food_Businesses,4.0,871.0,₹₹,Closes 1am,⋅ Closes 1am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:43
The Grill Basket,"Nelliparambu Rd, opposite VP Hall, Kozhikkattu Kunnu, Manjeri, Kerala 676123",079947 05390,"https://www.google.com/maps/place/The+Grill+Basket/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba637ab544e86e7:0xb9f484b3d2616c2d!8m2!3d11.1296709!4d76.1156346!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgESdHVya2lzaF9yZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb40yrU2yNpZsj4yUv1W1yv4OXXQf3wcfs5_JlMhYQAiIScmVzdGF1cmFudCBtYW5qZXJp4AEA!16s%2Fg%2F11m_g3rqn9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",,Turkish restaurant,Food_Businesses,3.9,394.0,₹₹,11pm,⋅ 11pm ⋅ Opens 12pm Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:48
Midway Mandhi,"Rajiv Gandhi Bypass, Melakkam, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Midway+Mandhi/@11.1200363,76.0751901,14z/data=!4m11!1m3!2m2!1srestaurant+manjeri!6e5!3m6!1s0x3ba63753925990c1:0xc992602674b6fce6!8m2!3d11.1233019!4d76.1168193!15sChJyZXN0YXVyYW50IG1hbmplcmlaFCIScmVzdGF1cmFudCBtYW5qZXJpkgESY2hpY2tlbl9yZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb40yrU2yNpZsj4yUv1W1yv4OXXQf3wcfs5_JlMhYQAiIScmVzdGF1cmFudCBtYW5qZXJp4AEA!16s%2Fg%2F11p5ng01nv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+manjeri,"11.1200363, 76.0751901",blackkingdom.in,Chicken restaurant,Food_Businesses,3.9,401.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant manjeri,2025-08-09 22:12:53
