name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Muzwalla Grill & Mandi, Nilambur","Janathappadi,opposit Little flower school, Mysuru - Ooty Rd, Nilambur, Kerala 679334",080781 00555,"https://www.google.com/maps/place/Muzwalla+Grill+%26+Mandi,+Nilambur/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63b3799007c9b:0x4bb385b59f42840a!8m2!3d11.2817176!4d76.2321628!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh4QASIaxCxV8z_ALuonXVasrCentRwxbG8XuYztwIQyFxACIhNyZXN0YXVyYW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11n1txd6xb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Restaurant,Food_Businesses,4.4,1073.0,₹200–400,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:33:48
FARSA RESTAURANT NILAMBUR,"Nilambur, Kerala 679329",085568 88666,"https://www.google.com/maps/place/FARSA+RESTAURANT+NILAMBUR/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63bf6e55a0471:0x411372a5620ee003!8m2!3d11.2692232!4d76.2150533!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIeEAEiGsQsVfM_wC7qJ11WrKwnp7UcMWxvF7mM7cCEMhcQAiITcmVzdGF1cmFudCBuaWxhbWJ1cuABAA!16s%2Fg%2F11pb1bn4c0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",farsagroup.com,Indian restaurant,Food_Businesses,4.1,3707.0,₹200–400,11pm,⋅ 11pm ⋅ Opens 7am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:33:53
"Union Restaurant, Nilambur","Main road, Nilambur, Kerala 679329",04931 221 861,"https://www.google.com/maps/place/Union+Restaurant,+Nilambur/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63dc403b88583:0x433a597df0157768!8m2!3d11.276447!4d76.2258746!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIeEAEiGsQsVfM_wC7qJ11WrKwnp7UcMWxvF7mM7cCEMhcQAiITcmVzdGF1cmFudCBuaWxhbWJ1cuABAA!16s%2Fg%2F11ngyq82c4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Indian restaurant,Food_Businesses,3.9,721.0,₹200–400,11pm,⋅ 11pm ⋅ Opens 7am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:33:58
Raydan Restaurant Nilambur,"Ooty Rd, minarvappadi, Nilambur, Kerala 679330",070251 82892,"https://www.google.com/maps/place/Raydan+Restaurant+Nilambur/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63b7b236edcfb:0x88ed6b2c1f2bfb7e!8m2!3d11.2830517!4d76.2350545!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh4QASIaxCxV8z_ALuonXVasrCentRwxbG8XuYztwIQyFxACIhNyZXN0YXVyYW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11fy9z9h_r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Restaurant,Food_Businesses,3.9,1176.0,₹200–400,11pm,⋅ 11pm ⋅ Opens 11:30am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:03
Udupi pure vegetarian restaurant,"Karimpuzha, Nilambur, Kerala 679329",090729 02777,"https://www.google.com/maps/place/Udupi+pure+vegetarian+restaurant/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63da08d5c87f7:0xc9868f9bb182d42d!8m2!3d11.2995196!4d76.2487427!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSARV2ZWdldGFyaWFuX3Jlc3RhdXJhbnSqAUsQASoOIgpyZXN0YXVyYW50KAAyHhABIhrELFXzP8Au6iddVqysJ6e1HDFsbxe5jO3AhDIXEAIiE3Jlc3RhdXJhbnQgbmlsYW1idXLgAQA!16s%2Fg%2F11r7rj6706?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Vegetarian restaurant,Food_Businesses,3.9,818.0,₹200–400,Opens 7am Sun,⋅ Opens 7am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:08
White Lounge Restaurant,"Janathapadi Padikunnu, Nilambur, Kerala 679329",095268 81177,"https://www.google.com/maps/place/White+Lounge+Restaurant/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63bc3f44fafe3:0x94fc42e67c20b0c1!8m2!3d11.2825211!4d76.2339861!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSARFmYW1pbHlfcmVzdGF1cmFudKoBSxABKg4iCnJlc3RhdXJhbnQoADIeEAEiGsQsVfM_wC7qJ11WrKwnp7UcMWxvF7mM7cCEMhcQAiITcmVzdGF1cmFudCBuaWxhbWJ1cuABAA!16s%2Fg%2F11q3n6lh_m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Family restaurant,Food_Businesses,3.8,554.0,₹200–400,11pm,⋅ 11pm ⋅ Opens 11am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:13
Rahath Restaurant,"76PQ+JJ7, Chandakunnu, Nilambur, Kerala 679329",080864 69836,"https://www.google.com/maps/place/Rahath+Restaurant/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63b63768845f7:0x9ca73765fda840a0!8m2!3d11.2865469!4d76.2390616!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh4QASIaxCxV8z_ALuonXVasrCentRwxbG8XuYztwIQyFxACIhNyZXN0YXVyYW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11g6nxd8r2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",Claim this business,Restaurant,Food_Businesses,3.7,296.0,₹200–400,Closes 1am,⋅ Closes 1am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:18
CRISPELLO RESTAURANT,"Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/CRISPELLO+RESTAURANT/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63b2456c62677:0xc167cc48cfb2796d!8m2!3d11.2855356!4d76.2385793!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh4QASIaxCxV8z_ALuonXVasrCentRwxbG8XuYztwIQyFxACIhNyZXN0YXVyYW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11x8_2x3my?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Restaurant,Food_Businesses,4.9,10.0,₹200–400,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:23
Foodies Nilambur,"near rajadhani furniture, Janathapadi Padikunnu, Keerthipadi, Nilambur, Kerala 679329",073566 68887,"https://www.google.com/maps/place/Foodies+Nilambur/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63be51399b509:0x63207c83b5b19a36!8m2!3d11.2799598!4d76.2315748!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFLEAEqDiIKcmVzdGF1cmFudCgAMh4QASIaxCxV8z_ALuonXVasrCentRwxbG8XuYztwIQyFxACIhNyZXN0YXVyYW50IG5pbGFtYnVy4AEA!16s%2Fg%2F11p0_91z_9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",,Restaurant,Food_Businesses,3.8,32.0,₹200–400,11:30pm,⋅ 11:30pm ⋅ Opens 10am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

Delivery
",drive-through; delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:28
Cafe Latte™,"opp. Teak Museum & Bio-resources Nature Park, Nilambur, Kerala 679329",094951 93998,"https://www.google.com/maps/place/Cafe+Latte%E2%84%A2/@11.2710244,76.171601,13z/data=!4m11!1m3!2m2!1srestaurant+nilambur!6e5!3m6!1s0x3ba63db4a0583b21:0x174a60c9ebfa983f!8m2!3d11.3007209!4d76.2490066!15sChNyZXN0YXVyYW50IG5pbGFtYnVyWhUiE3Jlc3RhdXJhbnQgbmlsYW1idXKSAQtjb2ZmZWVfc2hvcKoBSxABKg4iCnJlc3RhdXJhbnQoADIeEAEiGsQsVfM_wC7qJ11WrKwnp7UcMWxvF7mM7cCEMhcQAiITcmVzdGF1cmFudCBuaWxhbWJ1cuABAA!16s%2Fg%2F11j5pxksyg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+nilambur,"11.2710244, 76.171601",thelattecafe.com,Coffee shop,Food_Businesses,4.8,484.0,₹200–400,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant nilambur,2025-08-09 22:34:33
