name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Mazali Restaurant, Perinthalmanna","Kozhikkode - Palakkad Bypass Rd, Perinthalmanna, Kerala 679322",095267 15566,"https://www.google.com/maps/place/Mazali+Restaurant,+Perinthalmanna/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cd025f6c9f31:0x1688edad4711ea56!8m2!3d10.9891312!4d76.2263836!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARdzb3V0aF9pbmRpYW5fcmVzdGF1cmFudKoBUhABKg4iCnJlc3RhdXJhbnQoADIfEAEiG920gDhmzDLkZNEaSXB7qGN1QsUYDbilkLjhvDIdEAIiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11bxb6njnv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",,South Indian restaurant,Food_Businesses,4.0,9264.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"Classic regional specialities, including seafood & grilled meats, served in a laid-back eatery.",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:23:50
Nahdi Kuzhimandhi,"X6FG+8MH, Shornur-Perinthalmanna Rd, Shanti Nagar, Perinthalmanna, Kerala 679322",097466 19416,"https://www.google.com/maps/place/Nahdi+Kuzhimandhi/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cdacc00c1499:0xaa7c48c93d75861d!8m2!3d10.9736488!4d76.2266886!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11c50068rs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",nahdimandi.com,Middle Eastern restaurant,Food_Businesses,4.3,5119.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:23:55
Just Loaf,"Just Loaf, Perinthalmanna Jubilee Bypass, Road, Perinthalmanna, Kerala 679322",088778 87817,"https://www.google.com/maps/place/Just+Loaf/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cdeb179edc35:0xddc855761c5d1ebd!8m2!3d10.9882867!4d76.2252242!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARNhbWVyaWNhbl9yZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11j611j_wc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",justloaf.in,American restaurant,Food_Businesses,4.4,1733.0,₹₹,Closes 12am,⋅ Closes 12am,No,No,Yes,Yes,No,No,Unknown,Yes,"Stylish space offering burgers, steaks & other American favourites, plus milkshakes & mocktails.",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:00
Chilies Restaurant,"Malappuram SH-73, Ooty Main Road, Perinthalmanna, Kerala 679322",075948 88802,"https://www.google.com/maps/place/Chilies+Restaurant/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cd02f7d8360d:0x8caeabd5e8f54b34!8m2!3d10.989171!4d76.226779!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARFpbmRpYW5fcmVzdGF1cmFudKoBUhABKg4iCnJlc3RhdXJhbnQoADIfEAEiG920gDhmzDLkZNEaSXB7qGN1QsUYDbilkLjhvDIdEAIiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F12hrxd9fx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",,Indian restaurant,Food_Businesses,4.5,7310.0,₹₹,Closes 1am,⋅ Closes 1am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:05
T&T PERINTHALMANNA,"Kozhikkode - Palakkad Bypass Rd, near VARNA GLASS, Kakkoth, TIRUR, Perinthalmanna, Kerala 679322",099477 00213,"https://www.google.com/maps/place/T%26T+PERINTHALMANNA/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cd139f017cbb:0x282e4e8d0728dd2a!8m2!3d10.9861829!4d76.2299899!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11ks12tk6m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",instagram.com,Middle Eastern restaurant,Food_Businesses,4.2,969.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:10
Pearl Lagoon Restaurant,"Manathumangalam, Bypass, Jn, Perinthalmanna, Kerala 679322",090745 46650,"https://www.google.com/maps/place/Pearl+Lagoon+Restaurant/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cd9c9018f445:0xdba87eddf139b522!8m2!3d10.9895377!4d76.2258633!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11vpy0hkhx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",,Restaurant,Food_Businesses,4.4,1045.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:15
Grin Table restaurant,"Central plaza, Bypass Road, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Grin+Table+restaurant/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cd30b0a01779:0x5379723d7bd583b3!8m2!3d10.9845429!4d76.2217693!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11ydnn4y3b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",instagram.com,Restaurant,Food_Businesses,4.3,244.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:20
Mathbaks Arabian majlis,"Perinthalmanna Jubilee Bypass, near moosakutty busstand, Perinthalmanna, Kerala 679322",097452 29191,"https://www.google.com/maps/place/Mathbaks+Arabian+majlis/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cdf87f165295:0x9f75e8fc3a2cd5a8!8m2!3d10.9758948!4d76.2203418!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARFmYW1pbHlfcmVzdGF1cmFudKoBUhABKg4iCnJlc3RhdXJhbnQoADIfEAEiG920gDhmzDLkZNEaSXB7qGN1QsUYDbilkLjhvDIdEAIiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11p6x89991?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",mathbaksarabianmajlis.com,Family restaurant,Food_Businesses,4.0,1155.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:26
7th Lounge,"Ootty Rd, near Planet Cafe, Valiyangadi, Perinthalmanna, Kerala 679322",098555 77757,"https://www.google.com/maps/place/7th+Lounge/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7cdf50e1d93fb:0x4e079bd068283781!8m2!3d10.9851544!4d76.2256819!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFSEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb3bSAOGbMMuRk0RpJcHuoY3VCxRgNuKWQuOG8Mh0QAiIZcmVzdGF1cmFudCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11vrwy9wq5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",weborakl.github.io,Restaurant,Food_Businesses,4.1,766.0,₹₹,Closes 2am,⋅ Closes 2am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,7.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:31
Barizta Restaurant,"Bypass Road, near KIMS Al-shifa Hospital, Perinthalmanna, Kerala 679322",090611 22122,"https://www.google.com/maps/place/Barizta+Restaurant/@10.9891312,76.1903347,14z/data=!4m11!1m3!2m2!1srestaurant+perinthalmanna!6e5!3m6!1s0x3ba7ccfe7720e5c3:0x2d7940452b5bc21e!8m2!3d10.9858932!4d76.2227464!15sChlyZXN0YXVyYW50IHBlcmludGhhbG1hbm5hWhsiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmGSARdub3J0aF9pbmRpYW5fcmVzdGF1cmFudKoBUhABKg4iCnJlc3RhdXJhbnQoADIfEAEiG920gDhmzDLkZNEaSXB7qGN1QsUYDbilkLjhvDIdEAIiGXJlc3RhdXJhbnQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11ddx7gj51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+perinthalmanna,"10.9891312, 76.1903347",bariztapmna.myfreesites.net,North Indian restaurant,Food_Businesses,4.0,1684.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,Simple counter-serve venue with a patio serving up traditional Arabic eats like kebabs & shawarma.,drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant perinthalmanna,2025-08-09 22:24:36
