name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Khaleez Restaurant,"WW3C+9W4, near bharath petroleum, Pottathepadi, Tirur, Kerala 676101",090619 52007,"https://www.google.com/maps/place/Khaleez+Restaurant/@10.914437,75.9003339,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b10e93320597:0x1dbc30575ea8a237!8m2!3d10.9040914!4d75.9218889!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50qgFJEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb41YPLeyIk6c0qJG5MUcJ_yxdtqxge29Epf_cMhQQAiIQcmVzdGF1cmFudCB0aXJ1cuABAA!16s%2Fg%2F11h75_qrtf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.914437, 75.9003339",instagram.com,Middle Eastern restaurant,Food_Businesses,4.2,5397.0,₹₹,Opens 7am Sun,⋅ Opens 7am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:26
Just Loaf,"Tirur - Vailathur Rd, Thazhepalam, Tirur, Kerala 676101",080709 09010,"https://www.google.com/maps/place/Just+Loaf/@10.914437,75.9003339,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b189f4e0fc9d:0xa2d211b0ebf1542!8m2!3d10.9216901!4d75.9290826!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARNhbWVyaWNhbl9yZXN0YXVyYW50qgFJEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb41YPLeyIk6c0qJG5MUcJ_yxdtqxge29Epf_cMhQQAiIQcmVzdGF1cmFudCB0aXJ1cuABAA!16s%2Fg%2F11gf98gncr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.914437, 75.9003339",justloaf.in,American restaurant,Food_Businesses,4.4,2226.0,₹₹,12am,⋅ 12am ⋅ Opens 11am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,Cool roadside eatery serving homemade burgers & steaks with varied sauces & other American classics.,no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:31
Lillis Arabian Restaurant,"Tirur - Tanur Rd, near KVR bajaj or KTM show room, near Municipal Stadium, Naduvilangadi, Tirur, Kerala 676101",097477 20000,"https://www.google.com/maps/place/Lillis+Arabian+Restaurant/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b1f410309157:0xb1d20d656abc412d!8m2!3d10.9178526!4d75.9182374!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARFmYW1pbHlfcmVzdGF1cmFudKoBSRABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NWDy3siJOnNKiRuTFHCf8sXbasYHtvRKX_3DIUEAIiEHJlc3RhdXJhbnQgdGlydXLgAQA!16s%2Fg%2F11f3m9t9g7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",Place an order,Family restaurant,Food_Businesses,4.0,1715.0,₹₹,Closes 1am,⋅ Closes 1am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:36
Page Restaurant,"Police Lane, Tirur, Kerala 676105",080898 53999,"https://www.google.com/maps/place/Page+Restaurant/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b1b42bd7c119:0x1abfd6afbf3d356a!8m2!3d10.9010852!4d75.9254291!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSAQpyZXN0YXVyYW50qgFJEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb41YPLeyIk6c0qJG5MUcJ_yxdtqxge29Epf_cMhQQAiIQcmVzdGF1cmFudCB0aXJ1cuABAA!16s%2Fg%2F11kskyp_52?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",pagerestaurant.in,Restaurant,Food_Businesses,4.0,940.0,₹₹,11:30pm,⋅ 11:30pm ⋅ Opens 8am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",kerbside pickup; no-contact delivery; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:41
HOTEL ARYAAS,"Thunchan Rd, Tirur, Kerala 676101",095044 88887,"https://www.google.com/maps/place/HOTEL+ARYAAS/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b12544163aa1:0x10dab845ab7700aa!8m2!3d10.9089352!4d75.9195735!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARV2ZWdldGFyaWFuX3Jlc3RhdXJhbnSqAUkQASoOIgpyZXN0YXVyYW50KAAyHxABIhvjVg8t7IiTpzSokbkxRwn_LF22rGB7b0Sl_9wyFBACIhByZXN0YXVyYW50IHRpcnVy4AEA!16s%2Fg%2F11m49r39d3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",Place an order,Vegetarian restaurant,Food_Businesses,4.4,2941.0,₹₹,Opens 7:30am Sun,⋅ Opens 7:30am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:46
Soofi Mandi,"near Tirur co-operative rural bank, Thazhepalam, Tirur, Kerala 676101",095443 00095,"https://www.google.com/maps/place/Soofi+Mandi/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b1d136cb8fdb:0x26f33298e47acb22!8m2!3d10.9109552!4d75.9195989!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSAQ9hcmFiX3Jlc3RhdXJhbnSqAUkQASoOIgpyZXN0YXVyYW50KAAyHxABIhvjVg8t7IiTpzSokbkxRwn_LF22rGB7b0Sl_9wyFBACIhByZXN0YXVyYW50IHRpcnVy4AEA!16s%2Fg%2F11ybrmvh3z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",soofimandi.com,Arab restaurant,Food_Businesses,4.6,1015.0,₹₹,11:30pm,⋅ 11:30pm ⋅ Opens 11:30am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:51
City Park,"Tirur - Tanur Rd, Near Kadheeja Auditorium, Pookkayil, Tirur, Kerala 676107",094475 36722,"https://www.google.com/maps/place/City+Park/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b21d15056c79:0xdc5ede4084dc70c9!8m2!3d10.9237661!4d75.9130758!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARdub3J0aF9pbmRpYW5fcmVzdGF1cmFudKoBSRABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NWDy3siJOnNKiRuTFHCf8sXbasYHtvRKX_3DIUEAIiEHJlc3RhdXJhbnQgdGlydXLgAQA!16s%2Fg%2F11dyxnh_b2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",Place an order,North Indian restaurant,Food_Businesses,3.7,1370.0,₹₹,Closes 1am,Open ⋅ Closes 1am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:21:56
Zargoza Container Cafe Tirur,"Darussalam mall, Tirur-Kuttippuram Road, Poongottukulam, Tirur, Kerala 676101",097451 42424,"https://www.google.com/maps/place/Zargoza+Container+Cafe+Tirur/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b1a759e16017:0x7992bed76ae91faa!8m2!3d10.9086359!4d75.9201743!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSAQRjYWZlqgFJEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb41YPLeyIk6c0qJG5MUcJ_yxdtqxge29Epf_cMhQQAiIQcmVzdGF1cmFudCB0aXJ1cuABAA!16s%2Fg%2F11mwp0kv07?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",instagram.com,Cafe,Food_Businesses,4.1,233.0,₹₹,12am,Closes soon ⋅ 12am ⋅ Opens 11:30am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:22:01
T&T TIRUR,"Alinchuvad, SH 71, Tirur, Kerala 676101",098952 00213,"https://www.google.com/maps/place/T%26T+TIRUR/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b3a03b1eefad:0x85e12c0c2e4589f1!8m2!3d10.9306209!4d75.9327137!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSARRmYXN0X2Zvb2RfcmVzdGF1cmFudKoBSRABKg4iCnJlc3RhdXJhbnQoADIfEAEiG-NWDy3siJOnNKiRuTFHCf8sXbasYHtvRKX_3DIUEAIiEHJlc3RhdXJhbnQgdGlydXLgAQA!16s%2Fg%2F11kbkgkpdg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",instagram.com,Fast food restaurant,Food_Businesses,4.1,875.0,₹₹,11:30pm,⋅ 11:30pm ⋅ Opens 12:30pm Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:22:06
Albaik,"Police Lane, Tirur-Chamravattom Rd, Tirur, Kerala 676105",098954 80505,"https://www.google.com/maps/place/Albaik/@10.9178526,75.8821885,14z/data=!4m11!1m3!2m2!1srestaurant+tirur!6e5!3m6!1s0x3ba7b1f42298650f:0x3532441eed12896c!8m2!3d10.9000908!4d75.9256718!15sChByZXN0YXVyYW50IHRpcnVyWhIiEHJlc3RhdXJhbnQgdGlydXKSAQpyZXN0YXVyYW50qgFJEAEqDiIKcmVzdGF1cmFudCgAMh8QASIb41YPLeyIk6c0qJG5MUcJ_yxdtqxge29Epf_cMhQQAiIQcmVzdGF1cmFudCB0aXJ1cuABAA!16s%2Fg%2F11pyp2wbbh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",restaurant+tirur,"10.9178526, 75.8821885",albaikindia.com,Restaurant,Food_Businesses,4.0,261.0,₹₹,Closes 1am,⋅ Closes 1am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; drive-through; dine-in,,1.0,Not Available,,,restaurant tirur,2025-08-09 23:22:11
