name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Apna Bakes & Snacks,"KP Mall, Kondotty Bypass Rd, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Apna+Bakes+%26+Snacks/@11.1465441,75.9518498,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f1de9e06243:0x6c737dc391709868!8m2!3d11.1466939!4d75.9626339!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11c1w0576p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1465441, 75.9518498",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,25.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:24:56
BASHEER COOLBAR RESTAURANT AND CAFE,"Kondotty, Kerala 673638",098463 20813,"https://www.google.com/maps/place/BASHEER+COOLBAR+RESTAURANT+AND+CAFE/@11.1513919,75.9405964,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f1b45bde001:0x8c0192e433bc0fec!8m2!3d11.1513919!4d75.9586208!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wqgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuiJXDZ10IzWdBIy1uJukcksRG8_-DDCd8eVgwyGBACIhRzbmFja3Mgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11dxl9qsrg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1513919, 75.9405964",,Coffee shop,Food_Businesses,3.9,1874.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:00
Ajfan Dates and Nuts ( KONDOTTY),"Calicut Airport Rd, Kondotty, Kerala 673647",,"https://www.google.com/maps/place/Ajfan+Dates+and+Nuts+(+KONDOTTY)/@11.1570624,75.9318044,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64fb793dd18af:0xeb50c18e92af313f!8m2!3d11.1570624!4d75.9498288!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBD2RyeV9mcnVpdF9zdG9yZaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11j8m_0lzz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1570624, 75.9318044",ajfan.store,Dry Fruit Store,Food_Businesses,4.0,158.0,₹₹,Open 24 hours,Open 24 hours,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:05
AL AMEEN BAKES RESTO & CAFETERIA,"OLD BUS STAND, near Post office, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/AL+AMEEN+BAKES+RESTO+%26+CAFETERIA/@11.1458318,75.9487084,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f0054cf1a4f:0xc828ed25917ee364!8m2!3d11.1458318!4d75.9667328!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11vk0cx2p_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1458318, 75.9487084",,Bakery and Cake Shop,Food_Businesses,5.0,2.0,₹₹,Opens 3:30pm Mon,⋅ Opens 3:30pm Mon,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:10
Happy bakes cake factory,"Main road, near calicut cafeteria, opp. Bank of boroda, Kondotty, Kerala 673638",097009 70808,"https://www.google.com/maps/place/Happy+bakes+cake+factory/@11.1458318,75.9487084,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64fe6f879733f:0xe899aa810eecc2f7!8m2!3d11.1429484!4d75.9701492!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11j4dp63pq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1458318, 75.9487084",,Bakery and Cake Shop,Food_Businesses,4.4,119.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:15
Delicia Foods,"5X44+4GH, NH Road, Thurakkal, Kondotty, Kerala 673638",099460 61464,"https://www.google.com/maps/place/Delicia+Foods/@11.1553102,75.9383252,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f05687e57fb:0xc1b0803f7f13ed11!8m2!3d11.1553102!4d75.9563496!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBF3Jlc3RhdXJhbnRfc3VwcGx5X3N0b3JlqgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuiJXDZ10IzWdBIy1uJukcksRG8_-DDCd8eVgwyGBACIhRzbmFja3Mgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11f2jkv960?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1553102, 75.9383252",Claim this business,Restaurant supply store,Food_Businesses,3.5,8.0,₹₹,Opens 5am,⋅ Opens 5am,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:20
Mom's kitchen kp ( kondotty),"4XWC+RRJ, Areecode - Kondotty Rd, Areekode, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Mom's+kitchen+kp+(+kondotty)/@11.1470861,75.9539826,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f0008fd01f9:0x10066ec9e8242ff0!8m2!3d11.1470861!4d75.972007!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Vk5XSlZWbEpaYm1oMFZWWldVbE5JUlRKVU1EbFJaVVJTYWxNeFJSQUKqAVsKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG6IlcNnXQjNZ0EjLW4m6RySxEbz_4MMJ3x5WDDIYEAIiFHNuYWNrcyBzaG9wIGtvbmRvdHR54AEA-gEECAAQQw!16s%2Fg%2F11wv2vhnrf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1470861, 75.9539826",Claim this business,Coffee shop,Food_Businesses,4.7,19.0,₹₹,,,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:25
Saudi Bakery,"Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Saudi+Bakery/@11.1461693,75.9454342,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f1de410d1f3:0xe57561946b408f90!8m2!3d11.1461693!4d75.9634586!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11c0vxj9vv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1461693, 75.9454342",,Bakery and Cake Shop,Food_Businesses,3.5,21.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:29
Stationery & Bakery and Cool Bar,"Kodangad Juma Masjid, Palakkad - Kozhikode Hwy, Kondotty, Karipur, Kerala 673638",,"https://www.google.com/maps/place/Stationery+%26+Bakery+and+Cool+Bar/@11.1350003,75.9583378,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64ec4b338c689:0x7b2d8835bbae466a!8m2!3d11.1350003!4d75.9763622!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIboiVw2ddCM1nQSMtbibpHJLERvP_gwwnfHlYMMhgQAiIUc25hY2tzIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11g7z7nlk0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1350003, 75.9583378",Claim this business,Bakery and Cake Shop,Food_Businesses,4.0,45.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,,Not Available,,,snacks shop kondotty,2025-08-10 02:25:34
Cafe Roots and Recipes (RR Café),"SH28, Kondotty, Kerala 673638",095443 36060,"https://www.google.com/maps/place/Cafe+Roots+and+Recipes+(RR+Caf%C3%A9)/@11.1350003,75.9583378,15z/data=!4m11!1m3!2m2!1ssnacks+shop+kondotty!6e6!3m6!1s0x3ba64f58588d3ab7:0xf9201f7459f79a2c!8m2!3d11.1420508!4d75.9729857!15sChRzbmFja3Mgc2hvcCBrb25kb3R0eVoWIhRzbmFja3Mgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5zYkhGRVRrSjNFQUWqAVsKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG6IlcNnXQjNZ0EjLW4m6RySxEbz_4MMJ3x5WDDIYEAIiFHNuYWNrcyBzaG9wIGtvbmRvdHR54AEA-gEECAAQSQ!16s%2Fg%2F11l38zlgmq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+kondotty,"11.1350003, 75.9583378",instagram.com,Coffee shop,Food_Businesses,4.5,102.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,snacks shop kondotty,2025-08-10 02:25:39
