name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
FruitzzUpp Café,"512/19, Life Gear Building, Kottakunnu Rd, Up Hill, Malappuram, Kerala 676505",090723 66600,"https://www.google.com/maps/place/FruitzzUpp+Caf%C3%A9/@11.0551872,76.0467761,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64a9e7cde768d:0x4276f329a5f82661!8m2!3d11.0452414!4d76.0829715!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0wY1RWaU9UUjNSUkFCqgFdCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtmq8fjEr5f-J2LC02UNCoSaG6Gp_CJH1F_p6oyGhACIhZzbmFja3Mgc2hvcCBtYWxhcHB1cmFt4AEA-gEECAAQRA!16s%2Fg%2F11g6xrnrd4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0551872, 76.0467761",fruitzzupp.com,Cafe,Food_Businesses,4.2,415.0,₹₹,Opens 10am,Closed ⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:24:55
Samosa Corner,"Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Samosa+Corner/@11.0506705,76.0284477,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64a9283a1b1fd:0x85b59191bedc36de!8m2!3d11.0506705!4d76.0644966!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQl0ZWFfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnNOV05mVkhaUlJSQUKqAV0KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2arx-MSvl_4nYsLTZQ0KhJoboan8IkfUX-nqjIaEAIiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW3gAQD6AQQIABAa!16s%2Fg%2F11dxl7ygz7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0506705, 76.0284477",,Tea store,Food_Businesses,3.9,66.0,₹₹,Opens 3:30pm,⋅ Opens 3:30pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:00
Belly Filly,"Shawaya Hub, Near, Kavungal - Munduparamba Bypass Rd, Machingal, Munduparamba, Malappuram, Kerala 676509",,"https://www.google.com/maps/place/Belly+Filly/@11.0542512,76.0515945,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba635c8b90a4299:0x3b4e5fdf6ad87637!8m2!3d11.0542512!4d76.0876434!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQxkZXNzZXJ0X3Nob3CqAV0KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2arx-MSvl_4nYsLTZQ0KhJoboan8IkfUX-nqjIaEAIiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11x0h04mnk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0542512, 76.0515945",instagram.com,Dessert shop,Food_Businesses,4.7,129.0,₹₹,Opens 4:30pm,⋅ Opens 4:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:05
SAFAWI wholesale Malappuram,"Stadium Building, Down Hill, Malappuram, Kerala 676519",089215 16886,"https://www.google.com/maps/place/SAFAWI+wholesale+Malappuram/@11.0542512,76.0515945,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64b0150e4132f:0xfe7f7b2bbc376b99!8m2!3d11.0463028!4d76.0733881!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQ5jaG9jb2xhdGVfc2hvcKoBXQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZqvH4xK-X_idiwtNlDQqEmhuhqfwiR9Rf6eqMhoQAiIWc25hY2tzIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11vwfhbtgd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0542512, 76.0515945",,Chocolate shop,Food_Businesses,4.9,19.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:10
KL 84 Evening Snacks,"Evening Snacks Musliyarengadi, KL 84, 16/334, Kondotty, Up Hill, Malappuram, Kerala 676505",075105 37803,"https://www.google.com/maps/place/KL+84+Evening+Snacks/@11.0542512,76.0515945,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64ba26c27a945:0xcd9aad9d77796b6b!8m2!3d11.0421303!4d76.0818555!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtkgELY29mZmVlX3Nob3CqAV0KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2arx-MSvl_4nYsLTZQ0KhJoboan8IkfUX-nqjIaEAIiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11md2z3wns?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0542512, 76.0515945",,Coffee shop,Food_Businesses,5.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,84.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:15
Breeze world icecream shop,"Kizhakkethala, Down Hill, Malappuram, Kerala 676519",096337 49444,"https://www.google.com/maps/place/Breeze+world+icecream+shop/@11.0542512,76.0515945,14z/data=!3m1!5s0x3ba64a8fce1be2bd:0x22376eec1d840d78!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64a8fd1a20005:0x460e9c7f79a338f2!8m2!3d11.0517656!4d76.0715195!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQ5pY2VfY3JlYW1fc2hvcKoBXQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZqvH4xK-X_idiwtNlDQqEmhuhqfwiR9Rf6eqMhoQAiIWc25hY2tzIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11b6t5w2k7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0542512, 76.0515945",,Ice cream shop,Food_Businesses,4.4,290.0,₹₹,Opens 10:30am,⋅ Opens 10:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:20
Chaat Mafia,"Big Bazar Road, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",080895 02390,"https://www.google.com/maps/place/Chaat+Mafia/@11.0515273,76.0350568,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64b002f12237b:0xbbc8fa5dc22bde2d!8m2!3d11.0515273!4d76.0711057!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQtjb2ZmZWVfc2hvcKoBXQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZqvH4xK-X_idiwtNlDQqEmhuhqfwiR9Rf6eqMhoQAiIWc25hY2tzIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11vxzn21lz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0515273, 76.0350568",,Coffee shop,Food_Businesses,4.4,39.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:25
Food court,"339G+4XC, Melmuri, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/Food+court/@11.0515273,76.0350568,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64b0074c4b021:0x1acb13bc95cffff2!8m2!3d11.0678938!4d76.0775887!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtkgELY29mZmVlX3Nob3CqAV0KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2arx-MSvl_4nYsLTZQ0KhJoboan8IkfUX-nqjIaEAIiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11xdpwf_1y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0515273, 76.0350568",Claim this business,Coffee shop,Food_Businesses,5.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,snacks shop malappuram,2025-08-10 01:25:30
"KKM KOZHIKODAN HALUVA STALL, Live Bakes, Snacks & Dry Fruts (കെ കെ എം കോഴിക്കോടൻ ഹലുവ സ്റ്റാൾ)","23X4+XPX, KOLMANN(കോൽമണ്ണ, Parappanangadi - Vengara - Malappuram Rd, Panakkad, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/KKM+KOZHIKODAN+HALUVA+STALL,+Live+Bakes,+Snacks+%26+Dry+Fruts+(%E0%B4%95%E0%B5%86+%E0%B4%95%E0%B5%86+%E0%B4%8E%E0%B4%82+%E0%B4%95%E0%B5%8B%E0%B4%B4%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8B%E0%B4%9F%E0%B5%BB+%E0%B4%B9%E0%B4%B2%E0%B5%81%E0%B4%B5+%E0%B4%B8%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B4%BE%E0%B5%BE)/@11.0515273,76.0350568,14z/data=!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64b003866d435:0xb0afbddd34e5fa32!8m2!3d11.0499877!4d76.0568724!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtkgEGYmFrZXJ5qgFdCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtmq8fjEr5f-J2LC02UNCoSaG6Gp_CJH1F_p6oyGhACIhZzbmFja3Mgc2hvcCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11mcvl8_j6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0515273, 76.0350568",Claim this business,Bakery and Cake Shop,Food_Businesses,4.7,3.0,₹₹,Opens 8:30am,⋅ Opens 8:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,snacks shop malappuram,2025-08-10 01:25:34
JamJoom Supermarket Malappuram,"Juma Masjid Complex, SH 71, Up Hill, Malappuram, Kerala 676505",0483 273 5566,"https://www.google.com/maps/place/JamJoom+Supermarket+Malappuram/@11.0515273,76.0350568,14z/data=!3m1!5s0x3ba64a9fb062c6d9:0xe7936e7e441caf60!4m11!1m3!2m2!1ssnacks+shop+malappuram!6e6!3m6!1s0x3ba64a9fba9938d3:0x1b85866554fb92d7!8m2!3d11.0425761!4d76.0835223!15sChZzbmFja3Mgc2hvcCBtYWxhcHB1cmFtWhgiFnNuYWNrcyBzaG9wIG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBXQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZqvH4xK-X_idiwtNlDQqEmhuhqfwiR9Rf6eqMhoQAiIWc25hY2tzIHNob3AgbWFsYXBwdXJhbeABAA!16s%2Fg%2F1hhhh3w3l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+malappuram,"11.0515273, 76.0350568",jamjoomsouk.com,Supermarket,Food_Businesses,4.2,2007.0,₹₹,Opens 7am,⋅ Opens 7am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,snacks shop malappuram,2025-08-10 01:25:39
