name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Tasty Foods - Chappathi Company,"Calicut Rd, Thurakkal, Manjeri, Kerala 676121",097459 92223,"https://www.google.com/maps/place/Tasty+Foods+-+Chappathi+Company/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba63612b7e3f065:0xec031678237bdc6d!8m2!3d11.1202437!4d76.1081429!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSASBjYXRlcmluZ19mb29kX2FuZF9kcmlua19zdXBwbGllc6oBWgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB5NOn-nLOXirwFeATzDhjFQKdAMxJtTRbTMhcQAiITc25hY2tzIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11hbgt30my?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",,Catering food and drink supplier,Food_Businesses,4.1,128.0,₹₹,Opens 6am,⋅ Opens 6am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:35:33
KISMIS DRY FRUITS AND NUTS,"Thurakkal, Manjeri, Kerala 676121",080754 05909,"https://www.google.com/maps/place/KISMIS+DRY+FRUITS+AND+NUTS/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba637fd23f2c215:0x8bd5341f47f74c8f!8m2!3d11.1204842!4d76.1102781!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQ9kcnlfZnJ1aXRfc3RvcmWqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57geTTp_pyzl4q8BXgE8w4YxUCnQDMSbU0W0zIXEAIiE3NuYWNrcyBzaG9wIG1hbmplcmngAQA!16s%2Fg%2F11q_5f9s50?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",,Dry Fruit Store,Food_Businesses,4.5,95.0,₹₹,Opens 11am,⋅ Opens 11am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,,Not Available,,,snacks shop manjeri,2025-08-10 01:35:38
Budget Daily Fresh,"445C+V82, IGBT Bus Stand Rd, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Daily+Fresh/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba63678202336cb:0x4e2f07b8b4888c21!8m2!3d11.1096458!4d76.1207529!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQ1ncm9jZXJ5X3N0b3JlqgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4Hk06f6cs5eKvAV4BPMOGMVAp0AzEm1NFtMyFxACIhNzbmFja3Mgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11b77v5y80?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",hyperbudget.in,Grocery store,Food_Businesses,4.1,230.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,snacks shop manjeri,2025-08-10 01:35:43
EATO Food truck,"NSS, 13/140B, College Rd, kizhakkethala, p.o, Kuthukal, Manjeri, Kerala 676122",092071 21244,"https://www.google.com/maps/place/EATO+Food+truck/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba637c571718d7d:0xd52d5d1812502cd6!8m2!3d11.1236215!4d76.1275686!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSARNzaGF3YXJtYV9yZXN0YXVyYW50qgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4Hk06f6cs5eKvAV4BPMOGMVAp0AzEm1NFtMyFxACIhNzbmFja3Mgc2hvcCBtYW5qZXJp4AEA!16s%2Fg%2F11p012mkyw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",,Shawarma restaurant,Food_Businesses,4.1,161.0,₹₹,Opens 4am,⋅ Opens 4am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:35:48
Brown Beans Cafe,"IGBT BYPASS, Thurakkal, Manjeri, Kerala 676121",091882 22233,"https://www.google.com/maps/place/Brown+Beans+Cafe/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba6366d7f77607d:0x2c665566164c17e4!8m2!3d11.1194333!4d76.1116931!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQtjb2ZmZWVfc2hvcKoBWgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB5NOn-nLOXirwFeATzDhjFQKdAMxJtTRbTMhcQAiITc25hY2tzIHNob3AgbWFuamVyaeABAA!16s%2Fg%2F11fy85w416?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",brownbeans.in,Coffee shop,Food_Businesses,4.3,1047.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:35:52
BUDGET HYPERMARKET Rajiv Gandhi Bypass MANJERI,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/BUDGET+HYPERMARKET+Rajiv+Gandhi+Bypass+MANJERI/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba637d23cbb476f:0xe2b7a80b999b1ba0!8m2!3d11.1231795!4d76.1134018!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQtoeXBlcm1hcmtldJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMXdjVTVYYkZSU1NGWjJXVEI0Um1WSGREVlNSRVpZV0RKM05HVnRZeEFCqgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4Hk06f6cs5eKvAV4BPMOGMVAp0AzEm1NFtMyFxACIhNzbmFja3Mgc2hvcCBtYW5qZXJp4AEA-gEECAAQDg!16s%2Fg%2F11xgqgdcz1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",hyperbudget.in,Hypermarket,Food_Businesses,4.9,78.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,snacks shop manjeri,2025-08-10 01:35:57
Ajfan Dates and Nuts (Manjeri),"UA Mall, opposite Popees, Mullampara Rd, Kacherippadi, Manjeri, Kerala 676121",087146 66485,"https://www.google.com/maps/place/Ajfan+Dates+and+Nuts+(Manjeri)/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba637786ad95917:0xd11408d6626235a1!8m2!3d11.1116488!4d76.1166765!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQ9kcnlfZnJ1aXRfc3RvcmWqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57geTTp_pyzl4q8BXgE8w4YxUCnQDMSbU0W0zIXEAIiE3NuYWNrcyBzaG9wIG1hbmplcmngAQA!16s%2Fg%2F11vhbvrm3f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",ajfan.store,Dry Fruit Store,Food_Businesses,4.4,68.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:36:02
Waff 'n' Chip,"AM Tower, Court Rd, Kacherippadi, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Waff+'n'+Chip/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba637385ad6d0d1:0xdf347ba7a36f3b0b!8m2!3d11.1138401!4d76.1196404!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQxkZXNzZXJ0X3Nob3CqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57geTTp_pyzl4q8BXgE8w4YxUCnQDMSbU0W0zIXEAIiE3NuYWNrcyBzaG9wIG1hbmplcmngAQA!16s%2Fg%2F11s45czm1p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",,Dessert shop,Food_Businesses,4.8,8.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:36:07
Sweets Land manjeri,"449F+FQQ, Vellarangal, Manjeri, Kerala 676122",093880 03542,"https://www.google.com/maps/place/Sweets+Land+manjeri/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba6367b3e7e7e69:0x433fe2c53e9ea71c!8m2!3d11.1187173!4d76.1244821!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQtjYW5keV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMUdWbE16YUhOaGJsSkRVekZ3V1ZaNlpGcGhSRTVhVlZkck1FOVlZeEFCqgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4Hk06f6cs5eKvAV4BPMOGMVAp0AzEm1NFtMyFxACIhNzbmFja3Mgc2hvcCBtYW5qZXJp4AEA-gEECAAQJw!16s%2Fg%2F11f5hlxj5s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",Claim this business,Sweet shop,Food_Businesses,4.6,14.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:36:12
Sugary treats,"Panayi, Soudippadi, Manjeri, Kerala 676509",089430 78605,"https://www.google.com/maps/place/Sugary+treats/@11.1202437,76.0360451,13z/data=!4m11!1m3!2m2!1ssnacks+shop+manjeri!6e6!3m6!1s0x3ba6356fce626a37:0x65582d425821bf34!8m2!3d11.0830133!4d76.1075955!15sChNzbmFja3Mgc2hvcCBtYW5qZXJpWhUiE3NuYWNrcyBzaG9wIG1hbmplcmmSAQljYWtlX3Nob3CqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57geTTp_pyzl4q8BXgE8w4YxUCnQDMSbU0W0zIXEAIiE3NuYWNrcyBzaG9wIG1hbmplcmngAQA!16s%2Fg%2F11mb5x8cy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+manjeri,"11.1202437, 76.0360451",,Cake shop,Food_Businesses,5.0,58.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop manjeri,2025-08-10 01:36:17
