name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Hug a Mug Cafe Nilambur,"Kozhikod-Nilmbur-Gudallur Road, Malappuram, Mampad, Kerala 676542",097784 11810,"https://www.google.com/maps/place/Hug+a+Mug+Cafe+Nilambur/@11.2536864,76.1217543,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b93ebe46e21:0xf269b15628f2c3a3!8m2!3d11.2536864!4d76.1938521!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU53ZVdReVdHRkJFQUWqAVsKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2c4Yy8IzR8-MmcwtkLaXsl3hmu5NirbUpGi8jIYEAIiFHNuYWNrcyBzaG9wIG5pbGFtYnVy4AEA-gEECE8QRQ!16s%2Fg%2F11sttsbqr_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2536864, 76.1217543",hugamug.in,Coffee shop,Food_Businesses,4.0,269.0,₹₹,2am,⋅ 2am ⋅ Reopens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:13
CRISPELLO BAKES N RESTAURANT,"Little flower Csi Road, Janathapadi Padikunnu, Nilambur, Kerala 679329",062359 07000,"https://www.google.com/maps/place/CRISPELLO+BAKES+N+RESTAURANT/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63bc3a5ab745d:0x9618d15d7ebf2ba!8m2!3d11.2806489!4d76.2319384!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBBmJha2VyeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2FHTnRjbTVuUlJBQqoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZzhjLwjNHz4yZzC2QtpeyXeGa7k2KttSkaLyMhgQAiIUc25hY2tzIHNob3AgbmlsYW1idXLgAQD6AQQIABBI!16s%2Fg%2F11j40cqqpk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",facebook.com,Bakery and Cake Shop,Food_Businesses,4.1,1053.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:17
Milma Tea Shop,"76GF+9QC, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Milma+Tea+Shop/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b9cc3b07ec9:0x702689ba6ec809ba!8m2!3d11.2759453!4d76.2245956!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5DYlU0eldtNUJSUkFCqgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtnOGMvCM0fPjJnMLZC2l7Jd4ZruTYq21KRovIyGBACIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cuABAPoBBAgAECA!16s%2Fg%2F11sfj6mzly?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",Claim this business,Coffee shop,Food_Businesses,4.4,117.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:22
NILAMBUR FOOD,"Bungalow Road, Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/NILAMBUR+FOOD/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b288a1befb9:0xe72971d175e5e988!8m2!3d11.2884207!4d76.2372567!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBDWZvb2RfcHJvZHVjZXKqAVsKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG2c4Yy8IzR8-MmcwtkLaXsl3hmu5NirbUpGi8jIYEAIiFHNuYWNrcyBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11n376mw4g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",nilamburfood.blogspot.com,Food producer,Food_Businesses,4.8,9.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,snacks shop nilambur,2025-08-10 01:56:27
Achans Bakery nilambur,"Janathapadi Padikunnu, Manalody, Nilambur, Kerala 679329",062383 94828,"https://www.google.com/maps/place/Achans+Bakery+nilambur/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63be7597f0b21:0x56c0f5e83f6e7cae!8m2!3d11.2792478!4d76.2311499!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBBmJha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSWJuUlhUMHhSRUFFqgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtnOGMvCM0fPjJnMLZC2l7Jd4ZruTYq21KRovIyGBACIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cuABAPoBBQiHARBE!16s%2Fg%2F11t_ky0f85?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",,Bakery and Cake Shop,Food_Businesses,3.5,86.0,₹₹,Opens 8:10am,⋅ Opens 8:10am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:32
Spanish Bakes & Cafe,"76MW+35V, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Spanish+Bakes+%26+Cafe/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b67abdd994d:0x31e15ae6c8096589!8m2!3d11.2827491!4d76.2454232!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZzhjLwjNHz4yZzC2QtpeyXeGa7k2KttSkaLyMhgQAiIUc25hY2tzIHNob3AgbmlsYW1idXLgAQA!16s%2Fg%2F11c53dh_rf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",Claim this business,Bakery and Cake Shop,Food_Businesses,3.8,409.0,₹₹,Opens 7am,⋅ Opens 7am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:37
Cafe Latte™,"opp. Teak Museum & Bio-resources Nature Park, Nilambur, Kerala 679329",094951 93998,"https://www.google.com/maps/place/Cafe+Latte%E2%84%A2/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63db4a0583b21:0x174a60c9ebfa983f!8m2!3d11.3007209!4d76.2490066!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtnOGMvCM0fPjJnMLZC2l7Jd4ZruTYq21KRovIyGBACIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cuABAA!16s%2Fg%2F11j5pxksyg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",thelattecafe.com,Coffee shop,Food_Businesses,4.8,484.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:42
Unions United Bakery,"Nilambur, Kerala 679329",04931 220 283,"https://www.google.com/maps/place/Unions+United+Bakery/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b77cd19135f:0x31a8c4670836baf3!8m2!3d11.2767961!4d76.2257592!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZzhjLwjNHz4yZzC2QtpeyXeGa7k2KttSkaLyMhgQAiIUc25hY2tzIHNob3AgbmlsYW1idXLgAQA!16s%2Fg%2F11_qd1sb6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",,Bakery and Cake Shop,Food_Businesses,4.1,915.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:46
JamJoom Hypermarket Nilambur,"76PQ+PMQ, Ootty Rd, Chandakunnu, Nilambur, Kerala 679329",090726 00400,"https://www.google.com/maps/place/JamJoom+Hypermarket+Nilambur/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b00e39d1007:0x2d3b94ff0698bd44!8m2!3d11.2871389!4d76.2392582!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBC2h5cGVybWFya2V0qgFbCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhtnOGMvCM0fPjJnMLZC2l7Jd4ZruTYq21KRovIyGBACIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cuABAA!16s%2Fg%2F11fhz12zft?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",jamjoomsouk.com,Hypermarket,Food_Businesses,4.2,1953.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:51
Kk Bakery,"Nilambur, Kerala 673633",070347 12029,"https://www.google.com/maps/place/Kk+Bakery/@11.2806489,76.1598406,13z/data=!4m11!1m3!2m2!1ssnacks+shop+nilambur!6e6!3m6!1s0x3ba63b762eeef03b:0xbcbf346e53271a93!8m2!3d11.2759157!4d76.225405!15sChRzbmFja3Mgc2hvcCBuaWxhbWJ1cloWIhRzbmFja3Mgc2hvcCBuaWxhbWJ1cpIBBmJha2VyeaoBWwoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbZzhjLwjNHz4yZzC2QtpeyXeGa7k2KttSkaLyMhgQAiIUc25hY2tzIHNob3AgbmlsYW1idXLgAQA!16s%2Fg%2F11cltfm43r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+nilambur,"11.2806489, 76.1598406",,Bakery and Cake Shop,Food_Businesses,3.8,10.0,₹₹,Opens 8:30am,⋅ Opens 8:30am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop nilambur,2025-08-10 01:56:56
