name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Hayleys speciality foods store,"Padippura, Perinthalmanna, Kerala 679322",0:04,"https://www.google.com/maps/place/Hayleys+speciality+foods+store/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cd9c1cf2a719:0x153dddee4e02df89!8m2!3d10.9800659!4d76.2194387!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBFWdvdXJtZXRfZ3JvY2VyeV9zdG9yZaoBYQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB4zdlBvqlbqWVq0zYG8TBV2Y-ZfAMqU5PDMh4QAiIac25hY2tzIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rwpj7tz8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",,Gourmet grocery store,Food_Businesses,4.6,9.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:11
SIGNATURE JUICE AND SNACKS,"Near, Al Shifa Hospital Rd, Perinthalmanna, Kerala 679322",088483 74816,"https://www.google.com/maps/place/SIGNATURE+JUICE+AND+SNACKS/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cd9e58276f87:0x3182f135a42084bb!8m2!3d10.9855698!4d76.2224645!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBCnJlc3RhdXJhbnSqAWEKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57geM3ZQb6pW6llatM2BvEwVdmPmXwDKlOTwzIeEAIiGnNuYWNrcyBzaG9wIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11h37lllg8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",,Restaurant,Food_Businesses,4.4,37.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:16
Moothayil Store 24 Hour,"X6GG+56J, SH 39, Shanti Nagar, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Moothayil+Store+24+Hour/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cdab579cc4e3:0xe61d4e6cde7219d4!8m2!3d10.9754549!4d76.2255001!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeaoBYQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB4zdlBvqlbqWVq0zYG8TBV2Y-ZfAMqU5PDMh4QAiIac25hY2tzIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11f3vdzyxm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",Claim this business,Bakery and Cake Shop,Food_Businesses,3.9,28.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,24.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:21
Abis Bakes,"X68H+88R, Thottakkara, Perinthalmanna, Kerala 679322",090612 90832,"https://www.google.com/maps/place/Abis+Bakes/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cdb3a378edf5:0xbdcfc8409c0ca8ba!8m2!3d10.9658504!4d76.2282692!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeaoBYQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB4zdlBvqlbqWVq0zYG8TBV2Y-ZfAMqU5PDMh4QAiIac25hY2tzIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11bx0h5qym?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,359.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:26
Nila Bake House Perinthalmanna,"Padinharethil Complex, Perinthalmanna - Nilambur Rd, opposite Juma Masjid, Perinthalmanna, Kerala 679322",04933 226 257,"https://www.google.com/maps/place/Nila+Bake+House+Perinthalmanna/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cdab28198c35:0x3cb4ade619984f9c!8m2!3d10.9780042!4d76.2253876!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTU5WQk1ORWxSRUFFqgFhCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4HjN2UG-qVupZWrTNgbxMFXZj5l8AypTk8MyHhACIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAEB4!16s%2Fg%2F1hm2n2t3q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",Claim this business,Bakery and Cake Shop,Food_Businesses,3.7,147.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:31
Sign Laban,"near bismi Hypermart,ooty-Calicut bypass road,perithalmanna 679322 Perinthalmanna, Kerala 679332, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Sign+Laban/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cd003c5f938b:0xf6a91c3fb07e3832!8m2!3d10.9877716!4d76.2249852!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSk1qVk1UMWwzRUFFqgFhCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4HjN2UG-qVupZWrTNgbxMFXZj5l8AypTk8MyHhACIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAgAED0!16s%2Fg%2F11lzj36qbj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",Claim this business,Bakery and Cake Shop,Food_Businesses,4.5,34.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:36
Cheerattamanna,"X6QC+HC4, Perinthalmanna, Angadipuram, Kerala 679322",,"https://www.google.com/maps/place/Cheerattamanna/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cd89cbc5a34f:0xce7844263afadb33!8m2!3d10.9888752!4d76.2210812!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeaoBYQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB4zdlBvqlbqWVq0zYG8TBV2Y-ZfAMqU5PDMh4QAiIac25hY2tzIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rwl25r9t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",Claim this business,Bakery and Cake Shop,Food_Businesses,4.7,11.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,6.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:41
K.R Bakes,"near bus stand, Perithalmanna, Shanti Nagar, Perinthalmanna, Kerala 679322",092880 19697,"https://www.google.com/maps/place/K.R+Bakes/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cdab7dad2993:0xe84042a91c4b4be7!8m2!3d10.9755429!4d76.2271642!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBBmJha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSU00wdHVTa1puRUFFqgFhCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4HjN2UG-qVupZWrTNgbxMFXZj5l8AypTk8MyHhACIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYeABAPoBBAhQEEE!16s%2Fg%2F1hm63mv1n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",krbakes.com,Bakery and Cake Shop,Food_Businesses,3.8,932.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:45
Ajfan Dates and nuts ( Perinthalmanna ),"ASIN TOWER, BUS STAND, BYPASS ROAD, near THARAYIL, Padippura, Perinthalmanna, Kerala 679322",081380 00503,"https://www.google.com/maps/place/Ajfan+Dates+and+nuts+(+Perinthalmanna+)/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cd2a9c664cbf:0x4c60ea8f21f204c7!8m2!3d10.9815501!4d76.219825!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBD2RyeV9mcnVpdF9zdG9yZaoBYQoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnuB4zdlBvqlbqWVq0zYG8TBV2Y-ZfAMqU5PDMh4QAiIac25hY2tzIHNob3AgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11r49kvybx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",ajfan.store,Dry Fruit Store,Food_Businesses,4.2,405.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:50
Candy Cane,"Padippura tower, Bypass Junction, near Clarus jewellery, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Candy+Cane/@10.9800659,76.1833898,14z/data=!4m11!1m3!2m2!1ssnacks+shop+perinthalmanna!6e6!3m6!1s0x3ba7cdf7eb85c29d:0x9d14718f052cadde!8m2!3d10.9767882!4d76.2191812!15sChpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYVocIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYZIBC2NvZmZlZV9zaG9wqgFhCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhue4HjN2UG-qVupZWrTNgbxMFXZj5l8AypTk8MyHhACIhpzbmFja3Mgc2hvcCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11p5l5pv7g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+perinthalmanna,"10.9800659, 76.1833898",,Coffee shop,Food_Businesses,4.4,9.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop perinthalmanna,2025-08-10 01:46:55
