name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Janatha bakery,"QWJJ+RH9, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Janatha+bakery/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb1a50971bcf:0xd49398242c50b03a!8m2!3d10.7820342!4d75.9314939!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRlUzFtWmtwbkVBRaoBWgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn9KDhQW-OecSxMgcWk_cgmQCMe9Mvr71m3_DMhcQAiITc25hY2tzIHNob3AgcG9ubmFuaeABAPoBBAgAEDg!16s%2Fg%2F11bv3vb8ww?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",Claim this business,Bakery and Cake Shop,Food_Businesses,4.1,160.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:30
Sainas foods,"Cv junction, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Sainas+foods/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bbd7cc298d33:0x1096931c407c4bf2!8m2!3d10.7913699!4d75.9451014!15sChNzbmFja3Mgc2hvcCBwb25uYW5pkgEGYmFrZXJ5qgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuf0oOFBb455xLEyBxaT9yCZAIx70y-vvWbf8MyFxACIhNzbmFja3Mgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11sthhh9_g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Bakery and Cake Shop,Food_Businesses,5.0,2.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:35
Nehal Bakes Ponnani,"QW9G+39J VM Convent MA Tower, opposite ICIC Bank CV Junction, Kuttadu, Ponnani, Kerala 679577",089434 01999,"https://www.google.com/maps/place/Nehal+Bakes+Ponnani/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb99348d91eb:0xb05dc67dbe3f92da!8m2!3d10.784024!4d75.9439239!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_Sg4UFvjnnEsTIHFpP3IJkAjHvTL6-9Zt_wzIXEAIiE3NuYWNrcyBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11sc3qdkhj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",Claim this business,Bakery and Cake Shop,Food_Businesses,4.1,73.0,₹₹,Opens 8:30am,⋅ Opens 8:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:40
Juicy Ponnani,"TH mall, Kuttikad junction, near AVHS ground, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Juicy+Ponnani/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb6a436e2029:0x830acd2d5a0e1e09!8m2!3d10.7825306!4d75.9388192!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQpqdWljZV9zaG9wqgFaCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuf0oOFBb455xLEyBxaT9yCZAIx70y-vvWbf8MyFxACIhNzbmFja3Mgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11j0_pywp0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",Place an order,Juice shop,Food_Businesses,4.3,261.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:45
Sweet Oven,"CV Junction, Kuttadu, Ponnani, Kerala 679577",098461 41331,"https://www.google.com/maps/place/Sweet+Oven/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bbaa1ba6640f:0xf278b664e39db66f!8m2!3d10.7853987!4d75.9467516!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_Sg4UFvjnnEsTIHFpP3IJkAjHvTL6-9Zt_wzIXEAIiE3NuYWNrcyBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11c500qvkb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Bakery and Cake Shop,Food_Businesses,4.7,363.0,₹₹,Opens 8:15am,⋅ Opens 8:15am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:50
Margin Free Market Ponnani,"Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Margin+Free+Market+Ponnani/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb1a5764abed:0xa0413b668d061aec!8m2!3d10.7820435!4d75.931552!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQtzdXBlcm1hcmtldKoBWgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn9KDhQW-OecSxMgcWk_cgmQCMe9Mvr71m3_DMhcQAiITc25hY2tzIHNob3AgcG9ubmFuaeABAA!16s%2Fg%2F11c5gc0cy2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Supermarket,Food_Businesses,4.0,68.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:15:55
Arun Ice Cream PONNANI/hap daily,"near fish market,C V junction, Ponnani, Kerala",099618 51000,"https://www.google.com/maps/place/Arun+Ice+Cream+PONNANI%2Fhap+daily/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bbaa22660a93:0xf428485ae15f0c78!8m2!3d10.7867497!4d75.947802!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQ5pY2VfY3JlYW1fc2hvcKoBWgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn9KDhQW-OecSxMgcWk_cgmQCMe9Mvr71m3_DMhcQAiITc25hY2tzIHNob3AgcG9ubmFuaeABAA!16s%2Fg%2F11gfmfc091?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",hap.in,Ice cream shop,Food_Businesses,4.3,72.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:16:00
Armaania Backery-Bakes Cakes & Dryfruits,"Benzy Complex, Chanthappadi Jct Rd, near Benzy Petroleum, Keezhillam, Ponnani, Kerala 679577",089434 44460,"https://www.google.com/maps/place/Armaania+Backery-Bakes+Cakes+%26+Dryfruits/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb7430bf1a27:0x69463c74ffbfa555!8m2!3d10.7821328!4d75.9356127!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm1NWFV6YUdoblJSQUKqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_Sg4UFvjnnEsTIHFpP3IJkAjHvTL6-9Zt_wzIXEAIiE3NuYWNrcyBzaG9wIHBvbm5hbmngAQD6AQQIABAe!16s%2Fg%2F11lyvhg781?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Bakery and Cake Shop,Food_Businesses,5.0,1.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:16:04
CHOCO FANTASY,"south, Nibras, Ponnani, Kerala 679586",077364 13737,"https://www.google.com/maps/place/CHOCO+FANTASY/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bb6cafa8a3bd:0x2e0dd4d074f98cc4!8m2!3d10.7662062!4d75.9258715!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_Sg4UFvjnnEsTIHFpP3IJkAjHvTL6-9Zt_wzIXEAIiE3NuYWNrcyBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11vx0brcbq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Bakery and Cake Shop,Food_Businesses,4.6,10.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:16:09
Honest bakery,"Palakkad - Ponnani Rd, Keezhillam, Ponnani, Kerala 679577",075919 17545,"https://www.google.com/maps/place/Honest+bakery/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1ssnacks+shop+ponnani!6e6!3m6!1s0x3ba7bba991c1a1b1:0x6f025a0e6314adae!8m2!3d10.7852733!4d75.9480827!15sChNzbmFja3Mgc2hvcCBwb25uYW5pWhUiE3NuYWNrcyBzaG9wIHBvbm5hbmmSAQZiYWtlcnmqAVoKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_Sg4UFvjnnEsTIHFpP3IJkAjHvTL6-9Zt_wzIXEAIiE3NuYWNrcyBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11fz8t_b1z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+ponnani,"10.7820342, 75.8593961",,Bakery and Cake Shop,Food_Businesses,3.9,64.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,snacks shop ponnani,2025-08-10 02:16:14
