name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
JESMIS FOOD'S,"Park, Pachatiri Near, Noor Lake Road, Tirur, Kerala 676105",096331 01202,"https://www.google.com/maps/place/JESMIS+FOOD'S/@10.9064284,75.8731045,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b181a5b3577f:0xf99cc4746937d2f6!8m2!3d10.9064284!4d75.9091534!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBCnJlc3RhdXJhbnSqAVgKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_GofCWjfvTwYT1BPOfAi_myHlNQhEhEzORDjIVEAIiEXNuYWNrcyBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11mw0h5_x7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9064284, 75.8731045",Menu,Restaurant,Food_Businesses,4.6,47.0,₹₹,Opens 8am Mon,Closed ⋅ Opens 8am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:05:37
OKKASHI CAKE CAFE,"SH 71, Tirur, Kerala 676101",,"https://www.google.com/maps/place/OKKASHI+CAKE+CAFE/@10.9064284,75.8731045,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b15f3e4642a3:0x2904bdda8348f2f3!8m2!3d10.9159983!4d75.9240619!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBCWNha2Vfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUWVFbG1NSFIzUlJBQqoBWAoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn8ah8JaN-9PBhPUE858CL-bIeU1CESETM5EOMhUQAiIRc25hY2tzIHNob3AgdGlydXLgAQD6AQQIABBB!16s%2Fg%2F11fq9sn0cy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9064284, 75.8731045",okkashicakecafe.com,Cake shop,Food_Businesses,4.2,402.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:05:42
SNAXBAY TEASTOP,"Police Line, near Al-Bake, Tirur, Kerala 676101",090482 86666,"https://www.google.com/maps/place/SNAXBAY+TEASTOP/@10.9064284,75.8731045,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b1e9745055df:0xac328d36668dcf94!8m2!3d10.900204!4d75.9256645!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBBGNhZmWqAVgKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_GofCWjfvTwYT1BPOfAi_myHlNQhEhEzORDjIVEAIiEXNuYWNrcyBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11svnktk9y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9064284, 75.8731045",snaxbay.com,Cafe,Food_Businesses,4.7,51.0,₹₹,Opens 12pm,Closed ⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:05:47
MADHURIMA DRINKS AND SNACKS,"WW9G+248, Tirur, Kerala 676101",086061 19988,"https://www.google.com/maps/place/MADHURIMA+DRINKS+AND+SNACKS/@10.9064284,75.8731045,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b1aa46effc8f:0x80048095cbbeadd0!8m2!3d10.9175269!4d75.9253188!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wqgFYCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhufxqHwlo3708GE9QTznwIv5sh5TUIRIRMzkQ4yFRACIhFzbmFja3Mgc2hvcCB0aXJ1cuABAA!16s%2Fg%2F11jsxhp737?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9064284, 75.8731045",Place an order,Coffee shop,Food_Businesses,4.5,21.0,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:05:51
Coffee Cream,"Pottethappadi, Tirur, Kerala 676101",081388 30003,"https://www.google.com/maps/place/Coffee+Cream/@10.9064284,75.8731045,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b1612bb85fcb:0x1026f13238bfca99!8m2!3d10.902606!4d75.9221991!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40Tm5KaU5GbG5FQUWqAVgKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_GofCWjfvTwYT1BPOfAi_myHlNQhEhEzORDjIVEAIiEXNuYWNrcyBzaG9wIHRpcnVy4AEA-gEECCQQOg!16s%2Fg%2F11scv8fhtv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9064284, 75.8731045",,Coffee shop,Food_Businesses,4.2,212.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:05:56
Good Bakes,"WVCR+46W, Tirur, Kerala 676109","Local Guide · 689 reviews · 4,304 photos","https://www.google.com/maps/place/Good+Bakes/@10.920127,75.8541017,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7afe86b6c7d09:0x22279c3658369318!8m2!3d10.920127!4d75.8901506!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBBmJha2VyeaoBWAoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn8ah8JaN-9PBhPUE858CL-bIeU1CESETM5EOMhUQAiIRc25hY2tzIHNob3AgdGlydXLgAQA!16s%2Fg%2F11pc9lnw6_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.920127, 75.8541017",Claim this business,Bakery and Cake Shop,Food_Businesses,4.2,63.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:06:01
Al Raiqa Choco Nuts & Dates - Tirur,"C,D, E Illathaparambu, No.123, Police Line, opposite DYSP Office, Tirur, Kerala 676105",091880 71198,"https://www.google.com/maps/place/Al+Raiqa+Choco+Nuts+%26+Dates+-+Tirur/@10.9013125,75.8895136,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b1000de6553f:0x16210c7fe81ffee6!8m2!3d10.9013125!4d75.9255625!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBD2RyeV9mcnVpdF9zdG9yZaoBWAoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn8ah8JaN-9PBhPUE858CL-bIeU1CESETM5EOMhUQAiIRc25hY2tzIHNob3AgdGlydXLgAQA!16s%2Fg%2F11wwqr786k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9013125, 75.8895136",alraiqa.com,Dry Fruit Store,Food_Businesses,4.6,28.0,₹₹,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:06:06
Metro Bakes,"opposite Saleema Petroleum, Kott, Alinchuvadu, Tirur, Kerala 676101",075108 74737,"https://www.google.com/maps/place/Metro+Bakes/@10.9314301,75.8973078,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b35a4b58cae9:0xa5644a4ab07dfb2e!8m2!3d10.9314301!4d75.9333567!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBBmJha2VyeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONWJGcG1SbXhSUlJBQqoBWAoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn8ah8JaN-9PBhPUE858CL-bIeU1CESETM5EOMhUQAiIRc25hY2tzIHNob3AgdGlydXLgAQD6AQQIHBAi!16s%2Fg%2F11grq7wvbr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9314301, 75.8973078",,Bakery and Cake Shop,Food_Businesses,4.1,51.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:06:11
Tirur Fish Market,"Market, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Tirur+Fish+Market/@10.9314301,75.8973078,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b1c260061a39:0x7c14a9a4f1f4a632!8m2!3d10.9168816!4d75.9230622!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBEWZyZXNoX2Zvb2RfbWFya2V0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI0ZFRaVVUxaDNFQUWqAVgKCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG5_GofCWjfvTwYT1BPOfAi_myHlNQhEhEzORDjIVEAIiEXNuYWNrcyBzaG9wIHRpcnVy4AEA-gEECAAQFg!16s%2Fg%2F11flgh5vl2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9314301, 75.8973078",,Fresh food market,Food_Businesses,3.8,1061.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:06:16
AJFAN DATES AND NUTS ( TIRUR ),"Khaleez Building, Pottethupadi, Tirur, Kerala 676101",081380 00509,"https://www.google.com/maps/place/AJFAN+DATES+AND+NUTS+(+TIRUR+)/@10.9314301,75.8973078,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirur!6e6!3m6!1s0x3ba7b15920fe1bdd:0x87afbc6db4cc0c0d!8m2!3d10.9039484!4d75.9218924!15sChFzbmFja3Mgc2hvcCB0aXJ1cloTIhFzbmFja3Mgc2hvcCB0aXJ1cpIBD2RyeV9mcnVpdF9zdG9yZaoBWAoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbn8ah8JaN-9PBhPUE858CL-bIeU1CESETM5EOMhUQAiIRc25hY2tzIHNob3AgdGlydXLgAQA!16s%2Fg%2F11h1dp47zb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirur,"10.9314301, 75.8973078",ajfan.store,Dry Fruit Store,Food_Businesses,4.4,164.0,₹₹,Opens 9am,Closed ⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,snacks shop tirur,2025-08-10 02:06:21
