name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
MT STORE Groceries and Savouries,"near Maliyekkal Petrol pump, Kakkad, Tirurangadi, Kerala 676306",075105 01010,"https://www.google.com/maps/place/MT+STORE+Groceries+and+Savouries/@11.0355678,75.8983446,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d9847f64acf:0xfd5f7ac7aa5bca26!8m2!3d11.0393764!4d75.9380153!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkNiVkJJTjBwbkVBRaoBXgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnsFgiTcMHqXwSJ8TlHyaR2eODjI7D23wV50TMhsQAiIXc25hY2tzIHNob3AgdGlydXJhbmdhZGngAQD6AQQIABAU!16s%2Fg%2F11h7d6_qkz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0355678, 75.8983446",,Grocery store,Food_Businesses,4.9,139.0,₹₹,Opens 7:30am,⋅ Opens 7:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:07
Noorani Nuts,"Nooranidates Tirurangadi, Tirurangadi, Kerala 676508",097441 80887,"https://www.google.com/maps/place/Noorani+Nuts/@11.0355678,75.8983446,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d9cf1753fb5:0x70401067680fa784!8m2!3d11.0435474!4d75.9253977!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBDmNob2NvbGF0ZV9zaG9wqgFeCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuewWCJNwwepfBInxOUfJpHZ44OMjsPbfBXnRMyGxACIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11y3_v41yy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0355678, 75.8983446",nooraninuts.com,Chocolate shop,Food_Businesses,4.9,24.0,₹₹,Opens 8am,Closed ⋅ Opens 8am,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Kerbside pickup
·

Delivery
",delivery; kerbside pickup,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:12
Romance Nuts & Cake,"2WQ7+QGV, Mampuram Bypass Road, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/Romance+Nuts+%26+Cake/@11.0394852,75.8777534,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d2989209f4d:0x67987c5f136e763d!8m2!3d11.0394852!4d75.9138023!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBC2NhbmR5X3N0b3JlqgFeCgsvbS8wMTE4NmZmZhABKg8iC3NuYWNrcyBzaG9wKAAyHxABIhuewWCJNwwepfBInxOUfJpHZ44OMjsPbfBXnRMyGxACIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11qykcv5r8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0394852, 75.8777534",dialndial.com,Sweet shop,Food_Businesses,4.3,38.0,₹₹,,,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:16
ALFA SWEETS,"2WRG+HX5, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/ALFA+SWEETS/@11.0394852,75.8777534,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d59eb6e5179:0xc56bd51771966ce0!8m2!3d11.0410444!4d75.9277884!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBBmJha2VyeaoBXgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnsFgiTcMHqXwSJ8TlHyaR2eODjI7D23wV50TMhsQAiIXc25hY2tzIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11rqp2q8ql?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0394852, 75.8777534",Claim this business,Bakery and Cake Shop,Food_Businesses,3.9,10.0,₹₹,,,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:21
0494 Hot and Cool cafe,"2WQQ+Q7R, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/0494+Hot+and+Cool+cafe/@11.0395237,75.9021055,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64da4ad8d6d73:0x58a5954f1ba214f9!8m2!3d11.0395237!4d75.9381544!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU10T0hGVVRFbFJFQUWqAV4KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57BYIk3DB6l8EifE5R8mkdnjg4yOw9t8FedEzIbEAIiF3NuYWNrcyBzaG9wIHRpcnVyYW5nYWRp4AEA-gEECAAQDQ!16s%2Fg%2F11tbxn24jt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0395237, 75.9021055",Claim this business,Coffee shop,Food_Businesses,5.0,1.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,494.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:26
Honest Bakery,"2WRH+P89, Tirurangadi, Kerala 676306",0494 246 0540,"https://www.google.com/maps/place/Honest+Bakery/@11.0395237,75.9021055,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d122dccbf59:0x317689e27ef14801!8m2!3d11.041795!4d75.9283557!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBBmJha2VyeaoBXgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnsFgiTcMHqXwSJ8TlHyaR2eODjI7D23wV50TMhsQAiIXc25hY2tzIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11cm_ps_7q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0395237, 75.9021055",Claim this business,Bakery and Cake Shop,Food_Businesses,3.2,26.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:31
Janatha Bazar,"2WW6+GFP, Chemmad, Kerala 676306",090482 24490,"https://www.google.com/maps/place/Janatha+Bazar/@11.0463389,75.8751692,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d7ae616027f:0x8fd5c2cd074f4d98!8m2!3d11.0463389!4d75.9112181!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAV4KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57BYIk3DB6l8EifE5R8mkdnjg4yOw9t8FedEzIbEAIiF3NuYWNrcyBzaG9wIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11p5681qgx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0463389, 75.8751692",Claim this business,Grocery store,Food_Businesses,4.1,253.0,₹₹,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:36
Honest Bakery,"2WV7+4FC, Tirurangadi, Kerala 676306",0494 246 7192,"https://www.google.com/maps/place/Honest+Bakery/@11.0463389,75.8751692,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d6fce15cf49:0xbfe378a3d954ff42!8m2!3d11.0428133!4d75.9136517!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBBmJha2VyeaoBXgoLL20vMDExODZmZmYQASoPIgtzbmFja3Mgc2hvcCgAMh8QASIbnsFgiTcMHqXwSJ8TlHyaR2eODjI7D23wV50TMhsQAiIXc25hY2tzIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11c18p7jy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0463389, 75.8751692",Claim this business,Bakery and Cake Shop,Food_Businesses,2.9,17.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:40
Bake n Fresh Coffee & Juice,"2WMF+X2Q, Chemmad - Tirurangadi Rd, Tirurangadi, Kerala 676306",064464 50199,"https://www.google.com/maps/place/Bake+n+Fresh+Coffee+%26+Juice/@11.0463389,75.8751692,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64d6acfd7eec1:0xa5e89e1630ebc440!8m2!3d11.0349614!4d75.9225967!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBCnJlc3RhdXJhbnSqAV4KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57BYIk3DB6l8EifE5R8mkdnjg4yOw9t8FedEzIbEAIiF3NuYWNrcyBzaG9wIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11fx89q8y9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0463389, 75.8751692",Claim this business,Restaurant,Food_Businesses,4.4,10.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:45
MT STORE 2.0,"Manithodika Link Rd, Kakkad, Pandikashala Town, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/MT+STORE+2.0/@11.0395859,75.9027183,14z/data=!4m11!1m3!2m2!1ssnacks+shop+tirurangadi!6e6!3m6!1s0x3ba64dc8065fa0e3:0x1d82401b4bb3c413!8m2!3d11.0395859!4d75.9387672!15sChdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaVoZIhdzbmFja3Mgc2hvcCB0aXJ1cmFuZ2FkaZIBFGluZGlhbl9ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJsYVRVelUwVm5FQUWqAV4KCy9tLzAxMTg2ZmZmEAEqDyILc25hY2tzIHNob3AoADIfEAEiG57BYIk3DB6l8EifE5R8mkdnjg4yOw9t8FedEzIbEAIiF3NuYWNrcyBzaG9wIHRpcnVyYW5nYWRp4AEA-gEECAAQDA!16s%2Fg%2F11s7rmxmbt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",snacks+shop+tirurangadi,"11.0395859, 75.9027183",,Indian grocery store,Food_Businesses,4.8,32.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,2.0,Not Available,,,snacks shop tirurangadi,2025-08-10 02:33:50
