name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Mixed Leaf Cafe and Outlet,"Edavannappara - Airport Rd, Muthuvalloor, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Mixed+Leaf+Cafe+and+Outlet/@11.1535007,75.9415417,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64fe798da5af7:0x612e3f632256a505!8m2!3d11.1756344!4d75.9689089!15sChF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZaoBUgoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYxDelrActDionM4cuRDZAAaQ1qVnoObFpSMhUQAiIRdGVhIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11xmxzg4f3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1535007, 75.9415417",,Tea store,Food_Businesses,5.0,1.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop kondotty,2025-08-10 01:14:13
Paradise tea shop,"5W5X+F4G, Kondotty, Kerala 673647",,"https://www.google.com/maps/place/Paradise+tea+shop/@11.1587226,75.9116785,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f0025af5a37:0x40aca819e534a391!8m2!3d11.1587226!4d75.9477274!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wqgFSCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCtjEN6WsBy0OKiczhy5ENkABpDWpWeg5sWlIyFRACIhF0ZWEgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11ww6ksvkw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1587226, 75.9116785",Claim this business,Coffee shop,Food_Businesses,4.0,1.0,₹1–200,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:18
THE CHAI WALAH - CALICUT AIRPORT,"4WXX+J48, Nayabazar, Kondotty, Kerala 673647",090721 30003,"https://www.google.com/maps/place/THE+CHAI+WALAH+-+CALICUT+AIRPORT/@11.1587226,75.9116785,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f00642e09a5:0xfbd444e6e91340f2!8m2!3d11.1490313!4d75.947798!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZaoBUgoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYxDelrActDionM4cuRDZAAaQ1qVnoObFpSMhUQAiIRdGVhIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11y58zdwcj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1587226, 75.9116785",instagram.com,Tea store,Food_Businesses,4.0,89.0,₹1–200,2am,⋅ 2am ⋅ Reopens 4pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:23
Tea shop,"5X42+99J, Calicut Airport Rd, Kondotty, Kerala 673647",,"https://www.google.com/maps/place/Tea+shop/@11.1587226,75.9116785,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f001b7bc5e1:0x2ff500f6ad7fb962!8m2!3d11.1551456!4d75.9509499!15sChF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZaoBUgoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYxDelrActDionM4cuRDZAAaQ1qVnoObFpSMhUQAiIRdGVhIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11wtzn5g96?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1587226, 75.9116785",Claim this business,Tea store,Food_Businesses,4.0,1.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:27
Cafe Roots and Recipes (RR Café),"SH28, Kondotty, Kerala 673638",095443 36060,"https://www.google.com/maps/place/Cafe+Roots+and+Recipes+(RR+Caf%C3%A9)/@11.1420508,75.9369368,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f58588d3ab7:0xf9201f7459f79a2c!8m2!3d11.1420508!4d75.9729857!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wqgFSCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCtjEN6WsBy0OKiczhy5ENkABpDWpWeg5sWlIyFRACIhF0ZWEgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11l38zlgmq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1420508, 75.9369368",instagram.com,Coffee shop,Food_Businesses,4.5,102.0,₹1–200,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:32
Fly Cup,"Fly Cup 43 Kondotty, Kolappuram, Karipur, Kerala 673638",,"https://www.google.com/maps/place/Fly+Cup/@11.1420508,75.9369368,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f00797cb2d3:0xf382d5fc2fa6bfbd!8m2!3d11.1313684!4d75.9654676!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZaoBUgoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYxDelrActDionM4cuRDZAAaQ1qVnoObFpSMhUQAiIRdGVhIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11lzrqrdn6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1420508, 75.9369368",,Tea store,Food_Businesses,4.8,25.0,₹1–200,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,,Not Available,,,tea shop kondotty,2025-08-10 01:14:37
Nanni’s cafe ️,"PWD office, Kondotty, Kerala 673638",070341 25698,"https://www.google.com/maps/place/Nanni%E2%80%99s+cafe+%EF%B8%8F/@11.1420508,75.9369368,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f9250840235:0x774be8006594ae3d!8m2!3d11.1538402!4d75.9583122!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wqgFSCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCtjEN6WsBy0OKiczhy5ENkABpDWpWeg5sWlIyFRACIhF0ZWEgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11v6cf39zy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1420508, 75.9369368",,Coffee shop,Food_Businesses,4.5,2.0,₹1–200,Opens 5:30am Mon,⋅ Opens 5:30am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:42
Tea Coffee,"Tea Coffee, Bismi Panayam Paramb, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Tea+Coffee/@11.1629207,75.9135442,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f8bd7edffad:0x41329379c5dd41f0!8m2!3d11.1629207!4d75.9495931!15sChF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZaoBUgoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbgrYxDelrActDionM4cuRDZAAaQ1qVnoObFpSMhUQAiIRdGVhIHNob3Aga29uZG90dHngAQA!16s%2Fg%2F11xdqc56rz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1629207, 75.9135442",,Tea store,Food_Businesses,5.0,,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop kondotty,2025-08-10 01:14:47
Tea Box Cafe,"5X88+R49, Neerad, Kerala 673638",,"https://www.google.com/maps/place/Tea+Box+Cafe/@11.1629207,75.9135442,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f00129032ef:0x381b137093c52224!8m2!3d11.1670251!4d75.9653564!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBCXRlYV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycGFNbU5WZUUxWmJVcDRWMGRzUWsxSFJucGlWMDVIVkVaYWFWbFdSUkFCqgFSCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCtjEN6WsBy0OKiczhy5ENkABpDWpWeg5sWlIyFRACIhF0ZWEgc2hvcCBrb25kb3R0eeABAPoBBAgAEBc!16s%2Fg%2F11xmvgklrk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1629207, 75.9135442",Claim this business,Tea store,Food_Businesses,5.0,1.0,₹1–200,Opens 1pm,⋅ Opens 1pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop kondotty,2025-08-10 01:14:51
Kodimaram Tea stall,"2, Kondotty - Tirurangadi Rd, Karipur, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Kodimaram+Tea+stall/@11.1629207,75.9135442,14z/data=!4m11!1m3!2m2!1stea+shop+kondotty!6e5!3m6!1s0x3ba64f001e10cec9:0x1095576e05167fc2!8m2!3d11.1447834!4d75.9637185!15sChF0ZWEgc2hvcCBrb25kb3R0eVoTIhF0ZWEgc2hvcCBrb25kb3R0eZIBC2NvZmZlZV9zaG9wqgFSCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhuCtjEN6WsBy0OKiczhy5ENkABpDWpWeg5sWlIyFRACIhF0ZWEgc2hvcCBrb25kb3R0eeABAA!16s%2Fg%2F11lcy__5w4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+kondotty,"11.1629207, 75.9135442",Claim this business,Coffee shop,Food_Businesses,4.5,2.0,₹1–200,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,1.0,Not Available,,,tea shop kondotty,2025-08-10 01:14:56
