name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Milma Tea Shop,"76GF+9QC, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Milma+Tea+Shop/@11.2211174,76.132274,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b9cc3b07ec9:0x702689ba6ec809ba!8m2!3d11.2759453!4d76.2245956!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11sfj6mzly?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2211174, 76.132274",Claim this business,Coffee shop,Food_Businesses,4.4,117.0,₹1–200,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:51:37
Teabench Nilambur,"862X+2MP, opp. Mini Civil Station, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Teabench+Nilambur/@11.2211174,76.132274,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63d004d9ee5df:0x53870c98bcc1439a!8m2!3d11.300094!4d76.2492133!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU51TFdKWU9FTkJFQUWqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIeEAEiGgQxhISnQH7xV-Y9B2Hz_4IAO5q2Opm0SR_BMhUQAiIRdGVhIHNob3AgbmlsYW1idXLgAQD6AQQIABAz!16s%2Fg%2F11lp56z4v0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2211174, 76.132274",Claim this business,Coffee shop,Food_Businesses,4.8,12.0,₹1–200,Opens 10am,⋅ Opens 10am,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:51:42
Tea Talk Nilambur,"Kozhikode, Gudallur Road, NH966, Tana, Nilambur, Kerala 676542",,"https://www.google.com/maps/place/Tea+Talk+Nilambur/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63bb68fcc0667:0xdf0618a690a9974c!8m2!3d11.2517268!4d76.1879848!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11x8b_mj3b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",,Coffee shop,Food_Businesses,4.4,58.0,₹1–200,Opens 3pm,⋅ Opens 3pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:51:47
Hug a Mug Cafe Nilambur,"Kozhikod-Nilmbur-Gudallur Road, Malappuram, Mampad, Kerala 676542",097784 11810,"https://www.google.com/maps/place/Hug+a+Mug+Cafe+Nilambur/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b93ebe46e21:0xf269b15628f2c3a3!8m2!3d11.2536864!4d76.1938521!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11sttsbqr_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",hugamug.in,Coffee shop,Food_Businesses,4.0,269.0,₹1–200,Closes 2am,⋅ Closes 2am ⋅ Reopens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:51:52
Chai Loop,"State Highway 28, Nilambur - Malappuram Rd, near New Life Hospital, Vadapuram, Nilambur, Kerala 676542",,"https://www.google.com/maps/place/Chai+Loop/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63bbb463b7bd7:0xd223375da7fb3eda!8m2!3d11.257557!4d76.1987792!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBCXRlYV9zdG9yZaoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh4QASIaBDGEhKdAfvFX5j0HYfP_ggA7mrY6mbRJH8EyFRACIhF0ZWEgc2hvcCBuaWxhbWJ1cuABAA!16s%2Fg%2F11lynjm90c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",,Tea store,Food_Businesses,4.8,15.0,₹1–200,Opens 3pm,⋅ Opens 3pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:51:56
Cafe Latte™,"opp. Teak Museum & Bio-resources Nature Park, Nilambur, Kerala 679329",094951 93998,"https://www.google.com/maps/place/Cafe+Latte%E2%84%A2/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63db4a0583b21:0x174a60c9ebfa983f!8m2!3d11.3007209!4d76.2490066!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11j5pxksyg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",thelattecafe.com,Coffee shop,Food_Businesses,4.8,484.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:52:01
The Chai Walah Nilambur,"76C8+5XC, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/The+Chai+Walah+Nilambur/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b0021291b5d:0x30ced98c717d182e!8m2!3d11.2704928!4d76.2172804!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0YWQxVnRUVEpWYm14NlVtNUNNVkZYVm1aTlJtaDFVMGQ0YTFSdVl4QUKqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIeEAEiGgQxhISnQH7xV-Y9B2Hz_4IAO5q2Opm0SR_BMhUQAiIRdGVhIHNob3AgbmlsYW1idXLgAQD6AQQIABAb!16s%2Fg%2F11yffzhr_v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",Claim this business,Coffee shop,Food_Businesses,4.2,13.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:52:06
Chaya peediya,"76FC+H85, Jyothipadi - Aruvacode Rd, Nilambur, Kerala 679329",Local Guide · 104 reviews · 499 photos,"https://www.google.com/maps/place/Chaya+peediya/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b006b3be82d:0xc90f227d740ca9b1!8m2!3d11.273887!4d76.2208469!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11vrlxhldm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",Claim this business,Coffee shop,Food_Businesses,4.8,4.0,₹1–200,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,17.0,Not Available,,,tea shop nilambur,2025-08-10 00:52:11
Hanan Shaah Saleemakkas Tea Shop,"SH28, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Hanan+Shaah+Saleemakkas+Tea+Shop/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b00002d0abb:0x92f89123bb54dc5f!8m2!3d11.2636183!4d76.2039736!15sChF0ZWEgc2hvcCBuaWxhbWJ1cpIBC2NvZmZlZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHhABIhoEMYSEp0B-8VfmPQdh8_-CADuatjqZtEkfwTIVEAIiEXRlYSBzaG9wIG5pbGFtYnVy4AEA!16s%2Fg%2F11xm88cntp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",Claim this business,Coffee shop,Food_Businesses,4.4,,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop nilambur,2025-08-10 00:52:15
Juicy Nilambur,"Jyothippady, Nilambur, Kerala 679329",062828 97616,"https://www.google.com/maps/place/Juicy+Nilambur/@11.2517268,76.0437892,12z/data=!4m11!1m3!2m2!1stea+shop+nilambur!6e5!3m6!1s0x3ba63b3d9ddda853:0x207c0fbbc4d0189f!8m2!3d11.2751631!4d76.2219409!15sChF0ZWEgc2hvcCBuaWxhbWJ1cloTIhF0ZWEgc2hvcCBuaWxhbWJ1cpIBCmp1aWNlX3Nob3CqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIeEAEiGgQxhISnQH7xV-Y9B2Hz_4IAO5q2Opm0SR_BMhUQAiIRdGVhIHNob3AgbmlsYW1idXLgAQA!16s%2Fg%2F11h6mzm8ky?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+nilambur,"11.2517268, 76.0437892",,Juice shop,Food_Businesses,4.2,507.0,₹1–200,Opens 10:30am,⋅ Opens 10:30am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop nilambur,2025-08-10 00:52:20
