name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Oru chaya, Tea & Coffee","QW6H+95C, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Oru+chaya,+Tea+%26+Coffee/@10.7609308,75.8557905,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb0034276ffd:0xb6d7e9fc1d7a8294!8m2!3d10.7609308!4d75.9278883!15sChB0ZWEgc2hvcCBwb25uYW5pkgEJdGVhX3N0b3JlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11wv9ffsqm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7609308, 75.8557905",Claim this business,Tea store,Food_Businesses,5.0,2.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop ponnani,2025-08-10 01:07:10
MA Tea Shop,"Kuttikkad Road Junction, Karma Road, Dt, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/MA+Tea+Shop/@10.7609308,75.8557905,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bbba8799419b:0xdc87af0d4156a30b!8m2!3d10.7903812!4d75.9392084!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQpmb29kX2NvdXJ0qgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11tg2ctkyt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7609308, 75.8557905",Claim this business,Food court,Food_Businesses,4.3,4.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:14
THE CHAI WALAH,"QWVR+5G, Kuttadu, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/THE+CHAI+WALAH/@10.7609308,75.8557905,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bbe20ae7f513:0x8da4ea7d4b6b434d!8m2!3d10.7929!4d75.9413315!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMU4xQk1aRUZSRUFFqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA-gEECAAQMQ!16s%2Fg%2F11kk46bxsx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7609308, 75.8557905",instagram.com,Coffee shop,Food_Businesses,4.1,168.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:19
Sreeni Tea Shop,"Kariyamparambil Kadavanad, Malappuram, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/Sreeni+Tea+Shop/@10.7609308,75.8557905,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb2f48b4f811:0xa1251b381a9e7e07!8m2!3d10.7548101!4d75.9328102!15sChB0ZWEgc2hvcCBwb25uYW5pkgEJdGVhX3N0b3JlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11x1z1jt9c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7609308, 75.8557905",,Tea store,Food_Businesses,3.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,tea shop ponnani,2025-08-10 01:07:24
Variety kitchen's TEA & SNACKS,"Edappal - Tirur Rd, Thuyyam, Ponnani, Kerala 679576",,"https://www.google.com/maps/place/Variety+kitchen's+TEA+%26+SNACKS/@10.7856066,75.9121303,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb5741440fe5:0xae9237079ced3346!8m2!3d10.7856066!4d75.9842281!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQl0ZWFfc3RvcmWqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG1F1NiUj7ka8N9cnk9eXwnle__JY000mfuGJizIUEAIiEHRlYSBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11pq4wqw4n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7856066, 75.9121303",,Tea store,Food_Businesses,5.0,4.0,₹₹,,,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:29
SPICY KITCHEN,"QW6H+48H Anappadi, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/SPICY+KITCHEN/@10.7603024,75.8562519,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb0133453903:0x2d35a9b4254a34c5!8m2!3d10.7603024!4d75.9283497!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQl0ZWFfaG91c2WqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG1F1NiUj7ka8N9cnk9eXwnle__JY000mfuGJizIUEAIiEHRlYSBzaG9wIHBvbm5hbmngAQA!16s%2Fg%2F11tb4_9w5y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7603024, 75.8562519",Claim this business,Tea house,Food_Businesses,4.0,2.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,5454.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:34
Kadavu Cafe,"RX65+3J2, Ponnani - Tirur Rd, Chamravattom, Kerala 679573",097443 50355,"https://www.google.com/maps/place/Kadavu+Cafe/@10.7603024,75.8562519,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bbf6d82a3f3d:0x59d379d5f1a75f8b!8m2!3d10.8101371!4d75.9590093!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNGREYzJNakJSUlJBQqoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbUXU2JSPuRrw31yeT15fCeV7_8ljTTSZ-4YmLMhQQAiIQdGVhIHNob3AgcG9ubmFuaeABAPoBBAgAECc!16s%2Fg%2F11rwmqk73m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7603024, 75.8562519",Claim this business,Coffee shop,Food_Businesses,4.0,35.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,2025.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:38
Hotel Thasneem,"QWJC+9Q3, Old NH 17, Malappuram, Ponnani, Kerala 679583",,"https://www.google.com/maps/place/Hotel+Thasneem/@10.7603024,75.8562519,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb82d706149f:0xb8e026740dec7e58!8m2!3d10.780888!4d75.9219577!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbUXU2JSPuRrw31yeT15fCeV7_8ljTTSZ-4YmLMhQQAiIQdGVhIHNob3AgcG9ubmFuaeABAA!16s%2Fg%2F11s8mwxl_j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7603024, 75.8562519",,Coffee shop,Food_Businesses,4.5,2.0,₹₹,Opens 4am,⋅ Opens 4am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:43
Pullala's Cafe,"Pulikkakadavu Hanging Bridge, Ponnani, Kerala 679583",073061 04833,"https://www.google.com/maps/place/Pullala's+Cafe/@10.7603024,75.8562519,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb0024a05c3b:0x25d045a82d267936!8m2!3d10.776797!4d75.9505253!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQRjYWZlqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11vy0r32ln?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7603024, 75.8562519",,Cafe,Food_Businesses,4.7,7.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:48
Maams Bakes and coffee,"Road, Nadakkavu - Parappuram - Nariparambu Rd, Ponnani, Chamravattom, Kerala 679573",099618 51000,"https://www.google.com/maps/place/Maams+Bakes+and+coffee/@10.8178743,75.8926857,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb3809e8ae5b:0xdf43cf344e6247fa!8m2!3d10.8178743!4d75.9647835!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbUXU2JSPuRrw31yeT15fCeV7_8ljTTSZ-4YmLMhQQAiIQdGVhIHNob3AgcG9ubmFuaeABAA!16s%2Fg%2F11y8m8xcjv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.8178743, 75.8926857",maams.in,Coffee shop,Food_Businesses,4.8,13.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:53
Janatha bakery,"QWJJ+RH9, Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Janatha+bakery/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb1a50971bcf:0xd49398242c50b03a!8m2!3d10.7820342!4d75.9314939!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQZiYWtlcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjFlazF1YjNCblJSQUKqAVEKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG1F1NiUj7ka8N9cnk9eXwnle__JY000mfuGJizIUEAIiEHRlYSBzaG9wIHBvbm5hbmngAQD6AQUIsAEQDQ!16s%2Fg%2F11bv3vb8ww?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7820342, 75.8593961",Claim this business,Bakery and Cake Shop,Food_Businesses,4.1,160.0,₹₹,Closes 12am,⋅ Closes 12am,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:07:58
Juicy Ponnani,"TH mall, Kuttikad junction, near AVHS ground, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Juicy+Ponnani/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bb6a436e2029:0x830acd2d5a0e1e09!8m2!3d10.7825306!4d75.9388192!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQpqdWljZV9zaG9wqgFRCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtRdTYlI-5GvDfXJ5PXl8J5Xv_yWNNNJn7hiYsyFBACIhB0ZWEgc2hvcCBwb25uYW5p4AEA!16s%2Fg%2F11j0_pywp0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7820342, 75.8593961",Place an order,Juice shop,Food_Businesses,4.3,261.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:08:03
SNAXBAY TEASTOP,"Nilayoram Park, near Chamravattam Regulator cum Bridge, Chamravattom, Triprangode, Kerala 676102",090481 46666,"https://www.google.com/maps/place/SNAXBAY+TEASTOP/@10.7820342,75.8593961,13z/data=!4m11!1m3!2m2!1stea+shop+ponnani!6e5!3m6!1s0x3ba7bba6849b3ea7:0xaf2ea0102b42ab74!8m2!3d10.8197372!4d75.9527828!15sChB0ZWEgc2hvcCBwb25uYW5pWhIiEHRlYSBzaG9wIHBvbm5hbmmSAQtjb2ZmZWVfc2hvcKoBUQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbUXU2JSPuRrw31yeT15fCeV7_8ljTTSZ-4YmLMhQQAiIQdGVhIHNob3AgcG9ubmFuaeABAA!16s%2Fg%2F11rwpmtrvj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+ponnani,"10.7820342, 75.8593961",snaxbay.com,Coffee shop,Food_Businesses,4.3,171.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop ponnani,2025-08-10 01:08:07
