name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
THE CHAI WALAH TIRUR,"Naduvilangadi, Tirur, Kerala 676103",0494 358 7583,"https://www.google.com/maps/place/THE+CHAI+WALAH+TIRUR/@10.9211703,75.8345359,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b146cad05e03:0x669a1e1137f9f9df!8m2!3d10.9182986!4d75.9182431!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBCXRlYV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOaUxTMVhjVXRSRUFFqgFFEAEqDCIIdGVhIHNob3AoADIfEAEiG4Oeyr2cYxBEpsL8Uo288FYMeMau2vac1Ro6pjISEAIiDnRlYSBzaG9wIHRpcnVy4AEA-gEECAAQPQ!16s%2Fg%2F11y7b_ycmz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9211703, 75.8345359",instagram.com,Tea store,Food_Businesses,3.2,39.0,₹₹,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:09
SNAXBAY TEASTOP,"Police Line, near Al-Bake, Tirur, Kerala 676101",090482 86666,"https://www.google.com/maps/place/SNAXBAY+TEASTOP/@10.9211703,75.8345359,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b1e9745055df:0xac328d36668dcf94!8m2!3d10.900204!4d75.9256645!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBBGNhZmWqAUUQASoMIgh0ZWEgc2hvcCgAMh8QASIbg57KvZxjEESmwvxSjbzwVgx4xq7a9pzVGjqmMhIQAiIOdGVhIHNob3AgdGlydXLgAQA!16s%2Fg%2F11svnktk9y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9211703, 75.8345359",snaxbay.com,Cafe,Food_Businesses,4.7,51.0,₹₹,Opens 12pm,Closed ⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:14
Ameerinte chaya kada,"WW68+7C8, opposite Co operative college, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Ameerinte+chaya+kada/@10.9211703,75.8345359,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b1004a98089f:0xa23dbd7226c0f1a4!8m2!3d10.9106576!4d75.9160737!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wqgFFEAEqDCIIdGVhIHNob3AoADIfEAEiG4Oeyr2cYxBEpsL8Uo288FYMeMau2vac1Ro6pjISEAIiDnRlYSBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11vq022ygm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9211703, 75.8345359",Claim this business,Coffee shop,Food_Businesses,4.8,13.0,₹₹,Opens 6:30am Mon,⋅ Opens 6:30am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:19
Ummi's Tea Shop,"WWR6+W5X, Thayyala Rd, Meenadathur, Tirur, Kerala 676307",,"https://www.google.com/maps/place/Ummi's+Tea+Shop/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b3003ddbe589:0xca0383ac9a6b1686!8m2!3d10.9423484!4d75.9104523!15sCg50ZWEgc2hvcCB0aXJ1cpIBCXRlYV9zdG9yZaoBRRABKgwiCHRlYSBzaG9wKAAyHxABIhuDnsq9nGMQRKbC_FKNvPBWDHjGrtr2nNUaOqYyEhACIg50ZWEgc2hvcCB0aXJ1cuABAA!16s%2Fg%2F11xf7hrx08?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",Claim this business,Tea store,Food_Businesses,5.0,1.0,₹₹,Opens 10am,⋅ Opens 10am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop tirur,2025-08-10 00:58:24
Sagar Tea Shop,"WWFH+2X4, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Sagar+Tea+Shop/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b189e4350a41:0x562986918e379390!8m2!3d10.9225146!4d75.9299451!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBCXRlYV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGJtTnliakJSUlJBQqoBRRABKgwiCHRlYSBzaG9wKAAyHxABIhuDnsq9nGMQRKbC_FKNvPBWDHjGrtr2nNUaOqYyEhACIg50ZWEgc2hvcCB0aXJ1cuABAPoBBAgAECA!16s%2Fg%2F11f3v8k5mw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",Claim this business,Tea store,Food_Businesses,4.0,32.0,₹₹,Opens 5:30pm,⋅ Opens 5:30pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop tirur,2025-08-10 00:58:29
Zargoza Container Cafe Tirur,"Darussalam mall, Tirur-Kuttippuram Road, Poongottukulam, Tirur, Kerala 676101",097451 42424,"https://www.google.com/maps/place/Zargoza+Container+Cafe+Tirur/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b1a759e16017:0x7992bed76ae91faa!8m2!3d10.9086359!4d75.9201743!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBBGNhZmWqAUUQASoMIgh0ZWEgc2hvcCgAMh8QASIbg57KvZxjEESmwvxSjbzwVgx4xq7a9pzVGjqmMhIQAiIOdGVhIHNob3AgdGlydXLgAQA!16s%2Fg%2F11mwp0kv07?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",instagram.com,Cafe,Food_Businesses,4.1,233.0,₹₹,Opens 11:30am,Closed ⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:34
Chayeah tirur,"SH 71, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Chayeah+tirur/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b10003691359:0x25e46eb15221ae2e!8m2!3d10.9146671!4d75.9225071!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wqgFFEAEqDCIIdGVhIHNob3AoADIfEAEiG4Oeyr2cYxBEpsL8Uo288FYMeMau2vac1Ro6pjISEAIiDnRlYSBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11wnc43rvt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",Claim this business,Coffee shop,Food_Businesses,4.0,8.0,₹₹,Opens 6am,⋅ Opens 6am,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:38
Nidha,"Nidha Building, Thazhepalam, Malappuram, Tirur, Kerala 676101",098465 01475,"https://www.google.com/maps/place/Nidha/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b117278bad65:0x95b29bb1c52d6cdb!8m2!3d10.9134365!4d75.919611!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBBGNhZmWqAUUQASoMIgh0ZWEgc2hvcCgAMh8QASIbg57KvZxjEESmwvxSjbzwVgx4xq7a9pzVGjqmMhIQAiIOdGVhIHNob3AgdGlydXLgAQA!16s%2Fg%2F11mfylrt_n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",,Cafe,Food_Businesses,4.3,8.0,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:43
TEA.COM,"VWXG+MFG, Tirur, Kerala 676105",,"https://www.google.com/maps/place/TEA.COM/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b1006b59fec9:0x285665a2a74f2a91!8m2!3d10.8991994!4d75.9262167!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wqgFFEAEqDCIIdGVhIHNob3AoADIfEAEiG4Oeyr2cYxBEpsL8Uo288FYMeMau2vac1Ro6pjISEAIiDnRlYSBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11y8w7td13?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",Claim this business,Coffee shop,Food_Businesses,5.0,5.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:48
Madhavettante Chayakkada,"Ring Road, Tirur, Kerala 676101",086064 47570,"https://www.google.com/maps/place/Madhavettante+Chayakkada/@10.9423484,75.7662567,12z/data=!4m11!1m3!2m2!1stea+shop+tirur!6e5!3m6!1s0x3ba7b1f284652b21:0x290b92a712ee81f6!8m2!3d10.9174235!4d75.9259828!15sCg50ZWEgc2hvcCB0aXJ1cloQIg50ZWEgc2hvcCB0aXJ1cpIBC2NvZmZlZV9zaG9wqgFFEAEqDCIIdGVhIHNob3AoADIfEAEiG4Oeyr2cYxBEpsL8Uo288FYMeMau2vac1Ro6pjISEAIiDnRlYSBzaG9wIHRpcnVy4AEA!16s%2Fg%2F11j4pxb9xh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirur,"10.9423484, 75.7662567",,Coffee shop,Food_Businesses,4.5,53.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,tea shop tirur,2025-08-10 00:58:53
