name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Wife house tea shop,"Mampuram Bypass Road, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/Wife+house+tea+shop/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64dc62e33ef3f:0x6940b719bcff76d7!8m2!3d11.0408762!4d75.9209471!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBEWluZGlhbl9yZXN0YXVyYW50qgFVCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtGCux562MoYWsHacRGPtdVCg8-kpa110YP6JsyGBACIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11jk6b257w?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",,Indian restaurant,Food_Businesses,4.1,12.0,₹1–200,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop tirurangadi,2025-08-10 01:19:47
BEST TEA COFFEE,"Best Tea Coffee, 11/645, Main Toad, Tirurangadi, Kerala 676306",099466 85107,"https://www.google.com/maps/place/BEST+TEA+COFFEE/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64d6c0f1f5683:0x548bc1ed95e667f2!8m2!3d11.0421141!4d75.9278461!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBCnJlc3RhdXJhbnSqAVUKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG0YK7HnrYyhhawdpxEY-11UKDz6SlrXXRg_omzIYEAIiFHRlYSBzaG9wIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11x31rp361?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",,Restaurant,Food_Businesses,4.1,16.0,₹1–200,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:19:52
Mamburam chemmad Bypass tea shop,"2WR9+9P6, Mampuram Bypass Road, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/Mamburam+chemmad+Bypass+tea+shop/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64dd14cba0db3:0x4f62d16092409918!8m2!3d11.0409047!4d75.919268!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBBGNhZmWqAVUKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG0YK7HnrYyhhawdpxEY-11UKDz6SlrXXRg_omzIYEAIiFHRlYSBzaG9wIHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11kk9q9z2x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",Claim this business,Cafe,Food_Businesses,5.0,2.0,₹1–200,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:19:56
Madina Hotel,"388ABuliding ALINCHUBAD, Malappuram, Tirurangadi, Kerala 676306",062389 51432,"https://www.google.com/maps/place/Madina+Hotel/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64ddfe9c64dbd:0xf6b04c7f0f4969db!8m2!3d11.0413652!4d75.9350703!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBCXRlYV9zdG9yZaoBVQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbRgrseetjKGFrB2nERj7XVQoPPpKWtddGD-ibMhgQAiIUdGVhIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11x8jp8x1b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",,Tea store,Food_Businesses,5.0,1.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:01
AutoDoc Cafe,"2WRC+JH7, Mampuram Bypass Road, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/AutoDoc+Cafe/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64dbdb88dd4e5:0x443b28b0948c16b3!8m2!3d11.0415445!4d75.9214319!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBCXRlYV9zdG9yZaoBVQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbRgrseetjKGFrB2nERj7XVQoPPpKWtddGD-ibMhgQAiIUdGVhIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11t7m2kbdw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",Claim this business,Tea store,Food_Businesses,5.0,3.0,₹1–200,,,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:06
USMAN P P,"Chemmad - Tirurangadi Rd, Malappuram, Tirurangadi, Kerala 676306",099460 63783,"https://www.google.com/maps/place/USMAN+P+P/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64dfa2a010e49:0xa9f251505eb6c93e!8m2!3d11.0405366!4d75.9283523!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBCXRlYV9zdG9yZaoBVQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbRgrseetjKGFrB2nERj7XVQoPPpKWtddGD-ibMhgQAiIUdGVhIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11x6s4n1ms?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",,Tea store,Food_Businesses,2.0,1.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:11
Tea stall,"2WVC+G43, Parappanangadi - Vengara - Malappuram Rd, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/Tea+stall/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64d98cf329147:0xb2b00434333db66a!8m2!3d11.0437717!4d75.9202856!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBC2NvZmZlZV9zaG9wqgFVCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtGCux562MoYWsHacRGPtdVCg8-kpa110YP6JsyGBACIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11q983hdlm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",Claim this business,Coffee shop,Food_Businesses,5.0,3.0,₹1–200,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:16
URBEN COFFEE,"2WRH+MXM, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/URBEN+COFFEE/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64d000828f8e5:0xfcfc608aab38ab99!8m2!3d11.0417019!4d75.9299352!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBC2NvZmZlZV9zaG9wqgFVCggvbS8wN2NseBABKgwiCHRlYSBzaG9wKAAyHxABIhtGCux562MoYWsHacRGPtdVCg8-kpa110YP6JsyGBACIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaeABAA!16s%2Fg%2F11vr7n1l4d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",Claim this business,Coffee shop,Food_Businesses,3.2,5.0,₹1–200,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:20
0494 Hot and Cool cafe,"2WQQ+Q7R, Tirurangadi, Kerala 676306",0494 Hot and Cool cafe,"https://www.google.com/maps/place/0494+Hot+and+Cool+cafe/@11.0424342,75.8980382,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64da4ad8d6d73:0x58a5954f1ba214f9!8m2!3d11.0395237!4d75.9381544!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaVoWIhR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBC2NvZmZlZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU10T0hGVVRFbFJFQUWqAVUKCC9tLzA3Y2x4EAEqDCIIdGVhIHNob3AoADIfEAEiG0YK7HnrYyhhawdpxEY-11UKDz6SlrXXRg_omzIYEAIiFHRlYSBzaG9wIHRpcnVyYW5nYWRp4AEA-gEECAAQDQ!16s%2Fg%2F11tbxn24jt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0424342, 75.8980382",Claim this business,Coffee shop,Food_Businesses,5.0,1.0,₹1–200,Open 24 hours,Open 24 hours,No,No,No,No,No,No,Unknown,Unknown,None Found,,,494.0,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:25
Tender,"Kodinhi Rd, Tirurangadi, Kerala 676306",089431 98197,"https://www.google.com/maps/place/Tender/@11.0412985,75.8765489,14z/data=!4m11!1m3!2m2!1stea+shop+tirurangadi!6e5!3m6!1s0x3ba64d5e94fc43ed:0x9fe2d446e041e769!8m2!3d11.0412985!4d75.9125978!15sChR0ZWEgc2hvcCB0aXJ1cmFuZ2FkaZIBCXRlYV9zdG9yZaoBVQoIL20vMDdjbHgQASoMIgh0ZWEgc2hvcCgAMh8QASIbRgrseetjKGFrB2nERj7XVQoPPpKWtddGD-ibMhgQAiIUdGVhIHNob3AgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11ltcyd_5m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",tea+shop+tirurangadi,"11.0412985, 75.8765489",,Tea store,Food_Businesses,3.0,1.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,tea shop tirurangadi,2025-08-10 01:20:30
