name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Calicut cafeteria,"Kurppath, Kondotty, Kerala 673638",080891 75421,"https://www.google.com/maps/place/Calicut+cafeteria/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f846bd314a3:0x25a76891ca50cccc!8m2!3d11.1428459!4d75.9702693!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQpyZXN0YXVyYW50qgFGEAEqCyIHY2FudGVlbigAMh8QASIbsvCPRc-0NbP4lRb_8g2bkJ0QoHy0qOZT7i6uMhQQAiIQY2FudGVlbiBrb25kb3R0eeABAA!16s%2Fg%2F11tn113j0q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",instagram.com,Restaurant,Large_Scale_Buyers,3.9,388.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:40:37
RELIEF HOSPITAL CANTEEN ( റിലീഫ് ഹോസ്പിറ്റൽ കാൻ്റീൻ ),"Relief Hospital & Trauma Centre, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/RELIEF+HOSPITAL+CANTEEN+(+%E0%B4%B1%E0%B4%BF%E0%B4%B2%E0%B5%80%E0%B4%AB%E0%B5%8D+%E0%B4%B9%E0%B5%8B%E0%B4%B8%E0%B5%8D%E0%B4%AA%E0%B4%BF%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%BD+%E0%B4%95%E0%B4%BE%E0%B5%BB%E0%B5%8D%E0%B4%B1%E0%B5%80%E0%B5%BB+)/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f228a771aa3:0x1316d8849cabde8d!8m2!3d11.1432253!4d75.9660615!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQljYWZldGVyaWGqAUYQASoLIgdjYW50ZWVuKAAyHxABIhuy8I9Fz7Q1s_iVFv_yDZuQnRCgfLSo5lPuLq4yFBACIhBjYW50ZWVuIGtvbmRvdHR54AEA!16s%2Fg%2F11rsr7bp5l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",Claim this business,Cafeteria,Large_Scale_Buyers,5.0,4.0,₹₹,,,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,,Not Available,,,canteen kondotty,2025-08-10 06:40:42
CEEKEYBEE'S KATTANS,"Kondotty Bypass Rd, near Kunjali Smarakam, Kondotty, Kerala 673638",098821 01303,"https://www.google.com/maps/place/CEEKEYBEE'S+KATTANS/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64faf3f0eb0f9:0xaab798d83b9f13d5!8m2!3d11.143174!4d75.9678249!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQpyZXN0YXVyYW50qgFGEAEqCyIHY2FudGVlbigAMh8QASIbsvCPRc-0NbP4lRb_8g2bkJ0QoHy0qOZT7i6uMhQQAiIQY2FudGVlbiBrb25kb3R0eeABAA!16s%2Fg%2F11tm_190bz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",ckbkattans.mystrikingly.com,Restaurant,Large_Scale_Buyers,4.0,413.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:40:47
KL84 cafe,"Kozhikode-Nilambur-Gudallur Rd, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/KL84+cafe/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64fcbb9bdde7b:0x3b1ca4dac0f0970b!8m2!3d11.1422907!4d75.9693069!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQtjb2ZmZWVfc2hvcKoBRhABKgsiB2NhbnRlZW4oADIfEAEiG7Lwj0XPtDWz-JUW__INm5CdEKB8tKjmU-4urjIUEAIiEGNhbnRlZW4ga29uZG90dHngAQA!16s%2Fg%2F11q3n2_k3g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",,Coffee shop,Large_Scale_Buyers,3.9,81.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,84.0,Not Available,,,canteen kondotty,2025-08-10 06:40:51
HAMMOCK RESTRO CAFE,"4XRG+G4F, Kondotty, Kerala 673638",096052 02404,"https://www.google.com/maps/place/HAMMOCK+RESTRO+CAFE/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f32e74bd82d:0xaa46985e1716ff62!8m2!3d11.1409564!4d75.9756269!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQtjb2ZmZWVfc2hvcKoBRhABKgsiB2NhbnRlZW4oADIfEAEiG7Lwj0XPtDWz-JUW__INm5CdEKB8tKjmU-4urjIUEAIiEGNhbnRlZW4ga29uZG90dHngAQA!16s%2Fg%2F11styct8fb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",hammockrestrocafe.com,Coffee shop,Large_Scale_Buyers,4.0,121.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:40:56
Kubbah Street,"Kubbah Street, Kondotty, Kerala 673638",070348 88500,"https://www.google.com/maps/place/Kubbah+Street/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64fa0e055d5b5:0xbaf96ed028dbc0eb!8m2!3d11.1430582!4d75.9703221!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSARdub3J0aF9pbmRpYW5fcmVzdGF1cmFudKoBRhABKgsiB2NhbnRlZW4oADIfEAEiG7Lwj0XPtDWz-JUW__INm5CdEKB8tKjmU-4urjIUEAIiEGNhbnRlZW4ga29uZG90dHngAQA!16s%2Fg%2F11qnzkg7g1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",kubbahstreet.com,North Indian restaurant,Large_Scale_Buyers,4.1,583.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:41:01
T&T Kondotty,"near Mahakavi Moyin Kutty Vaidyar Mappila Kala Academy, Kondotty, Kerala 673638",090721 00213,"https://www.google.com/maps/place/T%26T+Kondotty/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f354e657775:0x1e36348f52d8f837!8m2!3d11.1518791!4d75.9575121!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQpyZXN0YXVyYW50qgFGEAEqCyIHY2FudGVlbigAMh8QASIbsvCPRc-0NbP4lRb_8g2bkJ0QoHy0qOZT7i6uMhQQAiIQY2FudGVlbiBrb25kb3R0eeABAA!16s%2Fg%2F11l2c1c2sd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",instagram.com,Restaurant,Large_Scale_Buyers,4.2,555.0,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:41:06
MBH Hospital Canteen,"519, NH213, Varangode, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/MBH+Hospital+Canteen/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64a839fdb21e3:0x2b5a9a33789e6c3d!8m2!3d11.0544105!4d76.0813386!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQljYWZldGVyaWGqAUYQASoLIgdjYW50ZWVuKAAyHxABIhuy8I9Fz7Q1s_iVFv_yDZuQnRCgfLSo5lPuLq4yFBACIhBjYW50ZWVuIGtvbmRvdHR54AEA!16s%2Fg%2F11cmtt380q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",Claim this business,Cafeteria,Large_Scale_Buyers,3.7,494.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:41:10
CISF Subsidiary Canteen Calicut Airport,"Calicut International Airport Terminal, International Terminal Rd, Padinharathara, Karipur, Kerala 673647",,"https://www.google.com/maps/place/CISF+Subsidiary+Canteen+Calicut+Airport/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f002d6b8b6d:0x48e25995505a5740!8m2!3d11.1396188!4d75.9543101!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQ1nZW5lcmFsX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVIyY2s0emVrSjNFQUWqAUYQASoLIgdjYW50ZWVuKAAyHxABIhuy8I9Fz7Q1s_iVFv_yDZuQnRCgfLSo5lPuLq4yFBACIhBjYW50ZWVuIGtvbmRvdHR54AEA-gEECAAQFw!16s%2Fg%2F11wtkk1v2y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",Claim this business,General store,Large_Scale_Buyers,5.0,2.0,₹₹,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,canteen kondotty,2025-08-10 06:41:15
Cafe Roots and Recipes (RR Café),"SH28, Kondotty, Kerala 673638",095443 36060,"https://www.google.com/maps/place/Cafe+Roots+and+Recipes+(RR+Caf%C3%A9)/@11.1617428,75.7818168,11z/data=!4m11!1m3!2m2!1scanteen+kondotty!6e5!3m6!1s0x3ba64f58588d3ab7:0xf9201f7459f79a2c!8m2!3d11.1420508!4d75.9729857!15sChBjYW50ZWVuIGtvbmRvdHR5WhIiEGNhbnRlZW4ga29uZG90dHmSAQtjb2ZmZWVfc2hvcKoBRhABKgsiB2NhbnRlZW4oADIfEAEiG7Lwj0XPtDWz-JUW__INm5CdEKB8tKjmU-4urjIUEAIiEGNhbnRlZW4ga29uZG90dHngAQA!16s%2Fg%2F11l38zlgmq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+kondotty,"11.1617428, 75.7818168",instagram.com,Coffee shop,Large_Scale_Buyers,4.5,102.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,canteen kondotty,2025-08-10 06:41:20
