name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Masjid canteen,"37XV+6QF, Nilambur, Kerala 679327",,"https://www.google.com/maps/place/Masjid+canteen/@11.2006728,76.1851289,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba62d2b7a093641:0x79fd93790de7244!8m2!3d11.0980739!4d76.2944297!15sChBjYW50ZWVuIG5pbGFtYnVykgEMc291cF9raXRjaGVuqgE5EAEyHxABIhsDTqrLUsiTZPi1dxHdC4yJQsvkRl1gWOLeCsgyFBACIhBjYW50ZWVuIG5pbGFtYnVy4AEA!16s%2Fg%2F11sw44p1y0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.2006728, 76.1851289",Claim this business,Soup kitchen,Large_Scale_Buyers,5.0,1.0,₹1–200,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,canteen nilambur,2025-08-10 06:36:52
"Union Restaurant, Nilambur","Main road, Nilambur, Kerala 679329",04931 221 861,"https://www.google.com/maps/place/Union+Restaurant,+Nilambur/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63dc403b88583:0x433a597df0157768!8m2!3d11.276447!4d76.2258746!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudKoBORABMh8QASIbA06qy1LIk2T4tXcR3QuMiULL5EZdYFji3grIMhQQAiIQY2FudGVlbiBuaWxhbWJ1cuABAA!16s%2Fg%2F11ngyq82c4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",,Indian restaurant,Large_Scale_Buyers,3.9,721.0,₹1–200,7am,⋅ 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:36:57
FARSA RESTAURANT NILAMBUR,"Nilambur, Kerala 679329",085568 88666,"https://www.google.com/maps/place/FARSA+RESTAURANT+NILAMBUR/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63bf6e55a0471:0x411372a5620ee003!8m2!3d11.2692232!4d76.2150533!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARFpbmRpYW5fcmVzdGF1cmFudKoBORABMh8QASIbA06qy1LIk2T4tXcR3QuMiULL5EZdYFji3grIMhQQAiIQY2FudGVlbiBuaWxhbWJ1cuABAA!16s%2Fg%2F11pb1bn4c0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",farsagroup.com,Indian restaurant,Large_Scale_Buyers,4.1,3707.0,₹1–200,7am,⋅ 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:01
Udupi pure vegetarian restaurant,"Karimpuzha, Nilambur, Kerala 679329",090729 02777,"https://www.google.com/maps/place/Udupi+pure+vegetarian+restaurant/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63da08d5c87f7:0xc9868f9bb182d42d!8m2!3d11.2995196!4d76.2487427!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARV2ZWdldGFyaWFuX3Jlc3RhdXJhbnSqATkQATIfEAEiGwNOqstSyJNk-LV3Ed0LjIlCy-RGXWBY4t4KyDIUEAIiEGNhbnRlZW4gbmlsYW1idXLgAQA!16s%2Fg%2F11r7rj6706?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",,Vegetarian restaurant,Large_Scale_Buyers,3.9,818.0,₹1–200,7am,⋅ 7am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:06
KL 71 JC shawarbica,"Kodathipadi road, near KSRTC bus depot, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/KL+71+JC+shawarbica/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63b5100dfc54f:0x14d5a926a1927656!8m2!3d11.2691854!4d76.2163176!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARNzaGF3YXJtYV9yZXN0YXVyYW50qgE5EAEyHxABIhsDTqrLUsiTZPi1dxHdC4yJQsvkRl1gWOLeCsgyFBACIhBjYW50ZWVuIG5pbGFtYnVy4AEA!16s%2Fg%2F11n60nfj15?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",weborakl.github.io,Shawarma restaurant,Large_Scale_Buyers,3.7,88.0,₹1–200,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,71.0,Not Available,,,canteen nilambur,2025-08-10 06:37:11
Majmau canteen,"76PJ+7W2, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Majmau+canteen/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63b20a24bf547:0xe6a0d29b69318c0!8m2!3d11.2856495!4d76.232262!15sChBjYW50ZWVuIG5pbGFtYnVykgEMc291cF9raXRjaGVuqgE5EAEyHxABIhsDTqrLUsiTZPi1dxHdC4yJQsvkRl1gWOLeCsgyFBACIhBjYW50ZWVuIG5pbGFtYnVy4AEA!16s%2Fg%2F11ks154_h_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",Claim this business,Soup kitchen,Large_Scale_Buyers,5.0,,₹1–200,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,canteen nilambur,2025-08-10 06:37:16
"Muzwalla Grill & Mandi, Nilambur","Janathappadi,opposit Little flower school, Mysuru - Ooty Rd, Nilambur, Kerala 679334",080781 00555,"https://www.google.com/maps/place/Muzwalla+Grill+%26+Mandi,+Nilambur/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63b3799007c9b:0x4bb385b59f42840a!8m2!3d11.2817176!4d76.2321628!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSAQpyZXN0YXVyYW50qgE5EAEyHxABIhsDTqrLUsiTZPi1dxHdC4yJQsvkRl1gWOLeCsgyFBACIhBjYW50ZWVuIG5pbGFtYnVy4AEA!16s%2Fg%2F11n1txd6xb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",,Restaurant,Large_Scale_Buyers,4.4,1073.0,₹1–200,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:20
Hotel Santhi Sagar,"76HG+52F, Ground Floor, Highland Complex, Nilambur, Kerala 679329",04931 222 478,"https://www.google.com/maps/place/Hotel+Santhi+Sagar/@11.276447,76.081679,12z/data=!3m1!5s0x3ba63b77de1b9139:0xd5b3f45893d5d90c!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63b77de1b1bc3:0xaf15b76abe022810!8m2!3d11.2779366!4d76.2250331!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARdzb3V0aF9pbmRpYW5fcmVzdGF1cmFudKoBORABMh8QASIbA06qy1LIk2T4tXcR3QuMiULL5EZdYFji3grIMhQQAiIQY2FudGVlbiBuaWxhbWJ1cuABAA!16s%2Fg%2F11z1js7mc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",Claim this business,South Indian restaurant,Large_Scale_Buyers,3.7,414.0,₹1–200,7am,⋅ 7am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:25
Budokan Corner,"76QQ+3VX, Chandakunnu, Nilambur, Kerala 679329",094474 60171,"https://www.google.com/maps/place/Budokan+Corner/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63b63adcac057:0xdec89e72aedabc76!8m2!3d11.2879612!4d76.2397846!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSAQpqdWljZV9zaG9wqgE5EAEyHxABIhsDTqrLUsiTZPi1dxHdC4yJQsvkRl1gWOLeCsgyFBACIhBjYW50ZWVuIG5pbGFtYnVy4AEA!16s%2Fg%2F11cn3qjjtb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",,Juice shop,Large_Scale_Buyers,3.8,202.0,₹1–200,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:30
Emmachi Biriyani,"AMS Complex, SH28, Nilambur, Kerala 679329",097458 45445,"https://www.google.com/maps/place/Emmachi+Biriyani/@11.276447,76.081679,12z/data=!4m10!1m2!2m1!1scanteen+nilambur!3m6!1s0x3ba63bd5c30afd5d:0xf7fef66332c446e9!8m2!3d11.2747218!4d76.2244642!15sChBjYW50ZWVuIG5pbGFtYnVyWhIiEGNhbnRlZW4gbmlsYW1idXKSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqATkQATIfEAEiGwNOqstSyJNk-LV3Ed0LjIlCy-RGXWBY4t4KyDIUEAIiEGNhbnRlZW4gbmlsYW1idXLgAQA!16s%2Fg%2F11frl834wz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+nilambur,"11.276447, 76.081679",Claim this business,Biryani restaurant,Large_Scale_Buyers,4.7,293.0,₹1–200,Opens 11am Mon,⋅ Opens 11am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,canteen nilambur,2025-08-10 06:37:35
