name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
FOOD COURT -Ramdas Hospital Canteen,"X6GJ+24V, KSHB Colony, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/FOOD+COURT+-Ramdas+Hospital+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cdac03c87885:0x94b6f039f1823f1e!8m2!3d10.9751022!4d76.2303046!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFMEAEqCyIHY2FudGVlbigAMh8QASIbgBAXEb8SI4WtUjJCNhm_YRIwqGuY0AWll3TLMhoQAiIWY2FudGVlbiBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11dzstjs2v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Restaurant,Large_Scale_Buyers,3.3,136.0,₹1–200,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:11
EMS Hospital Canteen,"X7G3+GWV, Kerala 676505",04933 225 751,"https://www.google.com/maps/place/EMS+Hospital+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cd9bf15421d5:0xd853f197096cd66!8m2!3d10.9763509!4d76.2547949!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFMEAEqCyIHY2FudGVlbigAMh8QASIbgBAXEb8SI4WtUjJCNhm_YRIwqGuY0AWll3TLMhoQAiIWY2FudGVlbiBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11c55v942c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Restaurant,Large_Scale_Buyers,3.3,777.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:15
Moulana Restaurant,"Perinthalmanna - Nilambur Rd, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Moulana+Restaurant/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cdaabbd22eab:0x5f19383b32e00c93!8m2!3d10.9798299!4d76.2256631!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSARRmYXN0X2Zvb2RfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWFIRnlRMmRCUlJBQqoBTBABKgsiB2NhbnRlZW4oADIfEAEiG4AQFxG_EiOFrVIyQjYZv2ESMKhrmNAFpZd0yzIaEAIiFmNhbnRlZW4gcGVyaW50aGFsbWFubmHgAQD6AQQIABA3!16s%2Fg%2F1hm2txbm7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",moulanahospital.com,Fast food restaurant,Large_Scale_Buyers,3.6,1261.0,₹1–200,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:20
Craft hospital canteen,"X65H+VHQ, Cholongunnu, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Craft+hospital+canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cd0ed994b7c7:0x248a7c86dd394ac6!8m2!3d10.9597179!4d76.2289784!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQljYWZldGVyaWGqAUwQASoLIgdjYW50ZWVuKAAyHxABIhuAEBcRvxIjha1SMkI2Gb9hEjCoa5jQBaWXdMsyGhACIhZjYW50ZWVuIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11krpv8ykl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Cafeteria,Large_Scale_Buyers,5.0,3.0,₹1–200,7am,⋅ 7am,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:25
"Vanitha Canteen , Perinthalmanna","Shanti Nagar, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Vanitha+Canteen+,+Perinthalmanna/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cdebe3fdfcf7:0x6a49f35c09eda823!8m2!3d10.974203!4d76.2261131!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFMEAEqCyIHY2FudGVlbigAMh8QASIbgBAXEb8SI4WtUjJCNhm_YRIwqGuY0AWll3TLMhoQAiIWY2FudGVlbiBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11gk6r5n93?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",,Restaurant,Large_Scale_Buyers,4.8,4.0,₹1–200,Opens 8am,⋅ Opens 8am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
",dine-in; kerbside pickup,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:30
MES Canteen,"X55G+22W, Palachode Po, Malaparamba, Kolathur Via Perinthalmanna, Perinthalmanna, Malappuram, Kerala 679338",04933 258 305,"https://www.google.com/maps/place/MES+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cb8b23d74f31:0x9cbfa458ef2ce9f5!8m2!3d10.957606!4d76.1750931!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQljYWZldGVyaWGqAUwQASoLIgdjYW50ZWVuKAAyHxABIhuAEBcRvxIjha1SMkI2Gb9hEjCoa5jQBaWXdMsyGhACIhZjYW50ZWVuIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11b75hpl51?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",mesams.com,Cafeteria,Large_Scale_Buyers,3.5,115.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,Yes,No,No,Unknown,Unknown,"·

Dine-in
",dine-in,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:34
Kudumbasree Canteen,"X6GG+27M, Shanti Nagar, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Kudumbasree+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cdaca685015b:0x60e23d50e0308b65!8m2!3d10.9750966!4d76.2256749!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFMEAEqCyIHY2FudGVlbigAMh8QASIbgBAXEb8SI4WtUjJCNhm_YRIwqGuY0AWll3TLMhoQAiIWY2FudGVlbiBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11f1v05kx1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Restaurant,Large_Scale_Buyers,4.3,12.0,₹1–200,Opens 8am Mon,⋅ Opens 8am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:39
HMC Canteen,"X6FJ+VPF, NH 966, KSHB Colony, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/HMC+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cd0047ed4999:0xed819b59fcb9b78f!8m2!3d10.974615!4d76.231789!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hkgERZmFtaWx5X3Jlc3RhdXJhbnSqAUwQASoLIgdjYW50ZWVuKAAyHxABIhuAEBcRvxIjha1SMkI2Gb9hEjCoa5jQBaWXdMsyGhACIhZjYW50ZWVuIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11xf3t35xn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Family restaurant,Large_Scale_Buyers,3.3,,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:44
Hotel Tee Kay Cee Ksrtc Canteen,"X6GH+3R6, KSHB Colony, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Hotel+Tee+Kay+Cee+Ksrtc+Canteen/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cdac0933af89:0xdc07e5cab163605c!8m2!3d10.9751699!4d76.2295177!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQpyZXN0YXVyYW50qgFMEAEqCyIHY2FudGVlbigAMh8QASIbgBAXEb8SI4WtUjJCNhm_YRIwqGuY0AWll3TLMhoQAiIWY2FudGVlbiBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11dyjpvskf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Restaurant,Large_Scale_Buyers,2.4,37.0,₹1–200,Opens 8am,⋅ Opens 8am,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:49
Freeze CAFETERIA,"X6F7+XWJ, Jubilee Rd, Perinthalmanna, Kerala 679322",099469 54545,"https://www.google.com/maps/place/Freeze+CAFETERIA/@10.9997063,76.0878957,12z/data=!4m11!1m3!2m2!1scanteen+perinthalmanna!6e5!3m6!1s0x3ba7cc573449d923:0xd393ca7ecf93edc4!8m2!3d10.974958!4d76.2147561!15sChZjYW50ZWVuIHBlcmludGhhbG1hbm5hWhgiFmNhbnRlZW4gcGVyaW50aGFsbWFubmGSAQljYWZldGVyaWGqAUwQASoLIgdjYW50ZWVuKAAyHxABIhuAEBcRvxIjha1SMkI2Gb9hEjCoa5jQBaWXdMsyGhACIhZjYW50ZWVuIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11f3jv8ycy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+perinthalmanna,"10.9997063, 76.0878957",Claim this business,Cafeteria,Large_Scale_Buyers,4.5,17.0,₹1–200,Opens 6am Mon,⋅ Opens 6am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,canteen perinthalmanna,2025-08-10 06:33:54
