name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Nadan Mess,"33CG+J68, M.M.E.T school road, Alathurpadi, Ferokh Palakked Highway, NH 966, Melmuri, Malappuram, Kerala 676505",070256 61627,"https://www.google.com/maps/place/Nadan+Mess/@11.0564367,75.9279614,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64b3171fc3e9b:0xc2ef80570168b4fb!8m2!3d11.071543!4d76.0755771!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11lm3w4p66?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0564367, 75.9279614",Claim this business,Restaurant,Large_Scale_Buyers,4.5,277,₹₹,Closes 4pm,⋅ Closes 4pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess malappuram,2025-08-10 06:43:45
Home Mess,"23RP+G8W, Jubilee Road, Up Hill, Malappuram, Kerala 676505",095444 61790,"https://www.google.com/maps/place/Home+Mess/@11.0564367,75.9279614,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba635bff8073e83:0x7a5751dd9aad47cc!8m2!3d11.0413527!4d76.0858309!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11p56cd0h_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0564367, 75.9279614",Claim this business,Restaurant,Large_Scale_Buyers,4.0,25,₹₹,Opens 6am Mon,⋅ Opens 6am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess malappuram,2025-08-10 06:43:50
Mess House Hotel,"Up Hill, Malappuram, Kerala 676505",097447 33445,"https://www.google.com/maps/place/Mess+House+Hotel/@11.0564367,75.9279614,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64a9f07f4cdb5:0x329e72a3372bb44!8m2!3d11.0426171!4d76.0826901!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11gd676g1b?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0564367, 75.9279614",Claim this business,Restaurant,Large_Scale_Buyers,4.7,7,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess malappuram,2025-08-10 06:43:55
Edaayile Mess എടായിലെ മെസ്സ്,"23RM+HM3, NH 966, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Edaayile+Mess+%E0%B4%8E%E0%B4%9F%E0%B4%BE%E0%B4%AF%E0%B4%BF%E0%B4%B2%E0%B5%86+%E0%B4%AE%E0%B5%86%E0%B4%B8%E0%B5%8D%E0%B4%B8%E0%B5%8D/@11.0564367,75.9279614,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64b0065a8ebdd:0x9a0afe07ebb817ae!8m2!3d11.0413965!4d76.0841779!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11y3jkn3kb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0564367, 75.9279614",Claim this business,Restaurant,Large_Scale_Buyers,5.0,1,₹₹,,,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,,Not Available,,,mess malappuram,2025-08-10 06:44:00
EDUPORT mess hall,"328W+3R6, Internal Road, Inkel City, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/EDUPORT+mess+hall/@11.0564367,75.9279614,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64b00689122ff:0xe116d7754f7e4fa6!8m2!3d11.0654735!4d76.0470927!15sCg9tZXNzIG1hbGFwcHVyYW2SAQpmb29kX2NvdXJ0qgFCEAEqCCIEbWVzcygAMh8QASIbFXiNskKp3mmoyy3zyjF8USobb5jUel4HjbflMhMQAiIPbWVzcyBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11lv2dnv_4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0564367, 75.9279614",Claim this business,Food court,Large_Scale_Buyers,5.0,1,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,mess malappuram,2025-08-10 06:44:04
VANITHA MESS,"CHEENIPADI SH 65, Tirurangadi - Kolappuram Link Rd, Malappuram, Kerala 676305",081296 65712,"https://www.google.com/maps/place/VANITHA+MESS/@11.0550395,75.7907006,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64dda0edbbd37:0x85947fc40e592fb1!8m2!3d11.0550395!4d75.9348962!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11wq2t76t3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0550395, 75.7907006",,Restaurant,Large_Scale_Buyers,5.0,3,₹₹,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,,Not Available,,,mess malappuram,2025-08-10 06:44:09
Rahath Mess House,"Huda Bypass, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Rahath+Mess+House/@11.0423086,75.9307309,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64b0f4bcfad41:0x1acfb9be5f7368ce!8m2!3d11.0423086!4d76.0749265!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEJdGVhX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU40Y2s1cVNXNUJSUkFCqgFCEAEqCCIEbWVzcygAMh8QASIbFXiNskKp3mmoyy3zyjF8USobb5jUel4HjbflMhMQAiIPbWVzcyBtYWxhcHB1cmFt4AEA-gEECAAQOQ!16s%2Fg%2F11sk3h236n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0423086, 75.9307309",,Tea store,Large_Scale_Buyers,3.8,6,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,mess malappuram,2025-08-10 06:44:14
Hotel Delicia,"Bus Stand Rd, near Municipality, Down Hill, Malappuram, Kerala 676505",085930 00015,"https://www.google.com/maps/place/Hotel+Delicia/@11.0423086,75.9307309,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64a99970f9e53:0x36616a8bece879f4!8m2!3d11.0444735!4d76.0759711!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAUIQASoIIgRtZXNzKAAyHxABIhsVeI2yQqneaajLLfPKMXxRKhtvmNR6XgeNt-UyExACIg9tZXNzIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1q5bmk4h1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0423086, 75.9307309",deliciahotel.com,South Indian restaurant,Large_Scale_Buyers,4.4,6220,₹₹,Opens 8:30am,⋅ Opens 8:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"Multi-cuisine restaurant with a clean, contemporary dining room as well as catering services.",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,mess malappuram,2025-08-10 06:44:18
Kudumbasree canteen,"23VG+JJR, Down Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Kudumbasree+canteen/@11.0423086,75.9307309,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64b9bb3a21227:0xdf99ef7a1a861831!8m2!3d11.0441004!4d76.0765276!15sCg9tZXNzIG1hbGFwcHVyYW1aESIPbWVzcyBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBQhABKggiBG1lc3MoADIfEAEiGxV4jbJCqd5pqMst88oxfFEqG2-Y1HpeB4235TITEAIiD21lc3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11fhynb4bz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0423086, 75.9307309",Claim this business,Restaurant,Large_Scale_Buyers,3.9,11,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,,Not Available,,,mess malappuram,2025-08-10 06:44:23
MESS HOUSE,"9/124, Kavungal - Munduparamba Bypass Rd, Manjeri - Perinthalmanna Rd, Up Hill, Malappuram, Kerala 676505",097447 33445,"https://www.google.com/maps/place/MESS+HOUSE/@11.0423086,75.9307309,12z/data=!4m10!1m2!2m1!1smess+malappuram!3m6!1s0x3ba64bb655a9fbd5:0x58470335557fcecc!8m2!3d11.0455987!4d76.0775156!15sCg9tZXNzIG1hbGFwcHVyYW2SAQZiYWtlcnmqAUIQASoIIgRtZXNzKAAyHxABIhsVeI2yQqneaajLLfPKMXxRKhtvmNR6XgeNt-UyExACIg9tZXNzIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11wh_cdcr4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+malappuram,"11.0423086, 75.9307309",,Bakery and Cake Shop,Large_Scale_Buyers,4.0,4,₹₹,Temporarily closed,Temporarily closed,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,mess malappuram,2025-08-10 06:44:28
