name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Muzwalla Grill & Mandi, Nilambur","Janathappadi,opposit Little flower school, Mysuru - Ooty Rd, Nilambur, Kerala 679334",080781 00555,"https://www.google.com/maps/place/Muzwalla+Grill+%26+Mandi,+Nilambur/@11.1970186,75.660304,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b3799007c9b:0x4bb385b59f42840a!8m2!3d11.2817176!4d76.2321628!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11n1txd6xb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.1970186, 75.660304",,Restaurant,Large_Scale_Buyers,4.4,1073,₹200–400,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:13
Nadan Mess,"33CG+J68, M.M.E.T school road, Alathurpadi, Ferokh Palakked Highway, NH 966, Melmuri, Malappuram, Kerala 676505",070256 61627,"https://www.google.com/maps/place/Nadan+Mess/@11.1970186,75.660304,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba64b3171fc3e9b:0xc2ef80570168b4fb!8m2!3d11.071543!4d76.0755771!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11lm3w4p66?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.1970186, 75.660304",Claim this business,Restaurant,Large_Scale_Buyers,4.5,277,₹200–400,Closes 4pm,⋅ Closes 4pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:17
Ruchi Vanitha Mess,"6R55+CF3, Kozhikode-Nilambur-Gudallur Rd, Modern Bazar, Nallalam, Kozhikode, Kerala 673027",090487 01236,"https://www.google.com/maps/place/Ruchi+Vanitha+Mess/@11.2085059,75.2318853,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba65b89b433e27d:0xb19adda4a21e8c71!8m2!3d11.2085059!4d75.8086675!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARBsdW5jaF9yZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11swzq556t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2085059, 75.2318853",Claim this business,Lunch restaurant,Large_Scale_Buyers,4.5,2,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,mess nilambur,2025-08-10 06:47:22
Raydan Restaurant Nilambur,"Ooty Rd, minarvappadi, Nilambur, Kerala 679330",070251 82892,"https://www.google.com/maps/place/Raydan+Restaurant+Nilambur/@11.2830517,75.6582723,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b7b236edcfb:0x88ed6b2c1f2bfb7e!8m2!3d11.2830517!4d76.2350545!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11fy9z9h_r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2830517, 75.6582723",,Restaurant,Large_Scale_Buyers,3.9,1176,₹200–400,Opens 11:30am,⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:27
KL 71 JC shawarbica,"Kodathipadi road, near KSRTC bus depot, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/KL+71+JC+shawarbica/@11.2830517,75.6582723,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b5100dfc54f:0x14d5a926a1927656!8m2!3d11.2691854!4d76.2163176!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARNzaGF3YXJtYV9yZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11n60nfj15?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2830517, 75.6582723",weborakl.github.io,Shawarma restaurant,Large_Scale_Buyers,3.7,88,₹200–400,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,71.0,Not Available,,,mess nilambur,2025-08-10 06:47:32
Bapsys Biriyani Center,"New bustand, Nilambur, Kerala 679329",080898 98975,"https://www.google.com/maps/place/Bapsys+Biriyani+Center/@11.2830517,75.6582723,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b761f691a79:0xe6dae59cd188710d!8m2!3d11.2751151!4d76.2249889!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAUAQASoIIgRtZXNzKAAyHxABIhsvCLeHq3Y80jMbAYjgs1djPqOUix7yA0QFtlgyERACIg1tZXNzIG5pbGFtYnVy4AEA!16s%2Fg%2F11gbfp0c2l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2830517, 75.6582723",,Biryani restaurant,Large_Scale_Buyers,4.3,176,₹200–400,Opens 11am Mon,Closed ⋅ Opens 11am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:36
Dosa Korner (Milma),"Kozhikode-Nilmbur-Gudallur Rd, near Milma Milk Chilling Plant, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Dosa+Korner+(Milma)/@11.2830517,75.6582723,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b13a1d1032f:0xf3311f90e3ee06f7!8m2!3d11.266716!4d76.2134992!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11j20sv1cd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2830517, 75.6582723",Claim this business,Restaurant,Large_Scale_Buyers,4.1,91,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:41
Chithra Mess,"Kuniyil Kav Rd, Kozhikode, Kerala 673001",099957 73593,"https://www.google.com/maps/place/Chithra+Mess/@11.2616385,75.2082713,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba65949c7818aaf:0x2de6312f86096f6!8m2!3d11.2616385!4d75.7850535!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARBsdW5jaF9yZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11gdkx9bb9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2616385, 75.2082713",,Lunch restaurant,Large_Scale_Buyers,4.3,292,₹200–400,Opens 12:30pm Mon,⋅ Opens 12:30pm Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:46
Karthika mess house,"8PFV+4XR, Kannur Rd, Gandi Nagar, Elathur, Kozhikode, Kerala 673303",,"https://www.google.com/maps/place/Karthika+mess+house/@11.2616385,75.2082713,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba65fc968ecb511:0xd2c1932fda93c53d!8m2!3d11.3228555!4d75.7448873!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11mh9xhx3q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2616385, 75.2082713",Claim this business,Restaurant,Large_Scale_Buyers,4.5,57,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:47:51
Adukkala Vanitha mess,"7R5M+XQX, Kovoor MLA Rd, makkenacheri thazham, Kozhikode, Kerala 673017",,"https://www.google.com/maps/place/Adukkala+Vanitha+mess/@11.2616385,75.2082713,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba65beb4223e98f:0xa5a119885f36e812!8m2!3d11.2599844!4d75.83447!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11fmxs68vx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2616385, 75.2082713",Claim this business,Restaurant,Large_Scale_Buyers,4.5,28,₹200–400,Opens 7:30am Mon,⋅ Opens 7:30am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,mess nilambur,2025-08-10 06:47:55
Sulabham Mess House,"behind Kannankandy showroom, Arayidathupalam, Kozhikode, Kerala 673004","behind Kannankandy showroom, Arayidathupalam, Kozhikode, Kerala 673004","https://www.google.com/maps/place/Sulabham+Mess+House/@11.2616385,75.2082713,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba659cba96c9895:0xe662a1527c7587ec!8m2!3d11.2579689!4d75.788404!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARFmYW1pbHlfcmVzdGF1cmFudKoBQBABKggiBG1lc3MoADIfEAEiGy8It4erdjzSMxsBiOCzV2M-o5SLHvIDRAW2WDIREAIiDW1lc3MgbmlsYW1idXLgAQA!16s%2Fg%2F11spzn9pyv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2616385, 75.2082713",,Family restaurant,Large_Scale_Buyers,3.8,58,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:00
Athani Mess Hose,"Athani, Areekode - Manjeri Rd, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Athani+Mess+Hose/@11.1346211,75.529024,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba637a5abf75751:0xa921d5eef8ce1843!8m2!3d11.1346211!4d76.1058062!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11vhqfhr1r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.1346211, 75.529024",blackkingdom.in,Restaurant,Large_Scale_Buyers,4.9,8,₹200–400,Opens 7am Mon,⋅ Opens 7am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:05
Vanitha Mess,"28/24301 A2, Medical College Rd, Pottammal, Kozhikode, Kerala 673016",095396 82420,"https://www.google.com/maps/place/Vanitha+Mess/@11.2631108,75.2334597,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba65bfc4e12b499:0xde3db1f51dde3537!8m2!3d11.2631108!4d75.8102419!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSARdjb3VudHJ5X2Zvb2RfcmVzdGF1cmFudKoBQBABKggiBG1lc3MoADIfEAEiGy8It4erdjzSMxsBiOCzV2M-o5SLHvIDRAW2WDIREAIiDW1lc3MgbmlsYW1idXLgAQA!16s%2Fg%2F1q65dj52y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2631108, 75.2334597",Claim this business,Country food restaurant,Large_Scale_Buyers,4.0,221,₹200–400,Opens 6:30am Mon,⋅ Opens 6:30am Mon,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:10
Ganga Subiksha Mess House,"17, Rajaji Road, Near New Bus Stand, Tazhekkod, Kozhikode, Kerala 673004","17, Rajaji Road, Near New Bus Stand, Tazhekkod, Kozhikode, Kerala 673004","https://www.google.com/maps/place/Ganga+Subiksha+Mess+House/@11.2631108,75.2334597,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba659db1f1fc7ab:0x85cc723c66c76d0a!8m2!3d11.2572935!4d75.7866335!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAA!16s%2Fg%2F11ry99dl3j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2631108, 75.2334597",Claim this business,Restaurant,Large_Scale_Buyers,4.0,23,₹200–400,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:14
OCEEKEY(OCK) Auditorium,"76C9+JF3, Nilambur, Kerala 679329",094471 20999,"https://www.google.com/maps/place/OCEEKEY(OCK)+Auditorium/@11.2715154,75.641885,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63b9931a0201d:0x64739331dff207bc!8m2!3d11.2715154!4d76.2186672!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQphdWRpdG9yaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJTY3pScU9FWjNFQUWqAUAQASoIIgRtZXNzKAAyHxABIhsvCLeHq3Y80jMbAYjgs1djPqOUix7yA0QFtlgyERACIg1tZXNzIG5pbGFtYnVy4AEA-gEECAAQOw!16s%2Fg%2F11dxb151f1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2715154, 75.641885",Claim this business,Auditorium,Large_Scale_Buyers,3.6,327,₹200–400,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:19
Milma Nilambur,"Milma Milk Chilling Plant, Kozhikode-Nilmbur-Gudallur Rd, Nilambur, Kerala 679329",04931 220 247,"https://www.google.com/maps/place/Milma+Nilambur/@11.2715154,75.641885,10z/data=!4m10!1m2!2m1!1smess+nilambur!3m6!1s0x3ba63bbd52d13585:0x3f0d512f7ec2b39a!8m2!3d11.267144!4d76.213119!15sCg1tZXNzIG5pbGFtYnVyWg8iDW1lc3MgbmlsYW1idXKSAQ5kYWlyeV9zdXBwbGllcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMXdVMVZzVm5WbFJXTTBZVE5HU21GNldYbGhhM0EyVkc1U05GTkhZeEFCqgFAEAEqCCIEbWVzcygAMh8QASIbLwi3h6t2PNIzGwGI4LNXYz6jlIse8gNEBbZYMhEQAiINbWVzcyBuaWxhbWJ1cuABAPoBBAgAECY!16s%2Fg%2F11cp7nfkqq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",mess+nilambur,"11.2715154, 75.641885",mrcmpu.com,Dairy Products Supplier,Large_Scale_Buyers,4.1,34,₹200–400,Opens 10am Mon,⋅ Opens 10am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,mess nilambur,2025-08-10 06:48:24
