name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
JamJoom Supermarket Malappuram,"Juma Masjid Complex, SH 71, Up Hill, Malappuram, Kerala 676505",0483 273 5566,"https://www.google.com/maps/place/JamJoom+Supermarket+Malappuram/@11.0678457,75.9601522,12z/data=!3m1!5s0x3ba64a9fb062c6d9:0xe7936e7e441caf60!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64a9fba9938d3:0x1b85866554fb92d7!8m2!3d11.0425761!4d76.0835223!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F1hhhh3w3l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",jamjoomsouk.com,Supermarket,Other,4.2,2007.0,₹1–200,7am,⋅ 7am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket malappuram,2025-08-10 06:49:47
Budget Hypermarket Malappuram,"Budget Zone, Calicut Rd, near MB Hospital, Down Hill, Malappuram, Kerala 676519",095674 57777,"https://www.google.com/maps/place/Budget+Hypermarket+Malappuram/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64b12ee10037d:0x9b41c3df640a812d!8m2!3d11.0550797!4d76.0820029!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11h1mhf17s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",hyperbudget.in,Hypermarket,Other,4.2,2233.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket malappuram,2025-08-10 06:49:52
JamJoom Hypermarket Malappuram,"Palakkad - Kozhikode Hwy, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",085920 44055,"https://www.google.com/maps/place/JamJoom+Hypermarket+Malappuram/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64b004b7c358b:0xc5f10b7b5dda888c!8m2!3d11.0510242!4d76.0740352!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11wpnmljmy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",jamjoomsouk.com,Hypermarket,Other,4.6,178.0,₹1–200,Opens 8:30am,⋅ Opens 8:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket malappuram,2025-08-10 06:49:57
At Now Hypermart Manjeri,"Sha Mall Pandikkad Road, Dt, opp. New Bust Stand, Malappuram, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/At+Now+Hypermart+Manjeri/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba63664df445623:0xa8dc90b764779426!8m2!3d11.1208389!4d76.1233365!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11f4qpcmvm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",instagram.com,Hypermarket,Other,3.9,1350.0,₹1–200,Closes 11:30pm,⋅ Closes 11:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket malappuram,2025-08-10 06:50:02
Budget Hyper Market Manjeri,"Bus Stand, Budget Circle, Kozhikode-Malappuram Bypass, near Indira Gandhi Memorial Bus Terminal, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Hyper+Market+Manjeri/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba6367821fc201b:0x66bf7a25bda66903!8m2!3d11.1099462!4d76.1208347!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F1q6kk0s44?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",hyperbudget.in,Hypermarket,Other,4.1,2289.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket malappuram,2025-08-10 06:50:07
Malappuram Daily Fresh Market,"23XP+25P, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Malappuram+Daily+Fresh+Market/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64b32ce7ff11f:0x6bd7d0cb6881cc6a!8m2!3d11.0475826!4d76.0854584!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11fmsffm4j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",Claim this business,Supermarket,Other,4.0,53.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,supermarket malappuram,2025-08-10 06:50:11
K H SUPER MARKET,"Parappu Kulam Road, Kavumpuram, Melmuri, Malappuram, Kerala 676519",096052 25681,"https://www.google.com/maps/place/K+H+SUPER+MARKET/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64b2d8d69b1d9:0x5ff7de98929c9823!8m2!3d11.0615733!4d76.074126!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11fjn9j67r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",,Supermarket,Other,4.1,12.0,₹1–200,Closes 10:45pm,⋅ Closes 10:45pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,supermarket malappuram,2025-08-10 06:50:16
Sixer Mart,"Inkel Campus Road, Inkel City, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/Sixer+Mart/@11.0678457,75.9601522,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64b36a6324be3:0x29f823f6959f2d89!8m2!3d11.0687675!4d76.0453469!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11yckf30kj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.0678457, 75.9601522",sixermart.com,Supermarket,Other,5.0,13.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,No,Yes,No,No,No,Unknown,Yes,"·

In-store shopping
·

Delivery
",in-store shopping; delivery,,,Not Available,,,supermarket malappuram,2025-08-10 06:50:21
4P Mart Kondotty,"bypass road, Kondotty, Kerala 673638",085930 00039,"https://www.google.com/maps/place/4P+Mart+Kondotty/@11.1475215,75.8175766,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba64f1db98bbd3d:0x9f7dc8a8e8b03f8!8m2!3d11.1475215!4d75.9617722!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11g6flgdz2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"11.1475215, 75.8175766",,Supermarket,Other,4.0,1537.0,₹1–200,Opens 8am,Closed ⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,4.0,Not Available,,,supermarket malappuram,2025-08-10 06:50:26
Family Supermarket,Kerala 676503,070421 02369,"https://www.google.com/maps/place/Family+Supermarket/@10.9881922,75.8799837,12z/data=!4m11!1m3!2m2!1ssupermarket+malappuram!6e6!3m6!1s0x3ba7b5fed6a8f9f5:0xc6725a2adbddf53d!8m2!3d10.9881922!4d76.0241793!15sChZzdXBlcm1hcmtldCBtYWxhcHB1cmFtWhgiFnN1cGVybWFya2V0IG1hbGFwcHVyYW2SAQtzdXBlcm1hcmtldKoBUBABKg8iC3N1cGVybWFya2V0KAAyHxABIhsZs0g0lTLi7UT6mnJLK-r-u5qiowzZGKoWxMgyGhACIhZzdXBlcm1hcmtldCBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11s_wp8w4m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+malappuram,"10.9881922, 75.8799837",,Supermarket,Other,4.5,12.0,₹1–200,,,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,supermarket malappuram,2025-08-10 06:50:31
