name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Budget Hyper Market Kondotty,"4XW7+Q6G, Bypass Road, opp. Bus Stand, Kondotty, Kerala 673638",095679 57777,"https://www.google.com/maps/place/Budget+Hyper+Market+Kondotty/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f1dc37e3429:0xc9b31d78c49f720!8m2!3d11.1469812!4d75.9628938!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQA!16s%2Fg%2F11c4blk06g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",hyperbudget.in,Supermarket,Other,4.1,1099.0,₹1–200,Closes 11pm,⋅ Closes 11pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store kondotty,2025-08-10 08:37:44
4P Mart Kondotty,"bypass road, Kondotty, Kerala 673638",085930 00039,"https://www.google.com/maps/place/4P+Mart+Kondotty/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f1db98bbd3d:0x9f7dc8a8e8b03f8!8m2!3d11.1475215!4d75.9617722!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQA!16s%2Fg%2F11g6flgdz2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",,Supermarket,Other,4.0,1537.0,₹1–200,Closes 10:30pm,Open ⋅ Closes 10:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,4.0,Not Available,,,grocery store kondotty,2025-08-10 08:37:49
Bharath Trading Company,"N.H, KP 111/1306E, Bypass Road, near Seego Bakery, Kondotty, Kerala 673638",096052 88111,"https://www.google.com/maps/place/Bharath+Trading+Company/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64ee1f8e9d0bb:0x7d9d38f18517b6de!8m2!3d11.1451322!4d75.9639949!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQ1ncm9jZXJ5X3N0b3JlqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbFDhDlfJaQ4dgdw8orUtVczUtPS7FarKqP-gDMhoQAiIWZ3JvY2VyeSBzdG9yZSBrb25kb3R0eeABAA!16s%2Fg%2F1ptxrlsq_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",,Grocery store,Other,4.1,39.0,₹1–200,Closes 2pm,⋅ Closes 2pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,grocery store kondotty,2025-08-10 08:37:54
Family mart,"Shop No 1 Melangadi, Kottaparambu Airport Road, Kondotty, Kerala 673638",098474 74178,"https://www.google.com/maps/place/Family+mart/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f0eb7b97c27:0x504b80c8382eae13!8m2!3d11.1422676!4d75.9577663!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQA!16s%2Fg%2F11rptr5bqn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",,Supermarket,Other,4.2,12.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store kondotty,2025-08-10 08:37:59
Achus Supermarket,"Shop No 1 Neerad Muthuvallur, opposite Subramanya Temple, Kondotty, Kerala 673638",096454 62096,"https://www.google.com/maps/place/Achus+Supermarket/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f473d770f85:0xd6e5d4fa29f16315!8m2!3d11.1699601!4d75.9767504!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQ1ncm9jZXJ5X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5DZDFCWWNEbDNSUkFCqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbFDhDlfJaQ4dgdw8orUtVczUtPS7FarKqP-gDMhoQAiIWZ3JvY2VyeSBzdG9yZSBrb25kb3R0eeABAPoBBAgAEB8!16s%2Fg%2F11c5j4f2ly?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",Claim this business,Grocery store,Other,3.3,32.0,₹1–200,Closes 11:30pm,⋅ Closes 11:30pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,grocery store kondotty,2025-08-10 08:38:04
Ajfan Dates and Nuts ( KONDOTTY),"Calicut Airport Rd, Kondotty, Kerala 673647",,"https://www.google.com/maps/place/Ajfan+Dates+and+Nuts+(+KONDOTTY)/@11.1543835,75.9080787,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64fb793dd18af:0xeb50c18e92af313f!8m2!3d11.1570624!4d75.9498288!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQ9kcnlfZnJ1aXRfc3RvcmWqAVIQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsUOEOV8lpDh2B3DyitS1VzNS09LsVqsqo_6AMyGhACIhZncm9jZXJ5IHN0b3JlIGtvbmRvdHR54AEA!16s%2Fg%2F11j8m_0lzz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1543835, 75.9080787",ajfan.store,Dry Fruit Store,Other,4.0,158.0,₹1–200,Open 24 hours,Open 24 hours,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,grocery store kondotty,2025-08-10 08:38:09
FEATHER A2Z SUPERMARKET,"Ayikkarapadi calicat, airport road, Kondotty, Kerala 673637",090613 02429,"https://www.google.com/maps/place/FEATHER+A2Z+SUPERMARKET/@11.1749675,75.8241064,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba6511e3ddc5c75:0x3a19c6eded2c49bd!8m2!3d11.1749675!4d75.8962042!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQA!16s%2Fg%2F11tmv7yhd6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1749675, 75.8241064",,Supermarket,Other,4.2,11.0,₹1–200,,,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,2.0,Not Available,,,grocery store kondotty,2025-08-10 08:38:13
RED GREEN SUPERMARKET,"Kondotty Calicut Road, Kottukkara, Malappuram, Kerala 673638",097454 22322,"https://www.google.com/maps/place/RED+GREEN+SUPERMARKET/@11.1368904,75.9126151,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f6db3ff043d:0x3c0e9edc2b4adc42!8m2!3d11.1368904!4d75.9847129!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWWJqZHFXWE4zUlJBQqoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQD6AQQIABAX!16s%2Fg%2F11r1946lkg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1368904, 75.9126151",,Supermarket,Other,4.6,26.0,₹1–200,Closes 12pm,⋅ Closes 12pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,grocery store kondotty,2025-08-10 08:38:18
Hyper Market,"Kondotty, Kerala 673638",090957 79543,"https://www.google.com/maps/place/Hyper+Market/@11.1368904,75.9126151,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64fd113b0b787:0xd0d5c8e7ab9f48ab!8m2!3d11.146888!4d75.9629788!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSAQ1ncm9jZXJ5X3N0b3JlqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbFDhDlfJaQ4dgdw8orUtVczUtPS7FarKqP-gDMhoQAiIWZ3JvY2VyeSBzdG9yZSBrb25kb3R0eeABAA!16s%2Fg%2F11flvtrn3c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1368904, 75.9126151",hyper-market.ueniweb.com,Grocery store,Other,4.5,2.0,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,grocery store kondotty,2025-08-10 08:38:23
P C STORE,"E M E A HSS, ROAD, Thurakkal, Kondotty, Kerala 673638",098471 53887,"https://www.google.com/maps/place/P+C+STORE/@11.1368904,75.9126151,13z/data=!4m11!1m3!2m2!1sgrocery+store+kondotty!6e6!3m6!1s0x3ba64f913a5c160d:0x2c1d47676221c38b!8m2!3d11.1641582!4d75.952783!15sChZncm9jZXJ5IHN0b3JlIGtvbmRvdHR5WhgiFmdyb2Nlcnkgc3RvcmUga29uZG90dHmSARRpbmRpYW5fZ3JvY2VyeV9zdG9yZaoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4Q5XyWkOHYHcPKK1LVXM1LT0uxWqyqj_oAzIaEAIiFmdyb2Nlcnkgc3RvcmUga29uZG90dHngAQA!16s%2Fg%2F11rk5btr15?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+kondotty,"11.1368904, 75.9126151",,Indian grocery store,Other,3.7,3.0,₹1–200,Closes 10pm,⋅ Closes 10pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,2136.0,Not Available,,,grocery store kondotty,2025-08-10 08:38:28
