name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
JamJoom Supermarket Malappuram,"Juma Masjid Complex, SH 71, Up Hill, Malappuram, Kerala 676505",0483 273 5566,"https://www.google.com/maps/place/JamJoom+Supermarket+Malappuram/@11.0987184,75.985693,12z/data=!3m1!5s0x3ba64a9fb062c6d9:0xe7936e7e441caf60!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64a9fba9938d3:0x1b85866554fb92d7!8m2!3d11.0425761!4d76.0835223!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELc3VwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1hhhh3w3l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",jamjoomsouk.com,Supermarket,Other,4.2,2007.0,₹1–200,Closes 10pm,⋅ Closes 10pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:39:37
Budget Hypermarket Malappuram,"Budget Zone, Calicut Rd, near MB Hospital, Down Hill, Malappuram, Kerala 676519",095674 57777,"https://www.google.com/maps/place/Budget+Hypermarket+Malappuram/@11.0987184,75.985693,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64b12ee10037d:0x9b41c3df640a812d!8m2!3d11.0550797!4d76.0820029!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELaHlwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11h1mhf17s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",hyperbudget.in,Hypermarket,Other,4.2,2233.0,₹1–200,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:39:42
Bathery Supermarket,"Keyath Building, Mundithodika, Pookkottur, Malappuram, Kerala 676517",095603 02020,"https://www.google.com/maps/place/Bathery+Supermarket/@11.0987184,75.985693,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64a1ac0d0b837:0xdd538042c14332e0!8m2!3d11.0967978!4d76.072948!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVGZUdKNlRreFRNRVV3Wld0b2RsZ3hhR1ppYWtadllURndjRkZZWXhBQqoBVBABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxrl8XtZZgmk9FxBqYSXkZeosKukXRPbxFOxQTIcEAIiGGdyb2Nlcnkgc3RvcmUgbWFsYXBwdXJhbeABAPoBBAgAEBU!16s%2Fg%2F11f5hm1tjs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",,Supermarket,Other,4.4,5.0,₹1–200,Closes 8pm,⋅ Closes 8pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store malappuram,2025-08-10 07:39:47
Malappuram Daily Fresh Market,"23XP+25P, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Malappuram+Daily+Fresh+Market/@11.0987184,75.985693,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64b32ce7ff11f:0x6bd7d0cb6881cc6a!8m2!3d11.0475826!4d76.0854584!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELc3VwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11fmsffm4j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",Claim this business,Supermarket,Other,4.0,53.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,grocery store malappuram,2025-08-10 07:39:52
Parammal Traders,"23WC+FW8, Market Rd, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Parammal+Traders/@11.0987184,75.985693,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64a90c88372f3:0x3ffb9d1afa0a57e8!8m2!3d11.0461722!4d76.072332!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgEUd2hvbGVzYWxlX2Zvb2Rfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRhMWx4V0hWM1JSQUKqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQD6AQQIABAU!16s%2Fg%2F11hd797vpd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",Claim this business,Wholesale Food Store,Other,4.0,12.0,₹1–200,Closes 12pm,⋅ Closes 12pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store malappuram,2025-08-10 07:39:56
At Now Hypermart Manjeri,"Sha Mall Pandikkad Road, Dt, opp. New Bust Stand, Malappuram, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/At+Now+Hypermart+Manjeri/@11.0987184,75.985693,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba63664df445623:0xa8dc90b764779426!8m2!3d11.1208389!4d76.1233365!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELaHlwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11f4qpcmvm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0987184, 75.985693",instagram.com,Hypermarket,Other,3.9,1350.0,₹1–200,Closes 11:30pm,⋅ Closes 11:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:40:01
POPS MART,"PONMALA, Pallipadi, Malappuram, Kerala 676528",,"https://www.google.com/maps/place/POPS+MART/@11.0295408,75.8959572,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64b3dc9f000a7:0xfb92be72b199f97e!8m2!3d11.0295408!4d76.0401528!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELc3VwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11h540lc25?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0295408, 75.8959572",,Supermarket,Other,3.8,41.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:40:06
Budget Hyper Market Manjeri,"Bus Stand, Budget Circle, Kozhikode-Malappuram Bypass, near Indira Gandhi Memorial Bus Terminal, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Hyper+Market+Manjeri/@11.1099462,75.9766391,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba6367821fc201b:0x66bf7a25bda66903!8m2!3d11.1099462!4d76.1208347!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELaHlwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1q6kk0s44?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.1099462, 75.9766391",hyperbudget.in,Hypermarket,Other,4.1,2289.0,₹1–200,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:40:11
Lifestyle Store,"323V+67P, Panakkad, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Lifestyle+Store/@11.0530914,75.8990205,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64b0a2e479b33:0x5833cdaafe796f8f!8m2!3d11.0530914!4d76.0432161!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgENZ3JvY2VyeV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQ2VUVkViREJuUlJBQqoBVBABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxrl8XtZZgmk9FxBqYSXkZeosKukXRPbxFOxQTIcEAIiGGdyb2Nlcnkgc3RvcmUgbWFsYXBwdXJhbeABAPoBBAggEA0!16s%2Fg%2F11trvs0ljc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0530914, 75.8990205",Claim this business,Grocery store,Other,4.4,5.0,₹1–200,Closes 9pm,⋅ Closes 9pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:40:16
JamJoom Hypermarket Malappuram,"Palakkad - Kozhikode Hwy, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",085920 44055,"https://www.google.com/maps/place/JamJoom+Hypermarket+Malappuram/@11.0530914,75.8990205,12z/data=!4m11!1m3!2m2!1sgrocery+store+malappuram!6e6!3m6!1s0x3ba64b004b7c358b:0xc5f10b7b5dda888c!8m2!3d11.0510242!4d76.0740352!15sChhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW1aGiIYZ3JvY2VyeSBzdG9yZSBtYWxhcHB1cmFtkgELaHlwZXJtYXJrZXSqAVQQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsa5fF7WWYJpPRcQamEl5GXqLCrpF0T28RTsUEyHBACIhhncm9jZXJ5IHN0b3JlIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11wpnmljmy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+malappuram,"11.0530914, 75.8990205",jamjoomsouk.com,Hypermarket,Other,4.6,178.0,₹1–200,Opens 8:30am,⋅ Opens 8:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store malappuram,2025-08-10 07:40:21
