name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
At Now Hypermart Manjeri,"Sha Mall Pandikkad Road, Dt, opp. New Bust Stand, Malappuram, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/At+Now+Hypermart+Manjeri/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba63664df445623:0xa8dc90b764779426!8m2!3d11.1208389!4d76.1233365!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELaHlwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsUODA79ekwejEFnty-KQQOCgN0mDKoKtCBrnQyGRACIhVncm9jZXJ5IHN0b3JlIG1hbmplcmngAQA!16s%2Fg%2F11f4qpcmvm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",instagram.com,Hypermarket,Other,3.9,1350.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store manjeri,2025-08-10 07:49:27
Budget Hyper Market Manjeri,"Bus Stand, Budget Circle, Kozhikode-Malappuram Bypass, near Indira Gandhi Memorial Bus Terminal, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Hyper+Market+Manjeri/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba6367821fc201b:0x66bf7a25bda66903!8m2!3d11.1099462!4d76.1208347!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELaHlwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsUODA79ekwejEFnty-KQQOCgN0mDKoKtCBrnQyGRACIhVncm9jZXJ5IHN0b3JlIG1hbmplcmngAQA!16s%2Fg%2F1q6kk0s44?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",hyperbudget.in,Hypermarket,Other,4.1,2289.0,₹₹,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store manjeri,2025-08-10 07:49:32
Budget Daily Fresh,"445C+V82, IGBT Bus Stand Rd, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Daily+Fresh/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba63678202336cb:0x4e2f07b8b4888c21!8m2!3d11.1096458!4d76.1207529!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAA!16s%2Fg%2F11b77v5y80?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",hyperbudget.in,Grocery store,Other,4.1,230.0,₹₹,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,grocery store manjeri,2025-08-10 07:49:37
KMA SUPERMARKET,"DAILY MARKET, Court Rd, Vellarangal, Manjeri, Kerala 676121",098460 60625,"https://www.google.com/maps/place/KMA+SUPERMARKET/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba63677528afe9d:0x58d71792ca27e94e!8m2!3d11.1188227!4d76.1197526!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELc3VwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsUODA79ekwejEFnty-KQQOCgN0mDKoKtCBrnQyGRACIhVncm9jZXJ5IHN0b3JlIG1hbmplcmngAQA!16s%2Fg%2F11dz0yqwz9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",,Supermarket,Other,4.1,70.0,₹₹,Open 24 hours,Open 24 hours,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,,Not Available,,,grocery store manjeri,2025-08-10 07:49:41
Seven Bridge Supermarket,"SH 71, Muttipalam Upper, Manjeri, Kerala 676121",075938 85500,"https://www.google.com/maps/place/Seven+Bridge+Supermarket/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba63578b0734d9f:0x300b2974258cbd0d!8m2!3d11.0966819!4d76.1193058!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELc3VwZXJtYXJrZXSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnVOVFYxVjBGM0VBRaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAPoBBAgAECE!16s%2Fg%2F11mj_w3rkz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",,Supermarket,Other,3.4,7.0,₹₹,Closes 10:30pm,⋅ Closes 10:30pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,grocery store manjeri,2025-08-10 07:49:46
ZEEMART SUPERMARKET,"4436+WCW, Mullampara Town, Manjeri, Kerala 676121",062357 74413,"https://www.google.com/maps/place/ZEEMART+SUPERMARKET/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba6357da00011af:0xf6343d239ae14b11!8m2!3d11.1048481!4d76.1110319!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAA!16s%2Fg%2F11kjrd3sd8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",,Grocery store,Other,4.7,12.0,₹₹,Closes 11pm,Open ⋅ Closes 11pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store manjeri,2025-08-10 07:49:51
Bismi Hypermarket & Fashion,"4478+7CV, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Bismi+Hypermarket+%26+Fashion/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba6370009d77991:0xed702fd50cbcf913!8m2!3d11.1133432!4d76.116185!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELaHlwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsUODA79ekwejEFnty-KQQOCgN0mDKoKtCBrnQyGRACIhVncm9jZXJ5IHN0b3JlIG1hbmplcmngAQA!16s%2Fg%2F11w_n2hhfp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",Claim this business,Hypermarket,Other,4.0,104.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store manjeri,2025-08-10 07:49:56
New Leaf supermarket,"AVUNJIPPURAN BUILDING, ATHIKKULAM, near NEW BUSTAND, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/New+Leaf+supermarket/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba637bbced96693:0x2ff46063b25ee3cb!8m2!3d11.118185!4d76.1251758!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAA!16s%2Fg%2F11s43p9sy5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",Claim this business,Grocery store,Other,4.8,8.0,₹₹,Closes 10pm,Open ⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,grocery store manjeri,2025-08-10 07:50:01
INSTAMART SUPERMARKET,"44HG+G7G, Palakkulam Rd, Kuthukal, Manjeri, Kerala 676123",097466 16868,"https://www.google.com/maps/place/INSTAMART+SUPERMARKET/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba63734d520ee8b:0x605b4310ef595eef!8m2!3d11.1288028!4d76.1257089!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAA!16s%2Fg%2F11pcsgzyzn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",Claim this business,Grocery store,Other,4.6,12.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,grocery store manjeri,2025-08-10 07:50:06
BUDGET HYPERMARKET Rajiv Gandhi Bypass MANJERI,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/BUDGET+HYPERMARKET+Rajiv+Gandhi+Bypass+MANJERI/@11.1151612,76.0888554,14z/data=!4m11!1m3!2m2!1sgrocery+store+manjeri!6e6!3m6!1s0x3ba637d23cbb476f:0xe2b7a80b999b1ba0!8m2!3d11.1231795!4d76.1134018!15sChVncm9jZXJ5IHN0b3JlIG1hbmplcmlaFyIVZ3JvY2VyeSBzdG9yZSBtYW5qZXJpkgELaHlwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhXWm1GSGNGZE9iVVo0V1cxUk1WbHVVbTVYVjJ4U1pGWlNhVlV3UlJBQqoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxQ4MDv16TB6MQWe3L4pBA4KA3SYMqgq0IGudDIZEAIiFWdyb2Nlcnkgc3RvcmUgbWFuamVyaeABAPoBBAgAEBU!16s%2Fg%2F11xgqgdcz1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+manjeri,"11.1151612, 76.0888554",hyperbudget.in,Hypermarket,Other,4.9,78.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store manjeri,2025-08-10 07:50:10
