name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
JamJoom Hypermarket Nilambur,"76PQ+PMQ, Ootty Rd, Chandakunnu, Nilambur, Kerala 679329",090726 00400,"https://www.google.com/maps/place/JamJoom+Hypermarket+Nilambur/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63b00e39d1007:0x2d3b94ff0698bd44!8m2!3d11.2871389!4d76.2392582!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQtoeXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2VHWlFVSGRCUlJBQqoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGzrCET9Hnvl4mgRdZen1US7lCjjhibUXNDkU8zIaEAIiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXLgAQD6AQUIggQQSw!16s%2Fg%2F11fhz12zft?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",jamjoomsouk.com,Hypermarket,Other,4.2,1953.0,₹1–200,Closes 10pm,⋅ Closes 10pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,grocery store nilambur,2025-08-10 08:10:17
UNITY SUPERMARKET,"Peevees Arcade, Nilambur, Kerala 679329",04931 224 895,"https://www.google.com/maps/place/UNITY+SUPERMARKET/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63b764aab7c49:0xeb9df268c0e52288!8m2!3d11.2766414!4d76.226103!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGzrCET9Hnvl4mgRdZen1US7lCjjhibUXNDkU8zIaEAIiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXLgAQA!16s%2Fg%2F1hf5x2w01?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",,Supermarket,Other,3.8,315.0,₹1–200,Closes 8pm,⋅ Closes 8pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store nilambur,2025-08-10 08:10:22
Al badia Super Market,"Depot, Bus stop, Railway Station - Ramankuthu Rd, near Nilambur, Nilambur, Kerala 679330",090486 45457,"https://www.google.com/maps/place/Al+badia+Super+Market/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63b53597d4741:0x343821967ee744e!8m2!3d11.275847!4d76.2619641!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQ1ncm9jZXJ5X3N0b3JlqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbOsIRP0ee-XiaBF1l6fVRLuUKOOGJtRc0ORTzMhoQAiIWZ3JvY2VyeSBzdG9yZSBuaWxhbWJ1cuABAA!16s%2Fg%2F11jj_gfmtn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",,Grocery store,Other,4.1,16.0,₹1–200,Closes 9:30pm,⋅ Closes 9:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,grocery store nilambur,2025-08-10 08:10:27
MINI SUPERMARKET,"8735+JM3 RAWTHER JUNCTION, Nilambur, Kerala 679330",062827 04049,"https://www.google.com/maps/place/MINI+SUPERMARKET/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63ddc834e5c13:0x64bbf115edc75933!8m2!3d11.304009!4d76.2591824!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQ1ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU01T1ZCaFFtUkJFQUWqAVIQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhs6whE_R575eJoEXWXp9VEu5Qo44Ym1FzQ5FPMyGhACIhZncm9jZXJ5IHN0b3JlIG5pbGFtYnVy4AEA-gEECAAQIw!16s%2Fg%2F11t2_b3dsl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",Claim this business,Grocery store,Other,5.0,2.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store nilambur,2025-08-10 08:10:32
Kovilakam hypermart,"Kovilakam Rd, Nilambur, Kerala 679329",085472 90000,"https://www.google.com/maps/place/Kovilakam+hypermart/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63ba5cc65ba9f:0x72a7a5fcbeb6a649!8m2!3d11.2785677!4d76.2242881!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQtzdXBlcm1hcmtldKoBUhABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGzrCET9Hnvl4mgRdZen1US7lCjjhibUXNDkU8zIaEAIiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXLgAQA!16s%2Fg%2F11q2qpn2n8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",,Supermarket,Other,3.9,171.0,₹1–200,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store nilambur,2025-08-10 08:10:36
Mahmood Arabian Kuzhimandhi Nilambur,"Veliyamthode, near My G Future, Chandakunnu, Nilambur, Kerala 679329",094960 67437,"https://www.google.com/maps/place/Mahmood+Arabian+Kuzhimandhi+Nilambur/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63d06bb29337b:0x8b4e82ef10e94ab!8m2!3d11.2920094!4d76.2418153!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQpyZXN0YXVyYW50qgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbOsIRP0ee-XiaBF1l6fVRLuUKOOGJtRc0ORTzMhoQAiIWZ3JvY2VyeSBzdG9yZSBuaWxhbWJ1cuABAA!16s%2Fg%2F11lgkb212d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",mahmoodkuzhimandhi.odoo.com,Restaurant,Other,4.2,110.0,₹1–200,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,grocery store nilambur,2025-08-10 08:10:41
Enanthi,"77WF+H26, Muthukadu, Nilambur, Kerala 679330",085928 40014,"https://www.google.com/maps/place/Enanthi/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba62354c20285f1:0x8ad267d61c7ae945!8m2!3d11.2964107!4d76.2725039!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQ1ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5IWjJaRVZVRjNFQUWqAVIQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhs6whE_R575eJoEXWXp9VEu5Qo44Ym1FzQ5FPMyGhACIhZncm9jZXJ5IHN0b3JlIG5pbGFtYnVy4AEA-gEECAAQEw!16s%2Fg%2F11g86ml83t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",Claim this business,Grocery store,Other,4.1,57.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store nilambur,2025-08-10 08:10:46
Cp Store . chandhakkunnu.Nilambur,"Schoolkunnu, Haritha nagar 52, Chandakunnu, Nilambur, Kerala 679329",099615 11313,"https://www.google.com/maps/place/Cp+Store+.+chandhakkunnu.Nilambur/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63bfd719e76e7:0xd8790d0d7eaa0c45!8m2!3d11.2862316!4d76.2369835!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSARRpbmRpYW5fZ3JvY2VyeV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSQ04xQnBkMDUzRUFFqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbOsIRP0ee-XiaBF1l6fVRLuUKOOGJtRc0ORTzMhoQAiIWZ3JvY2VyeSBzdG9yZSBuaWxhbWJ1cuABAPoBBAgAEEc!16s%2Fg%2F11p6xyv126?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",,Indian grocery store,Other,5.0,7.0,₹1–200,Closes 8pm,Open ⋅ Closes 8pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store nilambur,2025-08-10 08:10:51
A.V.R Margin Free Supermarket,"76GF+9W8, SH28, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/A.V.R+Margin+Free+Supermarket/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63b001401c965:0xf1c4ac8685a88b1e!8m2!3d11.2759107!4d76.2248369!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQ1ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0zY2t0RE1rWlJFQUWqAVIQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhs6whE_R575eJoEXWXp9VEu5Qo44Ym1FzQ5FPMyGhACIhZncm9jZXJ5IHN0b3JlIG5pbGFtYnVy4AEA-gEECCcQFw!16s%2Fg%2F11m59zvpsf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",Claim this business,Grocery store,Other,3.3,8.0,₹1–200,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,grocery store nilambur,2025-08-10 08:10:56
OT Store,"76PX+G22, Nilambur, Kerala 679330",,"https://www.google.com/maps/place/OT+Store/@11.2543924,76.1215904,12z/data=!4m11!1m3!2m2!1sgrocery+store+nilambur!6e6!3m6!1s0x3ba63b60a9a1e27d:0xd65c23fb86af4c0c!8m2!3d11.286262!4d76.2475168!15sChZncm9jZXJ5IHN0b3JlIG5pbGFtYnVyWhgiFmdyb2Nlcnkgc3RvcmUgbmlsYW1idXKSAQ1ncm9jZXJ5X3N0b3JlqgFSEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbOsIRP0ee-XiaBF1l6fVRLuUKOOGJtRc0ORTzMhoQAiIWZ3JvY2VyeSBzdG9yZSBuaWxhbWJ1cuABAA!16s%2Fg%2F11hbh5lwb5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+nilambur,"11.2543924, 76.1215904",Claim this business,Grocery store,Other,4.0,34.0,₹1–200,Closes 10:30pm,⋅ Closes 10:30pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,grocery store nilambur,2025-08-10 08:11:01
