name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
WHITE Hyper Market,"1st Floor, NK Complex, near Waltz Hospital, Kuttippara, Pathaikkara, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/WHITE+Hyper+Market/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd007178f26b:0x2440d749aab0ef5d!8m2!3d10.9743375!4d76.2379423!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11y3z5rz_8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,4.0,584.0,₹1–200,Open 24 hours,Open 24 hours,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:01
JamJoom Hypermarket,"Vavas mall, Bypass Rd, Perinthalmanna, Kerala 679322",04933 223 331,"https://www.google.com/maps/place/JamJoom+Hypermarket/@10.9743375,76.1658445,13z/data=!3m1!5s0x3ba7cc55e4c38f43:0xcaf66aefda69ad50!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cc55fa3a1daf:0x23d94bf4c1a3e95b!8m2!3d10.9801323!4d76.2192549!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQtoeXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOMU5qVklaMTlSUlJBQqoBWBABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxmx-6qloXmJMms8BQ8-A6F-EZp2sI9Do1cb2jIgEAIiHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmHgAQD6AQQILRBI!16s%2Fg%2F11cltvzbnw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",jamjoomsouk.com,Hypermarket,Other,4.2,2121.0,₹1–200,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,3.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:06
Olive Super Market perinthalmanna,"MallAslam, Mannarkkad Road, opp. K.P.M. Arcade, Shanti Nagar, Perinthalmanna, Kerala 679322",089432 24455,"https://www.google.com/maps/place/Olive+Super+Market+perinthalmanna/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cdab85b51313:0xdd597f5a2f8743f7!8m2!3d10.9756816!4d76.2280864!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQtzdXBlcm1hcmtldKoBWBABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxmx-6qloXmJMms8BQ8-A6F-EZp2sI9Do1cb2jIgEAIiHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F1hm52pft0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Supermarket,Other,4.0,375.0,₹1–200,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:11
KM SUPERMARKET,"Kakkooth Rd, Kakkoth, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/KM+SUPERMARKET/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cdb1356fcf57:0x7369887493fb7ea1!8m2!3d10.9878911!4d76.2303074!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11qgklh04n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,4.0,13.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,1.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:16
7Days Supermarket,"Kozhikode - Malappuram - Palakkad Hwy, Thottakkara, Perinthalmanna, Kerala 679322",079940 04701,"https://www.google.com/maps/place/7Days+Supermarket/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd6cba047f89:0x8d336d73e7adbe00!8m2!3d10.9664327!4d76.2283587!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11j5vf7k3g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,4.0,243.0,₹1–200,Closes 11pm,Open ⋅ Closes 11pm,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,7.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:21
ATLESS 7-ELEVEN SUPERMARKET,"near NEHRU STADIUM, KSHB Colony, Perinthalmanna, Kerala 679322",079947 21222,"https://www.google.com/maps/place/ATLESS+7-ELEVEN+SUPERMARKET/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd3a3c2b99e3:0xc491713e0e84a31e!8m2!3d10.9784841!4d76.2265389!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11t7j3lwr5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,4.6,14.0,₹1–200,Closes 11pm,⋅ Closes 11pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,7.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:26
Family Supermarket,"Manathumangalam, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Family+Supermarket/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd0037d03e79:0x59afe0e6802e884a!8m2!3d10.9937076!4d76.2254945!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJJTFhSWWVXeEJSUkFCqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAPoBBQjIBhBM!16s%2Fg%2F11y484q9sf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,5.0,2.0,₹1–200,Closes 11pm,⋅ Closes 11pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:30
Fresh aim super market,"Hazmi Tower, Pattambi Rd, near SBI bank ,Al, Shanti Nagar, Perinthalmanna, Kerala 679322",062829 58347,"https://www.google.com/maps/place/Fresh+aim+super+market/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd837c3c2e6f:0x228a5ec67309605a!8m2!3d10.9737956!4d76.2255062!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlqgFYEAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbGbH7qqWheYkyazwFDz4DoX4Rmnawj0OjVxvaMiAQAiIcZ3JvY2VyeSBzdG9yZSBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11sc1lp0dg?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,5.0,1.0,₹1–200,Closes 9:30pm,⋅ Closes 9:30pm,No,No,Yes,No,No,No,Unknown,Yes,"·

Delivery
",delivery,,,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:35
Edumart Perinthalmanna,"Perinthalmanna - Nilambur Rd, near Sark Regency, Perinthalmanna, Kerala 679322",090488 00019,"https://www.google.com/maps/place/Edumart+Perinthalmanna/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cdae7789b565:0x4091899b43b9b45c!8m2!3d10.9877049!4d76.2263192!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQtoeXBlcm1hcmtldKoBWBABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiGxmx-6qloXmJMms8BQ8-A6F-EZp2sI9Do1cb2jIgEAIiHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rkpn__c3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Hypermarket,Other,4.0,169.0,₹1–200,Opens 9:30am,⋅ Opens 9:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:40
ZAINAB SUPER MARKET,"277, Bappu Road, Chathalloor, Perinthalmanna, Kerala 679322",095449 67406,"https://www.google.com/maps/place/ZAINAB+SUPER+MARKET/@10.9743375,76.1658445,13z/data=!4m11!1m3!2m2!1sgrocery+store+perinthalmanna!6e6!3m6!1s0x3ba7cd006aaf5daf:0xce1cb2f6258b487c!8m2!3d10.9697719!4d76.2204563!15sChxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5hWh4iHGdyb2Nlcnkgc3RvcmUgcGVyaW50aGFsbWFubmGSAQ1ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEzTFhKVWVsQkJFQUWqAVgQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhsZsfuqpaF5iTJrPAUPPgOhfhGadrCPQ6NXG9oyIBACIhxncm9jZXJ5IHN0b3JlIHBlcmludGhhbG1hbm5h4AEA-gEECAAQDg!16s%2Fg%2F11w84_mc8q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+perinthalmanna,"10.9743375, 76.1658445",,Grocery store,Other,4.7,6.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,grocery store perinthalmanna,2025-08-10 08:00:45
