name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
SUPER STORE PONNANI,"NO 1 BRIDGE MAIN ROAD PONNANI NAGARM, Kerala, Ponnani, Kerala 679583",095672 92930,"https://www.google.com/maps/place/SUPER+STORE+PONNANI/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb229e31b40d:0x69393e6796e76d18!8m2!3d10.781189!4d75.9230344!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgEKd2hvbGVzYWxlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSYWFVNTFRbFpCRUFFqgFREAEqESINZ3JvY2VyeSBzdG9yZSgAMh8QASIbWYJZKsXl-qXHDPu0BpzhQRh4o4CKPqpHEuNpMhkQAiIVZ3JvY2VyeSBzdG9yZSBwb25uYW5p4AEA-gEECAAQGQ!16s%2Fg%2F11ggs4f920?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",,Wholesaler,Other,4.8,52.0,,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,grocery store ponnani,2025-08-10 08:28:29
Margin Free Market Ponnani,"Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Margin+Free+Market+Ponnani/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb1a5764abed:0xa0413b668d061aec!8m2!3d10.7820435!4d75.931552!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgELc3VwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhtZglkqxeX6pccM-7QGnOFBGHijgIo-qkcS42kyGRACIhVncm9jZXJ5IHN0b3JlIHBvbm5hbmngAQA!16s%2Fg%2F11c5gc0cy2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",,Supermarket,Other,4.0,68.0,,Closes 11pm,⋅ Closes 11pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store ponnani,2025-08-10 08:28:34
DUBAI SUPERMARKET,"QW2J+JM7, Puthuponnani, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/DUBAI+SUPERMARKET/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb52c51d140b:0xbf9b4b0ae8c84497!8m2!3d10.7515301!4d75.9316702!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11rhwcygq4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",Claim this business,Grocery store,Other,3.8,29.0,,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,grocery store ponnani,2025-08-10 08:28:39
Khaleej Hypermarket,"QWMW+W7H, Kuttadu, Ponnani, Kerala 679577",097454 49944,"https://www.google.com/maps/place/Khaleej+Hypermarket/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb1faf0f99b1:0x26124034a0910ac4!8m2!3d10.7848186!4d75.9457408!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgELc3VwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhtZglkqxeX6pccM-7QGnOFBGHijgIo-qkcS42kyGRACIhVncm9jZXJ5IHN0b3JlIHBvbm5hbmngAQA!16s%2Fg%2F11h05btk24?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",Claim this business,Supermarket,Other,4.1,256.0,,Closes 10pm,⋅ Closes 10pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,grocery store ponnani,2025-08-10 08:28:44
Best one supermarket,"Puthanpalli Road K K Junction, Ponnani, Kerala 679577",090481 37047,"https://www.google.com/maps/place/Best+one+supermarket/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb16c5c23ce1:0xd1f7e71ecd8b882e!8m2!3d10.7846511!4d75.9491583!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11htywlpxn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",,Grocery store,Other,4.2,10.0,,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,grocery store ponnani,2025-08-10 08:28:48
TK SUPERMARKET,"Purangu, Ponnani, Kerala 679584",,"https://www.google.com/maps/place/TK+SUPERMARKET/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb7935079f89:0x6f98e6d5e3c96998!8m2!3d10.7621605!4d75.9552587!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11jgdlk8n_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",,Grocery store,Other,4.0,78.0,,Closes 6pm,⋅ Closes 6pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,grocery store ponnani,2025-08-10 08:28:53
TK Sons Supermarket,"near ISS School, K K Junction, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/TK+Sons+Supermarket/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bbc2239dac35:0x3fc1f67ba513bb0a!8m2!3d10.7867247!4d75.9523779!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmmSAQtzdXBlcm1hcmtldKoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11x8slcmpz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",,Supermarket,Other,5.0,2.0,,Closes 11pm,⋅ Closes 11pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,grocery store ponnani,2025-08-10 08:28:58
Swasraya Mall & Ponmax Hypermarket,"QWCP+W6J, NH 66, near Pallapram Bridge, Uroob Nagar, Overbridge, Keezhillam, Ponnani, Kerala 679577",073565 26526,"https://www.google.com/maps/place/Swasraya+Mall+%26+Ponmax+Hypermarket/@10.781189,75.8509366,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb8918fc00c5:0xbe1392b9fd63dc0d!8m2!3d10.7723282!4d75.9355055!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgELaHlwZXJtYXJrZXSqAVEQASoRIg1ncm9jZXJ5IHN0b3JlKAAyHxABIhtZglkqxeX6pccM-7QGnOFBGHijgIo-qkcS42kyGRACIhVncm9jZXJ5IHN0b3JlIHBvbm5hbmngAQA!16s%2Fg%2F11p64mn027?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.781189, 75.8509366",swasrayaponnani.com,Hypermarket,Other,4.3,7.0,,Open 24 hours,Open 24 hours,Yes,No,Yes,No,No,No,Unknown,Unknown,"·

In-store shopping
·

Delivery
",in-store shopping; delivery,,,Not Available,,,grocery store ponnani,2025-08-10 08:29:03
Thanal Janakeeya Supermarket,"PXQF+67Q, Guruvayur - Althara - Ponnani Rd, Maranchery, Kerala 679581",,"https://www.google.com/maps/place/Thanal+Janakeeya+Supermarket/@10.7380789,75.9011303,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bd1514f2374b:0x43f2ed9598c39051!8m2!3d10.7380789!4d75.9732281!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11qpm6f6qy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.7380789, 75.9011303",Claim this business,Grocery store,Other,4.4,68.0,,Closes 9pm,⋅ Closes 9pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,grocery store ponnani,2025-08-10 08:29:08
CEE VEE Mini Supermarket,"CV junction, near water authority ponnani, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/CEE+VEE+Mini+Supermarket/@10.7380789,75.9011303,13z/data=!4m11!1m3!2m2!1sgrocery+store+ponnani!6e6!3m6!1s0x3ba7bb37211ffa87:0xcb4b49549349fd3f!8m2!3d10.7854085!4d75.9466934!15sChVncm9jZXJ5IHN0b3JlIHBvbm5hbmlaFyIVZ3JvY2VyeSBzdG9yZSBwb25uYW5pkgENZ3JvY2VyeV9zdG9yZaoBURABKhEiDWdyb2Nlcnkgc3RvcmUoADIfEAEiG1mCWSrF5fqlxwz7tAac4UEYeKOAij6qRxLjaTIZEAIiFWdyb2Nlcnkgc3RvcmUgcG9ubmFuaeABAA!16s%2Fg%2F11rkn1crb1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",grocery+store+ponnani,"10.7380789, 75.9011303",,Grocery store,Other,5.0,1.0,,Closes 11pm,⋅ Closes 11pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,,Not Available,,,grocery store ponnani,2025-08-10 08:29:13
