name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
At Now Hypermart Manjeri,"Sha Mall Pandikkad Road, Dt, opp. New Bust Stand, Malappuram, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/At+Now+Hypermart+Manjeri/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba63664df445623:0xa8dc90b764779426!8m2!3d11.1208389!4d76.1233365!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtoeXBlcm1hcmtldKoBTRABKg8iC3N1cGVybWFya2V0KAAyHxABIhsSzXHH9riWBLIXeEZJughkzrmQpfAMJKe2TH8yFxACIhNzdXBlcm1hcmtldCBtYW5qZXJp4AEA!16s%2Fg%2F11f4qpcmvm?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",instagram.com,Hypermarket,Other,3.9,1350.0,,Closes 11:30pm,⋅ Closes 11:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket manjeri,2025-08-10 06:59:25
Budget Hyper Market Manjeri,"Bus Stand, Budget Circle, Kozhikode-Malappuram Bypass, near Indira Gandhi Memorial Bus Terminal, Kacherippadi, Manjeri, Kerala 676121",095678 57777,"https://www.google.com/maps/place/Budget+Hyper+Market+Manjeri/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba6367821fc201b:0x66bf7a25bda66903!8m2!3d11.1099462!4d76.1208347!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtoeXBlcm1hcmtldKoBTRABKg8iC3N1cGVybWFya2V0KAAyHxABIhsSzXHH9riWBLIXeEZJughkzrmQpfAMJKe2TH8yFxACIhNzdXBlcm1hcmtldCBtYW5qZXJp4AEA!16s%2Fg%2F1q6kk0s44?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",hyperbudget.in,Hypermarket,Other,4.1,2289.0,,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket manjeri,2025-08-10 06:59:30
BUDGET HYPERMARKET Rajiv Gandhi Bypass MANJERI,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/BUDGET+HYPERMARKET+Rajiv+Gandhi+Bypass+MANJERI/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba637d23cbb476f:0xe2b7a80b999b1ba0!8m2!3d11.1231795!4d76.1134018!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtoeXBlcm1hcmtldJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeFdabUZIY0ZkT2JVWjRXVzFSTVZsdVVtNVhWMnhTWkZaU2FWVXdSUkFCqgFNEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxLNccf2uJYEshd4Rkm6CGTOuZCl8Awkp7ZMfzIXEAIiE3N1cGVybWFya2V0IG1hbmplcmngAQD6AQQIABAV!16s%2Fg%2F11xgqgdcz1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",hyperbudget.in,Hypermarket,Other,4.9,78.0,,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket manjeri,2025-08-10 06:59:35
BIGDAYS HYPERMARKET,"Ootty Road, Nelliparambu Rd, Manjeri, Kerala 676123",089434 20421,"https://www.google.com/maps/place/BIGDAYS+HYPERMARKET/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba6371e3253ffe9:0x1c0b093186c73dc4!8m2!3d11.1336419!4d76.1139603!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtoeXBlcm1hcmtldKoBTRABKg8iC3N1cGVybWFya2V0KAAyHxABIhsSzXHH9riWBLIXeEZJughkzrmQpfAMJKe2TH8yFxACIhNzdXBlcm1hcmtldCBtYW5qZXJp4AEA!16s%2Fg%2F11r_ffbrb1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",,Hypermarket,Other,3.9,86.0,,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket manjeri,2025-08-10 06:59:39
KMA SUPERMARKET,"DAILY MARKET, Court Rd, Vellarangal, Manjeri, Kerala 676121",098460 60625,"https://www.google.com/maps/place/KMA+SUPERMARKET/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba63677528afe9d:0x58d71792ca27e94e!8m2!3d11.1188227!4d76.1197526!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtzdXBlcm1hcmtldKoBTRABKg8iC3N1cGVybWFya2V0KAAyHxABIhsSzXHH9riWBLIXeEZJughkzrmQpfAMJKe2TH8yFxACIhNzdXBlcm1hcmtldCBtYW5qZXJp4AEA!16s%2Fg%2F11dz0yqwz9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",,Supermarket,Other,4.1,70.0,,Open 24 hours,Open 24 hours,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,,Not Available,,,supermarket manjeri,2025-08-10 06:59:44
New Leaf supermarket,"AVUNJIPPURAN BUILDING, ATHIKKULAM, near NEW BUSTAND, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/New+Leaf+supermarket/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba637bbced96693:0x2ff46063b25ee3cb!8m2!3d11.118185!4d76.1251758!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQ1ncm9jZXJ5X3N0b3JlqgFNEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxLNccf2uJYEshd4Rkm6CGTOuZCl8Awkp7ZMfzIXEAIiE3N1cGVybWFya2V0IG1hbmplcmngAQA!16s%2Fg%2F11s43p9sy5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",Claim this business,Grocery store,Other,4.8,8.0,,7am,Opens soon ⋅ 7am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket manjeri,2025-08-10 06:59:49
Bismi Hypermarket & Fashion,"4478+7CV, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Bismi+Hypermarket+%26+Fashion/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba6370009d77991:0xed702fd50cbcf913!8m2!3d11.1133432!4d76.116185!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtoeXBlcm1hcmtldKoBTRABKg8iC3N1cGVybWFya2V0KAAyHxABIhsSzXHH9riWBLIXeEZJughkzrmQpfAMJKe2TH8yFxACIhNzdXBlcm1hcmtldCBtYW5qZXJp4AEA!16s%2Fg%2F11w_n2hhfp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",Claim this business,Hypermarket,Other,4.0,104.0,,Opens 7:30am,⋅ Opens 7:30am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket manjeri,2025-08-10 06:59:54
ZEEMART SUPERMARKET,"4436+WCW, Mullampara Town, Manjeri, Kerala 676121",062357 74413,"https://www.google.com/maps/place/ZEEMART+SUPERMARKET/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba6357da00011af:0xf6343d239ae14b11!8m2!3d11.1048481!4d76.1110319!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQ1ncm9jZXJ5X3N0b3JlqgFNEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxLNccf2uJYEshd4Rkm6CGTOuZCl8Awkp7ZMfzIXEAIiE3N1cGVybWFya2V0IG1hbmplcmngAQA!16s%2Fg%2F11kjrd3sd8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",,Grocery store,Other,4.7,12.0,,7am,Opens soon ⋅ 7am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket manjeri,2025-08-10 06:59:59
Seven Bridge Supermarket,"SH 71, Muttipalam Upper, Manjeri, Kerala 676121",075938 85500,"https://www.google.com/maps/place/Seven+Bridge+Supermarket/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba63578b0734d9f:0x300b2974258cbd0d!8m2!3d11.0966819!4d76.1193058!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQtzdXBlcm1hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdU5UVjFWMEYzRUFFqgFNEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxLNccf2uJYEshd4Rkm6CGTOuZCl8Awkp7ZMfzIXEAIiE3N1cGVybWFya2V0IG1hbmplcmngAQD6AQQIABAh!16s%2Fg%2F11mj_w3rkz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",,Supermarket,Other,3.4,7.0,,7am,⋅ 7am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,supermarket manjeri,2025-08-10 07:00:03
INSTAMART SUPERMARKET,"44HG+G7G, Palakkulam Rd, Kuthukal, Manjeri, Kerala 676123",097466 16868,"https://www.google.com/maps/place/INSTAMART+SUPERMARKET/@11.1276856,76.0509941,13z/data=!4m11!1m3!2m2!1ssupermarket+manjeri!6e6!3m6!1s0x3ba63734d520ee8b:0x605b4310ef595eef!8m2!3d11.1288028!4d76.1257089!15sChNzdXBlcm1hcmtldCBtYW5qZXJpWhUiE3N1cGVybWFya2V0IG1hbmplcmmSAQ1ncm9jZXJ5X3N0b3JlqgFNEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxLNccf2uJYEshd4Rkm6CGTOuZCl8Awkp7ZMfzIXEAIiE3N1cGVybWFya2V0IG1hbmplcmngAQA!16s%2Fg%2F11pcsgzyzn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+manjeri,"11.1276856, 76.0509941",Claim this business,Grocery store,Other,4.6,12.0,,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket manjeri,2025-08-10 07:00:08
