name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
JamJoom Hypermarket Nilambur,"76PQ+PMQ, Ootty Rd, Chandakunnu, Nilambur, Kerala 679329",090726 00400,"https://www.google.com/maps/place/JamJoom+Hypermarket+Nilambur/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b00e39d1007:0x2d3b94ff0698bd44!8m2!3d11.2871389!4d76.2392582!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBC2h5cGVybWFya2V0qgFOEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxphpDXWgwvekaW7f47I0lm2aUHMH724WsRbDzIYEAIiFHN1cGVybWFya2V0IG5pbGFtYnVy4AEA!16s%2Fg%2F11fhz12zft?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",jamjoomsouk.com,Hypermarket,Other,4.2,1953.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:12:33
UNITY SUPERMARKET,"Peevees Arcade, Nilambur, Kerala 679329",04931 224 895,"https://www.google.com/maps/place/UNITY+SUPERMARKET/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b764aab7c49:0xeb9df268c0e52288!8m2!3d11.2766414!4d76.226103!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBC3N1cGVybWFya2V0qgFOEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxphpDXWgwvekaW7f47I0lm2aUHMH724WsRbDzIYEAIiFHN1cGVybWFya2V0IG5pbGFtYnVy4AEA!16s%2Fg%2F1hf5x2w01?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",,Supermarket,Other,3.8,315.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:12:38
Kovilakam hypermart,"Kovilakam Rd, Nilambur, Kerala 679329",085472 90000,"https://www.google.com/maps/place/Kovilakam+hypermart/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63ba5cc65ba9f:0x72a7a5fcbeb6a649!8m2!3d11.2785677!4d76.2242881!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBC3N1cGVybWFya2V0qgFOEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxphpDXWgwvekaW7f47I0lm2aUHMH724WsRbDzIYEAIiFHN1cGVybWFya2V0IG5pbGFtYnVy4AEA!16s%2Fg%2F11q2qpn2n8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",,Supermarket,Other,3.9,171.0,₹1–200,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:12:43
Mahmood Arabian Kuzhimandhi Nilambur,"Veliyamthode, near My G Future, Chandakunnu, Nilambur, Kerala 679329",094960 67437,"https://www.google.com/maps/place/Mahmood+Arabian+Kuzhimandhi+Nilambur/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63d06bb29337b:0x8b4e82ef10e94ab!8m2!3d11.2920094!4d76.2418153!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBCnJlc3RhdXJhbnSqAU4QASoPIgtzdXBlcm1hcmtldCgAMh8QASIbGmGkNdaDC96Rpbt_jsjSWbZpQcwfvbhaxFsPMhgQAiIUc3VwZXJtYXJrZXQgbmlsYW1idXLgAQA!16s%2Fg%2F11lgkb212d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",mahmoodkuzhimandhi.odoo.com,Restaurant,Other,4.2,110.0,₹1–200,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:12:47
Gokulam supermarket,"769P+C6X, Chakkalakuth Rd, Chakkalakuth, Nilambur, Kerala 679329",070257 22525,"https://www.google.com/maps/place/Gokulam+supermarket/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b0d527b02eb:0x2ea351fd5c3b5b54!8m2!3d11.2686074!4d76.2356038!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBDWdyb2Nlcnlfc3RvcmWqAU4QASoPIgtzdXBlcm1hcmtldCgAMh8QASIbGmGkNdaDC96Rpbt_jsjSWbZpQcwfvbhaxFsPMhgQAiIUc3VwZXJtYXJrZXQgbmlsYW1idXLgAQA!16s%2Fg%2F11hczl9bss?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",hinexlearning.in,Grocery store,Other,3.5,13.0,₹1–200,Opens 8am Mon,⋅ Opens 8am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket nilambur,2025-08-10 07:12:52
Enanthi,"77WF+H26, Muthukadu, Nilambur, Kerala 679330",085928 40014,"https://www.google.com/maps/place/Enanthi/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba62354c20285f1:0x8ad267d61c7ae945!8m2!3d11.2964107!4d76.2725039!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBDWdyb2Nlcnlfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhaMlpFVlVGM0VBRaoBThABKg8iC3N1cGVybWFya2V0KAAyHxABIhsaYaQ11oML3pGlu3-OyNJZtmlBzB-9uFrEWw8yGBACIhRzdXBlcm1hcmtldCBuaWxhbWJ1cuABAPoBBAgAEBM!16s%2Fg%2F11g86ml83t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",Claim this business,Grocery store,Other,4.1,57.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket nilambur,2025-08-10 07:12:57
Golden Bazar,"76GG+P6W, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Golden+Bazar/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63baeb0829891:0x51fafef779237dda!8m2!3d11.2768975!4d76.225588!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBC3N1cGVybWFya2V0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0xT0hSSVdVbG5FQUWqAU4QASoPIgtzdXBlcm1hcmtldCgAMh8QASIbGmGkNdaDC96Rpbt_jsjSWbZpQcwfvbhaxFsPMhgQAiIUc3VwZXJtYXJrZXQgbmlsYW1idXLgAQD6AQQIABAy!16s%2Fg%2F11tms9h7cj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",Claim this business,Supermarket,Other,4.6,5.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:13:02
Al badia Super Market,"Depot, Bus stop, Railway Station - Ramankuthu Rd, near Nilambur, Nilambur, Kerala 679330",090486 45457,"https://www.google.com/maps/place/Al+badia+Super+Market/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b53597d4741:0x343821967ee744e!8m2!3d11.275847!4d76.2619641!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBDWdyb2Nlcnlfc3RvcmWqAU4QASoPIgtzdXBlcm1hcmtldCgAMh8QASIbGmGkNdaDC96Rpbt_jsjSWbZpQcwfvbhaxFsPMhgQAiIUc3VwZXJtYXJrZXQgbmlsYW1idXLgAQA!16s%2Fg%2F11jj_gfmtn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",,Grocery store,Other,4.1,16.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,supermarket nilambur,2025-08-10 07:13:07
A.V.R Margin Free Supermarket,"76GF+9W8, SH28, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/A.V.R+Margin+Free+Supermarket/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b001401c965:0xf1c4ac8685a88b1e!8m2!3d11.2759107!4d76.2248369!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBDWdyb2Nlcnlfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTNja3RETWtaUkVBRaoBThABKg8iC3N1cGVybWFya2V0KAAyHxABIhsaYaQ11oML3pGlu3-OyNJZtmlBzB-9uFrEWw8yGBACIhRzdXBlcm1hcmtldCBuaWxhbWJ1cuABAPoBBAg_ECo!16s%2Fg%2F11m59zvpsf?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",Claim this business,Grocery store,Other,3.3,8.0,₹1–200,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,supermarket nilambur,2025-08-10 07:13:11
Supplyco Maveli Store,"Chandakunnu, Nilambur, Kerala 679329",,"https://www.google.com/maps/place/Supplyco+Maveli+Store/@11.2257567,76.114656,12z/data=!4m11!1m3!2m2!1ssupermarket+nilambur!6e6!3m6!1s0x3ba63b624d8bc105:0x4848372bcccf7f64!8m2!3d11.2885684!4d76.239962!15sChRzdXBlcm1hcmtldCBuaWxhbWJ1cloWIhRzdXBlcm1hcmtldCBuaWxhbWJ1cpIBDWdyb2Nlcnlfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhkalY2VDBSUkVBRaoBThABKg8iC3N1cGVybWFya2V0KAAyHxABIhsaYaQ11oML3pGlu3-OyNJZtmlBzB-9uFrEWw8yGBACIhRzdXBlcm1hcmtldCBuaWxhbWJ1cuABAPoBBAgAEC4!16s%2Fg%2F11g6nj297j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+nilambur,"11.2257567, 76.114656",Claim this business,Grocery store,Other,3.7,41.0,₹1–200,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket nilambur,2025-08-10 07:13:16
