name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
WHITE Hyper Market,"1st Floor, NK Complex, near Waltz Hospital, Kuttippara, Pathaikkara, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/WHITE+Hyper+Market/@10.9647955,76.1873987,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cd007178f26b:0x2440d749aab0ef5d!8m2!3d10.9743375!4d76.2379423!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBDWdyb2Nlcnlfc3RvcmWqAVQQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbFQQalqQ5u4YgeBHZCIaUZxEYxlKGPLyhUdVJMh4QAiIac3VwZXJtYXJrZXQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11y3z5rz_8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9647955, 76.1873987",,Grocery store,Other,4.0,584.0,₹1–200,Open 24 hours,Open 24 hours,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:01
Olive Super Market perinthalmanna,"MallAslam, Mannarkkad Road, opp. K.P.M. Arcade, Shanti Nagar, Perinthalmanna, Kerala 679322",089432 24455,"https://www.google.com/maps/place/Olive+Super+Market+perinthalmanna/@10.9647955,76.1873987,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cdab85b51313:0xdd597f5a2f8743f7!8m2!3d10.9756816!4d76.2280864!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBC3N1cGVybWFya2V0qgFUEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxUEGpakObuGIHgR2QiGlGcRGMZShjy8oVHVSTIeEAIiGnN1cGVybWFya2V0IHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F1hm52pft0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9647955, 76.1873987",,Supermarket,Other,4.0,375.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:06
JamJoom Hypermarket,"Vavas mall, Bypass Rd, Perinthalmanna, Kerala 679322",04933 223 331,"https://www.google.com/maps/place/JamJoom+Hypermarket/@10.9801323,76.1471571,13z/data=!3m1!5s0x3ba7cc55e4c38f43:0xcaf66aefda69ad50!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cc55fa3a1daf:0x23d94bf4c1a3e95b!8m2!3d10.9801323!4d76.2192549!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBC2h5cGVybWFya2V0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEZERneWVqVlJSUkFCqgFUEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxUEGpakObuGIHgR2QiGlGcRGMZShjy8oVHVSTIeEAIiGnN1cGVybWFya2V0IHBlcmludGhhbG1hbm5h4AEA-gEECAAQQg!16s%2Fg%2F11cltvzbnw?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",jamjoomsouk.com,Hypermarket,Other,4.2,2121.0,₹1–200,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,3.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:11
Ajmal Bismi,"No 20/517, Manathumangalam, Perinthalmanna, Kerala 679322",090207 00500,"https://www.google.com/maps/place/Ajmal+Bismi/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cd0274437c9b:0xb29ea86141fbb0fa!8m2!3d10.9879481!4d76.224987!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBEWVsZWN0cm9uaWNzX3N0b3JlqgFUEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxUEGpakObuGIHgR2QiGlGcRGMZShjy8oVHVSTIeEAIiGnN1cGVybWFya2V0IHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11cspfdrrv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",ajmalbismi.com,Electronics store,Other,4.1,5119.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:15
KM SUPERMARKET,"Kakkooth Rd, Kakkoth, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/KM+SUPERMARKET/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cdb1356fcf57:0x7369887493fb7ea1!8m2!3d10.9878911!4d76.2303074!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBDWdyb2Nlcnlfc3RvcmWqAVQQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbFQQalqQ5u4YgeBHZCIaUZxEYxlKGPLyhUdVJMh4QAiIac3VwZXJtYXJrZXQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11qgklh04n?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",,Grocery store,Other,4.0,13.0,₹1–200,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:20
7Days Supermarket,"Kozhikode - Malappuram - Palakkad Hwy, Thottakkara, Perinthalmanna, Kerala 679322",079940 04701,"https://www.google.com/maps/place/7Days+Supermarket/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cd6cba047f89:0x8d336d73e7adbe00!8m2!3d10.9664327!4d76.2283587!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBDWdyb2Nlcnlfc3RvcmWqAVQQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbFQQalqQ5u4YgeBHZCIaUZxEYxlKGPLyhUdVJMh4QAiIac3VwZXJtYXJrZXQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11j5vf7k3g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",,Grocery store,Other,4.0,243.0,₹1–200,Opens 8am,Closed ⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,7.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:25
Edumart Perinthalmanna,"Perinthalmanna - Nilambur Rd, near Sark Regency, Perinthalmanna, Kerala 679322",090488 00019,"https://www.google.com/maps/place/Edumart+Perinthalmanna/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cdae7789b565:0x4091899b43b9b45c!8m2!3d10.9877049!4d76.2263192!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBC2h5cGVybWFya2V0qgFUEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxUEGpakObuGIHgR2QiGlGcRGMZShjy8oVHVSTIeEAIiGnN1cGVybWFya2V0IHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11rkpn__c3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",,Hypermarket,Other,4.0,169.0,₹1–200,Opens 9:30am,⋅ Opens 9:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:30
Highway Hyper Supermarket,"X6FM+RHQ, KSHB Colony, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Highway+Hyper+Supermarket/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cdaf239fc24f:0xca524f4fb62be597!8m2!3d10.9745968!4d76.2339734!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBC3N1cGVybWFya2V0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5sTFVsMWFXUlJFQUWqAVQQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbFQQalqQ5u4YgeBHZCIaUZxEYxlKGPLyhUdVJMh4QAiIac3VwZXJtYXJrZXQgcGVyaW50aGFsbWFubmHgAQD6AQQIABAq!16s%2Fg%2F11c0xnqx3f?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",Claim this business,Supermarket,Other,3.5,90.0,₹1–200,Opens 9:30am,⋅ Opens 9:30am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:35
Day 2 Day Supermarket,"OOTTY ROAD, Opposite Town Juma Masjid, OOTTY ROAD, SH 39, KSHB Colony, Perinthalmanna, Kerala 679322",097450 42062,"https://www.google.com/maps/place/Day+2+Day+Supermarket/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cdd05aa9e1d3:0x443125b559ee6cb5!8m2!3d10.9778357!4d76.2254261!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBC3N1cGVybWFya2V0qgFUEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiGxUEGpakObuGIHgR2QiGlGcRGMZShjy8oVHVSTIeEAIiGnN1cGVybWFya2V0IHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11h70s2pdj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",Claim this business,Supermarket,Other,4.2,40.0,₹1–200,Opens 8:30am,⋅ Opens 8:30am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,2.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:40
ATLESS 7-ELEVEN SUPERMARKET,"near NEHRU STADIUM, KSHB Colony, Perinthalmanna, Kerala 679322",079947 21222,"https://www.google.com/maps/place/ATLESS+7-ELEVEN+SUPERMARKET/@10.9801323,76.1471571,13z/data=!4m11!1m3!2m2!1ssupermarket+perinthalmanna!6e6!3m6!1s0x3ba7cd3a3c2b99e3:0xc491713e0e84a31e!8m2!3d10.9784841!4d76.2265389!15sChpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYVocIhpzdXBlcm1hcmtldCBwZXJpbnRoYWxtYW5uYZIBDWdyb2Nlcnlfc3RvcmWqAVQQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbFQQalqQ5u4YgeBHZCIaUZxEYxlKGPLyhUdVJMh4QAiIac3VwZXJtYXJrZXQgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11t7j3lwr5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+perinthalmanna,"10.9801323, 76.1471571",,Grocery store,Other,4.6,14.0,₹1–200,Closes 11pm,⋅ Closes 11pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,7.0,Not Available,,,supermarket perinthalmanna,2025-08-10 07:06:44
