name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Khaleej Hypermarket,"QWMW+W7H, Kuttadu, Ponnani, Kerala 679577",097454 49944,"https://www.google.com/maps/place/Khaleej+Hypermarket/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb1faf0f99b1:0x26124034a0910ac4!8m2!3d10.7848186!4d75.9457408!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQtzdXBlcm1hcmtldKoBSwoNL2cvMTFzanJ2NW5qXxABMh8QASIbVqcoKMyg66dLOK3jlKmHbaErM04OzUauakmCMhcQAiITc3VwZXJtYXJrZXQgcG9ubmFuaeABAA!16s%2Fg%2F11h05btk24?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",Claim this business,Supermarket,Other,4.1,256.0,,Closes 10pm,⋅ Closes 10pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket ponnani,2025-08-10 07:26:40
DUBAI SUPERMARKET,"QW2J+JM7, Puthuponnani, Ponnani, Kerala 679586",,"https://www.google.com/maps/place/DUBAI+SUPERMARKET/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb52c51d140b:0xbf9b4b0ae8c84497!8m2!3d10.7515301!4d75.9316702!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11rhwcygq4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",Claim this business,Grocery store,Other,3.8,29.0,,Closes 10pm,⋅ Closes 10pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket ponnani,2025-08-10 07:26:45
Margin Free Market Ponnani,"Keezhillam, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/Margin+Free+Market+Ponnani/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb1a5764abed:0xa0413b668d061aec!8m2!3d10.7820435!4d75.931552!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQtzdXBlcm1hcmtldKoBSwoNL2cvMTFzanJ2NW5qXxABMh8QASIbVqcoKMyg66dLOK3jlKmHbaErM04OzUauakmCMhcQAiITc3VwZXJtYXJrZXQgcG9ubmFuaeABAA!16s%2Fg%2F11c5gc0cy2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",,Supermarket,Other,4.0,68.0,,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket ponnani,2025-08-10 07:26:50
Swasraya Mall & Ponmax Hypermarket,"QWCP+W6J, NH 66, near Pallapram Bridge, Uroob Nagar, Overbridge, Keezhillam, Ponnani, Kerala 679577",073565 26526,"https://www.google.com/maps/place/Swasraya+Mall+%26+Ponmax+Hypermarket/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb8918fc00c5:0xbe1392b9fd63dc0d!8m2!3d10.7723282!4d75.9355055!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQtoeXBlcm1hcmtldKoBSwoNL2cvMTFzanJ2NW5qXxABMh8QASIbVqcoKMyg66dLOK3jlKmHbaErM04OzUauakmCMhcQAiITc3VwZXJtYXJrZXQgcG9ubmFuaeABAA!16s%2Fg%2F11p64mn027?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",swasrayaponnani.com,Hypermarket,Other,4.3,7.0,,Open 24 hours,Open 24 hours,Yes,No,Yes,No,No,No,Unknown,Unknown,"·

In-store shopping
·

Delivery
",in-store shopping; delivery,,,Not Available,,,supermarket ponnani,2025-08-10 07:26:54
SUPER STORE PONNANI,"NO 1 BRIDGE MAIN ROAD PONNANI NAGARM, Kerala, Ponnani, Kerala 679583",095672 92930,"https://www.google.com/maps/place/SUPER+STORE+PONNANI/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb229e31b40d:0x69393e6796e76d18!8m2!3d10.781189!4d75.9230344!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQp3aG9sZXNhbGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJhYVU1MVFsWkJFQUWqAUsKDS9nLzExc2pydjVual8QATIfEAEiG1anKCjMoOunSzit45Sph22hKzNODs1GrmpJgjIXEAIiE3N1cGVybWFya2V0IHBvbm5hbmngAQD6AQQIABAZ!16s%2Fg%2F11ggs4f920?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",,Wholesaler,Other,4.8,52.0,,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket ponnani,2025-08-10 07:26:59
Best one supermarket,"Puthanpalli Road K K Junction, Ponnani, Kerala 679577",090481 37047,"https://www.google.com/maps/place/Best+one+supermarket/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb16c5c23ce1:0xd1f7e71ecd8b882e!8m2!3d10.7846511!4d75.9491583!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11htywlpxn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",,Grocery store,Other,4.2,10.0,,Opens 8am,⋅ Opens 8am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket ponnani,2025-08-10 07:27:04
TK SUPERMARKET,"Purangu, Ponnani, Kerala 679584",,"https://www.google.com/maps/place/TK+SUPERMARKET/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb7935079f89:0x6f98e6d5e3c96998!8m2!3d10.7621605!4d75.9552587!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11jgdlk8n_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",,Grocery store,Other,4.0,78.0,,7:30am,⋅ 7:30am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,supermarket ponnani,2025-08-10 07:27:09
CEE VEE Mini Supermarket,"CV junction, near water authority ponnani, Ponnani, Kerala 679577",,"https://www.google.com/maps/place/CEE+VEE+Mini+Supermarket/@10.7848186,75.873643,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bb37211ffa87:0xcb4b49549349fd3f!8m2!3d10.7854085!4d75.9466934!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11rkn1crb1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7848186, 75.873643",,Grocery store,Other,5.0,1.0,,Closes 11pm,⋅ Closes 11pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store shopping
·

In-store pick-up
·

Delivery
",in-store shopping; delivery; in-store pick-up,,,Not Available,,,supermarket ponnani,2025-08-10 07:27:14
Day N Day Supermarket,"Day N Day Supermarket, Ponnani Guruvayur Road, Eramangalam, Thrissur, Veliancode, Kerala 679587",081119 92211,"https://www.google.com/maps/place/Day+N+Day+Supermarket/@10.7147682,75.9059991,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bd21518561b7:0x45530d459802db6f!8m2!3d10.7147682!4d75.9780969!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11k7xs4t9g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7147682, 75.9059991",,Grocery store,Other,4.2,35.0,,Closes 9pm,⋅ Closes 9pm,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket ponnani,2025-08-10 07:27:18
Thanal Janakeeya Supermarket,"PXQF+67Q, Guruvayur - Althara - Ponnani Rd, Maranchery, Kerala 679581",,"https://www.google.com/maps/place/Thanal+Janakeeya+Supermarket/@10.7147682,75.9059991,13z/data=!4m11!1m3!2m2!1ssupermarket+ponnani!6e6!3m6!1s0x3ba7bd1514f2374b:0x43f2ed9598c39051!8m2!3d10.7380789!4d75.9732281!15sChNzdXBlcm1hcmtldCBwb25uYW5pWhUiE3N1cGVybWFya2V0IHBvbm5hbmmSAQ1ncm9jZXJ5X3N0b3JlqgFLCg0vZy8xMXNqcnY1bmpfEAEyHxABIhtWpygozKDrp0s4reOUqYdtoSszTg7NRq5qSYIyFxACIhNzdXBlcm1hcmtldCBwb25uYW5p4AEA!16s%2Fg%2F11qpm6f6qy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+ponnani,"10.7147682, 75.9059991",Claim this business,Grocery store,Other,4.4,68.0,,Opens 8am,⋅ Opens 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,supermarket ponnani,2025-08-10 07:27:23
