name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Fresh Day Hypermarket,"city junction, SH 71, Chembra, Tirur, Kerala 676101",0494 242 4277,"https://www.google.com/maps/place/Fresh+Day+Hypermarket/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1f323dbc7e3:0xa3388838ca0c41f2!8m2!3d10.914888!4d75.9221568!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC2h5cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F11bz0cg7jv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",,Hypermarket,Other,4.1,1303.0,₹1–200,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:17
GTC Super Market,"WW5F+X4F, Tirur-Thrikandiyoor Rd, Tirur, Kerala 676104",0494 243 0934,"https://www.google.com/maps/place/GTC+Super+Market/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1ed33e3f0d3:0x659d5cf19bf2bd5b!8m2!3d10.9099345!4d75.9227913!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC3N1cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F12607p3jv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",Claim this business,Supermarket,Other,3.7,49.0,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket tirur,2025-08-10 07:19:22
AAK Hypermarket,"Tirur - Kadalundi Rd, Naduvilangadi, Tirur, Kerala 676101",0494 243 3553,"https://www.google.com/maps/place/AAK+Hypermarket/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1588e9e5c61:0x3daa1d5d7234541e!8m2!3d10.9187805!4d75.9178906!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC2h5cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F11j4h7cpjr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",aakhyper.in,Hypermarket,Other,4.2,536.0,₹1–200,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:27
BATHOOL HYPER MARKET,"WW8F+6M7, near Railway, Over Bridge, Muthoor, Tirur, Kerala 676101",,"https://www.google.com/maps/place/BATHOOL+HYPER+MARKET/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b18cc379d0f9:0xc84301b248bf55e0!8m2!3d10.9155316!4d75.9241683!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC2h5cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F1hdzsmt7x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",Claim this business,Hypermarket,Other,4.0,128.0,₹1–200,Opens 8:30am,⋅ Opens 8:30am,Yes,No,Yes,No,No,No,Unknown,Unknown,"·

In-store shopping
·

Delivery
",in-store shopping; delivery,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:32
Freshday Supermarket,"WWJM+PHC, Thalakkadathur, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Freshday+Supermarket/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b3c9dffacfff:0x403ecc9ae6bbca5a!8m2!3d10.9318116!4d75.9338817!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBDWdyb2Nlcnlfc3RvcmWqAUsQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbTXYLlVkjriBqMeFgcOIlaD4bnzEKUIpUM53xMhUQAiIRc3VwZXJtYXJrZXQgdGlydXLgAQA!16s%2Fg%2F11h22xhv9s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",instagram.com,Grocery store,Other,4.1,128.0,₹1–200,Opens 9:30am,⋅ Opens 9:30am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:36
PMK SUPER MARKET,"Tirur-Thrikandiyoor Rd, Tirur, Kerala 676101",,"https://www.google.com/maps/place/PMK+SUPER+MARKET/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1d92b8a7ffd:0xc7379cea28a71ffa!8m2!3d10.9096932!4d75.923065!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBDWdyb2Nlcnlfc3RvcmWqAUsQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbTXYLlVkjriBqMeFgcOIlaD4bnzEKUIpUM53xMhUQAiIRc3VwZXJtYXJrZXQgdGlydXLgAQA!16s%2Fg%2F11h80335b7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",,Grocery store,Other,4.0,99.0,₹1–200,Opens 9am,⋅ Opens 9am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:41
Chembra Mart,"WWQC+58V, Chembra, Tirur, Kerala 676307",,"https://www.google.com/maps/place/Chembra+Mart/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b3f0ad8193e3:0xa3a90c53a96c76fb!8m2!3d10.9393762!4d75.9190213!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC3N1cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F11txs3fwvt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",,Supermarket,Other,4.6,22.0,₹1–200,Closes 10:30pm,Open ⋅ Closes 10:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,,Not Available,,,supermarket tirur,2025-08-10 07:19:46
Theeramaveli Supermarket,"WW4C+4H6, Tirur - Kuttippuram Rd, Tirur, Kerala 676101",,"https://www.google.com/maps/place/Theeramaveli+Supermarket/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1eb6f4f94a7:0x7779a13ecc0c6979!8m2!3d10.9052778!4d75.9213889!15sChFzdXBlcm1hcmtldCB0aXJ1cpIBC3N1cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F1261q1hhl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",Claim this business,Supermarket,Other,3.5,71.0,₹1–200,Opens 10am Mon,⋅ Opens 10am Mon,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:51
AAK Mall,"near KVR Bajaj, Naduvilangadi, Tirur, Kerala 676101",0494 243 3553,"https://www.google.com/maps/place/AAK+Mall/@10.9130983,75.8977098,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1f423ea3247:0xa6e20ae010736ed6!8m2!3d10.9187688!4d75.9177344!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBD3Nob3BwaW5nX2NlbnRlcqoBSxABKg8iC3N1cGVybWFya2V0KAAyHxABIhtNdguVWSOuIGox4WBw4iVoPhufMQpQilQznfEyFRACIhFzdXBlcm1hcmtldCB0aXJ1cuABAA!16s%2Fg%2F11c4bd57k2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9130983, 75.8977098",aakmall.in,Shopping mall,Other,4.0,1978.0,₹₹,Opens 9am,⋅ Opens 9am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:19:56
Bismi Mini Supermarket,"WWC8+C8R, Ernakulam - Kozhikode Rd, Naduvilangadi, Tirur, Kerala 676107",098955 00900,"https://www.google.com/maps/place/Bismi+Mini+Supermarket/@10.9211095,75.87973,14z/data=!4m11!1m3!2m2!1ssupermarket+tirur!6e6!3m6!1s0x3ba7b1f63fc54941:0x6e2adad9f46d2478!8m2!3d10.9211095!4d75.9157789!15sChFzdXBlcm1hcmtldCB0aXJ1cloTIhFzdXBlcm1hcmtldCB0aXJ1cpIBC3N1cGVybWFya2V0qgFLEAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG012C5VZI64gajHhYHDiJWg-G58xClCKVDOd8TIVEAIiEXN1cGVybWFya2V0IHRpcnVy4AEA!16s%2Fg%2F11b76lj0ps?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirur,"10.9211095, 75.87973",Claim this business,Supermarket,Other,3.8,28.0,₹1–200,Opens 9:30am Mon,⋅ Opens 9:30am Mon,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket tirur,2025-08-10 07:20:00
