name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Yara Hyper,"2WVG+CM2, SH 72, Tirurangadi, Kerala 676306",090618 77774,"https://www.google.com/maps/place/Yara+Hyper/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d126f8aab4f:0x4f4b4f40c05479fa!8m2!3d11.0434155!4d75.9267254!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11c1nw1c05?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",yarahyper-offer.web.app,Grocery store,Other,4.1,1283.0,,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket tirurangadi,2025-08-10 07:36:41
MT STORE Groceries and Savouries,"near Maliyekkal Petrol pump, Kakkad, Tirurangadi, Kerala 676306",075105 01010,"https://www.google.com/maps/place/MT+STORE+Groceries+and+Savouries/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d9847f64acf:0xfd5f7ac7aa5bca26!8m2!3d11.0393764!4d75.9380153!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11h7d6_qkz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",,Grocery store,Other,4.9,139.0,,Closes 10:30pm,⋅ Closes 10:30pm,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket tirurangadi,2025-08-10 07:36:46
Janatha Bazar,"2WW6+GFP, Chemmad, Kerala 676306",090482 24490,"https://www.google.com/maps/place/Janatha+Bazar/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d7ae616027f:0x8fd5c2cd074f4d98!8m2!3d11.0463389!4d75.9112181!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11p5681qgx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",Claim this business,Grocery store,Other,4.1,253.0,,8am,⋅ 8am,Yes,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

In-store pick-up
·

Delivery
",delivery; in-store pick-up,,1.0,Not Available,,,supermarket tirurangadi,2025-08-10 07:36:50
MT STORE 2.0,"Manithodika Link Rd, Kakkad, Pandikashala Town, Kerala 676306",,"https://www.google.com/maps/place/MT+STORE+2.0/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64dc8065fa0e3:0x1d82401b4bb3c413!8m2!3d11.0395859!4d75.9387672!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBFGluZGlhbl9ncm9jZXJ5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJLTVc5VFZFVjNFQUWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQD6AQQIABAS!16s%2Fg%2F11s7rmxmbt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",,Indian grocery store,Other,4.8,32.0,,8am,⋅ 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,2.0,Not Available,,,supermarket tirurangadi,2025-08-10 07:36:55
Pk Store,"2WPJ+RJC, K C Rd, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Pk+Store/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d16fb16abdf:0xce25b32b06cdd1bf!8m2!3d11.0370583!4d75.9315284!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBC3N1cGVybWFya2V0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU5CTmpsdU5WOTNSUkFCqgFREAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG1gw8c1CzgLy3eFc0saEoB9PFOFT6JZQSr9fhzIbEAIiF3N1cGVybWFya2V0IHRpcnVyYW5nYWRp4AEA-gEECAAQKg!16s%2Fg%2F11g9w0d2tr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",Claim this business,Supermarket,Other,4.4,18.0,,8am,⋅ 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:00
Farmers Ecoshop,"2WVC+FX5, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Farmers+Ecoshop/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d44c1029845:0x6621fb4ed03d9b4e!8m2!3d11.0436687!4d75.9224327!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11vkfwg579?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",Claim this business,Grocery store,Other,5.0,1.0,,8am,⋅ 8am,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:05
ZAM ZAM STORES,"Kodinhi Rd, Chemmad, Kerala 676306",,"https://www.google.com/maps/place/ZAM+ZAM+STORES/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64db69bc1ea89:0x4a5b22728f3a7c68!8m2!3d11.0385407!4d75.91028!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBC3N1cGVybWFya2V0qgFREAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG1gw8c1CzgLy3eFc0saEoB9PFOFT6JZQSr9fhzIbEAIiF3N1cGVybWFya2V0IHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11fm33p_lq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",,Supermarket,Other,4.5,11.0,,Opens 8:30am,⋅ Opens 8:30am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:09
Bismillah Store Kakkad,"Kakkad, Kerala 676306",098958 40465,"https://www.google.com/maps/place/Bismillah+Store+Kakkad/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d185405ab83:0x3d51c6d299ce6663!8m2!3d11.0361463!4d75.9372377!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBC3N1cGVybWFya2V0qgFREAEqDyILc3VwZXJtYXJrZXQoADIfEAEiG1gw8c1CzgLy3eFc0saEoB9PFOFT6JZQSr9fhzIbEAIiF3N1cGVybWFya2V0IHRpcnVyYW5nYWRp4AEA!16s%2Fg%2F11hdc5l4b5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",,Supermarket,Other,4.1,,,Closes 11pm,⋅ Closes 11pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:14
Gems Bakery & Supermarket,"SH 72, Chemmad, Kerala 676306",,"https://www.google.com/maps/place/Gems+Bakery+%26+Supermarket/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64d6fd2d5b41d:0x107eaec57bc151b9!8m2!3d11.0431659!4d75.9144498!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaVoZIhdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11cmyvlpt3?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",,Grocery store,Other,3.6,10.0,,Opens 9am,⋅ Opens 9am,No,No,Yes,No,No,No,Unknown,Unknown,"·

Delivery
",delivery,,1.0,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:19
Dictionary,"Bus Stop, Parappanangadi - Chemmad - Malappuram Rd, Tirurangadi, Kerala 676306",,"https://www.google.com/maps/place/Dictionary/@11.0406719,75.86045,13z/data=!4m11!1m3!2m2!1ssupermarket+tirurangadi!6e6!3m6!1s0x3ba64dd78fe7d00d:0x3a6d36b44415cf3d!8m2!3d11.0412132!4d75.9273418!15sChdzdXBlcm1hcmtldCB0aXJ1cmFuZ2FkaZIBDWdyb2Nlcnlfc3RvcmWqAVEQASoPIgtzdXBlcm1hcmtldCgAMh8QASIbWDDxzULOAvLd4VzSxoSgH08U4VPollBKv1-HMhsQAiIXc3VwZXJtYXJrZXQgdGlydXJhbmdhZGngAQA!16s%2Fg%2F11fr49tgy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",supermarket+tirurangadi,"11.0406719, 75.86045",Claim this business,Grocery store,Other,4.0,1.0,,,,No,No,No,No,No,No,Unknown,Unknown,None Found,,,,Not Available,,,supermarket tirurangadi,2025-08-10 07:37:24
