name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Rahmath Biriyani Center,"Bypass Road, opp. Hotel Afrad International, Kondotty, Kerala 673638",096451 73094,"https://www.google.com/maps/place/Rahmath+Biriyani+Center/@11.1501785,75.9461353,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64fa357520fbb:0x7684d7a6d78776f4!8m2!3d11.1428958!4d75.9680826!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVEKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxmckNl93SjY5vIGQerVxzWYQJFPQ0TjRNdSuDIUEAIiEGJpcnlhbmkga29uZG90dHngAQA!16s%2Fg%2F11s2t4lvmn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1501785, 75.9461353",dialndial.com,Biryani restaurant,Specialty_Food,4.3,12.0,₹₹,,,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,biryani kondotty,2025-08-10 05:21:22
Arabian Majlis Kondotty,"Thurakkal, Palakkad - Kozhikode Hwy, Kondotty, Kerala 673638",075929 93344,"https://www.google.com/maps/place/Arabian+Majlis+Kondotty/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64fba7231fb75:0x126ec7dfd9321c99!8m2!3d11.1581028!4d75.9536395!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA!16s%2Fg%2F11j7yzsy66?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",,Restaurant,Specialty_Food,4.1,2447.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:21:27
Hotel Sulthan Palace Kondotty,"Kondotty Bypass Rd, Kondotty, Kerala 673638",097477 15222,"https://www.google.com/maps/place/Hotel+Sulthan+Palace+Kondotty/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f1dbcc9af45:0xfda17bb2309d52f!8m2!3d11.146774!4d75.9615284!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5rTjB4cVEyaDNSUkFCqgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA-gEFCP4BEEs!16s%2Fg%2F11cnbs3nvc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",Find a table,Restaurant,Specialty_Food,3.7,1077.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:21:32
TOPS BIRIYANI HUT KONDOTTY,"4XW7+87H, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/TOPS+BIRIYANI+HUT+KONDOTTY/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f1dfb08f56d:0x3daa547441356525!8m2!3d11.1458177!4d75.9632485!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA!16s%2Fg%2F11hdb8mq91?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",Claim this business,Restaurant,Specialty_Food,4.8,4.0,₹₹,Closes 4pm,⋅ Closes 4pm ⋅ Reopens 11pm,No,Yes,No,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:21:37
Darbar Food Court,"4XR9+WQW, Kondotty Bypass Road, near Malabar Gold, Kondotty, Kerala 673647",090201 52015,"https://www.google.com/maps/place/Darbar+Food+Court/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64ee1ce38f573:0xecfbbac1d08dc2a5!8m2!3d11.1423533!4d75.9694682!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSARJiaXJ5YW5pX3Jlc3RhdXJhbnSqAVEKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxmckNl93SjY5vIGQerVxzWYQJFPQ0TjRNdSuDIUEAIiEGJpcnlhbmkga29uZG90dHngAQA!16s%2Fg%2F11ckvdw897?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",Claim this business,Biryani restaurant,Specialty_Food,3.9,48.0,₹₹,Opens 4pm,⋅ Opens 4pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,,Not Available,,,biryani kondotty,2025-08-10 05:21:41
Biryani hut,"SH28, Kondotty, Kerala 673638",081290 01818,"https://www.google.com/maps/place/Biryani+hut/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f047fad4e87:0x7eb4acd22536c17b!8m2!3d11.1452802!4d75.96592!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA!16s%2Fg%2F11n7jqd6xt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",,Restaurant,Specialty_Food,5.0,2.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,,Not Available,,,biryani kondotty,2025-08-10 05:21:46
T&T Kondotty,"near Mahakavi Moyin Kutty Vaidyar Mappila Kala Academy, Kondotty, Kerala 673638",090721 00213,"https://www.google.com/maps/place/T%26T+Kondotty/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f354e657775:0x1e36348f52d8f837!8m2!3d11.1518791!4d75.9575121!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA!16s%2Fg%2F11l2c1c2sd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",instagram.com,Restaurant,Specialty_Food,4.2,555.0,₹₹,Opens 12:30pm,⋅ Opens 12:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:21:51
Kubbah Street,"Kubbah Street, Kondotty, Kerala 673638",070348 88500,"https://www.google.com/maps/place/Kubbah+Street/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64fa0e055d5b5:0xbaf96ed028dbc0eb!8m2!3d11.1430582!4d75.9703221!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSARdub3J0aF9pbmRpYW5fcmVzdGF1cmFudKoBUQoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGZyQ2X3dKNjm8gZB6tXHNZhAkU9DRONE11K4MhQQAiIQYmlyeWFuaSBrb25kb3R0eeABAA!16s%2Fg%2F11qnzkg7g1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",kubbahstreet.com,North Indian restaurant,Specialty_Food,4.1,583.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:21:56
Royal Dine,"opposite mercy hospital, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Royal+Dine/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f062eb8f487:0x463b680a4faffd3!8m2!3d11.1480229!4d75.9610753!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSAQpyZXN0YXVyYW50qgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA!16s%2Fg%2F11r3z6pw8t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",,Restaurant,Specialty_Food,3.9,147.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:22:01
A One Hotel & Restaurant,"Bypass road, SH28, Kondotty, Kerala 673638",098479 78883,"https://www.google.com/maps/place/A+One+Hotel+%26+Restaurant/@11.1581028,75.9175906,14z/data=!4m11!1m3!2m2!1sbiryani+kondotty!6e5!3m6!1s0x3ba64f1db7ee230d:0xd94b962b83090bc6!8m2!3d11.1489471!4d75.9607149!15sChBiaXJ5YW5pIGtvbmRvdHR5WhIiEGJpcnlhbmkga29uZG90dHmSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJ2TmtsdGFHOVJSUkFCqgFRCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsZnJDZfd0o2ObyBkHq1cc1mECRT0NE40TXUrgyFBACIhBiaXJ5YW5pIGtvbmRvdHR54AEA-gEECBsQLQ!16s%2Fg%2F1q5bldqyd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+kondotty,"11.1581028, 75.9175906",,Middle Eastern restaurant,Specialty_Food,3.7,1200.0,₹₹,Opens 6am,⋅ Opens 6am,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani kondotty,2025-08-10 05:22:05
