name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KAUSAR RESTAURANT,"Santhigramam, Thurakkal, Manjeri, Kerala 676121",090726 47474,"https://www.google.com/maps/place/KAUSAR+RESTAURANT/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba637a6548d7b89:0x54cb19b80f54a4cc!8m2!3d11.1126735!4d76.1156181!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGus8E-pAbZwJqjk2HZwd4TPKAfjVdWLBAkaMMhMQAiIPYmlyeWFuaSBtYW5qZXJp4AEA!16s%2Fg%2F11pckyhxg8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",,Restaurant,Specialty_Food,4.6,1161.0,₹₹,Opens 11:30am,Closed ⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:34
FARSA RESTAURANT,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",097498 88333,"https://www.google.com/maps/place/FARSA+RESTAURANT/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba6366b95555555:0x41a08fadffeedf13!8m2!3d11.123714!4d76.1149305!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgESYmlyeWFuaV9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa6zwT6kBtnAmqOTYdnB3hM8oB-NV1YsECRowyExACIg9iaXJ5YW5pIG1hbmplcmngAQA!16s%2Fg%2F11ddyyxsw1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",farsagroup.com,Biryani restaurant,Specialty_Food,4.1,7135.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:39
Abus - Biriyani Center,"Nilambur - Malappuram Rd, near rajadhani furniture, Karuvambram, Manjeri, Kerala 676521",098479 53471,"https://www.google.com/maps/place/Abus+-+Biriyani+Center/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba6366f7483a183:0x6094f642d9f936bb!8m2!3d11.1220121!4d76.1193098!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgESYmlyeWFuaV9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa6zwT6kBtnAmqOTYdnB3hM8oB-NV1YsECRowyExACIg9iaXJ5YW5pIG1hbmplcmngAQA!16s%2Fg%2F11bztd_27s?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",Place an order,Biryani restaurant,Specialty_Food,3.8,164.0,₹₹,Opens 11:30am,⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:44
Dhum Chemb Kalyana Biriyani,"4469+93P, Kacherippadi, Manjeri, Kerala 676121",075919 15757,"https://www.google.com/maps/place/Dhum+Chemb+Kalyana+Biriyani/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba6370007202e75:0x84d3d888030b26ac!8m2!3d11.110832!4d76.117523!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgESYmlyeWFuaV9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa6zwT6kBtnAmqOTYdnB3hM8oB-NV1YsECRowyExACIg9iaXJ5YW5pIG1hbmplcmngAQA!16s%2Fg%2F11wnm2997t?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",,Biryani restaurant,Specialty_Food,4.7,41.0,₹₹,Opens 11:30am Mon,⋅ Opens 11:30am Mon,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:49
Midway Mandhi,"Rajiv Gandhi Bypass, Melakkam, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Midway+Mandhi/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba63753925990c1:0xc992602674b6fce6!8m2!3d11.1233019!4d76.1168193!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgESY2hpY2tlbl9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa6zwT6kBtnAmqOTYdnB3hM8oB-NV1YsECRowyExACIg9iaXJ5YW5pIG1hbmplcmngAQA!16s%2Fg%2F11p5ng01nv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",blackkingdom.in,Chicken restaurant,Specialty_Food,3.9,401.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:54
MIDWAY KUZHIMANDHI,"10/412, Kacheripadi, Malappuram - Manjeri Rd, near Boys High School, Vayapparapadi, Vellarangal, Manjeri, Kerala 676122",098467 26726,"https://www.google.com/maps/place/MIDWAY+KUZHIMANDHI/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba6372ae4a2ddd1:0xf7fdcc2255ccf528!8m2!3d11.110792!4d76.1209765!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgESYmlyeWFuaV9yZXN0YXVyYW50qgFQCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIhsa6zwT6kBtnAmqOTYdnB3hM8oB-NV1YsECRowyExACIg9iaXJ5YW5pIG1hbmplcmngAQA!16s%2Fg%2F11h2fn5ccr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",,Biryani restaurant,Specialty_Food,4.1,938.0,₹₹,Opens 12:15pm,⋅ Opens 12:15pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:38:59
Arabic Dine,"IGBT Entrance, Kacherippadi, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Arabic+Dine/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba637e791136a41:0xd0bc54d2a7cee776!8m2!3d11.1099184!4d76.1201335!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGus8E-pAbZwJqjk2HZwd4TPKAfjVdWLBAkaMMhMQAiIPYmlyeWFuaSBtYW5qZXJp4AEA!16s%2Fg%2F11kpt60m_7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",blackkingdom.in,Restaurant,Specialty_Food,4.2,41.0,₹₹,Opens 11:30am,⋅ Opens 11:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:39:03
Khayalat Restaurant,"Bapputty Bypass Road, Thurakkal, Manjeri, Kerala 676122",073568 88891,"https://www.google.com/maps/place/Khayalat+Restaurant/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba6373ef78457c1:0x4fc3694ceff520ad!8m2!3d11.1200363!4d76.111239!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgEKcmVzdGF1cmFudKoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGus8E-pAbZwJqjk2HZwd4TPKAfjVdWLBAkaMMhMQAiIPYmlyeWFuaSBtYW5qZXJp4AEA!16s%2Fg%2F11y36j5v1r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",khayalat-link-xplorer.vercel.app,Restaurant,Specialty_Food,4.3,687.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:39:08
Woodbine Restaurant,"Koothrat Towers, Court Rd, Vellarangal, Manjeri, Kerala 676121",097451 00160,"https://www.google.com/maps/place/Woodbine+Restaurant/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba63670abf8be3d:0x225405be0c0d5f64!8m2!3d11.1143689!4d76.1200501!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSNGVqWlBUbTFSUlJBQqoBUAoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbGus8E-pAbZwJqjk2HZwd4TPKAfjVdWLBAkaMMhMQAiIPYmlyeWFuaSBtYW5qZXJp4AEA-gEECAAQPw!16s%2Fg%2F11h0h7ln5?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",woodbinehotels.in,Restaurant,Specialty_Food,4.0,2502.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:39:13
Biriyani Hut,"44CC+2JC, Kuthukal, Manjeri, Kerala 676123",098954 73157,"https://www.google.com/maps/place/Biriyani+Hut/@11.1126735,76.0975937,15z/data=!4m11!1m3!2m2!1sbiryani+manjeri!6e5!3m6!1s0x3ba637a037c8f4b9:0x67b02c3e1103eeec!8m2!3d11.1200682!4d76.1215146!15sCg9iaXJ5YW5pIG1hbmplcmlaESIPYmlyeWFuaSBtYW5qZXJpkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmxhRXAyZWpkQlJSQUKqAVAKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiGxrrPBPqQG2cCao5Nh2cHeEzygH41XViwQJGjDITEAIiD2JpcnlhbmkgbWFuamVyaeABAPoBBAgAECg!16s%2Fg%2F11h5znn3k0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+manjeri,"11.1126735, 76.0975937",biriyanihutindia.com,Fast food restaurant,Specialty_Food,3.8,50.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,biryani manjeri,2025-08-10 04:39:18
